Date,Open,High,Low,Close,Volume
4/19/2018,68.25,68.72,67.44,67.68,4564284
4/20/2018,67.44,67.47,65.96,66.3,4759437
4/23/2018,66.6,67.84,65.965,66.23,4423568
4/24/2018,66.62,67.24,64.71,65.34,4825775
4/25/2018,65.38,65.76,64.01,64.82,3903632
4/26/2018,65.26,66.695,64.93,66.34,4601529
4/27/2018,66.69,67.3,65.51,65.79,4749705
4/30/2018,65.86,66.6,65.28,66.35,5060767
5/1/2018,66.15,67.99,65.59,67.8,4360295
5/2/2018,67.94,68.89,67.66,68.39,7675147
5/3/2018,68.49,71.03,64.06,66.82,22232009
5/4/2018,66.3,69.92,66.0228,69.84,11358668
5/7/2018,70.27,70.73,69.6,70.37,5744520
5/8/2018,69.66,70.16,69.18,69.61,4059219
5/9/2018,69.98,72.04,69.81,71.31,5664539
5/10/2018,71.78,72.91,71.32,72.9,5069928
5/11/2018,72.77,72.78,71.27,71.7,4996266
5/14/2018,71.87,72.34,71.035,71.7,2964785
5/15/2018,70.98,71.155,69.67,70.17,3896220
5/16/2018,71.13,71.94,70.1,70.33,5029462
5/17/2018,70.3,71.9,70.11,71.66,6447396
5/18/2018,71.52,72.14,71.05,71.99,5673341
5/21/2018,72.5,73.5,71.19,71.45,6392087
5/22/2018,71.95,72.57,71.23,71.35,4008827
5/23/2018,70.73,71.805,70.55,71.74,3809449
5/24/2018,71.75,71.94,70.05,70.8,5526004
5/25/2018,70.66,71.81,70.6,71.46,3705573
5/29/2018,70.8,71.19,69.87,70.64,4855943
5/30/2018,70.92,71.21,70.51,70.69,4093806
5/31/2018,70.83,72.28,70.69,70.91,6050285
6/1/2018,71.42,73.21,70.77,73.03,6388352
6/4/2018,73.25,73.86,72.66,72.79,4134504
6/5/2018,72.79,73.35,72.19,72.77,5354048
6/6/2018,73.26,75.01,73.26,74.79,6638541
6/7/2018,74.79,75.28,73.08,73.95,4686510
6/8/2018,73.45,74.83,73.45,74.29,4672568
6/11/2018,74.25,75.53,74.225,75,5108047
6/12/2018,75.23,76.04,74.791,75.94,4311531
6/13/2018,76.04,77.52,75.7,76.67,8634789
6/14/2018,76.83,79.25,76.8,77.71,6717555
6/15/2018,77.66,77.83,76.37,77.41,6596147
6/18/2018,77.02,77.93,76.47,77.87,3993044
6/19/2018,76.64,77.3,75.655,77.24,3735314
6/20/2018,77.25,77.67,76.78,76.84,3566053
6/21/2018,77.17,77.9054,75.31,76.05,4233816
6/22/2018,76.46,76.56,75.215,75.98,3978784
6/25/2018,75.19,75.4,74.14,74.7,5390769
6/26/2018,75.32,76.42,74.43,75.27,4865448
6/27/2018,75.77,75.89,73.4,73.42,4497366
6/28/2018,74,76.19,73.66,76.01,4755234
6/29/2018,76.44,77.24,76.08,76.32,5072620
7/2/2018,75.36,77.325,75,77.28,3324929
7/3/2018,77.68,77.68,75.72,75.88,2028270
7/5/2018,76.51,76.81,75.685,76.19,7998765
7/6/2018,76.2,77.48,76.02,77.19,2954209
7/9/2018,77.7,77.99,75.93,76.84,4518442
7/10/2018,77,77.07,75.6749,76.19,2944703
7/11/2018,75.35,79.3631,75.35,78.61,8191922
7/12/2018,79.29,81.46,78.67,81.37,8698509
7/13/2018,81.4,81.64,79.921,81.5,4550940
7/16/2018,81.61,81.64,80.1,80.23,4153266
7/17/2018,79.16,81.16,77.55,80.95,4862800
7/18/2018,80.75,81.47,80.395,81.27,5273739
7/19/2018,81.02,81.19,80.19,80.61,3541198
7/20/2018,80.94,80.955,79.55,79.65,5664687
7/23/2018,79.5,80,78.82,79.75,3253602
7/24/2018,80.1,80.2,77.96,78.41,4762871
7/25/2018,78.6,79.74,78.32,79.45,4485324
7/26/2018,79.39,79.62,77.46,77.65,6181268
7/27/2018,77.08,77.5744,74.67,75.36,6078060
7/30/2018,75.37,75.48,71.79,72.75,8907262
7/31/2018,72.91,74.29,72.515,73.42,6373210
8/1/2018,73.77,74.58,72.92,73.08,6069913
8/2/2018,73.65,74.159,72.55,74.06,6621504
8/3/2018,74.5,75.25,70.73,71.32,12700409
8/6/2018,71.16,71.61,70.46,70.57,6394839
8/7/2018,70.57,71.665,69.87,70.23,7887262
8/8/2018,70.07,70.55,69.27,70.01,6922753
8/9/2018,70.02,70.97,69.56,70.5,7571039
8/10/2018,70.1,71.04,69.77,70.61,4629043
8/13/2018,70.61,72.3,70.255,70.52,5721510
8/14/2018,71.05,71.7359,70.18,71.29,4830246
8/15/2018,70.39,70.81,68.445,69.31,8564470
8/16/2018,69.68,69.99,68.91,69.69,9465217
8/17/2018,69.51,69.67,68.33,69.15,5551731
8/20/2018,69.21,69.39,68.22,68.93,4579767
8/21/2018,69.27,70.26,69.04,69.66,6014091
8/22/2018,69.58,71.52,69.5001,71.43,7987928
8/23/2018,71.56,71.895,70.51,71.17,6789524
8/24/2018,71.71,74.16,71.46,74.09,8889484
8/27/2018,74.87,75,73.33,74.09,5913025
8/28/2018,74.25,74.33,73.39,74,4079827
8/29/2018,73.94,75.4,73.8778,74.91,4763296
8/30/2018,74.4,75.77,73.6,74.1,7819114
8/31/2018,71.52,72.45,71.01,72.1,9950688
9/4/2018,72.13,73.04,72.03,72.98,6618224
9/5/2018,72.93,73.18,70.995,71.65,5304465
9/6/2018,71.63,72.43,71.15,71.96,5784985
9/7/2018,71.83,73.71,71.81,73.57,5053733
9/10/2018,73.88,74.73,73.25,74.26,5277212
9/11/2018,74.88,79.54,74.66,79.5,14053589
9/12/2018,79.7,81.49,78.8,80.52,8838102
9/13/2018,80.59,81.4,79.8301,80.43,6031391
9/14/2018,80.5,82.03,80.43,81.27,6022427
9/17/2018,81.49,81.88,78.66,78.88,6304920
9/18/2018,78.82,80.38,78.82,79.63,4943117
9/19/2018,79.93,80.13,78.52,79.58,3882436
9/20/2018,79.91,81.04,79.345,80.65,4388904
9/21/2018,81.33,81.33,80.25,80.29,11180110
9/24/2018,79.7,80.69,79.35,80.6,6092530
9/25/2018,80.915,81.26,79.87,80.53,6031737
9/26/2018,81.11,82.46,81.02,81.57,6408662
9/27/2018,81.94,83.23,81.92,82.87,5867729
9/28/2018,82.76,83.75,82.74,83.19,6724288
10/1/2018,84.18,84.6794,82.31,83.28,6221429
10/2/2018,83.02,83.75,82.2001,83.39,5374828
10/3/2018,83.82,83.925,82.5201,83.02,4570290
10/4/2018,82.5,82.68,79.83,80.36,7509528
10/5/2018,80.25,81,78.66,79.59,5281229
10/8/2018,79.02,79.25,76.33,77.63,6106402
10/9/2018,76.88,78.85,76.62,77.64,4617848
10/10/2018,77.47,77.64,73.43,73.58,9814258
10/11/2018,73.8,75.64,73.2281,73.85,7930512
10/12/2018,78.4,80.25,76.55,77.92,12696778
10/15/2018,75.54,76.7,74.05,75.67,11517493
10/16/2018,76.48,78.98,76.26,78.73,7187430
10/17/2018,77.35,78.53,76.96,78.3,5319111
10/18/2018,73.97,74.58,71.22,71.81,20153423
10/19/2018,72.2,72.76,69.53,69.75,10771813
10/22/2018,70.1,70.95,69.32,69.78,5976672
10/23/2018,67.79,69.39,66.7139,68.98,6850889
10/24/2018,69.13,70.09,67.24,67.25,11245605
10/25/2018,68.02,70.73,67.66,70.32,7176971
10/26/2018,68.25,70.21,67.59,68.84,6536721
10/29/2018,70.34,70.34,63.4,65.22,11058233
10/30/2018,65.69,67.5,65.34,67.48,9243411
10/31/2018,68.67,70.14,68.12,69.05,7562010
11/1/2018,69.48,69.73,67.95,69.32,5083492
11/2/2018,69.95,70.29,68.38,68.99,6102321
11/5/2018,68,68.3,64,64.34,16399233
11/6/2018,64.32,65.9799,63.67,64.25,9428712
11/7/2018,65.26,66.5999,64.985,65.09,12766259
11/8/2018,65.37,65.4,62.35,62.79,14529748
11/9/2018,55,56.92,53.5,55.01,34543375
11/12/2018,55,55.6,53.81,53.89,12803077
11/13/2018,54.2,54.98,52.39,52.55,10335691
11/14/2018,53.19,53.49,51.37,51.6,9099309
11/15/2018,51.41,53.675,51.03,53.56,12304851
11/16/2018,53.06,53.1,50.855,50.94,10695728
11/19/2018,50.81,50.87,48.89,49.14,13062917
11/20/2018,47.77,49.905,46.83,49.26,13801775
11/21/2018,50.04,51.21,49.86,50.85,10184713
11/23/2018,50.46,51,49.72,50.05,5128332
11/26/2018,50.69,51.02,49.99,50.91,9295599
11/27/2018,50.61,50.82,49.8,50.75,7795113
11/28/2018,51.1,51.205,49.98,51.02,8479540
11/29/2018,50.64,52.91,50.6,52.56,9367158
11/30/2018,52.53,52.55,49.26,49.88,14511862
12/3/2018,51,51.44,46.45,46.6,30816390
12/4/2018,46.66,48.4,46.34,46.52,22495670
12/6/2018,46.25,48.31,45.5,48.15,18516888
12/7/2018,47.87,48.7699,47.2,47.23,18277425
12/10/2018,47.23,48.37,46.67,47.88,10970403
12/11/2018,48.57,48.86,47.72,48.2,12474126
12/12/2018,49.05,50.22,48.42,48.45,11453591
12/13/2018,48.75,49.26,47.721,48.51,7755190
12/14/2018,47.47,48.45,46.97,47.75,7161356
12/17/2018,47.6,48.42,46.64,47.08,10064952
12/18/2018,47.75,47.85,46.78,47.32,8776092
12/19/2018,47.33,48.12,45.855,46.33,8363273
12/20/2018,46.18,47.7301,45.9301,47.05,9849358
