Date,Open,High,Low,Close,Volume
4/19/2018,316.35,322.89,314.01,315.55,1113489
4/20/2018,314.81,318.7,310.17,310.94,915834
4/23/2018,312,315.04,309.16,309.97,819451
4/24/2018,312.53,313.76,299.72,301.28,1053893
4/25/2018,300,301.6,295.34,300.35,2091810
4/26/2018,301.84,305.38,296.18,298.15,1512329
4/27/2018,275.14,279.064,250.1,263.325,15522707
4/30/2018,264.09,273.445,264.09,271.29,6432656
5/1/2018,270.58,281.33,267.33,279.4,3597659
5/2/2018,278,279.1,272.01,274.78,2141811
5/3/2018,273.64,273.82,264.75,271.36,2198985
5/4/2018,269.1,279.18,267.581,276.07,1241918
5/7/2018,276.24,280.16,273.92,278.1,1146793
5/8/2018,277,277.87,269.11,271.01,1636805
5/9/2018,272.46,273.19,269.93,270.13,1560933
5/10/2018,271.25,275.64,269.97,272.83,1984428
5/11/2018,273.51,274.56,269.3,272.81,1825664
5/14/2018,272.4,277.89,270.37,272.84,1808933
5/15/2018,272.33,274.33,266.86,270.31,1775011
5/16/2018,270.8,274.29,266.74,272.33,1861480
5/17/2018,271.97,273.16,267.83,268.17,1301719
5/18/2018,267.69,270.59,266.725,270.17,1643005
5/21/2018,270,270,265.24,266.55,2065579
5/22/2018,267.62,268.81,267.02,267.66,1315960
5/23/2018,265.47,275.045,265.22,274.09,1419049
5/24/2018,274.09,274.09,267.95,268.43,1291601
5/25/2018,268.52,271.42,267.895,270.2,769459
5/29/2018,268,271.03,264.83,266.36,1181640
5/30/2018,267.14,268.74,262.16,266.94,1352313
5/31/2018,264.73,267.06,259.4774,261.04,3132349
6/1/2018,261.7,266.45,260,261.87,1691411
6/4/2018,262.1,268.89,260.39,267.98,1471834
6/5/2018,267.66,270.72,265.16,265.95,1178895
6/6/2018,266.12,278.2,266,275.09,1645149
6/7/2018,274.35,279.54,270.8707,278.19,1840886
6/8/2018,277.4,279.46,274.15,277.26,2903033
6/11/2018,276.57,284.1,275.9825,283.06,2031659
6/12/2018,283.1,293.5,283.1,290.98,3617019
6/13/2018,295,295.58,283.22,285.02,2581659
6/14/2018,285.05,297.25,283.68,295.61,2379402
6/15/2018,295.63,298.7194,292.3799,297.2,2414215
6/18/2018,290.79,297.09,290.79,295.25,2393868
6/19/2018,289.19,295,286.3115,292.99,1344929
6/20/2018,296.76,298.505,288.55,290.34,1560692
6/21/2018,295.85,296.73,291.01,291.86,844879
6/22/2018,292.39,302.43,292.39,299.3,1462661
6/25/2018,296.7,301.24,293.85,295.53,1663730
6/26/2018,295.7,300.18,292.33,299.3,1028120
6/27/2018,299.62,301,295.73,296.04,957025
6/28/2018,297.17,298.8,292.34,295.05,991716
6/29/2018,290.34,299.07,286.83,293.21,1398105
7/2/2018,292.13,294.94,290.26,293.91,909626
7/3/2018,296.19,300.08,294.4,299.51,664336
7/5/2018,300.15,302.04,293.44,296.18,1084959
7/6/2018,297.43,305.15,296.79,304.43,1119331
7/9/2018,305.83,310.57,304.655,308.22,900052
7/10/2018,309.41,309.41,302.67,305.71,1102606
7/11/2018,303.55,307.71,300.76,301.37,819906
7/12/2018,301.61,306.34,299.12,305.02,797817
7/13/2018,305.09,305.955,302.3,304.84,669788
7/16/2018,305.65,307.0599,301.86,304.19,710087
7/17/2018,301.26,304.77,300.4,302.03,616569
7/18/2018,301.37,303.17,298.21,299.6,2007749
7/19/2018,299.98,299.98,290.91,291.14,1436839
7/20/2018,291.46,291.56,286.82,288.84,1094930
7/23/2018,288.83,288.83,285.09,287.82,967856
7/24/2018,288.01,288.88,281.99,282.32,1207766
7/25/2018,281.61,283.14,271.56,274.65,1760156
7/26/2018,280.06,288.99,276.59,286.91,1962087
7/27/2018,286.39,291.01,280.59,286.29,1350588
7/30/2018,284.61,294.28,283.51,293.9,1083800
7/31/2018,307.13,314.88,302.2,304.58,2533633
8/1/2018,304.99,305.29,300.39,301.43,1042347
8/2/2018,297.42,299.64,293.97,294.2,1064208
8/3/2018,293.94,305,293.74,303.66,1199095
8/6/2018,303.91,304.8,299.84,300,856443
8/7/2018,294,299.86,293.57,297.03,2290701
8/8/2018,297.86,298.93,296.24,298.2,1101764
8/9/2018,299.32,307.53,298.97,305.17,1452914
8/10/2018,302.86,304.95,302.06,302.45,1749952
8/13/2018,303.54,304.63,299.72,302.06,1326629
8/14/2018,303.67,308.69,301.24,307.86,1694818
8/15/2018,305.44,305.9295,294.78,295.75,2386129
8/16/2018,296.66,303.95,296.54,302,1407984
8/17/2018,302.32,303.73,298.93,299.64,1094461
8/20/2018,300.63,300.79,294.84,295,1695485
8/21/2018,295,307.683,295,305.08,2454476
8/22/2018,302.27,306.125,297.58,300.28,1802323
8/23/2018,299.14,299.16,292.71,293.39,2008988
8/24/2018,294.03,301.84,292.93,300.67,1172522
8/27/2018,302.55,305.87,300.73,304.34,1212168
8/28/2018,305.49,310.04,303.85,305.03,1265034
8/29/2018,305.46,310.29,303.87,309.15,1081854
8/30/2018,308.25,309.43,306.205,309.06,1312287
8/31/2018,309.18,313.11,307.5,310.4,1256058
9/4/2018,309.82,316.6695,306.87,312.99,1980653
9/5/2018,312.33,314.64,305.93,306.81,1465979
9/6/2018,306.15,310.58,303.45,305.19,888121
9/7/2018,303.36,308.51,303.09,305.19,1557358
9/10/2018,307.5,310.52,306.38,310.27,1257641
9/11/2018,310.83,314.7,309.54,312.84,1346166
9/12/2018,311.46,313.05,304.77,312.5,2646842
9/13/2018,315.34,324.89,314.8,319.21,1566150
9/14/2018,320,320.25,316.11,318.13,705379
9/17/2018,318.99,321.435,316.3,319.47,1232127
9/18/2018,319.61,330.46,319.17,328.79,1950044
9/19/2018,328.59,331.97,328.59,329.79,1809712
9/20/2018,331.85,332.707,329.375,329.99,1054862
9/21/2018,331.16,334.98,329.49,332.59,3811870
9/24/2018,330.84,332.43,325.88,327.04,1616433
9/25/2018,326.38,327.87,323,323.37,1613740
9/26/2018,324.26,326.98,320.85,321.67,1234783
9/27/2018,321.7,328.7825,320.38,325.07,780207
9/28/2018,324.09,327.26,321.3944,325.88,1037035
10/1/2018,327.66,327.99,319.45,321.59,1506551
10/2/2018,321,326.96,319.59,326.89,1277250
10/3/2018,328.53,329.14,323.06,325.29,1716177
10/4/2018,324.09,326.32,321.11,324.68,1714327
10/5/2018,325.94,326.16,313.315,316.04,1585791
10/8/2018,314.78,321.19,314.61,320.24,1231273
10/9/2018,320.7,325.89,317.1,322.64,760467
10/10/2018,322.55,324.38,309.32,310.13,1416309
10/11/2018,310.24,311.89,298.66,301.92,1955425
10/12/2018,305.34,310.38,303.4,308.74,1664587
10/15/2018,309.68,317.5068,308.59,313.89,1351528
10/16/2018,316.07,322.84,314.2708,321.04,1191556
10/17/2018,320.96,321.51,315,319.83,1115428
10/18/2018,320.1,320.465,314.04,318.1,1732335
10/19/2018,319.1,324.56,316.47,321.34,1110173
10/22/2018,322.77,325,318.26,319.61,884993
10/23/2018,315.67,319.8,311.99,317.89,1070649
10/24/2018,318.12,321.69,305.18,306.05,1331975
10/25/2018,312.23,318.25,305.4337,314.81,1820381
10/26/2018,297,302.55,284.35,295.01,4569671
10/29/2018,299.13,310.3795,296.05,300.85,1933270
10/30/2018,302.36,316.94,301.85,316.22,1524478
10/31/2018,318.36,325.87,317.24,320.37,1973733
11/1/2018,319.78,330.45,317,324.58,1440941
11/2/2018,325.93,329.5677,309.52,317.87,1374921
11/5/2018,319.48,325.97,318.34,323.35,787121
11/6/2018,325.29,326.98,317.81,320.67,835703
11/7/2018,324.56,329.87,322.57,328.36,886469
11/8/2018,326.19,329.91,322.32,324.65,1075277
11/9/2018,322.99,327.68,316.625,321.11,756836
11/12/2018,320.36,326.33,319.76,323.35,866507
11/13/2018,323.48,330.97,323.48,324.56,835337
11/14/2018,326.32,329.05,320.19,320.8,948905
11/15/2018,319.27,321.04,309.955,318.48,1178554
11/16/2018,317.28,330.57,317.14,328.54,1225481
11/19/2018,329.46,331.17,321.57,323.6,1488081
11/20/2018,319.99,322.13,303.65,305.01,2836236
11/21/2018,305.35,311.42,304.78,305.54,1096455
11/23/2018,302.93,311.7,302.455,309.43,671423
11/26/2018,313.54,314.13,308.78,313.23,1239972
11/27/2018,312.28,320.17,311.51,317.64,690630
11/28/2018,317.77,329.09,316,328.68,1239527
11/29/2018,325.54,334.76,325.54,330.33,1084705
11/30/2018,331.28,333.24,324.95,329.2,1784517
12/3/2018,331.71,334.31,323.53,326.7,1159403
12/4/2018,326.96,330.86,318.33,321.84,1391808
12/6/2018,318.58,326.97,313.8286,326.78,1311903
12/7/2018,323.91,326.94,312.325,315.7,1164431
12/10/2018,316.34,316.91,308.84,315.64,1002063
12/11/2018,319.57,321.022,310.07,312.54,947378
12/12/2018,317.7,323.68,315.835,316.78,958771
12/13/2018,318.64,321.1799,308.25,311.48,1063071
12/14/2018,308.55,313.9,307.5105,309.42,959303
12/17/2018,310,311.96,307.12,309.28,1829147
12/18/2018,311.87,313.41,302.615,305.93,1911832
12/19/2018,305.31,311.03,296.725,297.6,1937169
12/20/2018,296.38,298.92,289.71,290.45,2488240
12/21/2018,287.98,296.44,282.73,283.93,3593068
12/24/2018,283.69,284.98,273.31,273.52,1009027
12/26/2018,275.34,285.85,272.91,285.7,1359798
12/27/2018,281.78,284.75,274.08,284.73,1242461
12/28/2018,287.7,290.52,274.71,285.08,1035383
12/31/2018,286.73,287.94,280.75,284.97,1075271
1/2/2019,279.89,289.52,279.11,287.99,1296323
1/3/2019,284.62,294,284.62,287.5,1176284
1/4/2019,291.11,305.12,288.62,302.74,2336619
1/7/2019,301.13,304.11,299.2631,301.47,1308442
1/8/2019,300.405,305.724,300.12,300.71,1051098
1/9/2019,301.93,301.94,295.5,297.64,1241430
1/10/2019,295.47,297.095,291.01,292.67,1701119
1/11/2019,291.02,295.03,290.83,294.54,906820
1/14/2019,292.99,298.2,290.76,291.56,1219517
1/15/2019,291.67,294.12,290.5,294,1152353
1/16/2019,293.19,295.825,290.94,293.81,1005343
1/17/2019,292.32,295.6,290.76,294.41,841437
1/18/2019,297.24,297.24,289.57,291.4,1617632
1/22/2019,288.66,290.92,283.015,284.97,2404135
1/23/2019,287.36,291.35,279.33,284.53,1593501
1/24/2019,281.07,288,281.07,287.58,1439371
1/25/2019,290,291.61,286.8,291.41,1323218
