Date,Open,High,Low,Close,Volume
4/19/2018,33.26,33.76,33.07,33.48,21006821
4/20/2018,33.55,33.795,33.095,33.21,25272534
4/23/2018,33.24,33.92,33.17,33.87,20953213
4/24/2018,34.09,34.294,33.19,33.35,28917299
4/25/2018,33.18,34.78,33.05,34.26,39731560
4/26/2018,34.31,34.48,33.02,33.33,32554670
4/27/2018,33.07,33.11,31.8,31.81,51653794
4/30/2018,31.91,32.24,31.335,31.39,38337641
5/1/2018,31.38,32.105,31.21,32.06,25114975
5/2/2018,31.99,32,31.18,31.3,19864099
5/3/2018,31.15,31.26,30.55,31.01,21774332
5/4/2018,30.99,32.05,30.96,31.96,20749963
5/7/2018,32.03,32.41,31.82,32.39,18655619
5/8/2018,31.55,32.02,30.52,30.59,52988665
5/9/2018,30.57,30.97,30.43,30.73,22805218
5/10/2018,30.74,31.64,30.7,31.56,24505664
5/11/2018,31.54,31.95,31.51,31.9,14674155
5/14/2018,31.89,32.25,31.805,32.14,19657782
5/15/2018,31.98,32.035,31.73,32.01,23990293
5/16/2018,32.13,32.68,32.04,32.55,19169804
5/17/2018,32.66,32.8401,32.38,32.41,23067259
5/18/2018,32.45,32.7552,32.2687,32.72,18067063
5/21/2018,32.77,32.89,32.2,32.34,18368432
5/22/2018,32.41,32.71,32.31,32.51,13577027
5/23/2018,31.85,32.245,31.8,31.88,27868152
5/24/2018,31.765,32.05,31.28,31.63,24034702
5/25/2018,31.59,32.01,31.58,31.75,13190257
5/29/2018,31.55,31.89,31.375,31.51,19084283
5/30/2018,31.68,31.7,31.32,31.48,17408696
5/31/2018,31.55,31.57,30.67,31.18,35461973
6/1/2018,31.34,31.4452,31.12,31.26,18234080
6/4/2018,31.3,31.51,31.1549,31.29,19434363
6/5/2018,31.26,31.32,31.04,31.08,22919941
6/6/2018,31.13,32.495,30.96,32.27,33711540
6/7/2018,32.42,32.66,31.95,32,26415045
6/8/2018,31.98,32.19,31.84,32.08,21774954
6/11/2018,31.97,32.44,31.88,32,25960564
6/12/2018,31.94,32.615,31.83,32.38,32994344
