Date,Open,High,Low,Close,Volume
4/19/2018,101,101.5799,100.22,100.89,6803405
4/20/2018,101.18,101.4,99.905,100.24,6396903
4/23/2018,100.55,100.72,99.53,100.15,5889804
4/24/2018,100.58,100.85,98.86,99.46,6567697
4/25/2018,99.5,101.49,99.05,101.15,8977748
4/26/2018,101.23,101.38,99.74,99.84,8038439
4/27/2018,99.78,99.99,98.94,99.23,8037978
4/30/2018,100.41,101.3736,100.12,100.33,8558854
5/1/2018,100.18,100.7,98.93,100.06,6716152
5/2/2018,100.17,100.7213,99.25,99.62,9286374
5/3/2018,99.11,99.25,97.68,98.76,10450776
5/4/2018,98.71,101.35,98.58,101.15,9980116
5/7/2018,102.35,102.68,101.72,102.48,10181123
5/8/2018,101.2,102.64,100.84,101.79,14229528
5/9/2018,102.25,102.27,99.3,99.97,18345683
5/10/2018,100.43,102.0683,100.3,101.68,8927290
5/11/2018,101.89,102.21,101.26,102.07,7035978
5/14/2018,102.44,103.49,101.98,102.44,9891859
5/15/2018,102.44,103.315,102.101,102.92,5762317
5/16/2018,103.25,105.04,103.15,105.04,8111594
5/17/2018,105.23,105.48,104.091,104.34,7320587
5/18/2018,104.34,104.79,103.56,103.93,5427333
5/21/2018,104.22,104.6799,103.61,104.06,5848704
5/22/2018,104.4,105.49,103.99,104.07,6971590
5/23/2018,103.2,103.34,102.07,102.89,8046577
5/24/2018,102.81,102.86,101.21,102.11,7474093
5/25/2018,102.25,103,101.97,102.2,6982728
5/29/2018,100.55,101.65,99.38,99.69,11290381
5/30/2018,100.5,100.55,99.42,99.98,7216355
5/31/2018,99.76,100.1368,98.809,99.47,9620045
6/1/2018,99.69,100.05,99.2,99.36,6847726
6/4/2018,99.76,100.5,99.7,100.24,6597970
6/5/2018,100.36,100.51,99.78,99.94,5974427
6/6/2018,100.06,101.94,99.76,101.91,7832969
6/7/2018,101.91,102.96,101.81,102.47,7559222
6/8/2018,102.09,103.99,101.8282,103.98,7090310
6/11/2018,103.93,104.79,103.75,104.35,8174996
6/12/2018,104.73,105.22,103.9639,104.33,9215266
6/13/2018,103.2,107.88,102.67,106.31,22009406
6/14/2018,106.45,109.49,106.45,108.75,18068650
6/15/2018,108.17,109.42,107.85,108.85,16169231
6/18/2018,107,107.475,106.5,107.06,9288554
6/19/2018,105.87,106.99,105.76,106.1,8869452
6/20/2018,107,107.9,105.8101,107.15,18625882
6/21/2018,107.01,107.25,105.791,105.89,7707762
6/22/2018,106.07,106.8,105.81,106.34,9285729
6/25/2018,106,106.08,103.74,104.45,7995781
6/26/2018,104.46,104.71,103.91,104.26,6549998
6/27/2018,104.5,105.88,103.4801,103.96,8803302
6/28/2018,103.91,105.1198,103.6753,104.77,6304015
6/29/2018,104.93,105.68,104.65,104.81,6774510
7/2/2018,104.15,105.37,103.9,105.33,5489341
