Date,Open,High,Low,Close,Volume
4/19/2018,23.62,23.73,23.26,23.38,3914933
4/20/2018,23.53,23.72,22.96,23.16,5190073
4/23/2018,23.19,23.89,23.07,23.77,5198007
4/24/2018,24.48,24.75,23.82,23.94,5833373
4/25/2018,23.91,24.23,23.6472,24.1,4580310
4/26/2018,24.1,24.235,23.87,24.15,4454292
4/27/2018,24.2,24.25,23.77,23.95,5760254
4/30/2018,24,24.02,23.63,23.65,3933884
5/1/2018,23.88,24.19,23.68,24.01,4864953
5/2/2018,23.93,24.3,23.58,23.58,7725104
5/3/2018,23.74,23.74,22.61,22.87,9229892
5/4/2018,22.78,23.43,22.78,23.16,7838071
5/7/2018,23.28,23.41,23.08,23.39,5459663
5/8/2018,23.81,24.8,22.83,23.05,10834917
5/9/2018,23.04,23.205,22.26,22.28,8226545
5/10/2018,22.36,23.84,22.2,23.82,7515656
5/11/2018,23.84,24.22,23.59,24.03,6370102
5/14/2018,24,24.029,23.46,23.83,6634433
5/15/2018,23.7,23.83,22.83,22.96,5618242
5/16/2018,23.02,23.9001,22.68,23.69,7616844
5/17/2018,23.69,23.69,22.795,23.02,7260411
5/18/2018,22.88,23,22.4,22.57,5861111
5/21/2018,22.7,22.89,22.525,22.63,3717147
5/22/2018,22.71,23.355,22.52,23.16,4489237
5/23/2018,23.11,23.18,22.3,22.57,3726167
5/24/2018,22.56,22.61,22.12,22.48,3541272
5/25/2018,22.44,22.54,22.235,22.34,2153441
5/29/2018,22.24,22.26,21.68,21.9,3358327
5/30/2018,22.04,22.04,21.39,21.4,5103245
5/31/2018,21.41,21.42,20.595,21.09,7977009
6/1/2018,21.18,21.259,20.744,20.95,6303553
6/4/2018,21.27,21.5,20.69,21.09,6746410
6/5/2018,21.52,22.25,21.45,21.74,6744598
6/6/2018,21.69,22.415,21.23,22.36,6774512
6/7/2018,22.27,22.87,22.19,22.77,5757685
6/8/2018,22.65,23.12,22.65,23.02,5564430
6/11/2018,23.01,24.37,22.961,23.89,6169924
6/12/2018,23.91,24.09,23.661,24.02,5840958
6/13/2018,24.88,25.29,24.39,24.41,10595857
6/14/2018,24.68,25.51,24.61,25.5,5015140
6/15/2018,25.78,27.25,25.5201,27.17,12567087
6/18/2018,26.69,27.32,26.18,27.21,7720021
6/19/2018,27.01,27.605,26.79,27.55,6021449
6/20/2018,27.6,28.43,27.395,28.21,7444348
6/21/2018,28.29,28.29,27.59,27.94,6058241
6/22/2018,28.19,28.56,27.985,28.12,5448730
6/25/2018,27.98,28.44,27.68,28.1,5863314
6/26/2018,28.04,28.1,27.56,27.94,6799675
6/27/2018,28.1,28.61,27.9012,28.19,4710745
6/28/2018,28.18,28.78,28.02,28.48,3670865
6/29/2018,28.56,28.56,27.49,27.5,4087998
7/2/2018,27.48,27.63,27.08,27.42,3969436
7/3/2018,27.6,27.68,27.19,27.36,1896828
7/5/2018,27.43,27.72,27.07,27.64,3882721
7/6/2018,27.61,28.16,27.41,27.87,2739456
7/9/2018,27.9,28.32,27.55,28.3,2781621
7/10/2018,28.21,28.47,27.7,28.4,3141563
7/11/2018,28.23,28.51,27.62,27.67,4688727
7/12/2018,27.77,28.03,27.51,27.56,2346285
7/13/2018,27.5,27.77,27.235,27.44,2833721
7/16/2018,27.51,27.72,27.11,27.35,2569122
7/17/2018,27.14,27.34,25.99,26.38,4731336
