Date,Open,High,Low,Close,Volume
4/19/2018,21.73,21.99,21.51,21.63,2197299
4/20/2018,21.74,21.96,21.225,21.46,3521922
4/23/2018,21.48,22.255,21.24,22.14,4784618
4/24/2018,22.51,22.95,22.235,22.35,4195039
4/25/2018,22.31,22.63,21.78,22.56,3971520
4/26/2018,22.59,22.71,22.33,22.64,5188932
4/27/2018,22.69,22.77,22.22,22.5,11457558
4/30/2018,22.62,22.62,22.18,22.22,4275030
5/1/2018,22.58,22.65,22.1985,22.55,3360893
5/2/2018,22.48,22.85,22.26,22.28,4781992
5/3/2018,22.23,22.35,21.35,21.63,6047858
5/4/2018,21.54,22.16,21.54,21.88,3613756
5/7/2018,21.97,22.145,21.82,22.13,3050555
5/8/2018,22.67,23.36,21.54,21.83,5383304
5/9/2018,21.81,22.08,21.1,21.11,4919988
5/10/2018,21.21,22.59,21.05,22.57,4916240
5/11/2018,22.61,22.99,22.37,22.84,4939761
5/14/2018,22.81,22.81,22.23,22.51,7006157
5/15/2018,22.5,22.55,21.545,21.7,4030290
5/16/2018,21.69,22.61,21.47,22.45,5125652
5/17/2018,22.37,22.37,21.59,21.82,3829721
5/18/2018,21.75,21.77,21.21,21.42,3283431
5/21/2018,21.6,21.74,21.37,21.44,3629013
5/22/2018,21.46,22.155,21.35,22,2585387
5/23/2018,21.92,21.97,21.08,21.34,2887115
5/24/2018,21.29,21.4,20.875,21.24,2857922
5/25/2018,21.23,21.24,20.83,20.95,2258077
5/29/2018,20.77,20.87,20.25,20.41,4484496
5/30/2018,20.54,20.54,19.925,19.94,4931027
5/31/2018,20.08,20.08,19.245,19.77,6264614
6/1/2018,19.82,19.92,19.48,19.85,4165988
6/4/2018,19.99,20.32,19.59,19.97,3637427
6/5/2018,20.2,21.1085,20.2,20.65,5073301
6/6/2018,20.63,21.22,20.16,21.17,2541921
6/7/2018,21.18,21.54,21.02,21.47,3494675
6/8/2018,21.46,21.82,21.41,21.8,3140886
6/11/2018,21.75,22.98,21.75,22.63,5204254
6/12/2018,22.68,22.83,22.39,22.82,4204598
6/13/2018,23.45,23.95,23.11,23.14,4933160
6/14/2018,23.34,24.18,23.34,24.15,4859734
6/15/2018,24.315,25.41,24.2,25.31,8791303
6/18/2018,25.05,25.48,24.45,25.34,4286627
6/19/2018,25.02,25.76,24.97,25.68,4689385
6/20/2018,25.78,26.47,25.6,26.18,4686027
6/21/2018,26.18,26.27,25.65,25.94,2959520
6/22/2018,26.11,26.64,25.96,26.25,7441055
6/25/2018,26.2,26.56,25.84,26.1,2684519
6/26/2018,26.11,26.14,25.52,25.85,4579659
6/27/2018,25.97,26.52,25.82,26.08,2805198
6/28/2018,26.06,26.63,25.93,26.3,2511629
6/29/2018,26.3,26.46,25.49,25.5,2546819
7/2/2018,25.48,25.6,25.06,25.58,3040008
7/3/2018,25.6,25.77,25.28,25.34,1087440
7/5/2018,25.41,25.625,25.07,25.57,1940721
7/6/2018,25.62,26.02,25.4,25.76,1768672
7/9/2018,25.75,26.2,25.48,26.14,1828494
7/10/2018,26.1,26.305,25.58,26.22,1645296
7/11/2018,26.16,26.35,25.59,25.61,1699287
7/12/2018,25.76,25.93,25.47,25.52,1858443
7/13/2018,25.52,25.79,25.325,25.51,1317579
7/16/2018,25.6,25.71,25.13,25.35,1230012
7/17/2018,25.18,25.38,24.22,24.6,2290192
7/18/2018,24.77,25,24.56,24.77,1309035
7/19/2018,24.98,25.32,24.64,24.7,1970895
7/20/2018,24.57,24.72,24.34,24.59,1167293
7/23/2018,24.5,24.72,24.45,24.6,1402924
7/24/2018,24.7,24.85,23.99,24.13,2052477
7/25/2018,24.06,24.41,23.84,24.06,1629506
7/26/2018,24.17,24.89,24.06,24.44,1497254
7/27/2018,24.43,24.64,23.95,24.26,1667250
7/30/2018,24.29,24.67,24.15,24.3,1613276
7/31/2018,24.46,24.66,24.105,24.55,1921872
8/1/2018,24.42,24.59,23.92,24.2,1414998
8/2/2018,24.16,24.49,24,24.44,1127551
8/3/2018,24.43,25.03,24.37,24.94,1015651
8/6/2018,24.89,25.11,24.66,24.81,1610711
8/7/2018,23.54,24.13,22.8702,23.8,3496980
8/8/2018,23.79,24.34,23.56,23.96,2339837
8/9/2018,23.9,24.7,23.8,24.31,1042925
8/10/2018,24.17,24.27,23.81,24.17,1029893
8/13/2018,24.17,24.5,23.94,24.13,1164885
8/14/2018,24.21,24.73,24.21,24.56,1569430
