Date,Open,High,Low,Close,Volume
4/19/2018,39.03,39.5,38.445,38.52,1679944
4/20/2018,38.46,38.77,37.16,37.23,2607085
4/23/2018,37.24,37.49,36.92,37.28,2207360
4/24/2018,37.39,37.63,36.56,36.78,2015271
4/25/2018,36.82,37.21,36.45,36.86,1486832
4/26/2018,37.02,37.45,36.54,36.81,1847515
4/27/2018,36.76,36.8,34.66,34.74,3750720
4/30/2018,34.92,35.42,33.37,33.55,4268224
5/1/2018,33.24,33.85,32.87,33.43,3093194
5/2/2018,33.43,33.73,33.08,33.33,2510210
5/3/2018,33.1,33.26,32.04,33.09,3076941
5/4/2018,32.79,33.7099,32.54,33.39,2833666
5/7/2018,33.48,33.98,33.24,33.9,3287895
5/8/2018,33.6,34.74,29.78,29.81,8008818
5/9/2018,29.93,31.75,28.93,31.12,6016835
5/10/2018,31.34,31.86,30.95,31.78,2711738
5/11/2018,31.82,32.03,30.77,31.38,3538231
5/14/2018,31.28,31.945,31.13,31.83,2930040
5/15/2018,31.77,32,31.46,31.99,2756725
5/16/2018,31.96,33.29,31.96,32.98,4213903
5/17/2018,32.98,33.22,32.43,32.65,2334571
5/18/2018,32.59,32.85,32.18,32.35,2237466
5/21/2018,32.65,32.65,31.77,31.84,1732674
5/22/2018,31.94,32.375,31.87,31.97,1785749
5/23/2018,31.7,31.75,30.85,30.98,2570202
5/24/2018,30.98,31.07,30.15,30.49,3626445
5/25/2018,30.46,30.99,30.42,30.71,1892931
5/29/2018,30.51,30.78,29.98,30.26,2364643
5/30/2018,30.4,30.41,29.54,29.93,3227795
5/31/2018,29.98,30,28.795,29.55,4674632
6/1/2018,29.75,29.81,28.82,29.08,2958580
6/4/2018,29.2,29.74,29.02,29.03,3290978
6/5/2018,29.99,30.42,29.38,29.41,3121735
6/6/2018,29.36,31.71,29.35,31.12,4404774
6/7/2018,31.18,32.71,31.16,32,5146411
6/8/2018,32,32.59,31.79,32.08,3000902
6/11/2018,32.09,32.6025,31.94,32.12,2993238
6/12/2018,32.05,32.5,31.91,32.38,2702030
6/13/2018,33,33.555,32.54,32.86,4825184
6/14/2018,33.5,34.34,33.12,34.08,4716653
6/15/2018,34,34.664,33.71,34.61,5672920
6/18/2018,34.27,34.75,33.96,34.45,3657237
6/19/2018,34.1,34.6,33.95,34.01,2736568
6/20/2018,34.18,34.9,33.97,34.81,2560658
6/21/2018,34.05,34.5,33.63,33.75,3458927
6/22/2018,33.93,35.07,33.75,34.91,8436859
6/25/2018,34.71,34.98,33.83,34.15,3804850
6/26/2018,33.87,34.24,33.2221,34.09,1990477
6/27/2018,34.02,34.44,33.6,33.62,1919437
6/28/2018,33.56,33.73,32.74,33.6,2656609
6/29/2018,33.76,34.04,33.6,33.61,2194120
7/2/2018,33.51,33.59,32.6,33.03,2955103
7/3/2018,33.32,33.49,32.96,33.21,1165934
7/5/2018,33.24,33.595,32.95,33.55,1772362
7/6/2018,33.7,35.2,33.54,34.99,2909678
7/9/2018,35.12,35.8,34.8937,35.71,3271317
7/10/2018,35.71,35.79,34.53,34.93,2157851
7/11/2018,34.52,34.74,33.34,33.51,4321838
7/12/2018,33.45,33.8865,32.85,33.38,3412715
7/13/2018,33.38,33.77,33.24,33.59,2120636
7/16/2018,33.55,33.99,32.66,32.76,2989398
7/17/2018,32.23,32.26,31.43,31.78,4489947
7/18/2018,31.72,31.85,31.15,31.2,2756943
7/19/2018,31.38,31.78,30.73,31.2,2980920
7/20/2018,31.12,31.15,30.38,30.91,7267501
7/23/2018,31,31.25,30.52,30.56,2744416
7/24/2018,30.65,30.845,30.15,30.3,2846245
7/25/2018,30.31,30.48,29.2,29.77,2913792
7/26/2018,29.98,30.665,29.77,30.3,2541091
7/27/2018,30.33,30.84,29.95,30.15,2674897
7/30/2018,30.35,31.07,30.26,30.63,2316834
7/31/2018,30.72,31.63,30.66,31.56,2986726
8/1/2018,31.36,31.41,30.29,30.49,3099256
8/2/2018,30.53,30.53,29.8,29.86,3712712
8/3/2018,31.3,34.31,30.99,34.2,8961245
8/6/2018,34.28,36.9,34.28,36.2,7596790
8/7/2018,36.22,36.85,35.6976,36.71,5435678
8/8/2018,36.49,36.83,35.2,35.85,4095415
8/9/2018,35.98,36.84,35.93,36.59,2991738
8/10/2018,36.3,36.4,34.88,35.17,3093711
8/13/2018,34.3,35.21,33.88,34.99,2697988
8/14/2018,35.06,35.8,35.03,35.64,2584071
8/15/2018,35.35,35.59,34.72,35.17,2771613
8/16/2018,35.3,35.65,35.13,35.27,2190659
8/17/2018,35.32,35.39,34.52,35.13,2874115
8/20/2018,35.26,35.34,34.49,35.04,3099479
8/21/2018,34.96,35.94,34.96,35.56,2336538
8/22/2018,35.63,35.63,34.68,35.13,1993738
8/23/2018,35.14,35.3997,34.74,35.04,2162583
8/24/2018,35.19,35.71,35.15,35.45,1967163
8/27/2018,35.47,36,35.46,35.75,1503912
8/28/2018,35.92,36.77,35.84,36.33,2780313
8/29/2018,36.33,36.46,35.21,36.13,2886443
8/30/2018,35.97,35.97,35.22,35.45,1581037
8/31/2018,35.52,35.58,34.985,35.35,2267925
9/4/2018,35.23,35.31,34.5,35.05,2537365
9/5/2018,34.92,35.35,34.385,34.55,3482501
9/6/2018,34.52,35.21,34.09,34.52,4874536
9/7/2018,34.54,35.72,34.4,35.29,2101934
9/10/2018,35.43,35.72,34.71,34.87,2016941
9/11/2018,34.65,35.08,34.03,34.94,3198252
9/12/2018,34.85,35.39,34.45,35.3,1532599
9/13/2018,35.58,36.58,35.46,36.51,2517429
9/14/2018,36.62,36.79,36.12,36.38,3218370
9/17/2018,36.5,37.14,36.17,36.56,3060452
9/18/2018,36.48,37.23,36.47,37.08,2637289
9/19/2018,37.13,37.465,36.685,36.77,1851164
9/20/2018,37.06,37.125,36.1,36.62,2314942
9/21/2018,36.7,36.915,36.27,36.51,4193175
9/24/2018,36.54,36.62,35.02,35.42,3557109
9/25/2018,35.43,35.9,34.97,35.57,3586450
9/26/2018,35.66,36.19,35.48,35.59,1542172
9/27/2018,35.62,35.99,35.1,35.48,1627509
9/28/2018,35.44,36.04,35.06,35.76,2317701
10/1/2018,35.84,36.07,35.19,35.42,2335932
10/2/2018,35.38,36.39,35.19,36.21,3781469
10/3/2018,36.45,36.57,35.95,36.15,2103956
10/4/2018,36.02,36.49,35.9,36.23,2168883
10/5/2018,36.38,36.38,34.24,34.3,3583711
10/8/2018,34.08,34.56,33.755,34.49,3591190
10/9/2018,34.46,34.765,33.85,34.17,2013886
10/10/2018,34.32,34.6,33.03,33.05,3170555
10/11/2018,33.06,33.13,31.84,31.87,3616644
10/12/2018,32.43,33.03,31.915,32.92,3546605
10/15/2018,32.99,34.0636,32.91,33.68,3250054
10/16/2018,34.02,34.38,33.75,34.15,2595203
10/17/2018,33.96,35.03,33.9,34.44,2256431
10/18/2018,34.42,34.78,33.96,34.4,2586900
10/19/2018,34.4,35.4,34.305,34.91,3132233
10/22/2018,34.96,35.41,34.64,34.66,2575823
10/23/2018,33.03,33.55,31.05,31.77,5808283
10/24/2018,32.03,32.71,29.92,30.07,4684513
10/25/2018,30.52,31.1097,30.15,30.25,3386811
10/26/2018,29.53,29.935,28.13,28.26,6538998
10/29/2018,29.01,29.27,27.54,28.03,5007387
10/30/2018,28.01,29.67,27.89,29.45,3665044
10/31/2018,29.69,30.85,29.54,30.74,4927638
11/1/2018,30.77,31.9,30.45,31.68,2921320
11/2/2018,31.78,32.01,30.47,30.93,2447760
11/5/2018,31.09,31.4,30.55,30.97,2859937
11/6/2018,30.86,31.75,30.86,31.49,3344162
11/7/2018,31,33.99,30.29,32.12,5525401
11/8/2018,31.88,32.44,31.1,32.16,2392793
11/9/2018,32.21,32.44,31.06,31.73,1994424
11/12/2018,31.77,32.22,31.56,31.65,1792460
11/13/2018,31.8,32.64,31.76,31.95,3317640
11/14/2018,32.33,32.66,31.64,32.1,4288519
11/15/2018,31.99,33.22,31.66,33.12,3532196
11/16/2018,32.82,33.43,32.55,32.85,2886794
11/19/2018,32.93,33.08,31.37,31.5,3269001
11/20/2018,31.1,31.31,29.93,30.03,3134447
