Date,Open,High,Low,Close,Volume
4/19/2018,124.09,125.83,122.34,123.11,3081713
4/20/2018,122.54,122.54,119.92,120.89,2753097
4/23/2018,122.39,122.39,119.25,119.6,1822399
4/24/2018,119.95,121.42,116.75,118.59,3010312
4/25/2018,118.31,118.89,115.81,116.68,3027842
4/26/2018,116.52,120.155,116.52,119.6,3162062
4/27/2018,119,119.55,115.81,117.47,2536017
4/30/2018,117.64,118.77,116.27,117.98,2227791
5/1/2018,118.06,120.15,117.18,119.83,2345862
5/2/2018,119.79,120.51,118.34,118.94,2399949
5/3/2018,118.18,124.31,114.88,120.17,11445490
5/4/2018,119.12,124.2,118.41,123.64,3909201
5/7/2018,124.7,125.78,123.36,123.92,3177781
5/8/2018,123.29,124.33,122.16,123.89,4446755
5/9/2018,127.99,132.44,126.07,131.01,7595149
5/10/2018,130.94,133.92,129.74,133.76,4610300
5/11/2018,133.3,134.58,132.12,132.81,4364163
5/14/2018,133.07,133.97,130.95,132.53,2280248
5/15/2018,131.79,132.3,129.61,130.11,2107318
5/16/2018,130.36,131.19,128.02,130.86,1842254
5/17/2018,129.91,132,129.62,130.81,2773911
5/18/2018,130.74,132.2,129.89,132,2989174
5/21/2018,132.71,134.61,131.04,132.91,2088703
5/22/2018,133.15,133.86,131.78,132.18,1709917
5/23/2018,131.28,133.54,130.82,133.5,2002038
5/24/2018,133.49,133.49,129.57,131.48,3319279
5/25/2018,131.77,132.6,131.15,131.85,1459343
5/29/2018,130.71,131.51,129.84,131.25,1750139
5/30/2018,132.15,132.15,131.03,131.37,1394981
5/31/2018,131.84,132.96,130.35,130.91,2516499
6/1/2018,132.08,135.8,131.67,135.69,2909583
6/4/2018,135.7,136.99,133.68,134.66,2469985
6/5/2018,135.32,137.48,134.8,136.96,2645182
6/6/2018,137.81,138.39,136.12,136.94,2914955
6/7/2018,137.42,138.75,135.48,136.91,2481569
6/8/2018,136.71,138.06,136.23,137.87,3494486
6/11/2018,139.08,140.54,138.43,139.16,5073245
6/12/2018,139,140.4,138.69,139.78,2902051
6/13/2018,140.86,144.92,140.34,143.28,6432883
6/14/2018,143.6,147.04,143.41,144.39,4558765
6/15/2018,144.29,147.13,143.65,146.65,3943808
6/18/2018,145.5,145.69,142.44,144.86,2890850
6/19/2018,143.13,144.83,141.62,143.09,4117758
6/20/2018,143.61,144.74,143.24,143.54,1935840
6/21/2018,144.13,144.75,141.63,143.15,1536040
6/22/2018,145.5,145.63,140.95,141.26,3052953
6/25/2018,140.73,140.8991,138.84,140.52,2574224
6/26/2018,141.45,143.14,140.13,140.37,2691230
6/27/2018,140.73,142.21,137.68,137.75,2541773
6/28/2018,138.18,141.38,137.84,140.63,2708373
6/29/2018,141.76,143.15,140.53,141.02,2371171
7/2/2018,140.49,143.58,140.21,143.48,1872143
7/3/2018,143.78,144.16,141,141.23,1168828
7/5/2018,142.58,143.46,142.07,143.23,1266574
7/6/2018,143.06,145.29,142.96,145.1,1628508
7/9/2018,145.55,146.885,142.27,144.64,2041935
7/10/2018,144.41,145.35,143.36,144.19,1716327
7/11/2018,143.04,146.28,142.75,145.72,2057194
7/12/2018,146.93,148.74,146.355,148.61,1903438
7/13/2018,148.7,151.2581,147.38,148.73,2108630
7/16/2018,148.95,149.1,146.43,146.68,1917700
7/17/2018,145.6,149.23,145.01,148.74,2478469
7/18/2018,149.06,150,147.7101,148.93,2486784
7/19/2018,148.12,149.47,146.996,147.96,1645471
7/20/2018,148.19,149.79,147.14,147.48,2159833
7/23/2018,146.51,147.86,145.34,146.56,2226930
7/24/2018,147.5,147.715,142.96,144.32,3880178
7/25/2018,144.91,146.79,144.25,146.5,3150962
7/26/2018,148,148,141.06,141.9,6273541
7/27/2018,134.94,137.9799,131.25,133.81,11612113
7/30/2018,133.45,133.57,125.6,126.21,9488283
7/31/2018,127.45,128.99,125.311,128.75,6231718
8/1/2018,130.25,131.21,127.02,127.48,4863900
8/2/2018,126.77,128.87,125.45,128.65,3535273
8/3/2018,131.01,134,128.85,130.87,5456489
8/6/2018,130.02,130.465,127.65,129.03,3366603
8/7/2018,130.16,130.78,127.31,128.1,3858864
8/8/2018,128.13,128.91,127.1,128.41,2740026
8/9/2018,128.5,128.9,127.42,127.82,4261179
8/10/2018,128.2,132.04,126.775,131.32,5190531
8/13/2018,131.41,133.65,130.44,131.32,4644938
8/14/2018,131,132.31,129.1248,131.91,3052990
8/15/2018,129.82,130.76,126.02,128.05,5484728
8/16/2018,129.97,130.93,128.02,129.71,4673438
8/17/2018,128.81,129.44,126.98,128.01,3805594
8/20/2018,127.08,128.3,125.58,127.71,3625364
8/21/2018,128.54,129.165,125.97,126.76,5814303
8/22/2018,126.06,129.07,124.66,127.62,6609743
8/23/2018,127.63,127.99,125.79,126.11,4468216
8/24/2018,126.89,129.5,126.35,128.97,3483429
8/27/2018,130.29,130.57,128.07,128.97,2404605
8/28/2018,129.61,129.79,127.18,127.79,2418716
8/29/2018,127.56,128.88,127.03,128.52,3138144
8/30/2018,120.595,121.65,115.66,115.94,19585466
8/31/2018,115.13,115.499,113.09,113.41,9652943
9/4/2018,113.72,114.4,111.94,113.52,5245465
9/5/2018,112.98,113.43,110.98,111.55,4311225
9/6/2018,111.85,113.78,111.21,113.2,6382669
9/7/2018,112.74,116,112.63,114.91,5742544
9/10/2018,115.25,115.65,112.87,113.21,4424932
9/11/2018,112.29,113.18,110.53,112.29,4217407
9/12/2018,112.01,113.72,111.67,113,3068288
9/13/2018,113.75,114.6054,113.03,113.84,2506577
9/14/2018,114.41,116.51,113.75,114.27,3207501
9/17/2018,114.38,114.74,112.62,112.69,3515975
9/18/2018,112.83,113.96,111.88,112.65,3448564
9/19/2018,112.99,113.25,110.85,112.92,3013226
9/20/2018,113.42,114.52,112.5,113.47,3746969
9/21/2018,114.12,116.03,113.96,115.02,7421852
9/24/2018,114.72,115.639,113.8,115.24,2831509
9/25/2018,115.21,116.44,114.87,116.25,2591067
9/26/2018,116.87,119.865,116.55,118.09,5062599
9/27/2018,118.4,119.6,117.73,119.38,3289968
9/28/2018,119.09,120.66,119.01,120.49,3904873
10/1/2018,121.15,121.3,116.29,117.55,5742623
10/2/2018,117.5,118.24,116.18,117.05,4160109
10/3/2018,117.49,118.17,116.21,116.39,3632557
10/4/2018,116.39,116.39,112.76,114.01,5235515
10/5/2018,114.4,115.75,111.99,113.73,3571443
10/8/2018,112.82,113.29,109.795,110.62,4784446
10/9/2018,110.8,112.21,109.29,109.49,5238597
10/10/2018,108.67,109.12,104.97,105.15,7443778
10/11/2018,104.45,105.39,102.3,103.6,6251674
10/12/2018,106.96,108.13,104.41,106.1,5384503
10/15/2018,105.45,107.03,104.02,105.88,2602018
10/16/2018,106.76,108.51,106.53,107.42,5441912
10/17/2018,107.76,109.36,106.94,108.79,3196247
10/18/2018,107.34,107.8524,104.77,105.8,4731813
10/19/2018,106.3,107.49,101.98,102.11,5432282
10/22/2018,102.81,104.24,101.24,101.36,4983068
10/23/2018,99.41,100.06,97.8,99.09,6842910
10/24/2018,98.81,100.2,96.1,96.25,4851752
10/25/2018,97.86,99.48,97.62,98.64,5610929
10/26/2018,95.93,98.76,95.59,96.22,4263600
10/29/2018,95.78,97.3,89.12,91.19,9957031
10/30/2018,91.67,94.83,91,94.83,6678692
10/31/2018,92,95.37,89.94,90.98,17510774
11/1/2018,91,95.05,91,94.2,5444203
11/2/2018,95.29,95.8,91.84,92.46,5325388
11/5/2018,92.57,93.06,91.16,92.69,4163800
11/6/2018,92.69,93.5,91.57,92.23,4121678
11/7/2018,93,94.63,92.26,93.8,7249240
11/8/2018,94.01,94.24,92.33,93.87,5045772
11/9/2018,92.86,92.86,88.22,88.89,7236662
11/12/2018,88.6,88.88,86.01,87.66,5123595
11/13/2018,88.33,89.35,86.99,87.39,3732374
11/14/2018,88.24,88.36,84.98,85.76,3591337
11/15/2018,86.02,88.28,84.86,88.25,3827363
11/16/2018,87.45,87.88,84.98,85.97,4585277
11/19/2018,86.1,86.205,82.72,83.04,4461773
11/20/2018,80.82,83.43,80.42,83.02,5388835
11/21/2018,83.94,85.475,83.43,84.02,3272888
11/23/2018,83.82,84.25,82.42,82.67,1906821
11/26/2018,83.52,85.01,82.49,84.93,5383834
11/27/2018,84.68,85.67,83.24,85.04,3372165
11/28/2018,85.51,86.32,83.92,85.9,4197156
11/29/2018,85.09,87.24,84.63,86.39,3527304
11/30/2018,86.31,86.83,83.73,84.07,5395519
12/3/2018,85.81,86.64,83.34,84,5052203
12/4/2018,83.44,84.89,81,81.18,5129536
12/6/2018,79.94,83.88,79.5,83.88,5747509
12/7/2018,83.78,85.14,82.22,82.52,4589061
12/10/2018,82.34,84.6,82.2989,83.73,3888391
12/11/2018,85.12,85.3163,82.73,83.44,3877038
12/12/2018,84.32,85.37,82.91,82.99,3400512
12/13/2018,83.91,83.935,80.78,80.86,5011120
12/14/2018,79.82,81.95,79.1401,80.16,5227573
12/17/2018,80.14,82.02,78.48,79.23,4083459
12/18/2018,79.68,81.795,79.38,80,6191119
12/19/2018,80.03,81.22,77.341,78.36,6417012
12/20/2018,77.68,79.39,76.46,77.44,5567654
12/21/2018,78.3,79.46,75.63,76.57,7829935
12/24/2018,75.76,77.4,74.38,74.72,2556888
12/26/2018,75.2,77.95,73.91,77.89,3257300
12/27/2018,77.11,79.46,76.76,79.43,4260992
12/28/2018,79.96,80.29,78.3,79.3,2733635
12/31/2018,80,80.38,78.3,78.91,2942411
1/2/2019,77.22,80.64,77.2,80.37,3176781
1/3/2019,79.45,80.35,77.62,78.71,3747137
1/4/2019,80.82,85.25,80.04,84.42,7254381
1/7/2019,84.89,88.1,83.44,87.59,6611453
1/8/2019,88.46,89.74,87.69,89.02,6468299
1/9/2019,89.81,90.99,87.89,88.91,4178767
1/10/2019,88.79,91.44,88.52,91.01,4745577
1/11/2019,90.67,91.59,89.91,90.7,3757614
1/14/2019,89.62,89.98,88.42,88.58,3351586
1/15/2019,88.96,89.58,88.37,89.49,2794651
1/16/2019,88,90.09,85.96,89.92,6613145
1/17/2019,87.95,89.85,87.65,89.31,4283301
1/18/2019,90.31,93.16,90.23,92.52,5403618
1/22/2019,91.68,91.99,90.01,91.31,4474677
1/23/2019,91.93,92,88.44,89.13,4085955
1/24/2019,89.36,91.55,88.53,91.48,3167912
1/25/2019,92.45,92.98,90.87,91.74,4168627
1/28/2019,89.45,90.65,88.65,90.47,4339507
1/29/2019,89.89,89.89,86.82,87.24,3961361
1/30/2019,87.62,89.27,86.85,89.23,3797870
1/31/2019,89.98,92.8,89.55,92.24,4148221
2/1/2019,92.2,92.8,90.83,91.22,2890254
2/4/2019,91.06,91.07,88.19,88.43,5982459
2/5/2019,89.06,92.85,88.89,92.52,11931365
2/6/2019,79.14,81.59,78,80.21,30198566
2/7/2019,79.9,85.59,79.9,84.1,11391297
2/8/2019,86.505,97.65,85,97.6,26898538
2/11/2019,102.16,106.95,96.73,97.24,38704497
2/12/2019,106.31,106.7,99.02,102.33,31161274
2/13/2019,104.56,105.24,100.68,102.25,15890024
2/14/2019,101.41,105.87,101,105.25,10547006
2/15/2019,107.4,108.8,104.73,106.84,11254941
2/19/2019,105.75,105.75,101.29,102.96,10882724
2/20/2019,102.43,102.91,97.55,98.63,10649055
2/21/2019,98.77,98.99,96,96.86,8104311
2/22/2019,97.06,97.31,92.85,95.92,11616973
2/25/2019,96.32,96.63,93.64,95.86,7046593
2/26/2019,95.65,99.61,94.82,98.5,8701117
2/27/2019,98.82,100.81,97.4,97.84,5207571
2/28/2019,97.96,98.64,95.665,95.78,5695040
3/1/2019,96.83,97.94,95.31,97.41,4443555
3/4/2019,98.31,99.43,95.57,97.29,7187191
3/5/2019,96.26,97.06,95.1479,95.72,6041906
3/6/2019,95.32,96.38,94.13,94.77,3987900
3/7/2019,95,99.56,94.47,99.36,8866789
3/8/2019,97.96,99.75,97.475,98.36,7357914
3/11/2019,98.6,99.96,97.94,99.04,4623846
3/12/2019,99.4,99.5,98.15,98.59,3737617
3/13/2019,98.69,101.08,97.77,100.13,6979996
3/14/2019,100.22,100.34,97.54,98.83,5908938
3/15/2019,99.66,100.145,98.24,98.98,5140900
3/18/2019,99.16,99.89,96.73,99.66,5112965
3/19/2019,100.33,100.545,97,97.51,6156778
3/20/2019,97.44,98.39,96.35,97.03,4824238
3/21/2019,96.49,105,96.49,104.88,9533430
3/22/2019,104.43,104.48,101.155,102.34,7159188
3/25/2019,102.4,103.5428,100.87,101.73,3812422
3/26/2019,102.66,104.55,101.5,102.32,4059325
3/27/2019,102.7,102.86,100.28,100.67,2900802
3/28/2019,100.71,102.47,100.28,102.2,2347131
3/29/2019,102.65,102.9675,101.24,101.63,3180841
4/1/2019,103.03,103.95,101.62,102.67,2879586
4/2/2019,103.01,103.1,100.16,100.84,3157478
4/3/2019,100.91,102.16,100.07,100.15,3522844
4/4/2019,99.99,100.3,97.59,97.94,4308700
4/5/2019,98.5,99.885,97.96,99.43,3737973
4/8/2019,99.01,99.42,95.66,97.95,3951412
4/9/2019,97.54,99.15,97.3975,98.25,2543247
4/10/2019,98.58,100.35,98.38,99.63,2199499
4/11/2019,100,101.4,99.63,100.58,2530518
4/12/2019,101.13,102.39,100.32,101.83,2375867
4/15/2019,100.55,100.99,97.12,97.85,3965643
4/16/2019,97.41,97.5,92.8,93.83,7638941
4/17/2019,94.46,94.46,91,91.95,9779037
4/18/2019,92.07,93.58,91.1,93.14,4262167
4/22/2019,92.75,93.04,91.88,92.52,3011254
4/23/2019,93.1,94.96,92.84,94.63,3850762
4/24/2019,94.9,95.28,93.87,94.15,3041453
4/25/2019,94.15,94.2,92.675,92.98,2993048
4/26/2019,93.46,94.58,92.82,94.47,3496275
4/29/2019,94.89,95.59,94.15,94.73,3122574
4/30/2019,94.49,95.08,93.8,94.65,2824595
5/1/2019,95.01,97.2,94.74,94.86,4264341
5/2/2019,95.25,96.33,93.89,94.4,3609504
5/3/2019,93.7,93.88,90.7,92.5,6385830
5/6/2019,91.1,93.985,90.52,93.76,4413673
5/7/2019,93.11,93.4,91.83,92.73,7090922
5/8/2019,99.11,99.57,92.18,93.88,17468496
5/9/2019,92.52,94.24,92.2,93.32,5159057
5/10/2019,93.03,94.16,91.01,93.88,3979135
5/13/2019,92.01,93.12,89.91,90.42,3685460
5/14/2019,90.92,95.52,90.75,94.57,5769319
5/15/2019,93.8,98.32,93.6624,96.77,4694707
5/16/2019,96.74,99.05,96.11,99,3728643
5/17/2019,98.26,98.95,96.65,97.26,3031453
5/20/2019,95.44,96,92.31,92.69,3842911
5/21/2019,93.4,96.25,93.25,95.65,3958210
5/22/2019,94.84,95.6,93.63,93.84,1831462
5/23/2019,93.34,94.74,91.36,92.11,3072471
5/24/2019,92.67,93.31,91.485,92.31,2262634
5/28/2019,92.98,94.21,92.6377,93.5,2729288
5/29/2019,92.76,93.81,91.81,92.55,1889406
5/30/2019,92.74,93.04,91.5,92.13,2513477
5/31/2019,90.9,93.28,90.89,93.08,2818733
6/3/2019,93.29,94.2365,90.78,91.31,3405405
6/4/2019,91.59,94.21,90.19,94.13,2833472
6/5/2019,93.69,95.99,93.69,95.25,2584353
6/6/2019,95.96,97.38,95.06,96.39,2654213
6/7/2019,97,98.69,96.57,96.99,2021498
6/10/2019,98,98.13,94.05,95.51,2503249
6/11/2019,96.38,96.5,94.25,94.58,2097828
6/12/2019,94.8,94.9601,91.72,92.67,2579225
6/13/2019,92.92,94.34,92.41,93.57,2526846
6/14/2019,93.56,93.79,90.46,92.73,3297391
6/17/2019,92.62,93.51,92,92.44,2431950
6/18/2019,93.48,95.3,91.94,92.03,3955867
6/19/2019,92.39,93.18,91.32,92.58,2795310
6/20/2019,93.75,94.89,93.07,93.19,2578264
6/21/2019,92.98,95.98,91.399,95.33,6237433
6/24/2019,95.66,99.56,95.23,99,5066835
6/25/2019,98.77,99.11,96.08,96.9,3364203
6/26/2019,97.51,98.04,95.62,97.32,2827051
6/27/2019,97.67,99.68,96.845,99.14,2907748
6/28/2019,100.74,101.45,99.23,101.26,5185192
7/1/2019,102.65,102.88,99.82,100.89,3452380
7/2/2019,101.76,103.59,100.79,102.72,3935328
7/3/2019,103,103.19,97.59,98.11,4659692
7/5/2019,97.77,97.83,91.35,93.6,11794145
7/8/2019,93.44,93.63,91.4219,93.44,4512647
7/9/2019,92.5,92.7,90.539,92.05,4747034
7/10/2019,92.16,94.14,91.64,93.96,4561634
7/11/2019,93.79,94.85,92.57,93.49,3320686
7/12/2019,93.68,93.97,92.35,92.82,2657567
7/15/2019,92.75,93.01,91.83,92.22,2817028
7/16/2019,92.31,92.41,88.43,89.55,6090525
7/17/2019,89.75,90.85,89.31,89.7,3097441
7/18/2019,88.9,89.47,88.02,89.19,4105733
7/19/2019,89.35,89.4106,87.47,87.5,3676672
7/22/2019,88.02,89.13,87.51,88.14,3200046
7/23/2019,88.88,89.14,87.71,88.22,2428996
7/24/2019,88.04,89.94,88,89.78,2137376
7/25/2019,88.45,89.765,87.88,89.16,2891202
7/26/2019,89.5,90.49,89.28,89.51,2281391
7/29/2019,89.41,89.79,86.945,88.87,5162894
7/30/2019,87.93,89.01,86.24,88.57,5666045
7/31/2019,94,96.54,91.04,92.5,11152837
8/1/2019,93.25,97.07,93.08,94.6,5870434
8/2/2019,94.75,95.365,91.83,92.89,2764932
8/5/2019,90.31,91.76,88.22,88.59,5117083
8/6/2019,90.81,91.56,89.62,90.1,3604547
8/7/2019,89.12,92.35,88.7,92.27,4498073
8/8/2019,92.95,95.29,92.475,95.23,3849339
8/9/2019,94.37,94.87,91.4,91.97,3496674
8/12/2019,91.5,92.56,91.04,91.77,1845919
8/13/2019,91.96,93.56,91.25,92.34,2424721
8/14/2019,90.41,90.75,87.5,88.1,5459040
8/15/2019,88.95,88.95,87.23,87.88,2825204
8/16/2019,88.56,90.38,88.07,89.56,2843040
8/19/2019,91.24,91.7,90.12,90.91,2511990
8/20/2019,90.58,93.5665,90.28,92.7,4328017
8/21/2019,93.55,94.98,92.62,94.04,3007232
8/22/2019,94.44,94.95,92.72,94.62,2723601
8/23/2019,94.59,95.73,92.615,92.91,4213321
8/26/2019,93.77,94.53,93.2525,94.38,2919459
8/27/2019,94.75,96.3,94.06,94.06,3773075
8/28/2019,93.77,94.04,91.57,92.4,3710069
8/29/2019,93.29,93.73,92.59,93.03,2601236
8/30/2019,93.53,94.21,92.98,93.68,1704351
9/3/2019,92.73,95.165,92.65,94.83,3263426
9/4/2019,95.24,98.12,94.76,97.95,3436686
9/5/2019,98.7,99.48,96.56,97.45,3020383
9/6/2019,98.03,99.82,97.65,98.53,2885966
9/9/2019,99.01,99.88,97.44,98.68,3116060
9/10/2019,98.45,101.23,97.77,99.5,4010541
9/11/2019,100.03,100.65,98.76,99.11,2409250
9/12/2019,99.89,101.78,98.052,98.34,4123008
9/13/2019,98.57,99.35,98.16,98.48,1719377
9/16/2019,98.03,99.24,97.52,99.12,1820439
9/17/2019,99.48,99.55,97.54,98.42,1817654
9/18/2019,97.73,98.34,96.53,98.28,1822382
9/19/2019,98.28,99.9,98.28,99.69,2691393
9/20/2019,100.2,100.515,98.27,98.7,3540806
9/23/2019,98.23,99.41,97.86,98.18,2084530
9/24/2019,98.08,98.38,96.725,97.36,2869115
9/25/2019,97.1,97.82,95.83,97.63,1983252
9/26/2019,97.61,97.97,95.66,96.62,1965499
9/27/2019,97.02,97.75,95.05,95.67,1968060
9/30/2019,95.85,97.99,95.6849,97.82,2548273
10/1/2019,97.81,98,95.13,96.75,3732175
10/2/2019,96,96,92.44,94.25,4116515
10/3/2019,93.53,95.03,92.88,94.34,3926918
10/4/2019,94.34,95.77,94.34,95.61,2246287
10/7/2019,95.12,95.815,93.32,93.57,2954624
10/8/2019,93.03,93.83,92.16,92.54,2964035
10/9/2019,93.02,94.5,92.8,92.88,1587593
10/10/2019,92.66,93.56,92.21,92.53,2057035
10/11/2019,93.93,95.87,93.746,94.19,3141292
10/14/2019,94,94.66,92.71,93.88,2380334
10/15/2019,94.14,95.2842,93.2201,95.15,2185533
10/16/2019,94.41,96.36,94.4,96.22,2994892
10/17/2019,96.71,98,96.52,96.76,2427362
10/18/2019,96.05,96.0999,94.05,95.13,3151465
10/21/2019,95.48,96.83,95,95.81,1999308
