Date,Open,High,Low,Close,Volume
4/19/2018,166.2,168.33,165.2,168.1,22234961
4/20/2018,167.79,168.43,165.81,166.28,19119438
4/23/2018,167.27,168.45,165.09,165.84,23088102
4/24/2018,165.43,166.1,158.19,159.69,35079926
4/25/2018,160.1448,161.06,156.19,159.69,41083581
4/26/2018,173.22,176.27,170.8,174.16,77556934
4/27/2018,176.81,177.1,172.6,173.59,29804657
4/30/2018,173.79,175.72,171.71,172,20750478
5/1/2018,172,174.02,170.23,173.86,26025932
5/2/2018,174.246,178.08,174.2,176.07,30424450
5/3/2018,175.13,176.12,172.12,174.02,24026071
5/4/2018,173.08,176.98,173.06,176.61,17677844
5/7/2018,177.35,179.5,177.17,177.97,18697195
5/8/2018,178.25,179.04,177.11,178.92,15577211
5/9/2018,179.67,183.01,178.7807,182.66,23282811
5/10/2018,183.15,186.1292,182.5,185.53,21071403
5/11/2018,184.85,188.32,184.18,186.99,21207848
5/14/2018,187.71,187.86,186.2,186.64,15646744
5/15/2018,184.88,185.29,183.2,184.32,15429433
5/16/2018,183.6952,184.32,182.66,183.2,16975495
5/17/2018,182.68,184.06,182.22,183.76,14840675
5/18/2018,183.49,184.19,182.61,182.68,13130451
5/21/2018,183.77,185.3,183.13,184.49,13532864
5/22/2018,184.93,185.42,183.43,183.8,12731419
5/23/2018,182.5,186.91,182.18,186.9,16628100
5/24/2018,185.88,186.8,185.03,185.93,12354742
5/25/2018,186.02,186.33,184.45,184.92,10965061
5/29/2018,184.34,186.81,183.71,185.74,16398937
5/30/2018,186.54,188,185.25,187.67,13736866
5/31/2018,187.87,192.72,187.48,191.78,30782631
6/1/2018,193.065,194.5492,192.07,193.99,17307245
6/4/2018,191.84,193.98,191.47,193.28,18939795
6/5/2018,194.3,195,192.62,192.94,15544294
6/6/2018,191.0252,192.53,189.11,191.34,22558920
6/7/2018,190.75,190.97,186.77,188.18,21503171
6/8/2018,187.53,189.4754,186.43,189.1,12677092
6/11/2018,188.81,192.6,188.8,191.54,12928907
6/12/2018,192.17,193.28,191.56,192.4,11562704
6/13/2018,192.74,194.5,191.91,192.41,15853821
6/14/2018,193.1,197.28,192.91,196.81,19120866
6/15/2018,195.79,197.07,194.64,195.85,21860931
6/18/2018,194.8,199.58,194.13,198.31,16826023
6/19/2018,196.2352,197.96,193.79,197.49,19993996
6/20/2018,199.1,203.55,198.805,202,28230933
6/21/2018,202.76,203.39,200.09,201.5,19045717
6/22/2018,201.16,202.24,199.31,201.74,17420188
6/25/2018,200,200,193.11,196.35,25275137
6/26/2018,197.6,199.1,196.23,199,17897576
6/27/2018,199.18,200.75,195.8,195.84,18734408
6/28/2018,195.18,197.34,193.26,196.23,18172439
6/29/2018,197.32,197.5997,193.955,194.32,15811602
7/2/2018,193.37,197.45,192.22,197.36,13961578
7/3/2018,194.55,195.4,192.52,192.73,13489514
7/5/2018,194.74,198.65,194.03,198.45,19684193
7/6/2018,198.45,203.64,197.7,203.23,19740131
7/9/2018,204.93,205.8,202.1201,204.74,18149437
7/10/2018,204.5,204.91,202.26,203.54,13190067
7/11/2018,202.22,204.5,201.75,202.54,12927377
7/12/2018,203.43,207.08,203.19,206.92,15454706
7/13/2018,207.81,208.43,206.45,207.32,11503401
7/16/2018,207.5,208.72,206.84,207.23,11078209
7/17/2018,204.9,210.46,204.84,209.99,15349892
7/18/2018,209.82,210.99,208.44,209.36,15334907
7/19/2018,208.77,209.99,207.76,208.09,11350429
7/20/2018,208.85,211.5,208.5,209.94,16241508
7/23/2018,210.58,211.62,208.8,210.91,16731969
7/24/2018,215.11,216.2,212.6,214.67,28468681
7/25/2018,215.715,218.62,214.27,217.5,64592585
7/26/2018,174.89,180.13,173.75,176.26,169803668
7/27/2018,179.87,179.93,173,174.89,60073749
7/30/2018,175.3,175.3,166.56,171.06,65280787
7/31/2018,170.67,174.24,170,172.58,40356471
8/1/2018,173.93,175.08,170.9,171.65,34042109
8/2/2018,170.68,176.79,170.27,176.37,32399954
8/3/2018,177.69,178.85,176.15,177.78,24763434
8/6/2018,178.97,185.79,178.38,185.69,49716192
8/7/2018,186.5,188.3,183.72,183.81,33398562
8/8/2018,184.75,186.85,183.76,185.18,22205230
