Date,Open,High,Low,Close,Volume
4/19/2018,1069.4,1094.165,1068.18,1087.7,1747671
4/20/2018,1082,1092.35,1069.57,1072.96,1889686
4/23/2018,1077.86,1082.72,1060.7,1067.45,2341258
4/24/2018,1052,1057,1010.59,1019.98,4760260
4/25/2018,1025.52,1032.49,1015.31,1021.18,2391105
4/26/2018,1029.51,1047.98,1018.19,1040.04,2079533
4/27/2018,1046,1049.5,1025.59,1030.05,1619796
4/30/2018,1030.01,1037,1016.85,1017.33,1671254
5/1/2018,1013.66,1038.47,1008.21,1037.31,1427857
5/2/2018,1028.1,1040.389,1022.87,1024.38,1603081
5/3/2018,1019,1029.675,1006.29,1023.72,1815058
5/4/2018,1016.9,1048.51,1016.9,1048.21,1938658
5/7/2018,1049.23,1061.68,1047.1,1054.79,1466065
5/8/2018,1058.54,1060.55,1047.145,1053.91,1217721
5/9/2018,1058.1,1085.44,1056.365,1082.76,2032818
5/10/2018,1086.03,1100.44,1085.64,1097.57,1443025
5/11/2018,1093.6,1101.3295,1090.91,1098.26,1253665
5/14/2018,1100,1110.75,1099.11,1100.2,1518077
5/15/2018,1090,1090.05,1073.47,1079.23,1494872
5/16/2018,1077.31,1089.27,1076.26,1081.77,1097317
5/17/2018,1079.89,1086.87,1073.5,1078.59,1043766
5/18/2018,1061.86,1069.94,1060.68,1066.36,1565240
5/21/2018,1074.06,1088,1073.65,1079.58,1023211
5/22/2018,1083.56,1086.59,1066.69,1069.73,1090002
5/23/2018,1065.13,1080.78,1061.71,1079.69,1060683
5/24/2018,1079,1080.47,1066.15,1079.24,766773
5/25/2018,1079.02,1082.56,1073.775,1075.66,899406
5/29/2018,1064.89,1073.37,1055.22,1060.32,1865139
5/30/2018,1063.03,1069.21,1056.83,1067.8,1138457
5/31/2018,1067.56,1097.19,1067.56,1084.99,3088305
6/1/2018,1099.35,1120,1098.5,1119.5,2421598
6/4/2018,1122.33,1141.89,1122.005,1139.29,1889579
6/5/2018,1140.99,1145.738,1133.19,1139.66,1677973
6/6/2018,1142.17,1143,1125.7429,1136.88,1698247
6/7/2018,1131.32,1135.82,1116.52,1123.86,1520020
6/8/2018,1118.18,1126.67,1112.15,1120.87,1290845
6/11/2018,1118.6,1137.26,1118.6,1129.99,1079294
6/12/2018,1131.07,1139.79,1130.735,1139.32,912018
6/13/2018,1141.12,1146.5,1133.38,1134.79,1506407
6/14/2018,1143.85,1155.47,1140.64,1152.12,1350868
6/15/2018,1148.86,1153.42,1143.485,1152.26,2122476
6/18/2018,1143.65,1174.31,1143.59,1173.46,1413692
6/19/2018,1158.5,1171.27,1154.01,1168.06,1621018
6/20/2018,1175.31,1186.2856,1169.16,1169.84,1648536
6/21/2018,1174.85,1177.295,1152.232,1157.66,1238118
