Date,Open,High,Low,Close,Volume
4/19/2018,1069.02,1097.51,1069.02,1089.45,1994247
4/20/2018,1084.27,1094.75,1072.1,1077.32,2121692
4/23/2018,1082.98,1088,1066.68,1073.81,3479496
4/24/2018,1059.2,1064.49,1012.855,1022.64,6411038
4/25/2018,1029.75,1036.07,1017.01,1022.99,2893047
4/26/2018,1033.22,1052.02,1020.45,1043.31,2546332
4/27/2018,1045.54,1051.695,1027.59,1031.45,2037263
4/30/2018,1034.42,1038.37,1018.3,1018.58,1724632
5/1/2018,1016.3,1041.73,1010.61,1040.75,1766256
5/2/2018,1034,1043.98,1023.16,1026.05,1734872
5/3/2018,1025.37,1030.69,1007.89,1026.3,1964066
5/4/2018,1019.61,1051.8792,1018.05,1051,1844600
5/7/2018,1053.89,1065,1050.2697,1059.46,1719971
5/8/2018,1064.62,1065.23,1051.641,1058.59,1301524
5/9/2018,1064.1,1094,1062.11,1088.95,2357979
5/10/2018,1095,1109.41,1093.88,1105.47,1820676
5/11/2018,1100.41,1109.01,1097.22,1103.38,1525218
5/14/2018,1105.57,1118.15,1104.8,1106.6,1966893
5/15/2018,1096.9,1099.12,1078.78,1084.87,1786926
5/16/2018,1085.09,1094.3825,1081.6301,1084.09,1281406
5/17/2018,1081.46,1091,1076.42,1081.26,1286907
5/18/2018,1066,1073.73,1064.68,1069.64,1774149
5/21/2018,1079,1093.3,1078,1084.01,1258999
5/22/2018,1089.8,1091.8,1072.26,1075.31,1111299
5/23/2018,1070,1088,1066.96,1085.96,1186998
5/24/2018,1086.9,1087.12,1072.3,1085.45,1030194
5/25/2018,1086.55,1089.57,1082.6,1084.08,1111161
5/29/2018,1076,1081.34,1063.08,1068.07,1803805
5/30/2018,1073.48,1078.99,1066.55,1077.47,1434282
5/31/2018,1082,1110,1078,1100,3968362
6/1/2018,1112.87,1138.16,1112.0101,1135,3160100
6/4/2018,1138.5,1157.8573,1137,1153.04,2237701
6/5/2018,1154.66,1161.0964,1147.46,1151.02,1648222
6/6/2018,1152.77,1154.7139,1136.32,1146.95,1746719
6/7/2018,1144.58,1145.865,1126.12,1134.42,1805388
6/8/2018,1131.21,1138.78,1123.23,1132.71,1364226
6/11/2018,1132.94,1147.74,1131.3986,1140.9,1239770
6/12/2018,1141.02,1148.75,1141.02,1148.19,1304612
6/13/2018,1152.28,1155.64,1143.38,1144.23,1715074
6/14/2018,1152.21,1165.99,1150.6,1160.11,1771120
6/15/2018,1159.92,1163.9088,1153.69,1159.27,2221891
6/18/2018,1152.69,1184.13,1151,1183.58,1651913
6/19/2018,1170.11,1182.81,1161.61,1178.69,2364127
6/20/2018,1183.3,1201.49,1182.03,1184.07,2584260
6/21/2018,1185.51,1190.333,1163.48,1169.44,2248277
6/22/2018,1171.495,1175,1159.65,1169.29,1711003
6/25/2018,1155,1155.99,1119.9,1139.28,2884131
6/26/2018,1144.14,1146.87,1129,1132.62,1734414
6/27/2018,1136,1146.21,1116.7,1116.94,1726866
6/28/2018,1112.39,1134,1106.0724,1126.78,1486675
6/29/2018,1132.31,1141.359,1127.02,1129.19,1578116
7/2/2018,1115.35,1142.99,1106.6,1142.11,1161040
7/3/2018,1149.42,1149.91,1114.43,1116.28,822394
7/5/2018,1124.6,1144.14,1123.12,1141.29,1429710
7/6/2018,1141.77,1156.2,1137.24,1155.08,1090967
7/9/2018,1160,1167.93,1157.2345,1167.28,1079201
7/10/2018,1169.99,1173.5,1162.56,1167.14,1066704
7/11/2018,1155.62,1180.44,1155.3745,1171.46,1662633
7/12/2018,1174.86,1201.986,1173.1,1201.26,2207431
7/13/2018,1202.8,1210.44,1195.29,1204.42,1631857
7/16/2018,1203.81,1208.71,1193.4011,1196.51,1339237
7/17/2018,1182.74,1218.76,1182,1213.08,2008133
7/18/2018,1208.53,1221.59,1204.56,1212.91,1947397
7/19/2018,1206.65,1216.48,1197.7344,1199.1,1916892
7/20/2018,1199.24,1210.765,1196.59,1197.88,1898376
7/23/2018,1195.66,1215.1,1192.01,1211,3272304
7/24/2018,1271,1275,1244.14,1258.15,5380032
7/25/2018,1252.6199,1278.24,1249.05,1275.94,2575437
7/26/2018,1267.18,1287.4,1263,1285.5,2734302
7/27/2018,1289.12,1291.44,1244.495,1252.89,2418090
7/30/2018,1245.05,1252.89,1224.17,1230.04,2194837
7/31/2018,1231.71,1241.21,1216.19,1227.22,1969111
8/1/2018,1239.11,1245.9003,1224.94,1232.99,1849740
8/2/2018,1218.5,1244.41,1218.06,1241.13,1735180
8/3/2018,1245.18,1246.52,1229.42,1238.16,1063244
8/6/2018,1241.61,1242.4616,1230.53,1237.67,1105916
8/7/2018,1252.01,1266.08,1251.8,1255.84,2125256
8/8/2018,1256.72,1271.72,1252.12,1261.33,1718664
8/9/2018,1262.73,1271.9648,1260.1011,1264.46,1366318
8/10/2018,1259.18,1261.2,1247.1635,1252.51,1334387
8/13/2018,1251.2,1265.97,1247.03,1248.64,1380882
8/14/2018,1252.5,1260.59,1239.54,1258.14,1403991
8/15/2018,1244.28,1251.98,1226.245,1232.22,1852558
8/16/2018,1241.99,1243.6974,1219.63,1224.06,1608799
8/17/2018,1222.04,1226.9547,1204,1215.85,1654629
8/20/2018,1220.66,1225.91,1208.7,1221.95,1111173
8/21/2018,1223.02,1232.76,1215.03,1217.41,1154093
8/22/2018,1214.22,1226.53,1213.22,1221.75,1114832
8/23/2018,1219.88,1235.17,1219.3488,1221.16,1233347
8/24/2018,1226,1237.4,1221.42,1236.75,1222653
8/27/2018,1244.14,1257.87,1240.68,1256.27,1428992
8/28/2018,1255.9,1256.56,1242.97,1245.86,1366516
8/29/2018,1255,1267.17,1252.8,1264.65,1846615
8/30/2018,1263.4,1269.49,1247.21,1254.44,1505219
8/31/2018,1252.21,1252.545,1225.7547,1231.8,2115424
9/4/2018,1222.52,1227.87,1206.56,1211.31,2072869
9/5/2018,1209.22,1214.87,1175.34,1199.1,2699394
9/6/2018,1198.57,1198.9865,1163.61,1183.99,2342722
9/7/2018,1172,1188.545,1169.27,1177.59,1633190
9/10/2018,1184.2,1186.66,1170.61,1175.06,1383938
9/11/2018,1171.1,1190.94,1165.95,1189.99,1462688
9/12/2018,1182,1190.694,1166.16,1171.6,1785833
9/13/2018,1179.7,1187.86,1169.22,1182.14,2003418
9/14/2018,1188,1188,1173.52,1177.98,1208767
9/17/2018,1177.77,1181.82,1158.455,1159.83,1704790
9/18/2018,1162.66,1181.33,1161.425,1167.11,1615701
9/19/2018,1168.96,1176.27,1158.6152,1174.27,1298084
9/20/2018,1180.67,1194,1176.25,1191.57,1462455
9/21/2018,1194.92,1196.58,1172.06,1172.12,4561119
9/24/2018,1159.41,1185.19,1151.5,1179.56,1557479
9/25/2018,1184.25,1196.8599,1174.09,1193.89,1657809
9/26/2018,1193.69,1207.24,1185.3969,1194.06,1882524
9/27/2018,1200,1216.86,1198.05,1207.36,1813652
9/28/2018,1204.09,1208.45,1197.83,1207.08,1780759
10/1/2018,1213,1224.2,1203.19,1208.53,1659364
10/2/2018,1206.67,1224.52,1199.66,1207.64,2008956
10/3/2018,1212,1214.18,1202.15,1211.53,1312686
10/4/2018,1205.03,1205.9,1163.845,1177.07,2328778
10/5/2018,1176,1182,1154.32,1167.83,1593012
10/8/2018,1160,1175.86,1135.4,1155.92,2309539
10/9/2018,1151.31,1161.55,1144.17,1145.17,1684728
10/10/2018,1136.4,1137.02,1091.51,1092.16,2949006
10/11/2018,1079.04,1116.055,1075.89,1090.74,3384775
10/12/2018,1119.64,1125.8299,1095.025,1120.54,2468920
10/15/2018,1118,1121.795,1098.22,1102.44,1503956
10/16/2018,1113.48,1136.37,1111.75,1133.08,1918879
10/17/2018,1140,1147,1114,1127.59,1782614
10/18/2018,1130,1132.35,1086.34,1097.91,2307596
10/19/2018,1103.71,1120.95,1097.03,1105.18,2064289
10/22/2018,1112.51,1121.69,1100,1111.37,1355842
10/23/2018,1091.29,1118,1079.01,1114.91,1884255
10/24/2018,1115,1116.62,1055.06,1057.12,2464295
10/25/2018,1080.3,1117.82,1075.545,1103.59,3647814
10/26/2018,1048.33,1117,1042.23,1083.75,5321883
10/29/2018,1096.54,1108.83,1007.2,1034.73,4064452
10/30/2018,1020.01,1050.9,1013.97,1049.51,2988418
10/31/2018,1068.2,1108,1068.2,1090.58,3545821
11/1/2018,1091.4,1099.9,1077.82,1085.98,2006575
11/2/2018,1089,1098,1067.66,1071.49,2172215
11/5/2018,1072.53,1073.35,1034,1055.73,2267870
11/6/2018,1055.02,1079.82,1053.61,1069.57,1433013
11/7/2018,1083.49,1109.9299,1080.59,1108.24,2169392
11/8/2018,1107.3,1108.22,1084.36,1094.63,1685193
11/9/2018,1084.02,1088.35,1064.26,1077.02,1743298
11/12/2018,1073.13,1074.1,1040.35,1049.36,1700091
11/13/2018,1054.81,1066.665,1040.4,1047.97,1287475
11/14/2018,1060,1065.79,1041.11,1054.58,1733302
11/15/2018,1051.46,1078.87,1041.2925,1071.05,2079154
11/16/2018,1065.23,1072.44,1054.9,1068.27,1768308
11/19/2018,1063.39,1068,1022.8692,1027.42,2284191
11/20/2018,1007.29,1037.35,1002.21,1030.45,2722934
11/21/2018,1045.31,1054.705,1039.455,1043.43,1485172
11/23/2018,1033.5,1043,1028.52,1030.1,708859
11/26/2018,1044,1057,1039.77,1055.94,1577941
11/27/2018,1051.34,1066.76,1045.5,1052.28,1652433
11/28/2018,1057.46,1092.8575,1042.95,1091.79,2302121
11/29/2018,1083.53,1100.15,1082,1094.58,1550523
11/30/2018,1095.63,1109.65,1083.18,1109.65,2983340
12/3/2018,1132.16,1135,1111.73,1116.36,2876449
12/4/2018,1112.99,1114.24,1060.775,1062.47,2281485
12/6/2018,1045,1079.42,1042.48,1078.08,2371825
12/7/2018,1072.23,1085.03,1039.37,1046.58,2134111
12/10/2018,1042.94,1059.6,1033,1053.18,1682646
12/11/2018,1066.94,1070.4,1050.1,1061.65,1692576
12/12/2018,1077.08,1091.7325,1071.97,1073.73,1447973
12/13/2018,1075.67,1088.42,1064.994,1073.54,1249403
12/14/2018,1060.02,1071.72,1049.37,1051.71,1817949
12/17/2018,1047.01,1062.38,1016.63,1025.65,2496551
12/18/2018,1034,1059.69,1030.48,1043.41,2182019
12/19/2018,1047.29,1075.71,1019.43,1035.46,2913237
12/20/2018,1026,1047.44,1007.8648,1023.58,2683670
12/21/2018,1032.04,1037.67,981.19,991.25,5232490
12/24/2018,984.32,1012.1195,977.6599,984.67,1817955
12/26/2018,997.99,1048.45,992.645,1047.85,2315862
12/27/2018,1026.2,1053.34,1007,1052.9,2299806
12/28/2018,1059.5,1064.23,1042,1046.68,1718352
12/31/2018,1057.83,1062.99,1033.0387,1044.96,1655504
1/2/2019,1027.2,1060.79,1025.275,1054.68,1593395
1/3/2019,1050.67,1066.26,1022.37,1025.47,2097957
1/4/2019,1042.56,1080,1036.86,1078.07,2301428
1/7/2019,1080.97,1082.7,1062.64,1075.92,2372667
1/8/2019,1086,1093.35,1068.3486,1085.37,1770654
1/9/2019,1087.99,1091.64,1074.37,1081.65,1349912
1/10/2019,1074.94,1079.81,1064.68,1078.83,1329861
1/11/2019,1069.9,1073.37,1056.43,1064.47,1543238
1/14/2019,1053.34,1058.45,1048.55,1051.51,1424486
1/15/2019,1058.01,1088.27,1054.44,1086.51,1875852
1/16/2019,1090,1102.36,1088.01,1089.51,1914041
1/17/2019,1087.99,1100.7,1083.255,1099.12,1244801
1/18/2019,1108.59,1118,1099.2834,1107.3,2244569
1/22/2019,1096,1098.97,1070.89,1078.63,1981594
1/23/2019,1086.86,1092.95,1067.57,1084.41,1259738
1/24/2019,1082.51,1088,1070.02,1084,1455948
1/25/2019,1094.23,1103.36,1091.8012,1101.51,1163788
1/28/2019,1090.07,1093.365,1074.61,1079.86,1466714
1/29/2019,1081.04,1084.73,1066.02,1070.06,985248
1/30/2019,1077.36,1099.52,1076.64,1097.99,1472647
1/31/2019,1112.24,1127.67,1105.25,1125.89,2011572
2/1/2019,1122.29,1134.4,1114.25,1118.62,1655813
2/4/2019,1119.01,1142.34,1117.51,1141.42,3920591
2/5/2019,1129.63,1152.77,1123.6,1151.87,4114790
2/6/2019,1149.27,1154,1118.36,1122.89,2412820
2/7/2019,1111.82,1111.99,1093.59,1105.91,1914877
2/8/2019,1094.88,1105.095,1094.24,1102.38,1088327
2/11/2019,1103.75,1113.43,1100,1102.12,924881
2/12/2019,1111.01,1132.86,1111.01,1127.58,1751771
2/13/2019,1133.04,1142.8496,1126,1128.63,1402087
2/14/2019,1125,1136.13,1117.09,1129.2,1055297
2/15/2019,1139.3,1139.3,1116.72,1119.63,1391348
2/19/2019,1116.64,1129.64,1116.64,1126.51,1099259
2/20/2019,1128.88,1130.93,1111.75,1120.59,1204533
