Date,Open,High,Low,Close,Volume
4/19/2018,24.33,25.045,24.33,24.65,6830579
4/20/2018,24.61,24.66,23.82,23.99,6705806
4/23/2018,24.04,24.26,23.9,24.11,4011448
4/24/2018,24.32,24.41,24.02,24.14,5173678
4/25/2018,24.09,24.46,23.95,24.35,2941615
4/26/2018,24.37,24.68,24.135,24.49,6339587
4/27/2018,25.36,25.77,23.89,23.89,8325678
4/30/2018,24.06,24.24,23.59,23.59,5594978
5/1/2018,23.43,23.505,22.99,23.42,4683205
5/2/2018,23.39,23.42,22.89,22.93,4703936
5/3/2018,22.93,23.22,22.72,23.16,2629535
5/4/2018,23.1,23.78,23,23.66,3744103
5/7/2018,23.7,23.74,23.355,23.55,2669326
5/8/2018,23.46,23.785,23.4,23.48,3687359
5/9/2018,23.55,23.815,23.39,23.72,3551014
5/10/2018,23.78,24.24,23.695,24.21,4626934
5/11/2018,24.24,24.47,24.095,24.26,3175671
5/14/2018,24.25,24.31,24.05,24.22,2191994
5/15/2018,24.12,24.24,23.96,24.2,2428378
5/16/2018,24.26,24.42,23.98,24.04,2970964
5/17/2018,24.07,24.195,23.845,23.93,2858379
5/18/2018,23.94,24.12,23.7,23.77,4113609
5/21/2018,23.91,23.99,23.79,23.8,3171199
5/22/2018,23.89,24,23.76,23.77,2064112
5/23/2018,23.5,23.52,22.96,23.18,4449813
5/24/2018,23.15,23.36,23.065,23.14,2366290
5/25/2018,23.06,23.185,22.95,23.02,1982933
5/29/2018,22.84,22.985,22.475,22.64,3276730
5/30/2018,22.66,22.67,22.45,22.61,3039052
5/31/2018,22.65,22.65,22.34,22.6,3241116
6/1/2018,22.49,22.595,22.275,22.57,2721195
6/4/2018,22.65,22.82,22.539,22.78,2630141
6/5/2018,22.69,22.88,22.645,22.83,2340864
6/6/2018,22.84,22.97,22.71,22.97,1912728
6/7/2018,23,23.17,22.86,22.99,1515377
6/8/2018,22.95,23.14,22.95,23.12,2418223
6/11/2018,23.11,23.725,23.11,23.59,2421864
6/12/2018,23.5,23.59,23.29,23.46,3970885
6/13/2018,23.68,23.71,23.305,23.31,3015034
6/14/2018,23.39,23.83,23.39,23.58,3842279
6/15/2018,23.53,23.6,23.375,23.57,3485291
6/18/2018,23.41,23.64,23.255,23.63,2438552
6/19/2018,23.42,23.57,23.24,23.36,2436334
6/20/2018,23.4,23.54,23.305,23.42,1556815
6/21/2018,23.42,23.71,23.33,23.54,2334663
6/22/2018,23.67,24.01,23.6,23.91,7140493
6/25/2018,23.87,24.205,23.46,23.58,3690092
6/26/2018,23.48,23.725,23.455,23.62,2303224
6/27/2018,23.62,23.71,23.31,23.33,2402283
6/28/2018,23.36,23.73,23.165,23.71,2973195
6/29/2018,23.83,23.83,23.43,23.44,2267859
7/2/2018,23.25,23.29,22.695,23.03,3691075
7/3/2018,23.17,23.17,22.3,22.33,3538621
7/5/2018,22.4,22.52,22.11,22.4,3756184
7/6/2018,22.43,22.9,22.335,22.86,2392076
7/9/2018,22.88,23.13,22.795,23.09,2906039
7/10/2018,23.1,23.555,23.075,23.51,3475855
7/11/2018,23.47,23.68,23.19,23.24,4604878
7/12/2018,23.24,23.295,22.89,23.24,3730238
7/13/2018,23.13,23.38,23.13,23.3,2357094
7/16/2018,23.24,23.77,23.105,23.7,4266728
7/17/2018,22.95,22.985,22.24,22.26,7893657
7/18/2018,22.27,22.57,22.27,22.55,5562410
7/19/2018,21.85,22.26,21.45,21.85,10546778
7/20/2018,21.82,21.85,21.41,21.48,4518446
7/23/2018,21.48,22.04,21.48,21.98,6086855
7/24/2018,23.32,23.32,21.72,21.82,10039215
7/25/2018,22.04,22.53,21.86,22.4,7594198
7/26/2018,22.39,22.8058,22.34,22.38,3637506
7/27/2018,22.48,22.62,22.295,22.42,2440942
7/30/2018,22.4,22.41,22.16,22.22,2428423
7/31/2018,22.36,22.66,22.08,22.55,4014829
8/1/2018,22.38,22.45,21.92,21.98,3352449
8/2/2018,21.93,22.27,21.73,22.08,3219627
8/3/2018,22.2,22.255,21.965,22.02,1828076
8/6/2018,22.02,22.36,21.93,22.25,1819501
8/7/2018,22.38,22.52,22.305,22.36,3129883
