Date,Open,High,Low,Close,Volume
4/19/2018,17.55,17.6985,17.23,17.32,5971433
4/20/2018,17.38,17.65,17.28,17.61,9811259
4/23/2018,17.67,17.79,17.45,17.73,6061731
4/24/2018,17.81,18.085,17.7008,17.93,9483076
4/25/2018,17.87,18.5,17.78,18.5,10647758
4/26/2018,18.36,18.585,18.23,18.52,8815821
4/27/2018,18.56,18.95,18.53,18.9,7935286
4/30/2018,19,19.06,18.58,18.58,8401287
5/1/2018,18.55,18.75,18.2401,18.49,10440918
5/2/2018,18.6,18.74,18.42,18.49,8991542
5/3/2018,18.47,18.48,17.92,18.07,9442724
5/4/2018,18.05,18.545,17.99,18.49,7829179
5/7/2018,18.55,18.66,18.3,18.48,12307393
5/8/2018,18.31,18.38,17.88,18.13,12365879
5/9/2018,18.09,18.34,17.98,18.04,13642061
5/10/2018,18.95,19.75,18.79,19.4,27891992
5/11/2018,19.41,19.875,19.3,19.6,16782835
5/14/2018,19.65,19.72,19.22,19.24,11607992
5/15/2018,19.15,19.39,18.98,19.37,8855570
5/16/2018,19.35,19.55,19.13,19.26,8620345
5/17/2018,19.31,19.585,19.24,19.25,16489762
5/18/2018,19.22,19.38,19.15,19.29,14691479
5/21/2018,19.36,19.42,19.17,19.28,7641706
5/22/2018,19.28,19.51,19.24,19.29,7139919
5/23/2018,19.29,19.315,18.93,19.01,7810368
5/24/2018,19.05,19.11,18.46,18.52,16334170
5/25/2018,18.63,18.64,17.96,18.18,15565751
5/29/2018,18.06,18.32,17.927,18.22,11963576
5/30/2018,18.38,18.38,18.08,18.31,6722211
5/31/2018,18.33,18.4,18.135,18.22,13836226
6/1/2018,17.85,17.93,17.6647,17.74,13349007
6/4/2018,17.85,17.96,17.565,17.64,8942913
6/5/2018,17.67,17.8,17.39,17.43,12455172
6/6/2018,17.52,17.59,17.4,17.59,11748226
6/7/2018,17.54,17.82,17.51,17.62,7029602
6/8/2018,17.53,17.65,17.29,17.65,9326510
6/11/2018,17.73,17.92,17.54,17.85,11621031
6/12/2018,17.95,18.07,17.77,17.95,7700141
6/13/2018,17.88,17.95,17.54,17.54,7195913
6/14/2018,17.68,18.07,17.68,18.01,9035814
6/15/2018,18.06,18.11,17.937,18.02,13092499
6/18/2018,18.03,18.3,17.97,18.13,8453452
6/19/2018,18,18.56,18,18.44,8624330
6/20/2018,18.44,18.605,18.11,18.57,10032269
6/21/2018,18.59,18.66,18.41,18.45,5089165
6/22/2018,18.58,18.83,18.55,18.62,8422374
6/25/2018,18.6,18.9399,18.4,18.78,8945055
6/26/2018,18.96,19.02,18.62,18.75,7399916
6/27/2018,18.78,18.99,18.64,18.65,5149037
