Date,Open,High,Low,Close,Volume
4/19/2018,39.36,39.61,38.85,39.47,1592279
4/20/2018,39.61,39.79,39.05,39.25,1596908
4/23/2018,39.85,40.31,39.63,40.11,2132200
4/24/2018,40.29,40.56,39.38,39.8,2175355
4/25/2018,39.33,39.71,39.21,39.47,1579277
4/26/2018,39.8,40.31,39.49,40.27,1282225
4/27/2018,40.43,40.64,39.46,39.56,1080264
4/30/2018,39.56,40.28,39.47,39.47,2267596
5/1/2018,39.33,39.78,38.89,39.75,2058147
5/2/2018,39.6,40.415,39.54,40.11,1240802
5/3/2018,40.1,40.46,39.52,40.43,1594166
5/4/2018,46.16,46.46,43.83,45.5,5223700
5/7/2018,45.62,45.96,44.62,45.07,3089073
5/8/2018,44.89,45.2099,43,43.04,2070321
5/9/2018,42.94,42.99,42.22,42.87,1872982
5/10/2018,42.98,43.16,42.72,42.8,1461358
5/11/2018,42.92,43.11,42.36,42.52,979834
5/14/2018,42.53,42.89,42.41,42.72,951350
5/15/2018,42.45,44.05,42.4,43.9,1943846
5/16/2018,43.94,44.28,43.235,43.83,1446596
5/17/2018,43.76,44.75,43.66,44.43,1386960
5/18/2018,44.36,44.92,44.21,44.31,1115819
5/21/2018,44.7,44.99,44.64,44.86,1321987
5/22/2018,44.81,44.95,43.78,44.44,2032062
5/23/2018,44.07,44.6,43.84,44.06,951977
5/24/2018,44.11,44.11,43.17,43.5,1036333
5/25/2018,43.43,43.8,43.24,43.37,682651
5/29/2018,43.14,43.49,42.71,42.91,812603
5/30/2018,43.04,43.51,43.04,43.33,1135075
5/31/2018,43.36,43.5999,42.61,42.63,1462641
6/1/2018,42.76,43.76,42.73,43.57,900489
6/4/2018,43.82,43.879,43.34,43.52,569644
6/5/2018,43.67,43.89,43.33,43.66,740010
6/6/2018,43.68,44.955,43.48,44.88,1263285
6/7/2018,44.99,45.51,44.72,45.16,1024814
6/8/2018,45.16,45.96,44.99,45.86,1968844
6/11/2018,45.82,46.71,45.55,46.11,1610033
6/12/2018,46.19,46.45,45.795,46.18,1577530
6/13/2018,46.84,47.22,46.46,46.48,1316166
6/14/2018,46.32,46.64,46.195,46.55,961700
6/15/2018,46.54,47.09,46.455,46.93,1913035
6/18/2018,46.43,47.13,46.12,46.97,967182
6/19/2018,46.82,47.02,46.36,46.96,1146338
6/20/2018,47.46,47.66,47.025,47.11,1275676
6/21/2018,47.36,47.51,46.98,47.03,876744
6/22/2018,47.78,48.75,47.78,48.73,2496659
6/25/2018,48.44,48.49,47.45,47.77,1312874
6/26/2018,47.76,47.9,47.37,47.76,753541
6/27/2018,48.06,48.35,46.89,46.98,1074035
6/28/2018,47.06,48.73,46.7247,48.69,1620033
6/29/2018,48.69,49.36,48.33,48.57,2040289
7/2/2018,48.3,49.39,48.02,49.17,1198781
7/3/2018,49.34,49.485,48.16,48.22,502076
7/5/2018,48.71,49.09,48.5663,49.08,995588
7/6/2018,49.19,49.96,49.05,49.69,817114
7/9/2018,50.14,50.41,49.71,50.04,1181859
7/10/2018,50.18,50.33,49.69,49.96,851075
7/11/2018,49.39,50.36,49.33,49.77,974194
7/12/2018,49.88,51.23,49.73,51.18,1354306
7/13/2018,51.51,52.19,51.14,51.54,1570103
7/16/2018,51.62,51.729,50.92,51.24,998140
7/17/2018,50.76,51.61,50.72,51.44,1090395
7/18/2018,51.44,51.945,51.34,51.77,900074
7/19/2018,51.43,51.45,50.7,51.27,1268965
7/20/2018,51.31,51.47,50.95,51.27,983322
7/23/2018,51.14,51.39,50.865,51.01,878866
7/24/2018,52.53,52.84,51.52,51.81,1507523
7/25/2018,51.64,52.444,51.19,52.41,1168244
7/26/2018,52.56,52.64,51.58,51.6,1854674
7/27/2018,52.11,52.62,49.39,50.35,3392497
7/30/2018,50.23,50.53,48.75,48.85,1922705
7/31/2018,48.97,49.7,48.52,49.28,2026819
8/1/2018,49.04,49.67,49,49.12,1780968
8/2/2018,48.91,49.72,48.76,49.48,1014761
8/3/2018,49.67,49.81,48.82,49.02,1157536
8/6/2018,49.11,49.86,49,49.53,1058688
8/7/2018,49.8,50.32,49.495,49.7,941371
8/8/2018,49.55,49.74,49.24,49.49,1246210
8/9/2018,49.39,49.84,49.25,49.26,885106
8/10/2018,49.19,49.75,49.01,49.2,1212542
8/13/2018,49.14,49.75,48.855,48.93,1047774
8/14/2018,49.08,50.22,48.76,49.17,1552429
8/15/2018,48.93,49.3,47.87,48.49,1433542
8/16/2018,48.64,49.39,48.46,48.69,1191747
8/17/2018,48.7,48.74,47.92,48.15,834834
8/20/2018,48.15,48.33,47.58,48.21,1325528
8/21/2018,48.4,49.23,48.38,49.2,1205556
8/22/2018,49.2,49.69,49.04,49.56,832342
8/23/2018,49.54,49.64,49.135,49.2,1163125
8/24/2018,49.2,49.69,49.2,49.48,838289
8/27/2018,49.8,50.19,49.43,49.58,1001907
8/28/2018,49.67,50.01,49.21,49.69,599095
8/29/2018,49.91,49.91,49.18,49.65,920542
8/30/2018,49.64,49.64,49.19,49.39,807804
8/31/2018,49.35,49.78,49.165,49.68,1214999
9/4/2018,49.4,50.62,48.83,50.31,1029523
9/5/2018,50.13,50.19,49.22,49.41,794777
9/6/2018,49.38,49.87,49.16,49.47,1005357
9/7/2018,49.22,50.37,49.2005,49.92,1370958
9/10/2018,50.2,50.58,50,50.29,847429
9/11/2018,50.13,51.64,50.13,51.46,1358890
9/12/2018,51.36,53.03,51.09,52.83,1888187
9/13/2018,52.97,54.73,52.97,54.58,5284106
9/14/2018,54.83,55.26,54.655,54.71,1601106
9/17/2018,54.72,54.72,53.33,53.47,1207151
9/18/2018,53.58,53.74,53.19,53.67,896795
9/19/2018,53.65,53.939,52.47,52.73,1009110
9/20/2018,51.88,52.52,50.45,52.39,3118325
9/21/2018,52.41,53.58,52.41,53.41,1915777
9/24/2018,53,53.77,52.55,53.52,1437649
9/25/2018,53.64,54.12,53.57,53.67,1233757
9/26/2018,53.85,54.03,53.37,53.49,1452420
9/27/2018,53.46,54.13,53.2,53.9,772475
9/28/2018,53.85,54.73,53.83,54.47,1579164
