Date,Open,High,Low,Close,Volume
4/19/2018,16.25,16.425,16.25,16.4,179917
4/20/2018,16.4,16.4,16.25,16.35,308299
4/23/2018,16.3,16.45,16.25,16.35,375613
4/24/2018,16.45,16.5,16.05,16.15,389552
4/25/2018,16.15,16.25,15.975,16.15,355238
4/26/2018,16.15,16.3,16.125,16.2,182125
4/27/2018,16.2,16.25,16.075,16.25,140661
4/30/2018,16.35,16.425,16.15,16.25,401555
5/1/2018,16.2,16.2,16,16.2,380880
5/2/2018,16.15,16.225,15.85,15.85,300700
5/3/2018,15.95,16.25,15.8,16.2,679257
5/4/2018,16.15,16.4,16.1,16.35,277291
5/7/2018,16.35,16.65,16.35,16.6,364828
5/8/2018,16.65,16.75,16.5,16.6,315081
5/9/2018,16.75,16.75,16.5,16.65,911437
5/10/2018,16.75,16.8,16.575,16.675,1046179
5/11/2018,16.75,16.75,15.35,15.5,962941
5/14/2018,15.75,16.35,15.75,16.25,1629978
5/15/2018,16.25,16.325,15.95,16.25,584980
5/16/2018,16.2,16.4,16.125,16.25,594644
5/17/2018,16.25,16.35,16.1,16.2,981592
5/18/2018,16.15,16.2,16,16.1,1104766
5/21/2018,16.1,16.275,16.1,16.2,677153
5/22/2018,16.2,16.3,16,16.05,1311517
5/23/2018,16.1,16.1,15.85,16,506683
5/24/2018,16.1,16.1,15.85,16,731380
5/25/2018,15.95,16.1,15.95,16.05,159529
5/29/2018,16,16.1,15.5,15.55,573572
5/30/2018,15.75,15.95,15.675,15.875,289916
5/31/2018,15.85,15.9,15.4,15.45,430421
6/1/2018,15.5,15.75,15.5,15.6,307581
6/4/2018,15.75,15.775,15.6,15.65,251245
6/5/2018,15.65,16.05,15.65,16.05,239521
6/6/2018,16,16.2,15.95,16.1,291172
6/7/2018,16.1,16.2,16,16.1,286751
6/8/2018,16.1,16.3,16.05,16.15,449110
6/11/2018,16,16.325,16,16.2,264996
6/12/2018,16.25,16.45,16.25,16.4,213780
6/13/2018,16.35,16.675,16.05,16.1,903072
6/14/2018,16.2,16.25,16,16.15,803181
6/15/2018,16,16.45,15.95,16.25,1883836
6/18/2018,16.1,16.3,16.05,16.3,400507
6/19/2018,16.1,16.2,16.05,16.1,643535
6/20/2018,16.15,16.3,16.1,16.15,820068
6/21/2018,16.1,16.2,15.9,16,716133
6/22/2018,16.15,16.15,16,16.05,541024
6/25/2018,16,16.1,15.7,15.75,313040
6/26/2018,15.75,15.85,15.6,15.7,370510
6/27/2018,15.75,16,15.7,15.75,346061
6/28/2018,15.8,15.85,15.65,15.8,285729
6/29/2018,15.75,15.95,15.75,15.85,379695
7/2/2018,15.7,15.8,15.4,15.45,469935
7/3/2018,15.6,15.7,15.55,15.55,226072
7/5/2018,15.55,15.6,15.35,15.5,477752
7/6/2018,15.45,15.7,15.45,15.6,169549
7/9/2018,15.75,15.775,15.6,15.7,209782
7/10/2018,15.7,16.1,15.7,16.05,260744
7/11/2018,15.9,16.15,15.75,15.8,258053
7/12/2018,15.9,15.9,15.65,15.75,156100
7/13/2018,15.75,15.85,15.75,15.8,115934
7/16/2018,15.75,15.8,15.6,15.65,159612
7/17/2018,15.6,15.625,15.475,15.55,338029
7/18/2018,15.45,15.85,15.45,15.65,523782
7/19/2018,15.55,15.825,15.5,15.6,394504
7/20/2018,15.55,15.7,15.45,15.5,254275
7/23/2018,15.55,15.725,15.4,15.5,365234
7/24/2018,15.55,15.55,15.2,15.25,145310
7/25/2018,15.25,15.4,15.2,15.4,244601
7/26/2018,15.4,15.4765,15.25,15.25,202850
7/27/2018,15.3,15.375,15,15.1,212845
7/30/2018,15.15,15.25,15,15.15,233171
7/31/2018,15.15,15.35,15.1,15.3,173802
8/1/2018,15.2,15.3,15.1,15.25,312287
8/2/2018,15.1,15.25,15.1,15.2,158370
8/3/2018,15.15,15.3,15.1,15.3,123260
8/6/2018,15.25,15.45,15.225,15.35,226658
8/7/2018,15.35,15.45,15.225,15.3,176141
8/8/2018,15.35,15.4,15.175,15.3,262747
8/9/2018,15.35,15.625,15.25,15.4,386221
8/10/2018,15.2,15.2,13.2,13.45,940131
8/13/2018,13.6,14.05,13.6,13.95,1560202
8/14/2018,14.15,14.3,13.9,14.15,1609372
8/15/2018,14.15,14.2,13.95,14.1,1667797
8/16/2018,14.3,14.4,14.15,14.3,817136
8/17/2018,14.35,14.45,14.1,14.45,1320955
8/20/2018,14.05,14.15,13.75,14.05,910850
8/21/2018,14.15,14.15,13.9,14.05,1638099
8/22/2018,14.1,14.2,14,14.2,469894
8/23/2018,14.1,14.15,13.75,13.85,613385
8/24/2018,13.95,14.05,13.75,13.85,948915
8/27/2018,13.9,14,13.6,13.8,884697
8/28/2018,13.8,13.85,13.65,13.75,479524
8/29/2018,13.8,14,13.75,13.85,519905
8/30/2018,13.8,13.95,13.65,13.7,615744
8/31/2018,13.6,13.75,13.45,13.6,444315
9/4/2018,13.65,13.75,13.35,13.4,437658
9/5/2018,13.45,13.5,13.25,13.4,659323
9/6/2018,13.35,13.55,13.05,13.15,975417
9/7/2018,12.955,13.25,12.95,13.1,334339
9/10/2018,13.15,13.225,12.95,13.05,636570
9/11/2018,13,13.1,12.8,13,563658
9/12/2018,13.05,13.125,12.8,12.9,579045
9/13/2018,12.9,13.1,12.9,13.05,408416
9/14/2018,13,13.025,12.75,12.85,586465
9/17/2018,13.1,13.1,12.7,12.75,283203
9/18/2018,12.85,13,12.7,12.9,504944
9/19/2018,12.85,13.125,12.85,12.95,552290
9/20/2018,13,13.1,12.85,13.1,437802
9/21/2018,13.1,13.25,12.95,13.2,1770297
9/24/2018,13.05,13.3,13.05,13.25,493285
9/25/2018,13.3,13.425,13.25,13.35,504480
9/26/2018,13.4,13.45,13.2,13.4,530584
9/27/2018,13.35,13.5762,13.25,13.35,774081
9/28/2018,13.35,13.6858,13.25,13.6,523512
10/1/2018,13.64,13.74,13.41,13.53,908853
10/2/2018,13.51,13.54,13.38,13.39,1099934
10/3/2018,13.45,13.81,13.37,13.73,1399115
10/4/2018,13.69,13.73,13.53,13.66,1181081
10/5/2018,13.76,13.81,13.6,13.64,931868
10/8/2018,13.65,13.65,13.46,13.63,424045
10/9/2018,13.9,13.9,13.59,13.73,793283
10/10/2018,13.65,13.73,13.15,13.16,776667
10/11/2018,13.12,13.195,12.96,13.02,750316
10/12/2018,13.14,13.24,13.06,13.2,670773
10/15/2018,13.13,13.43,12.91,13.29,453603
10/16/2018,13.41,13.48,13.29,13.45,424385
10/17/2018,13.39,13.6,13.33,13.51,674045
10/18/2018,13.52,13.6,13.36,13.42,609744
10/19/2018,13.45,13.67,13.35,13.38,1629125
10/22/2018,13.39,13.46,13.32,13.4,718926
10/23/2018,13.16,13.38,13.07,13.23,1278870
10/24/2018,13.18,13.39,12.995,13.02,727291
10/25/2018,13,13.205,12.94,13.03,893865
10/26/2018,12.92,13.02,12.74,12.84,1012019
10/29/2018,12.98,13.14,12.575,12.69,513989
10/30/2018,12.78,13.04,12.72,13.03,559122
10/31/2018,13.05,13.52,13.05,13.34,590555
11/1/2018,13.35,13.41,13.18,13.31,853267
11/2/2018,13.33,13.43,13.185,13.36,473391
11/5/2018,13.36,13.49,13.25,13.36,978038
11/6/2018,13.4,13.52,13.3,13.47,395497
11/7/2018,13.5,13.66,13.425,13.6,535837
11/8/2018,14.14,14.34,13.67,14.31,766709
11/9/2018,14.27,14.54,14.27,14.4,887598
11/12/2018,14.4,14.45,13.88,13.89,609046
11/13/2018,13.95,14.1,13.855,13.91,571642
11/14/2018,14.02,14.1,13.89,14.06,401687
11/15/2018,13.95,13.95,13.7,13.85,622958
11/16/2018,13.79,14.02,13.79,13.88,384159
11/19/2018,13.87,13.87,13.59,13.65,549133
11/20/2018,13.5,13.62,12.92,12.95,508665
11/21/2018,12.96,13.19,12.92,12.99,552184
11/23/2018,12.92,13.09,12.86,12.96,186816
11/26/2018,13.09,13.44,13.07,13.42,511950
11/27/2018,13.4,13.55,13.18,13.27,477202
11/28/2018,13.22,13.52,13.15,13.52,596582
11/29/2018,13.5,13.73,13.5,13.6,285855
11/30/2018,13.57,13.66,13.37,13.4,482026
12/3/2018,13.49,13.8,13.49,13.69,348282
12/4/2018,13.65,13.77,13.24,13.27,441504
12/6/2018,13.14,13.14,12.69,12.86,798239
12/7/2018,12.87,13.03,12.64,12.71,343297
12/10/2018,12.69,12.84,12.43,12.79,679659
12/11/2018,12.95,13.11,12.595,12.66,716877
12/12/2018,12.84,13.15,12.8,12.97,380329
12/13/2018,12.99,13.18,12.74,12.81,394443
12/14/2018,12.65,12.72,12.42,12.46,459508
12/17/2018,12.47,12.55,12.19,12.27,732797
12/18/2018,12.34,12.55,12.06,12.16,427684
12/19/2018,12.19,12.43,11.99,12.01,694223
12/20/2018,12.01,12.01,11.48,11.57,672526
12/21/2018,11.57,11.87,11.245,11.25,1735082
12/24/2018,11.19,11.375,11.06,11.06,431424
12/26/2018,11.1,11.36,10.85,11.36,782526
