Date,Open,High,Low,Close,Volume
4/19/2018,15.98,16.22,15.95,16.19,1550488
4/20/2018,16.23,16.23,16.095,16.17,2417061
4/23/2018,16.18,16.27,16.09,16.18,1107760
4/24/2018,16.24,16.29,15.87,15.9,1173026
4/25/2018,15.87,15.95,15.745,15.88,1094548
4/26/2018,15.99,16.05,15.88,15.97,1101045
4/27/2018,15.95,16.29,15.8607,16.01,883248
4/30/2018,16.06,16.16,15.92,15.98,1387642
5/1/2018,15.94,16.03,15.815,16.01,1874515
5/2/2018,15.95,16,15.69,15.71,2250715
5/3/2018,15.7,15.915,15.55,15.88,1368156
5/4/2018,15.81,16.15,15.77,16.14,1236126
5/7/2018,16.16,16.45,16.09,16.39,1493696
5/8/2018,16.31,16.47,16.31,16.37,2328580
5/9/2018,16.44,16.52,16.02,16.51,1688206
5/10/2018,16.56,16.6511,16.44,16.59,1979696
5/11/2018,16.1,16.56,15.18,15.18,3252955
5/14/2018,15.43,15.93,15.41,15.82,4637769
5/15/2018,15.78,15.87,15.6,15.79,2364096
5/16/2018,15.8,15.99,15.69,15.89,1996350
5/17/2018,15.86,15.94,15.7,15.74,2517763
5/18/2018,15.68,15.74,15.59,15.63,2746089
5/21/2018,15.67,15.79,15.58,15.7,1570633
5/22/2018,15.7,15.795,15.59,15.61,1430084
5/23/2018,15.52,15.57,15.4,15.48,1275884
5/24/2018,15.45,15.57,15.4,15.52,1576997
5/25/2018,15.49,15.62,15.46,15.58,1269618
5/29/2018,15.46,15.62,15.025,15.08,2067155
5/30/2018,15.17,15.46,15.17,15.4,1667512
5/31/2018,15.39,15.43,14.97,15.03,2912590
6/1/2018,15.14,15.26,15.09,15.21,2238395
6/4/2018,15.3,15.35,15.215,15.29,1478790
6/5/2018,15.26,15.65,15.26,15.62,1727095
6/6/2018,15.64,15.775,15.54,15.7,1577541
6/7/2018,15.72,15.79,15.61,15.66,1539426
6/8/2018,15.67,15.86,15.63,15.82,1513847
6/11/2018,15.79,15.92,15.74,15.87,902451
6/12/2018,15.92,16.045,15.855,16,1137605
6/13/2018,16.05,16.345,15.84,15.85,2326742
6/14/2018,15.97,16.05,15.82,16.02,2124363
