Date,Open,High,Low,Close,Volume
4/19/2018,75.29,76.19,74.88,75.03,2580880
4/20/2018,74.91,75.4,73.28,73.74,2815910
4/23/2018,73.82,74.12,73.37,73.88,1531760
4/24/2018,74.24,74.44,72.97,73.3,1942947
4/25/2018,73.36,74.74,73.06,74.38,1561753
4/26/2018,74.53,74.8,74.11,74.48,1627879
4/27/2018,74.96,75.05,73.77,73.91,1439751
4/30/2018,74.41,74.97,73.65,73.66,1640667
5/1/2018,73.36,74.32,73.06,74.22,1519736
5/2/2018,74.1,74.4,73.5,73.52,1342658
5/3/2018,73.51,74.41,72.87,74.13,1485127
5/4/2018,73.81,74.96,73.39,74.58,1223227
5/7/2018,74.89,74.89,73.14,74.05,1727579
5/8/2018,73.93,74.34,73.41,73.87,1001540
5/9/2018,74.06,74.33,73.59,74.29,1096515
5/10/2018,74.5,74.91,74.19,74.62,1154563
5/11/2018,74.8,75.66,74.55,75.08,1128498
5/14/2018,75.03,75.46,74.66,74.98,972004
5/15/2018,74.59,74.93,74.05,74.48,1765662
5/16/2018,74.69,75.82,74.4865,74.79,1430041
5/17/2018,74.79,75.24,74.25,74.3,1182126
5/18/2018,74.45,75.46,74.45,74.96,1219518
5/21/2018,75.1,75.78,74.45,75.29,1371166
5/22/2018,75.5,75.9,75.25,75.26,1452404
5/23/2018,74.63,74.63,71.63,72.25,3876535
5/24/2018,71.69,72.63,71.69,72.08,1780475
5/25/2018,71.94,72.3834,71.73,71.96,1732075
5/29/2018,71.41,71.665,69.14,70.22,2474306
5/30/2018,70.23,71.27,69.78,71.25,1685350
5/31/2018,71.25,72.14,70.61,72.08,3347575
6/1/2018,72.23,73.06,72.07,72.27,1908471
6/4/2018,72.44,73.01,72.18,72.84,1265005
6/5/2018,72.85,73.2,71.82,72.97,1487467
6/6/2018,73,73.6,72.7525,73.45,1325562
6/7/2018,73.63,73.96,72.91,73.5,1528144
6/8/2018,73.47,73.93,73.325,73.9,906496
6/11/2018,73.92,75.46,73.77,75.09,1781581
6/12/2018,75.07,75.68,74.73,75.58,1487698
6/13/2018,75.73,75.79,74.26,74.41,1701063
6/14/2018,74.7,76.21,74.3355,75.37,2751563
6/15/2018,75.03,75.44,74.63,75.42,3186276
6/18/2018,74.98,75.8,74.625,75.56,1070858
6/19/2018,74.66,75.58,74.54,75.07,1785449
6/20/2018,75.09,75.55,74.79,75.16,1796917
6/21/2018,75.25,75.87,74.77,75.49,1408524
6/22/2018,75.8,76.48,75.06,75.91,2949450
6/25/2018,76.15,77.31,74.72,74.92,2367925
6/26/2018,74.87,75.5,74.72,75.08,1576166
6/27/2018,75.1,76.36,74.73,75.04,1277864
6/28/2018,75.18,76.44,74.76,76.31,2214196
6/29/2018,76.3,76.98,76.18,76.27,1394661
7/2/2018,75.79,76.06,74.87,75.5,1381207
7/3/2018,75.92,75.97,74.8,75.22,828252
7/5/2018,75.71,76.08,75.15,76.02,1197969
7/6/2018,76.19,77.48,75.95,77.08,1100802
7/9/2018,77.22,77.4,76.45,77.17,1289606
7/10/2018,77.24,77.89,76.7999,77.84,1330745
7/11/2018,77.39,78.14,76.6,76.63,2301329
7/12/2018,76.67,78.38,76.48,78.14,2528278
7/13/2018,77.87,78.29,77.1817,77.51,1921326
7/16/2018,77.22,78.17,76.98,78.1,4253613
7/17/2018,74,74.24,70.2601,70.69,10867462
7/18/2018,70.7,71.07,69.6901,70.6,4023923
7/19/2018,69.97,70.71,69.56,69.61,4115157
7/20/2018,69.55,69.56,68.05,68.18,5358742
7/23/2018,67.95,69.61,67.71,68.28,4250069
7/24/2018,68.54,68.76,66.38,67.6,3545430
7/25/2018,68.02,68.56,67.48,67.8,1796729
7/26/2018,68.14,69.27,67.85,68.85,2712137
7/27/2018,69.04,69.28,68.55,68.98,2137560
7/30/2018,69.04,69.36,68.19,68.36,1333571
7/31/2018,68.59,69.4,68.28,68.83,2448595
8/1/2018,68.51,68.77,67.42,67.47,1588921
8/2/2018,67.36,67.95,66.15,67.34,1410005
8/3/2018,67.68,68.05,67.1864,67.45,1249307
8/6/2018,67.47,68.1724,67.36,67.71,833517
8/7/2018,68.15,68.44,67.72,68.26,1119511
8/8/2018,68.23,68.34,67.49,67.79,919732
8/9/2018,67.77,68.36,67.55,67.93,1825819
8/10/2018,67.72,67.98,67.16,67.85,1417055
8/13/2018,67.89,67.95,67.22,67.31,1520190
8/14/2018,67.45,68.31,67.32,68.12,1158177
8/15/2018,67.76,68.17,67.37,68.14,1660054
8/16/2018,68.64,69.65,68.64,69.33,1777943
8/17/2018,69.24,69.3,68.57,68.59,1324104
8/20/2018,68.91,69.61,68.74,68.99,1410253
8/21/2018,69.09,69.63,68.715,69.6,1522041
8/22/2018,69.54,69.59,68.97,69.09,1007841
8/23/2018,69.08,69.23,68.46,68.57,1205400
8/24/2018,68.77,69.16,68.34,68.97,716318
8/27/2018,69.22,69.54,68.99,69.43,1174296
8/28/2018,69.5,69.61,69.17,69.42,910215
8/29/2018,69.6,69.88,69.14,69.48,1298021
8/30/2018,69.15,69.62,68.74,68.94,2000510
8/31/2018,68.88,69.48,68.76,69.32,2399723
9/4/2018,68.28,68.49,66.51,67.99,2405936
9/5/2018,67.87,68.72,67.3,68.7,3330586
9/6/2018,68.84,69.55,68.72,69.25,1875121
9/7/2018,69.06,70.05,68.87,69.87,1313371
9/10/2018,70.12,70.12,69.52,69.61,2551129
9/11/2018,69.59,69.9,68.41,68.81,2112690
9/12/2018,68.78,69.07,68.38,69,1832666
9/13/2018,69.23,69.64,68.71,69.31,2165360
9/14/2018,69.4,69.87,68.83,68.98,1563152
9/17/2018,69.67,70.09,68.88,69.76,1711969
9/18/2018,69.34,69.55,69.06,69.3,1317825
9/19/2018,69.56,70.12,68.8,68.98,3288478
9/20/2018,68.81,70.03,68.7,69.64,3836601
9/21/2018,69.61,71.22,69.55,70.9,4678292
9/24/2018,70.8,71.02,69.82,70.17,2126962
9/25/2018,70.35,70.35,69.73,70.27,2137882
9/26/2018,70.34,70.98,70.13,70.32,1394506
9/27/2018,70.27,70.54,66.48,68.21,3364315
9/28/2018,67.08,68.2192,65.85,68.02,4590869
10/1/2018,66.75,68.32,66.75,68.08,2342462
10/2/2018,68.25,69.46,68.11,69.04,2723988
10/3/2018,69.27,70.2475,69.05,70.16,2086272
10/4/2018,70.27,70.66,69.49,69.91,2550826
10/5/2018,70.45,70.945,69.78,70.21,2347013
10/8/2018,69.69,72.36,69.61,72.35,3382434
10/9/2018,72.88,73.12,71.43,71.7,3499195
10/10/2018,71.27,71.79,69.47,69.57,2384758
10/11/2018,69.92,70.17,68.05,68.07,2412588
10/12/2018,68.67,69.08,67.59,68.6,2022959
10/15/2018,68.36,70.17,68.28,69.5,2954019
10/16/2018,73.79,74.785,71.89,74.36,9158930
10/17/2018,75,76.11,74.39,75.69,4753684
10/18/2018,75.78,76.65,75.45,76.17,4431094
10/19/2018,76.66,77.73,76.3,77.07,4976397
10/22/2018,77.38,77.85,76.26,77.55,2881930
10/23/2018,76.6,76.78,75.56,76.03,4512485
10/24/2018,75.76,76.49,72.99,73.22,4662522
10/25/2018,72.79,72.79,70.96,71.89,5224442
10/26/2018,70.92,71.69,69.61,71.04,3162281
10/29/2018,71.85,73.56,71.71,72.43,4567935
10/30/2018,72.64,74.86,72.535,74.8,3387195
10/31/2018,75.14,75.295,73.72,74.32,3877390
11/1/2018,74.75,75.1,74.44,74.7,1996223
11/2/2018,75,75.34,74.41,74.69,1683887
11/5/2018,75,75.565,74.77,75.47,2447922
11/6/2018,75.5,75.85,75.32,75.7,2679179
11/7/2018,76,76.23,74.76,75.91,1624140
11/8/2018,75.89,76.22,75.08,76.04,2282234
11/9/2018,75.8,76.71,75.31,75.57,2640036
11/12/2018,75.42,76.27,75.31,75.7,1298595
11/13/2018,76.01,76.56,75.79,76.16,2720144
11/14/2018,76.5,77.04,75.98,76.51,2200841
11/15/2018,76.11,76.84,75.8,76.71,2073735
11/16/2018,76.92,77.475,76.42,77.1,3607200
11/19/2018,77.07,77.81,76.63,76.85,2742537
11/20/2018,76.14,76.59,75.04,75.7,2816134
11/21/2018,75.81,77.56,75.65,76.66,4041528
11/23/2018,76.25,76.91,74.87,74.88,1044818
11/26/2018,75.4,76.185,75.17,76.17,1732954
11/27/2018,76.26,77.57,76.26,77.28,2503626
11/28/2018,77.37,77.625,76.68,77.51,2572803
11/29/2018,77.26,77.83,76.86,77.18,2676993
11/30/2018,77.41,77.54,76.72,76.97,3236330
12/3/2018,77.63,77.68,75.93,76.68,2000042
12/4/2018,76.77,77.31,75.315,75.63,3298493
12/6/2018,75.12,75.66,74.46,75.48,3410046
12/7/2018,75.53,75.91,74.99,75.5,2572590
12/10/2018,75.35,76.09,74.62,75.84,3090757
12/11/2018,77,77.64,76.24,76.95,3667143
12/12/2018,77.61,78.05,77.27,77.59,2964068
12/13/2018,77.71,78.075,76.295,77.04,1825971
12/14/2018,76.71,77.14,75.48,75.78,2232009
12/17/2018,75.67,76.36,74.615,74.97,2226172
12/18/2018,75.45,75.82,73.84,74.39,2278285
12/19/2018,74.22,75.5,73.67,73.87,2484987
12/20/2018,73.24,73.335,71.33,72.25,2101380
12/21/2018,72.21,73.74,70.19,70.23,4978510
12/24/2018,69.76,70.31,69.05,69.06,1209208
12/26/2018,69.25,71.59,68.58,71.59,1929963
12/27/2018,70.92,72.15,69.99,72.15,2061070
12/28/2018,72.65,73.0165,71.94,72.32,1270575
12/31/2018,72.6,73.25,72.31,73.24,1258781
1/2/2019,72.59,73.45,72.14,72.71,2181195
1/3/2019,72.54,72.84,71.5,71.57,2884804
1/4/2019,72.4,73.74,71.96,73.34,1681399
1/7/2019,73.25,74.19,73.02,73.76,2430293
1/8/2019,74.57,75.53,74.3,75,2361472
1/9/2019,74.94,75.62,74.69,75.54,1655875
1/10/2019,75.26,76.46,74.97,75.95,2050059
1/11/2019,75.95,76.68,75.625,76.51,1928008
1/14/2019,75.83,76.6,75.57,75.79,1146016
1/15/2019,75.82,76.36,75.71,76.11,1177590
1/16/2019,75.98,76.02,74.29,74.67,2611356
1/17/2019,74.38,74.68,73.75,74.35,1949296
1/18/2019,74.94,76.12,74.62,76,2149305
1/22/2019,75.67,75.8,73.94,74.45,1832072
1/23/2019,74.68,75.33,74.29,75.26,1349806
1/24/2019,75.19,76.81,75.19,76.69,1654392
1/25/2019,77,77.43,76.11,76.4,1517555
1/28/2019,76.03,76.8,75.7448,76.35,1294146
1/29/2019,75.95,77.62,75.66,77.49,1742441
1/30/2019,77.65,77.87,76.14,77.42,1300690
1/31/2019,77.44,77.97,77.29,77.88,1527424
2/1/2019,78.1,78.3,77.25,77.6,1299320
2/4/2019,77.24,78.125,76.71,77.84,1210928
2/5/2019,77.75,78.75,77.3977,78.36,1213579
2/6/2019,78.1,78.33,74.15,74.46,3201697
2/7/2019,73.84,74.64,72.71,74.58,4466152
2/8/2019,74.38,74.72,73.72,74.7,2022243
2/11/2019,74.65,75.25,73.8,73.88,3549288
2/12/2019,76,76.03,71.75,74.09,5467148
2/13/2019,74.42,75.7,73.1,73.49,3420460
2/14/2019,73.5,75.01,72.64,74.28,3182785
2/15/2019,74.91,75.245,74.41,75,2550879
2/19/2019,74.25,75.33,74.25,74.97,1842238
2/20/2019,75,75.33,74.65,75.05,1734681
2/21/2019,75.05,75.85,74.66,74.91,1265815
2/22/2019,75.27,75.98,75.15,75.63,1607295
2/25/2019,75.92,76.25,75.26,75.34,1715260
2/26/2019,75.42,76,74.8,75.52,1822277
2/27/2019,75.32,75.8,74.725,75.34,1254999
2/28/2019,75.56,75.77,74.92,75.7,1836768
3/1/2019,76.71,77.53,76.19,76.72,2130338
3/4/2019,77.07,77.13,75.749,76.45,1470970
3/5/2019,76.5,76.87,76.12,76.41,1270072
3/6/2019,76.54,76.82,74.91,75.22,2168210
3/7/2019,75.23,75.55,74.34,74.46,1599761
3/8/2019,73.42,73.99,73.32,73.98,1715888
