Date,Open,High,Low,Close,Volume
4/19/2018,35.24,35.27,34.81,34.82,23543932
4/20/2018,34.86,35.06,34.15,34.67,32452801
4/23/2018,34.71,34.89,34.59,34.89,21211939
4/24/2018,35.15,35.33,34.76,35,21572221
4/25/2018,34.8688,35.24,34.73,35.2,25291217
4/26/2018,33.44,33.7,32.465,33.1,132230365
4/27/2018,33.14,33.56,33.02,33.04,54209888
4/30/2018,33.27,33.41,32.67,32.7,46154796
5/1/2018,32.75,32.91,32.36,32.54,35817129
5/2/2018,32.63,32.63,31.9,32.06,40178616
5/3/2018,32.04,32.15,31.61,31.94,40296150
5/4/2018,31.94,32.27,31.8201,32.14,25539542
5/7/2018,32.22,32.25,31.85,32.04,26266284
5/8/2018,31.97,32,31.58,31.7,33513948
5/9/2018,31.63,31.71,31.17,31.4,37494364
5/10/2018,31.58,32.03,31.5,31.88,29909412
5/11/2018,32,32.31,31.99,32.29,27512317
5/14/2018,32.39,32.48,32.105,32.19,26894988
5/15/2018,32.14,32.24,31.81,32.09,26506812
5/16/2018,32.09,32.41,32.05,32.3,19056312
5/17/2018,32.38,32.41,31.9,31.93,25420555
5/18/2018,31.94,32.1,31.78,32.05,21880412
5/21/2018,32.16,32.65,31.895,32.59,28688946
5/22/2018,32.63,32.81,32.4,32.43,29387281
5/23/2018,32.42,32.525,32.05,32.33,25966238
5/24/2018,32.39,32.81,32.21,32.78,35254745
5/25/2018,32.7,32.72,32.39,32.51,21816330
5/29/2018,32.46,32.49,32.14,32.33,26936615
5/30/2018,32.36,32.6375,32.28,32.57,24135764
5/31/2018,32.52,32.55,32.16,32.32,29417475
6/1/2018,32.48,32.61,32.36,32.47,23764267
6/4/2018,32.58,32.68,32.37,32.41,18378731
6/5/2018,32.41,32.71,32.3,32.68,23413313
6/6/2018,32.77,33.56,32.6,33.38,34143281
6/7/2018,33.07,33.97,32.9,33.81,42562592
6/8/2018,33.66,34.03,33.58,33.83,33183619
6/11/2018,33.97,34.48,33.81,34.18,37157948
6/12/2018,34.51,34.53,34.08,34.35,59401268
6/13/2018,33,33.14,32.21,32.22,195082730
6/14/2018,32.6,32.98,32.1,32.52,88703108
6/15/2018,32.62,33.27,32.15,33.15,113983823
