Date,Open,High,Low,Close,Volume
4/19/2018,62.65,63.61,62.65,63.25,2826027
4/20/2018,63.27,63.57,62.93,63.09,2829424
4/23/2018,63.15,63.36,62.15,62.29,2649260
4/24/2018,62.82,62.98,62.1,62.58,2560287
4/25/2018,62.48,64.32,62.32,63.93,5405896
4/26/2018,63.87,64.375,63.44,64.1,3594961
4/27/2018,64.35,65.68,63.99,64.52,8920019
4/30/2018,62.79,62.99,59.29,60.51,26172025
5/1/2018,60.77,61.19,58.17,59.43,12400729
5/2/2018,59.81,60.2,55.55,56.97,14930690
5/3/2018,56.64,57.08,55.09,55.92,10742199
5/4/2018,55.87,57.74,55.83,57.26,6230633
5/7/2018,57.32,58,56.03,56.54,6202048
5/8/2018,56.7,56.94,55.43,55.58,4802031
5/9/2018,55.9,56.43,55.57,56.32,5059198
5/10/2018,56.17,57.289,56.17,56.85,5527523
5/11/2018,57.05,57.34,56.24,56.39,2774264
5/14/2018,56.39,56.66,56.12,56.46,3771804
5/15/2018,56.06,57.03,56,56.37,2919366
5/16/2018,56.88,56.9,56.26,56.53,2904451
5/17/2018,56.52,56.7699,56.4,56.68,2478265
5/18/2018,56.75,57.5,56.51,56.93,4025744
5/21/2018,57.19,57.32,56.56,57.19,2009195
5/22/2018,57.36,57.6,56.91,57.18,2752375
5/23/2018,56.94,57.28,56.459,57.02,2770602
5/24/2018,57.16,57.37,56.86,56.98,2548942
5/25/2018,57.1,57.215,56.58,56.59,2051407
5/29/2018,56.36,57.15,55.98,56.62,2997902
5/30/2018,56.66,57.06,56.2,56.33,4615863
5/31/2018,56.23,56.26,55.23,55.7,5888581
6/1/2018,56,57.05,55.9,56.87,3314907
6/4/2018,56.8,57.4433,56.615,57.12,3642268
6/5/2018,56.91,57.59,56.88,57.16,1787414
6/6/2018,57.34,57.63,56.9,57.6,2853649
6/7/2018,57.5,58.2,57.5,57.82,3849605
6/8/2018,57.33,57.97,56.98,57.8,2491460
6/11/2018,57.6,58.18,57.41,57.99,2509476
6/12/2018,57.91,58.23,57.76,58.09,1968550
6/13/2018,59,59.09,58.38,58.68,6181869
6/14/2018,58.81,59.695,58.6001,59.53,3081307
6/15/2018,59.63,60.08,59.37,60.01,3696151
6/18/2018,59.6497,60.47,59.2301,60.36,4093879
6/19/2018,59.79,60.88,59.43,60.54,3649849
6/20/2018,60.65,60.73,60.07,60.34,4565877
6/21/2018,60.24,60.6969,59.46,60,3008350
6/22/2018,60.33,61.16,60.07,60.79,3424403
6/25/2018,60.53,60.9,59.47,59.73,4397466
6/26/2018,59.71,59.76,58.8201,59.7,3546421
6/27/2018,59.58,60.47,59.18,59.34,2475632
6/28/2018,59.94,60.2,58.68,59.86,4024524
6/29/2018,59.88,60.04,59.47,59.75,2433816
7/2/2018,59.46,59.96,59.04,59.91,2217795
7/3/2018,59.68,59.855,58.91,59.14,3121607
7/5/2018,59.45,60.12,59.21,60.06,3348154
7/6/2018,60.07,61.37,59.9,61.14,2928214
7/9/2018,61,61.61,60.6515,61.34,2788725
7/10/2018,61.42,61.51,60.98,61.18,1502192
7/11/2018,60.29,60.96,59.805,60.18,2473617
7/12/2018,60.28,61.62,60.01,61.58,3631273
7/13/2018,61.24,61.81,60.97,61.68,3079358
7/16/2018,61.51,62.09,61.51,61.63,1695138
7/17/2018,61.44,61.99,61.1,61.21,1779728
7/18/2018,61.42,61.49,60.49,60.52,1916806
7/19/2018,60.26,60.3848,59.23,59.41,2738589
7/20/2018,59.41,59.61,59.0702,59.25,2175811
7/23/2018,59.13,59.23,58.32,58.36,2462059
7/24/2018,58.48,59.1,57.89,58.78,2519762
7/25/2018,58.78,59.315,58.51,58.83,2200488
7/26/2018,59.1,59.8,58.89,59.37,2547992
7/27/2018,59.47,60.67,59.29,59.61,2325190
7/30/2018,59.5,60.735,59.5,59.82,2324242
7/31/2018,59.87,60.1972,59.482,60,2495747
8/1/2018,59.95,60.165,59.1449,59.36,4099320
8/2/2018,61.11,62.24,60,62.18,6327014
8/3/2018,62.16,62.26,61.24,61.55,2603301
8/6/2018,61.59,66.4,61.58,66.3,14880970
8/7/2018,66.31,66.34,65.13,65.33,4777833
8/8/2018,65.31,65.65,64.46,65.5,3107210
8/9/2018,65.52,65.74,64.84,64.97,2317506
8/10/2018,64.64,65.2,64.06,64.98,2241580
8/13/2018,64.94,65.8,64.525,65.7,3222948
8/14/2018,65.78,66.44,65.66,65.96,3311874
8/15/2018,65.52,65.9,65.04,65.41,2408532
8/16/2018,65.68,66.21,65.55,65.98,2549398
8/17/2018,65.87,66.06,65.55,65.9,3088363
8/20/2018,65.74,66.24,65.495,65.84,2621421
8/21/2018,65.77,66.6377,65.77,66.51,1973885
8/22/2018,66.28,66.41,65.521,65.81,1750231
8/23/2018,65.5,65.9,65.18,65.21,1564593
8/24/2018,65.45,65.93,65.17,65.41,1945599
8/27/2018,65.2,65.94,65.2,65.8,1629256
8/28/2018,65.85,66.09,65.4115,65.59,1698008
8/29/2018,65.74,66.49,65.51,65.98,2411663
8/30/2018,65.57,66.36,65.33,66.01,1965657
8/31/2018,66.13,66.38,65.7,66.04,2375234
9/4/2018,65.74,66.295,65.53,65.77,2104033
9/5/2018,65.63,66.03,65.43,65.71,3141149
9/6/2018,65.5,65.96,65.37,65.52,2277532
9/7/2018,65.33,65.64,64.07,64.39,2843057
9/10/2018,64.98,65.8,64.59,65.56,2171552
9/11/2018,65.56,66.02,65.24,65.91,1375418
9/12/2018,66,68.32,65.62,67.92,5020278
9/13/2018,68,68.71,67.37,68.48,3797293
9/14/2018,68.58,68.65,67.9,68.25,3161655
9/17/2018,68.03,68.18,67.32,67.42,2757336
9/18/2018,67.43,68.58,67.08,68.49,4113065
9/19/2018,68.61,68.87,67.72,68.35,2847165
9/20/2018,68.78,69.15,68.34,69.13,1875253
9/21/2018,69.34,69.77,68.89,69.07,4046051
9/24/2018,68.7,69.34,68.5,68.92,2749308
9/25/2018,69.51,69.545,68.56,69.45,2610892
9/26/2018,69.47,69.49,68.69,68.79,2577660
9/27/2018,69.08,70.63,68.87,70.49,3661016
9/28/2018,70.45,70.88,69.98,70.18,3703758
10/1/2018,70.71,70.94,69.97,70.25,2684371
10/2/2018,70.16,70.58,69.57,69.72,2272271
10/3/2018,69.82,69.98,68.75,68.98,5561975
