Date,Open,High,Low,Close,Volume
4/19/2018,101.61,102.17,99.96,100.77,1297933
4/20/2018,100.46,100.75,97.28,98.38,1753293
4/23/2018,98.56,100.08,97.5,98.12,1247638
4/24/2018,98.79,99.9072,95.54,96.38,1428485
4/25/2018,96.53,97.11,94.59,96.22,1444844
4/26/2018,97.1,99.88,97.1,99.19,1617914
4/27/2018,99.97,100.08,97.32,98.63,1064342
4/30/2018,100.42,100.63,98.2,99.71,1297718
5/1/2018,99.37,104.37,99.17,104.3,2736930
5/2/2018,104.05,106.42,103.69,104.88,2586244
5/3/2018,104.25,110.82,98.87,105.1,9052298
5/4/2018,104.04,110,104.04,108.76,2369023
5/7/2018,110.28,110.84,107.79,110.2,2127595
5/8/2018,110.42,112.455,109.67,111.3,2659323
5/9/2018,113.13,117.39,111.935,115.99,3122700
5/10/2018,116.68,117.4,115.37,117.06,1971241
5/11/2018,117.15,117.37,115.35,116.09,1931008
5/14/2018,116.9399,117.09,113.65,114.4,2438026
5/15/2018,113.22,113.815,111.94,113.47,2339677
5/16/2018,113.51,114.95,112.43,113.07,4140560
5/17/2018,113.33,118.91,112.51,113.88,6114445
5/18/2018,113,116,112.71,115.81,2533016
5/21/2018,116.57,118.44,113.9,115.96,2436752
5/22/2018,115.96,116.49,113,113.24,1274664
5/23/2018,112.1,112.89,111.16,112.6,2144302
5/24/2018,112.41,112.61,109.86,112.07,1544655
5/25/2018,111.87,112.75,111.28,112.02,1058344
5/29/2018,110.8,111.84,109.73,110.78,2132770
5/30/2018,111.52,111.95,109.92,110.63,1207655
5/31/2018,110.89,114.04,110.19,112.08,2182074
6/1/2018,112.55,114.87,111.31,114.59,1482667
6/4/2018,114.26,115.75,112.757,113.68,1416861
6/5/2018,111.3,113.9988,111.09,113.26,2375266
6/6/2018,113.92,114.32,112.11,112.59,1338641
6/7/2018,112.6,113.77,111.71,113.42,1175914
6/8/2018,113.07,114.77,112.01,113.42,1248796
6/11/2018,113.78,114.94,112.93,113.32,1079871
6/12/2018,113.33,114.79,113.21,114.7,1675583
6/13/2018,115,119.38,114.9965,118.46,3050748
6/14/2018,119.21,123.1,118.88,121.84,3060358
6/15/2018,121.87,123.189,120.38,121.51,2539831
6/18/2018,120.86,120.92,119.391,120.69,1309847
6/19/2018,118.91,120.02,116.47,117.83,1464125
