Date,Open,High,Low,Close,Volume
4/19/2018,31.37,32.28,30.96,31.54,22640053
4/20/2018,32.65,33.12,31.65,31.91,34819658
4/23/2018,32.51,32.62,30.85,31.22,29411008
4/24/2018,31.18,31.64,29.63,30.47,41265271
4/25/2018,31.35,32,28.14,29.75,93090444
4/26/2018,30.35,31.42,30.12,30.27,43784175
4/27/2018,30.17,30.32,28.59,29,37420135
4/30/2018,28.62,30.7457,28.43,30.31,41760191
5/1/2018,30.21,31.06,29.6,30.3,30679164
5/2/2018,30,31.2199,29.95,30.55,22481683
5/3/2018,30.21,31.02,29.97,30.67,19813452
5/4/2018,30.22,31.36,29.85,31.04,21035168
5/7/2018,31.06,31.84,30.88,31.33,18517536
5/8/2018,31.2,32.0899,31.03,31.85,19581183
5/9/2018,32.07,32.79,31.94,32.46,20726455
5/10/2018,32.71,33.78,32.58,32.87,20723533
5/11/2018,32.94,33.1,32.2501,32.75,14482552
5/14/2018,33.07,33.58,32.93,33.39,18007006
5/15/2018,33.17,33.17,32.36,32.75,15840804
5/16/2018,32.75,33.2166,32.67,32.77,10868673
5/17/2018,32.78,33.015,32.281,32.58,10760174
5/18/2018,32.55,32.97,32.2108,32.63,10618936
5/21/2018,33.02,34.025,32.9,33.63,21328447
5/22/2018,33.78,33.81,32.83,32.86,15004157
5/23/2018,32.7,33.43,32.6,33.42,13442658
5/24/2018,33.44,33.755,33.12,33.52,14491903
5/25/2018,33.54,33.99,33.31,33.63,10424410
5/29/2018,33.42,34.83,33.35,34.04,22086674
5/30/2018,34.2,34.655,34.08,34.36,14588186
5/31/2018,34.39,34.97,34.25,34.7,14433219
6/1/2018,35.14,36.69,35.09,36.65,29583088
6/4/2018,36.45,37.98,35.95,37.88,32632802
6/5/2018,39.53,40.16,39.19,39.8,66122177
6/6/2018,39.42,40.23,39.21,40.1,147805710
6/7/2018,40.14,40.16,38.64,39.7,41573447
6/8/2018,39.49,41.26,39.42,41.21,34538901
6/11/2018,41.42,41.69,40.66,41.42,24605266
6/12/2018,42.47,44.33,42.41,43.49,51154995
6/13/2018,44.24,44.55,43.4199,44.07,35169170
6/14/2018,44.55,46.8,44.5,46.76,50949063
6/15/2018,46.62,47.79,45.64,45.8,51489582
6/18/2018,45.335,46.2564,44.5,46,26025577
6/19/2018,45.19,45.71,43.57,44.95,39252002
6/20/2018,45.56,46.92,45.4401,46.13,31230186
6/21/2018,46.36,46.87,44.2,45.24,32200255
6/22/2018,45.58,46.01,44.5,45.88,31106299
6/25/2018,45.47,45.52,43.325,44.17,31379323
6/26/2018,44.36,45.32,43.51,44.84,20194074
6/27/2018,45.5,46.22,43.68,43.7,25875456
6/28/2018,43.65,44.84,42.49,44.79,18911179
6/29/2018,45.05,45.2,43.56,43.67,24392892
7/2/2018,43.06,45,42.75,44.98,16703638
7/3/2018,45.36,45.48,43.8,43.89,14237483
7/5/2018,44.07,45.11,43.55,45.06,16172028
7/6/2018,44.91,46.75,44.61,46.65,23740653
7/9/2018,46.74,46.9,42.08,44.14,107582356
7/10/2018,44.2,45.26,43.63,43.75,38467449
7/11/2018,42.63,44.1,42.22,43.87,35100108
7/12/2018,44.8,45.34,44.36,45.26,27078524
7/13/2018,45.28,45.32,43.93,44.49,16453000
7/16/2018,44.3,44.73,43.91,44.26,13012826
7/17/2018,43.59,45.26,43.15,44.71,20122310
7/18/2018,44.19,44.75,42.74,43.34,26536776
7/19/2018,43.27,43.87,43.11,43.44,13366788
7/20/2018,43.5,44.13,43.23,43.42,10445469
7/23/2018,43.45,43.85,42.4,43.31,15251177
7/24/2018,43.77,43.8,41.59,42.17,22433945
7/25/2018,42.35,44.39,42.35,44.22,25206277
7/26/2018,42.87,43.41,42.14,42.94,30018698
7/27/2018,37.25,37.47,33.9,34.12,122856761
7/30/2018,34.17,34.26,31.07,31.38,77852432
7/31/2018,31.95,32.48,31.07,31.87,64392221
8/1/2018,32.25,32.59,31.46,31.91,33231691
8/2/2018,31.58,32.87,31.34,32.82,27088039
8/3/2018,32.58,32.99,31.8,31.96,26316962
8/6/2018,31.82,33.04,31.45,32.98,27512414
8/7/2018,33.1,33.61,32.55,32.67,24635595
8/8/2018,32.75,32.78,31.81,31.84,22539433
8/9/2018,31.85,32.38,31.61,31.96,17662111
8/10/2018,31.65,32.25,31.47,32.01,16073873
8/13/2018,32.04,33.62,32.02,32.8,44235322
8/14/2018,33.4,33.43,32.515,33.19,26442591
8/15/2018,32.81,33.23,31.951,32.38,26433383
8/16/2018,32.7,33.15,32.415,32.83,20873238
8/17/2018,32.74,33.09,32.34,32.73,14874597
8/20/2018,32.79,32.94,32.2,32.6,16535739
8/21/2018,32.75,34.14,32.6,33.69,29575742
8/22/2018,33.45,34.17,33.35,33.81,18576272
8/23/2018,33.9,34.74,33.72,33.88,25746306
8/24/2018,34,34.49,33.9279,34.28,15214005
8/27/2018,34.66,36,34.48,35.89,28306330
8/28/2018,35.98,36.04,34.89,35.49,22281635
8/29/2018,35.41,35.6,34.81,35.35,17725702
8/30/2018,35.27,36.149,35.21,35.64,19217247
8/31/2018,35.57,35.7201,34.59,35.18,19073902
9/4/2018,34.75,35.125,34.48,34.84,13567620
9/5/2018,34.65,34.7,32.51,32.73,36051144
9/6/2018,32.86,32.95,30.62,30.81,36023568
9/7/2018,30.31,31.39,29.82,30.49,31484159
9/10/2018,30.5,30.6,29.9531,30.54,17805834
9/11/2018,30.44,31.44,30.35,30.89,16000139
9/12/2018,30.61,30.83,29.25,29.75,29845199
9/13/2018,30.1,30.57,29.86,30.39,18522541
9/14/2018,30.45,30.77,30.06,30.12,13474732
9/17/2018,29.05,29.28,28.43,28.86,30592298
9/18/2018,28.84,29.63,28.75,29.22,15856766
9/19/2018,29.15,29.56,28.82,29.52,16023530
9/20/2018,29.7,30.02,29.24,29.85,15377977
9/21/2018,29.86,29.95,28.49,28.5,43122578
9/24/2018,28.33,29.115,27.93,28.6,20249039
9/25/2018,28.75,29.24,28.44,29.11,16130320
9/26/2018,29.2,29.45,28.8,29.01,12742119
9/27/2018,29.06,29.69,28.88,29.42,14830480
9/28/2018,29.25,29.28,28.41,28.46,22719644
10/1/2018,28.51,28.7,28,28.31,20538923
10/2/2018,28.14,28.62,27.91,28.19,17714413
10/3/2018,28.38,29.12,28.25,29.01,19358693
10/4/2018,28.75,28.76,27.87,28.23,21120350
