Date,Open,High,Low,Close,Volume
4/19/2018,51.26,51.99,50.93,50.95,2446930
4/20/2018,51,51.02,49.04,49.33,4512591
4/23/2018,49.36,50.03,49.22,49.71,2307733
4/24/2018,49.95,50.59,49.58,49.95,2477684
4/25/2018,49.94,50.82,49.69,50.42,2375919
4/26/2018,50.37,50.5919,49.87,50.03,1746613
4/27/2018,50.19,50.28,49.47,49.97,4060685
4/30/2018,50.18,50.18,49.15,49.2,2281527
5/1/2018,49.14,49.64,48.53,49.61,2262106
5/2/2018,49.52,50.06,48.86,48.99,2429580
5/3/2018,48.93,49.12,47.54,48.74,3956043
5/4/2018,50,53.28,49.38,53.17,8772506
5/7/2018,52.97,53.02,51.54,52.42,4781997
5/8/2018,52.42,52.73,50.88,51.27,2854324
5/9/2018,51.29,51.92,50.99,51.44,1655779
5/10/2018,51.68,52.39,51.35,52.32,1764877
5/11/2018,52.34,52.59,51.94,52.52,2489509
5/14/2018,53.1,55.47,52.57,53.65,9292673
5/15/2018,54.37,55.5,53.97,54.42,6122269
5/16/2018,54.52,54.63,53.41,53.83,4001139
5/17/2018,53.1,53.9,49.95,51.61,11988745
5/18/2018,51.62,52.65,51.35,51.75,5354984
5/21/2018,52.36,52.58,51.83,52,3563978
5/22/2018,52.03,52.28,51.49,51.52,1980390
5/23/2018,51.19,51.425,50.37,50.51,3718279
5/24/2018,50.72,50.89,50.25,50.6,2515421
5/25/2018,50.63,51.4426,50.62,50.97,1987344
5/29/2018,50.68,50.97,50.06,50.27,3026569
5/30/2018,50.66,51.51,50.3,51.23,3598549
5/31/2018,51,51.1,49.86,50.37,5211473
6/1/2018,50.5,50.56,49.87,49.98,2108119
6/4/2018,50.1,50.18,49.95,50.11,2444430
6/5/2018,50.3,50.43,49.88,50.23,2243554
6/6/2018,50.39,50.8,49.79,50.64,4369180
6/7/2018,50.75,51.6017,50.5462,51.01,4457901
6/8/2018,51,51.43,50.9395,51.13,1985058
6/11/2018,51.07,52.35,51.05,51.99,4556608
6/12/2018,52.22,52.455,51.95,52.38,1987269
6/13/2018,54.1,55.015,53.55,54.26,6966018
6/14/2018,54.59,55.34,54.58,55.12,2948789
6/15/2018,55.16,56.35,55.16,56.11,4680676
6/18/2018,56,56.95,55.9392,56.31,4023702
6/19/2018,55.71,56.74,55.55,56.46,3480437
6/20/2018,57,58.5,57,58.2,4075166
6/21/2018,57.87,58.17,56.24,56.4,3639108
6/22/2018,56.78,56.99,56.37,56.7,5919278
6/25/2018,56.63,56.97,55.615,56.24,3253695
6/26/2018,56.11,56.268,55.39,55.86,2412938
6/27/2018,56.14,56.589,55.64,55.71,2490410
6/28/2018,56,56.26,55.11,56.13,2238956
6/29/2018,56.12,56.745,55.8,56.22,2435378
7/2/2018,55.97,56.29,55.495,55.98,1766741
7/3/2018,56.08,56.35,55.51,55.64,888084
7/5/2018,55.98,56.96,55.86,56.9,2019977
7/6/2018,57.06,58.25,57,58.15,2642039
7/9/2018,58.2,58.41,57.34,58.37,2437069
7/10/2018,58.58,58.94,57.9,58.74,2454697
7/11/2018,58.39,59.59,57.99,59.3,4434191
7/12/2018,59.45,59.515,59.01,59.12,1718537
7/13/2018,58.9,59.06,58.59,59.01,1143855
7/16/2018,59.01,59.07,58.42,58.83,2507240
7/17/2018,58.4,58.81,57.63,58.02,1851296
7/18/2018,58.02,58.5569,57.88,58.22,2102980
7/19/2018,58.21,58.37,57.42,57.44,1645714
7/20/2018,57.34,57.37,56.46,57.23,2313790
7/23/2018,57.25,57.35,56.8,56.87,1256920
7/24/2018,57.35,57.4389,56.29,56.66,2123297
7/25/2018,56.8,57.33,56.51,57.31,2314931
7/26/2018,57.55,58.52,57.53,57.53,1492680
7/27/2018,57.8,57.87,53.21,54.01,15414301
7/30/2018,53.29,53.45,50.91,51.28,15733867
7/31/2018,51.4,52.97,51.01,52.67,10900185
8/1/2018,52.68,53,52.01,52.55,4070612
8/2/2018,52.45,52.96,51.62,52.72,5450525
8/3/2018,52.2,53.19,51.21,53.16,8243103
8/6/2018,52.91,52.99,52.3,52.85,3676004
8/7/2018,52.95,53.8,52.7,53.22,3220715
8/8/2018,53.15,53.5,53.005,53.16,1970968
8/9/2018,53.3,54.79,53.13,53.57,4561540
8/10/2018,53.21,53.32,52.415,52.52,2406403
8/13/2018,52.58,52.89,52.08,52.21,1734864
8/14/2018,52.49,52.78,52.28,52.57,1104064
8/15/2018,52.24,52.89,51.87,52.8,2286067
8/16/2018,53,53.44,52.79,52.98,1432128
8/17/2018,52.97,53.56,52.9,53.22,1525883
8/20/2018,53.45,53.71,53.2,53.56,1074768
8/21/2018,53.7,54.29,53.525,53.97,2038535
8/22/2018,54,54,53.3,53.38,1389253
8/23/2018,53.28,53.44,52.69,52.88,1729069
8/24/2018,52.94,53.44,52.895,53.1,1149526
8/27/2018,53.33,53.76,53.26,53.66,2138975
8/28/2018,53.64,53.87,53.26,53.39,1247840
8/29/2018,53.54,54.12,53.12,53.89,1665410
8/30/2018,53.7,53.78,52.71,53.01,1839803
8/31/2018,52.85,53.25,52.76,53.02,1708079
9/4/2018,52.84,52.89,52.242,52.59,1984347
9/5/2018,53.29,53.71,52.58,52.95,3906091
9/6/2018,51.5,55.66,51.5,54.62,9002833
9/7/2018,54.85,57.145,54.51,56.06,6751947
9/10/2018,56.23,56.25,53.87,55.2,11239794
9/11/2018,54.68,55.84,54.68,55.4,4247511
9/12/2018,55.26,55.67,54.8,55.14,4065178
9/13/2018,55.4,56.72,55.35,56.21,3297320
9/14/2018,56.21,56.53,55.41,55.85,3179576
9/17/2018,55.9,56.59,55.39,56.28,3617101
9/18/2018,56.19,56.33,55.39,55.67,2459534
9/19/2018,55.77,56.38,55.47,55.97,5072076
9/20/2018,56.01,56.865,55.94,56.7,2436188
9/21/2018,56.49,56.94,56.29,56.74,6121104
9/24/2018,56.74,57.04,56.13,56.58,3679314
9/25/2018,56.7,56.8,56.37,56.55,3346514
9/26/2018,56.77,57.19,56.23,56.5,4972134
9/27/2018,56.44,56.74,55.9,56.55,2364489
9/28/2018,56.41,57.58,56.105,57.45,2744527
10/1/2018,57.51,57.53,55.47,55.76,3609529
10/2/2018,55.81,56.61,55.75,56.51,3806543
10/3/2018,56.64,56.64,55.651,55.91,4171394
10/4/2018,55.77,56.3393,55.54,56.02,3498453
10/5/2018,56.28,56.545,55.19,55.32,2042648
10/8/2018,55.08,57.49,54.67,57.05,6315873
10/9/2018,57,58.5308,56.67,57.38,4638136
10/10/2018,57.44,57.44,55.44,55.53,3121569
10/11/2018,55.55,55.66,53.69,53.82,3846209
10/12/2018,54.38,54.78,53.67,54.32,2642032
10/15/2018,53.94,54.93,53.94,54.36,1717722
10/16/2018,54.62,55.29,54.17,55.05,5031555
10/17/2018,55.12,56.16,54.97,55.86,2680823
10/18/2018,55.87,56.94,55.86,56.17,2763312
10/19/2018,56.45,57.41,56.195,57.2,2503720
10/22/2018,57.04,57.38,56.09,56.8,2144989
10/23/2018,56.02,56.57,55.38,56.26,1708477
10/24/2018,56.12,56.37,53.16,53.28,6433468
10/25/2018,53.86,55.07,53.28,54.68,3905151
10/26/2018,53.91,54.75,53.31,53.83,3053712
10/29/2018,54.37,55.25,53.34,54.13,2760901
10/30/2018,54.35,56.27,54.06,56.24,2670920
10/31/2018,56.66,57.94,56.4,57.35,2610489
11/1/2018,57.52,59.16,57.417,58.49,4528578
11/2/2018,57.36,59.56,55.75,56.17,4739647
11/5/2018,56.49,57.71,56.16,57.3,2643964
11/6/2018,57.18,58.02,56.7,57.79,1604435
11/7/2018,58.08,58.08,56.5,57.81,1947259
11/8/2018,57.81,58.4832,57.46,57.92,1570234
11/9/2018,57.95,58.38,57.14,57.55,1836216
11/12/2018,57.62,57.95,57.11,57.13,1798674
11/13/2018,57.07,57.7675,56.86,56.97,1211297
11/14/2018,57.32,57.62,56.61,56.96,1723808
11/15/2018,56.64,57.31,55.69,57.3,1230694
11/16/2018,57.12,57.8,56.52,57.49,1411109
11/19/2018,57.32,57.565,54.87,54.97,5419377
11/20/2018,54.09,54.46,52.16,52.88,4395222
11/21/2018,53.39,54.23,53.2,53.73,3039709
11/23/2018,53.45,54.45,53.32,53.92,943400
11/26/2018,54.46,54.48,53.52,53.72,1551133
11/27/2018,53.66,54.13,53.54,54.12,2333008
11/28/2018,54.5,55.37,54.3521,55.14,1964318
11/29/2018,54.65,55.75,54.5,55.35,1926549
11/30/2018,55.49,55.49,53.81,54.18,3397119
12/3/2018,54.48,54.84,52.52,53.51,3357910
12/4/2018,53.61,53.91,51.26,51.35,3842287
12/6/2018,51.02,51.35,50.27,51.31,3657781
12/7/2018,51.05,51.57,50.5547,51.1,2836095
12/10/2018,50.92,51.114,49.37,49.76,3784825
12/11/2018,50.01,50.68,48.23,48.24,3967758
12/12/2018,48.54,49.4,48.54,48.66,5318019
12/13/2018,49.05,49.37,47.47,47.91,4603604
12/14/2018,47.68,48.48,47.45,48.05,3553902
12/17/2018,47.92,47.99,46.57,46.82,4309063
12/18/2018,47.4,47.5,45.83,46.2,5371779
12/19/2018,46.19,47,45.1634,45.37,4693868
12/20/2018,45.05,45.33,43.43,44.14,3356511
12/21/2018,44.49,45.41,43.1,43.36,5068411
12/24/2018,42.64,43.42,42,42.02,1921300
12/26/2018,42.24,43.37,41.38,43.37,4512912
12/27/2018,42.77,43.37,41.58,43.37,4001938
12/28/2018,43.61,44.1,43.06,43.41,3553596
12/31/2018,43.75,43.838,42.81,43.72,3278857
1/2/2019,43.62,45.7501,43.34,45.66,4706767
1/3/2019,45.33,46.69,45.13,46.13,5106621
1/4/2019,46.6,47.35,46.17,47.17,3917680
1/7/2019,47.13,48.28,46.87,47.67,3413800
1/8/2019,48.01,48.665,47.247,48.37,3219865
1/9/2019,48.47,48.49,47.7,47.8,3239601
1/10/2019,47.63,48.1001,47.2,47.85,3106077
1/11/2019,47.84,48.32,47.57,47.97,2636051
1/14/2019,47.71,48.37,47.44,47.93,1998261
1/15/2019,47.88,48.28,47.64,47.8,2360883
1/16/2019,47.87,48.2325,47.57,47.81,4400566
1/17/2019,48.72,49.13,48.2,48.77,6261571
1/18/2019,49.03,49.73,48.86,49.24,3277307
1/22/2019,49.1,49.22,48.24,48.46,3263490
1/23/2019,48.76,49.43,48.14,48.45,2437264
1/24/2019,48.46,49.09,48.28,48.98,2220063
1/25/2019,49.3,49.5,48.89,49.17,1735274
1/28/2019,48.95,50.34,48.72,50.05,3265748
1/29/2019,49.89,50.605,49.56,50.36,2226615
1/30/2019,50.3,50.64,48.63,49.5,2261156
1/31/2019,49.32,49.97,49.25,49.46,2831039
2/1/2019,49.69,49.78,49.01,49.67,1902344
2/4/2019,49.57,49.79,49.255,49.51,1594325
2/5/2019,49.54,49.99,49.355,49.81,2385140
2/6/2019,49.94,50.19,49.59,49.78,1771165
2/7/2019,49.52,49.58,48.53,49.15,1483077
2/8/2019,48.97,49.56,48.64,49.56,1781687
2/11/2019,49.18,49.61,47.945,48.09,2586085
2/12/2019,48.31,48.76,48.13,48.38,3191849
2/13/2019,48.64,48.79,48.19,48.43,3068404
2/14/2019,48.33,49.6257,48.15,49.1,4485569
2/15/2019,48.6,51.07,48.46,50.64,6830871
2/19/2019,50.6,50.82,50.29,50.57,4189907
2/20/2019,50.51,51.63,50.45,51.2,4281082
2/21/2019,51.2,51.21,50.54,50.92,1901540
2/22/2019,50.99,51.695,50.596,51.69,3410480
2/25/2019,51.94,51.94,50.54,50.58,2584592
2/26/2019,50.5,50.65,49.97,50.47,2121184
2/27/2019,50.19,50.28,49.45,49.62,2439160
2/28/2019,49.75,50.41,49.18,50.21,2865901
3/1/2019,50.6,50.93,50.38,50.79,2426075
3/4/2019,51.08,51.18,49.69,50.11,2029449
3/5/2019,49.94,50.23,49.75,50.2,2081790
3/6/2019,50.28,50.42,49.69,50.02,2226059
3/7/2019,50.03,50.03,48.77,49.14,2499662
3/8/2019,48.59,49.03,48.35,49.01,1863714
3/11/2019,49.13,49.14,48.58,49.08,3113224
3/12/2019,49.33,49.63,49.18,49.44,1964936
3/13/2019,49.46,49.89,48.29,48.7,3821306
3/14/2019,49.02,49.11,47.965,48.24,5885838
3/15/2019,48.11,48.29,47.66,47.7,6755151
3/18/2019,47.75,47.8399,47.23,47.64,3620597
3/19/2019,47.65,48.0801,47.135,47.22,1989969
3/20/2019,47,47.2,45.96,46.16,5196574
3/21/2019,45.97,46.47,45.7454,46.1,4693586
3/22/2019,45.89,46.11,45.04,45.06,2970073
3/25/2019,45.49,46.27,45.2,45.53,3424224
3/26/2019,45.81,48.14,45.81,47.32,6169149
3/27/2019,47.81,47.91,47.09,47.58,3158717
3/28/2019,47.5,47.9,47.29,47.29,2733862
3/29/2019,47.53,47.92,47.14,47.53,3071019
4/1/2019,48,48.655,47.9,48.21,2290084
4/2/2019,48.31,48.39,47.74,47.94,1284722
4/3/2019,48.2,49.2,47.96,48.81,2864312
4/4/2019,48.94,49.98,48.73,49.66,2302929
4/5/2019,49.86,50.395,49.79,50.37,2286261
4/8/2019,50.16,51.52,50.16,51.39,3892436
4/9/2019,51.15,51.31,50.77,51.11,2063100
4/10/2019,51.06,51.69,50.92,51.63,2421245
4/11/2019,51.74,52.13,51.46,51.56,2633349
4/12/2019,51.82,52.22,50.905,51.58,2476486
4/15/2019,51.74,51.9413,51.09,51.76,1784961
4/16/2019,52.1,52.335,51.69,52.24,2080024
4/17/2019,52.4,52.89,52.29,52.53,2403946
4/18/2019,52.56,52.81,52.17,52.39,2172584
4/22/2019,52.33,52.33,50.88,51.11,2252824
4/23/2019,51.07,51.5,50.82,51.34,2917841
4/24/2019,51.3,52.02,51,51.35,2204013
4/25/2019,51.23,51.23,50.62,50.66,1573892
4/26/2019,50.91,51.39,50.68,51.2,2313503
4/29/2019,51.28,51.91,51.25,51.75,1294153
4/30/2019,51.7,51.85,50.74,51.27,2598529
5/1/2019,51.23,51.76,51.08,51.13,1299643
5/2/2019,51.01,51.2651,49.93,50.42,2330068
5/3/2019,50.47,50.81,48.92,49.73,3983517
5/6/2019,49.04,49.89,48.7,49.66,1612027
5/7/2019,49.28,49.49,48.12,48.49,2944557
5/8/2019,48.37,48.85,48.06,48.54,2461318
5/9/2019,48.29,48.91,48.01,48.78,2322263
5/10/2019,48.52,49.46,48.09,49.29,2255225
5/13/2019,48.58,48.77,47.04,47.25,3266185
5/14/2019,47.35,48.11,47.21,47.69,2009432
