Date,Open,High,Low,Close,Volume
4/19/2018,48.6,48.96,48.38,48.43,11174180
4/20/2018,48.31,48.62,47.21,47.9,18224650
4/23/2018,48.2,48.72,47.97,48.66,14211613
4/24/2018,49.92,50.39,49.14,49.67,20920383
4/25/2018,50.06,50.16,49.24,50.1,19893156
4/26/2018,49.6,50.04,49.44,49.76,14121924
4/27/2018,50.25,51.69,50.16,51.57,25986194
4/30/2018,51.4,51.65,49.34,49.35,28938874
5/1/2018,49.49,49.65,48.24,48.82,16101415
5/2/2018,48.79,48.86,47.485,47.75,18515922
5/3/2018,47.72,47.855,47.36,47.84,16114050
5/4/2018,47.5,48.32,47.49,48.19,10669251
5/7/2018,48.18,48.32,47.565,47.73,12892149
5/8/2018,47.54,47.6,46.73,47.02,16716868
5/9/2018,47,47.18,46.085,46.38,23083283
5/10/2018,46.68,47.29,46.52,47.2,15727538
5/11/2018,48.07,49.07,47.92,48.62,22872785
5/14/2018,48.67,48.9,48.28,48.49,10362551
5/15/2018,48.15,48.285,47.62,47.79,12655376
5/16/2018,47.79,48.09,47.66,47.86,9798768
5/17/2018,47.86,48.0399,47.66,47.85,8907477
5/18/2018,47.84,47.89,47.32,47.74,11384434
5/21/2018,47.79,48.5,47.74,48.43,8588842
5/22/2018,48.33,49.305,48.26,48.81,18539779
5/23/2018,48.74,48.975,48.33,48.59,14027780
5/24/2018,48.89,49,48.47,48.64,13580440
5/25/2018,48.59,48.65,48.24,48.52,7947952
5/29/2018,48.3,48.455,47.86,48.2,13035266
5/30/2018,48.49,48.72,48.24,48.6,10459125
5/31/2018,48.52,48.53,47.515,47.67,27288271
6/1/2018,47.89,48,47.61,47.81,9967144
6/4/2018,48.05,48.16,47.73,47.82,9012564
6/5/2018,47.78,48.19,47.77,47.97,10378001
6/6/2018,48.16,48.44,47.79,48.41,12924849
6/7/2018,47.96,49.26,47.85,49.01,19674255
6/8/2018,48.45,49.2,48.43,49.18,15399258
6/11/2018,49.49,49.8,49.26,49.3,14143689
6/12/2018,49.58,49.64,48.66,48.81,15597889
6/13/2018,48.45,48.55,47.38,47.4,30809380
6/14/2018,47.76,47.89,47.3,47.82,17568389
6/15/2018,47.77,48.06,47.62,48.06,31397975
6/18/2018,47.9,48,47.13,47.46,15330399
6/19/2018,47.67,48.78,47.52,48.5,25069984
6/20/2018,48.64,48.66,47.81,48.09,11996803
6/21/2018,48.87,49,48.3759,48.63,14854566
6/22/2018,48.96,49.93,48.84,49.76,40979879
6/25/2018,49.84,50.04,49.29,49.6,19301887
6/26/2018,49.62,49.75,49.0748,49.3,13596951
6/27/2018,49.18,49.73,49.01,49.31,14144561
6/28/2018,49.43,51.05,49.41,50.86,21605504
6/29/2018,50.73,50.85,50.08,50.31,18023396
7/2/2018,50.25,50.44,49.7,50.42,13141150
7/3/2018,50.46,51.09,50.296,50.7,8441133
7/5/2018,50.99,51.3,50.52,51.28,11279609
7/6/2018,51.42,51.66,51.23,51.48,10203730
7/9/2018,51.03,51.11,50.6801,50.74,10491222
7/10/2018,50.8,51.42,50.74,51.34,9614559
7/11/2018,51.22,51.75,51.15,51.34,14348077
7/12/2018,51.5,51.58,50.96,51.24,10583936
7/13/2018,51.1,51.45,50.925,51.41,11175610
7/16/2018,51.36,51.715,51.13,51.59,9633440
7/17/2018,51.54,51.94,51.42,51.43,10636127
7/18/2018,51.41,51.49,50.8828,51.14,11734924
7/19/2018,51.1,51.1,50.6,50.75,9524190
7/20/2018,50.53,50.99,50.35,50.62,12321631
7/23/2018,50.69,50.98,50.27,50.75,11703183
7/24/2018,51.25,51.87,50.05,51.51,23265217
7/25/2018,51.69,52.05,50.81,50.91,15838016
7/26/2018,51.13,51.61,51.11,51.18,11162300
7/27/2018,51.48,52.38,51.48,52.01,14073713
7/30/2018,52.27,53,52.08,52.49,16725010
7/31/2018,52.6,52.67,51.49,51.64,16924248
8/1/2018,52.02,52.11,51.45,51.73,12789735
8/2/2018,51.74,52.01,51.43,51.98,12337524
8/3/2018,52,52.45,51.87,52.27,7769932
8/6/2018,52.13,52.715,51.76,52.48,10768427
8/7/2018,52.48,52.725,52.22,52.46,7106851
8/8/2018,52.55,52.88,52.41,52.7,9457299
8/9/2018,52.66,53.27,52.66,53.01,10768093
8/10/2018,52.93,52.93,52.27,52.47,7979726
8/13/2018,52.74,52.78,52.2,52.22,9919413
8/14/2018,52.31,52.94,52.31,52.87,11454387
8/15/2018,52.73,53.37,52.46,53.24,16473346
8/16/2018,53.25,54.415,53.2031,54.27,16265376
8/17/2018,54.26,55.21,54.1,54.79,19102725
8/20/2018,54.93,55.08,54.2,54.65,10747393
8/21/2018,54.9,55.07,54.47,54.91,11961204
8/22/2018,54.84,55.01,53.94,54.14,13911413
8/23/2018,54.16,54.55,54.05,54.28,8354356
8/24/2018,54.26,54.83,54.22,54.78,8500072
8/27/2018,54.98,55.06,54.651,54.85,9539647
8/28/2018,54.82,54.9,54.46,54.65,11864596
8/29/2018,54.78,54.96,54.5,54.57,9801883
8/30/2018,54.4,54.8,54.24,54.75,9696481
8/31/2018,54.51,54.66,54.04,54.37,14605441
9/4/2018,53.55,53.72,52.84,53.19,19898641
9/5/2018,53.02,53.97,52.9,53.82,15301165
9/6/2018,53.94,54.47,53.7,54.29,10521909
9/7/2018,54.13,54.39,53.88,54,11746535
9/10/2018,54.32,54.68,53.99,54.12,10781949
9/11/2018,54.29,54.96,54.11,54.72,12298803
