Date,Open,High,Low,Close,Volume
4/19/2018,155,155.21,153.62,154.59,1512894
4/20/2018,154.02,154.75,151.905,152.41,2301966
4/23/2018,153.23,153.46,152.11,153.04,1533001
4/24/2018,153.57,154.34,149.85,151.07,1922646
4/25/2018,151.5,151.5,148.43,150.09,2040159
4/26/2018,150.93,153.13,150.6,152.29,1634609
4/27/2018,152.29,152.97,151.19,152.39,1179514
4/30/2018,153.17,153.26,151.18,151.2,1504694
5/1/2018,151.09,151.95,150.12,151.92,1204794
5/2/2018,151.72,152.09,150.41,150.71,1642051
5/3/2018,150.3,152.04,149.14,151.73,1725045
5/4/2018,150.71,153.955,150.35,153.44,1504132
5/7/2018,152.95,153.08,151.8408,152.3,2056987
5/8/2018,151.35,152.5,151.03,151.94,1770139
5/9/2018,152.9,154.98,152.2,154.62,1515270
5/10/2018,154.99,157.0014,154.43,156.54,1299405
5/11/2018,156.54,157.62,155.82,157.08,1211574
5/14/2018,157.32,157.65,155.31,155.57,1636653
5/15/2018,154.73,154.8,153.38,154.07,1774497
5/16/2018,154.5,155.05,153.66,154.08,1946923
5/17/2018,154.41,155.7178,153.82,154.93,1615325
5/18/2018,155,155.93,154.62,155.31,1517375
5/21/2018,156.02,157.42,156.02,156.94,1652990
5/22/2018,156.97,157.43,155.15,155.33,1757072
5/23/2018,155.29,156.06,154.09,155.31,1737982
5/24/2018,155.83,156.05,154.69,155.59,1911084
5/25/2018,155.39,156.48,155.0495,155.99,1314942
5/29/2018,154.96,155.24,152.66,153.54,2047298
5/30/2018,154.8,156.54,154.53,156.03,1578172
5/31/2018,156,156.78,154.9101,155.74,2767061
6/1/2018,156.94,159.28,156.56,158.89,1808808
6/4/2018,158.65,160,158.06,159.43,1481779
6/5/2018,159.16,160.36,159.05,159.92,1756494
6/6/2018,160.57,162.75,160.16,162.71,1771258
6/7/2018,162.74,162.85,159.6,160.61,1841825
6/8/2018,160.71,162.33,160.61,162.17,1725235
6/11/2018,161.53,163.625,161.53,162.75,1978430
6/12/2018,163.44,164.01,162.45,162.84,2881335
6/13/2018,163.09,164.25,162.61,163.02,2357630
6/14/2018,163.33,163.95,162.14,162.76,1914429
6/15/2018,161.84,163.7,160.64,163.48,8561520
6/18/2018,162,162.98,160.86,162.88,1789847
6/19/2018,162.12,163.34,161.3,163.31,2574366
6/20/2018,163,163.37,161.6601,161.77,2026808
6/21/2018,161.37,161.93,159.63,160.03,2034248
6/22/2018,160.5,160.5,158.44,159.63,3782047
6/25/2018,157.99,158.06,155.35,156.16,3134549
6/26/2018,156.53,157.59,156.16,156.86,2164019
6/27/2018,157.16,158.7,155.3,155.34,3191874
6/28/2018,160.49,165.56,159.7,164.5,5801142
6/29/2018,164.19,165.56,163.03,163.59,3625695
7/2/2018,161.9,163.415,161.3,163.23,2279436
7/3/2018,163.91,165.4165,163.02,163.34,1919106
7/5/2018,163.7,164.85,163.16,164.8,2427938
7/6/2018,164.77,165.17,163.01,164.51,1840443
7/9/2018,165,166.26,165,166.13,1651577
7/10/2018,166.5,167.77,166.34,166.46,2070992
7/11/2018,165.4,167.1,164.6135,166.31,1307057
7/12/2018,167.52,168.15,166.98,168.03,1717271
7/13/2018,167.75,168.5,167.63,168.09,1420329
7/16/2018,168.15,168.47,167.38,167.64,1522791
7/17/2018,167.08,168.95,167,168.07,2315337
7/18/2018,167.47,167.47,165.97,166.38,2206506
7/19/2018,166.21,167.27,165.51,166.89,2055052
7/20/2018,166.59,166.99,166.32,166.52,1110870
7/23/2018,165.93,166.45,165.51,165.96,1783267
7/24/2018,166.33,166.52,164.31,165.17,2545473
7/25/2018,165,167.12,165,167.08,2282484
7/26/2018,167.4,168.11,165.06,165.17,2228035
7/27/2018,165.36,165.7499,161.11,162.02,2703952
7/30/2018,162.24,162.42,158.08,159.42,2553162
7/31/2018,160.3,161.3,158.89,159.33,2722694
8/1/2018,160.31,161.39,159.0899,159.71,2060582
8/2/2018,158.3,160.3,157.84,160.15,1774966
8/3/2018,160.49,160.94,158.96,160.37,1478506
8/6/2018,160.27,161.01,159.58,160.58,1135813
8/7/2018,161.18,161.91,161,161.2,1415746
8/8/2018,161.1,161.65,160.9001,161.14,1123440
8/9/2018,161.13,161.74,160.54,160.64,1722061
8/10/2018,160.05,161.47,159.875,160.68,1354245
8/13/2018,160.73,161.9,160.05,160.23,1590073
8/14/2018,160.09,161.63,159.89,161.24,2083204
8/15/2018,160.56,161.44,159.76,160.41,1669438
8/16/2018,161.8,163.25,161.515,162.89,1956994
8/17/2018,163.47,165.17,163.06,164.89,2717451
8/20/2018,165.34,165.64,164.7999,165.12,1285790
8/21/2018,165.5,165.9,164.52,164.61,1291662
8/22/2018,164.69,165.86,164.34,164.92,1184363
8/23/2018,164.98,166.475,164.98,165.2,1299187
8/24/2018,165.91,166.7901,165.01,165.88,1768231
8/27/2018,166.78,167.2539,166.14,166.87,1406780
8/28/2018,167.38,167.9,166.58,167.67,1668506
8/29/2018,167.55,169.92,167.55,169.77,1370814
8/30/2018,169.56,169.77,168.1326,168.63,1479971
8/31/2018,168.71,169.56,168.2,169.07,2803263
9/4/2018,168.76,169.59,167.88,169.5,1676894
9/5/2018,169.05,169.29,167.5,168.64,1869010
9/6/2018,168.28,169.9248,167.84,169.36,1812963
9/7/2018,168.87,169.67,168.46,169.07,1826611
