Date,Open,High,Low,Close,Volume
4/19/2018,230.11,230.43,226.28,227.62,2620107
4/20/2018,227,227.6,223.05,225.24,2403683
4/23/2018,226.39,229.15,224.75,225.3,2137988
4/24/2018,227,228.3,215.778,217.89,3450849
4/25/2018,218.16,219.4,213.25,217.32,2946092
4/26/2018,219.77,223.19,218.851,221.91,2235942
4/27/2018,223.08,224.18,219.68,221.9,1503148
4/30/2018,223.27,224.14,219.538,221.6,1766330
5/1/2018,220.77,224.49,219.38,224.08,1792948
5/2/2018,224.3,224.5,220.55,221.1,2202895
5/3/2018,220.01,227.37,218.7396,226.05,2507925
5/4/2018,223.89,229.39,223.39,228.51,1663737
5/7/2018,229.54,232.36,229.02,230.99,1808338
5/8/2018,229.74,234.9971,228.75,234.56,2244572
5/9/2018,235,240.15,233.525,239.74,3091588
5/10/2018,240.46,241.76,238.24,241.15,1941395
5/11/2018,241.03,241.93,238.7901,241.88,2261704
5/14/2018,242,243.34,237.24,238.37,2670821
5/15/2018,235.64,237.345,233,236.6,2130349
5/16/2018,236.59,238.12,235.8396,237.39,1843652
5/17/2018,237.32,239.665,234.8288,236.85,1690642
5/18/2018,236.24,239.28,235.2581,238.09,1888196
5/21/2018,239.85,240.78,237.11,238.1,1757941
5/22/2018,241.15,243.49,237.76,238.79,2950223
5/23/2018,236.32,244.09,236,243.91,2757629
5/24/2018,243.79,245.9,240.7218,245.15,2779634
5/25/2018,245,245.79,242.87,243.56,2152871
5/29/2018,242.99,243.385,240.38,242.19,2093449
5/30/2018,244.4,248.56,244.39,247.4,2319344
5/31/2018,247.11,251.52,246.58,249.28,3838370
6/1/2018,250.55,251.83,248.8486,251.31,2773194
6/4/2018,252.85,254.72,251.1,253.34,3058747
6/5/2018,254,254.06,251.11,252.7,2677427
6/6/2018,253.75,254.07,251.5,253.95,3963638
6/7/2018,253.24,254.05,244.03,247.51,4169213
6/8/2018,246.86,251.66,245.83,251.21,2880597
6/11/2018,251.76,253.48,250.125,251,2868208
6/12/2018,252.65,254.8,251.13,252.59,3513342
6/13/2018,253.7,257.9,253.65,256.13,3590741
6/14/2018,257.15,258.9102,256.58,258.1,5618308
6/15/2018,251.28,253.87,247.52,251.82,9052820
6/18/2018,250.52,256.77,249.8,255.69,3764273
