Date,Open,High,Low,Close,Volume
4/19/2018,133.49,134.03,131.485,132.33,1250758
4/20/2018,132.47,132.47,128.96,130.09,1678477
4/23/2018,130.64,132.04,128.29,129.18,1369974
4/24/2018,130.64,131.28,122.05,123.68,2513420
4/25/2018,123.72,124.65,120.905,123.97,1978349
4/26/2018,124.62,127.55,123.97,126.98,1912790
4/27/2018,127.16,127.83,125.775,126.64,1175553
4/30/2018,127.32,128.09,125.81,125.9,1448522
5/1/2018,125.3,127.37,125.29,127.06,1163008
5/2/2018,126.82,127.21,124.99,125.26,1483210
5/3/2018,124.76,128.35,123.875,127.6,1531781
5/4/2018,126.49,130.68,125.59,129.46,1632882
5/7/2018,129.76,132.12,129.63,131.57,1333402
5/8/2018,131.57,133.16,130.71,132.76,1152299
5/9/2018,133.07,136.37,133.07,135.32,1678429
5/10/2018,135.96,137.67,134.9,136.47,1374565
5/11/2018,136.56,136.94,135.33,136.21,1477253
5/14/2018,136.99,138.38,133.3303,134.11,1698103
5/15/2018,133.16,137.45,131.59,136.16,2089032
5/16/2018,136.47,136.73,134.89,135.93,1465230
5/17/2018,135.41,136.83,134.58,136.52,1404495
5/18/2018,136.62,139.665,136.25,138.85,1723616
5/21/2018,139.61,139.94,136.925,137.67,2474786
5/22/2018,138.51,139.17,136.46,136.71,1740505
5/23/2018,135.31,139.5,135.02,139.31,1949033
5/24/2018,139.06,139.628,136.12,138.92,4020965
5/25/2018,132.71,139.6925,131.147,132.75,6543575
5/29/2018,131.65,132.24,128.14,129.62,2946749
5/30/2018,130.66,132.04,128.77,129.37,2149055
5/31/2018,129.51,131.2,128.99,129.1,2733454
6/1/2018,130.3,133.65,129.95,133.52,2076338
6/4/2018,133.45,135.67,131.99,135.57,1573039
6/5/2018,135.65,138.13,134.47,136.8,1289486
6/6/2018,137.21,138,135.76,137.93,1614788
6/7/2018,137.69,137.93,132.38,134.14,1889683
6/8/2018,133.72,135.35,132.97,135.13,1045655
6/11/2018,135.01,136.21,134.71,135.97,1349069
6/12/2018,136.53,137.91,136.38,137.36,1252847
6/13/2018,137.89,139.25,136.43,137.16,1521571
6/14/2018,138.14,139.44,137.76,138.41,1834117
6/15/2018,138.28,138.37,135.58,137.99,2259810
6/18/2018,136.36,142.48,136.15,141.26,2990613
6/19/2018,139,141.28,138.1,141.04,2630141
6/20/2018,141.1,142.936,140.66,140.94,2199764
6/21/2018,141.05,141.959,137.36,137.74,1819378
6/22/2018,137.69,137.955,133.37,136.51,2703177
6/25/2018,134.88,135.065,128.166,129.75,2649300
6/26/2018,129.74,131.75,128.76,130.17,1615323
6/27/2018,130.74,131.974,126.59,127.62,2474897
6/28/2018,127.95,130.865,127.2,130.24,1798202
6/29/2018,130.53,132.92,130.53,131.09,1714615
7/2/2018,130.02,131.96,129.01,131.9,1308272
7/3/2018,131.65,133.2,131.28,131.6,928105
7/5/2018,133.01,133.81,131.31,132.8,1708205
7/6/2018,133.26,135.49,132.66,135.11,1159193
7/9/2018,135.13,136.52,133.36,134.97,1761706
7/10/2018,134.9,136.8,133.89,134.37,1426997
7/11/2018,133.51,134.03,131.65,132.22,2160822
7/12/2018,133,137.88,132.5803,137.46,2244919
7/13/2018,136.99,137.44,134.87,137.21,972848
7/16/2018,136.62,137.315,135.76,136.24,899399
7/17/2018,134.88,137.39,134.44,136.56,1105729
7/18/2018,136.55,137.96,135.84,137.43,1291726
7/19/2018,136.64,136.99,134.33,134.5,1608459
7/20/2018,135.16,135.52,134.13,134.32,1370778
7/23/2018,134,134.69,132.06,134.5,1343401
7/24/2018,135.31,135.97,131.5,132.31,1071656
7/25/2018,132.31,135.92,131.64,135.85,2110962
7/26/2018,135.55,137.46,133.57,136.14,1345370
7/27/2018,136.44,136.85,130,131.16,1846125
7/30/2018,131.17,131.64,124.69,127,2638008
7/31/2018,127.41,130.45,126.58,128.44,1913170
8/1/2018,127.99,129.77,126.73,127.18,1885030
8/2/2018,125.93,131.32,125.885,131.16,1452428
8/3/2018,131.33,132.47,129.96,132.05,1372765
8/6/2018,131.93,134.61,131.32,134.35,1304218
8/7/2018,134.44,136.33,134.38,135.19,1226245
8/8/2018,134.83,135.26,133.47,134.14,994700
8/9/2018,134.59,137,133.89,135.11,1160567
8/10/2018,134.27,136.21,133.71,134.85,1115210
8/13/2018,135.24,136.56,133.26,133.39,1178725
8/14/2018,134.05,135.26,133.07,134,1056158
8/15/2018,133.01,133.63,129.34,131.05,1695181
8/16/2018,132.1,133.89,131.1,133.73,2660915
8/17/2018,133.13,133.53,129.87,132.35,2117328
8/20/2018,132.35,134.29,131.63,133.72,2540907
8/21/2018,134.18,136.96,133.69,135.52,2547790
8/22/2018,134.84,137.55,134.84,136.94,1875281
8/23/2018,136.97,138.7,135.65,136.31,2613834
8/24/2018,152.39,157.78,150.62,157.2,8511153
8/27/2018,158.06,159.94,153.91,154.63,3290880
8/28/2018,154.87,157.83,154.67,156.81,2193358
