Date,Open,High,Low,Close,Volume
4/19/2018,72.48,73.12,71.88,72.46,695920
4/20/2018,72.71,73,71.14,71.3,832302
4/23/2018,71.61,72.27,71.08,71.67,704087
4/24/2018,72,72.24,70.31,70.97,1174719
4/25/2018,71.14,71.14,69.78,70.78,918300
4/26/2018,71.03,71.89,70.76,71.53,817103
4/27/2018,71.84,71.8712,71.04,71.1,692530
4/30/2018,71.51,72.225,71.05,71.65,3787824
5/1/2018,74,74.5,68.931,70.84,4723504
5/2/2018,70.78,71.9,70.78,71.65,1902413
5/3/2018,71.3,71.6,70.4,71.45,1381769
5/4/2018,71,72.32,70.2,72.01,1142621
5/7/2018,72.18,73.13,71.9,73.12,1311440
5/8/2018,73.54,73.9,73.12,73.68,1515893
5/9/2018,73.95,77.39,73.77,77.3,2720062
5/10/2018,77.33,77.59,76.07,76.36,2256265
5/11/2018,76.36,76.9,76.08,76.3,952866
5/14/2018,76.65,77.27,76.42,76.69,2038639
5/15/2018,76.37,76.67,75.6,76.29,1123921
5/16/2018,76.08,76.49,74.18,74.59,2420025
5/17/2018,75.54,76.26,75.25,76.09,6090394
5/18/2018,75.84,76,75.11,75.34,1423635
5/21/2018,75.88,76.68,75.545,76.46,1676261
5/22/2018,77.64,78.25,76.26,76.39,1590522
5/23/2018,75.78,77.045,75.69,77.02,1257581
5/24/2018,77.31,77.89,77.07,77.48,1855843
5/25/2018,77.08,77.44,76.28,76.51,1128499
5/29/2018,76.39,77.19,75.17,75.82,1713412
5/30/2018,76.11,76.629,75.37,76.08,3063465
5/31/2018,76.02,76.02,75,75.38,2683714
6/1/2018,75.7,76.47,75.54,76,2820773
6/4/2018,76,77.09,75.8811,77.07,2451756
6/5/2018,77.35,79.41,77.305,78.99,4148639
6/6/2018,79.1,79.3,77.21,78.01,2594395
6/7/2018,78.26,78.75,77.81,78.28,1958887
6/8/2018,78,78.58,77.281,78.48,2522002
6/11/2018,78.54,79.58,78.5,79.26,1398967
6/12/2018,79.42,80.7,79.08,80.57,2964058
6/13/2018,80.41,81.38,80.21,80.95,1956712
6/14/2018,81.11,81.56,80.77,80.86,2136425
6/15/2018,80.56,81.98,80.26,81.97,3554151
6/18/2018,81.51,82.71,81.02,82.58,2088688
6/19/2018,81.81,82.21,80.89,81.68,2608017
6/20/2018,81.89,82.98,81.75,82.3,1529567
6/21/2018,82.37,83.08,81.3654,81.69,2196620
6/22/2018,81.85,81.85,79.72,80.32,5841386
6/25/2018,79.6,79.6,77.51,77.65,3333218
6/26/2018,74.49,76.1,73.48,75.72,4634780
6/27/2018,74.53,76.14,72.43,72.46,4369719
6/28/2018,71.05,72.97,71.021,72.48,2159263
6/29/2018,72.51,74.01,72.09,73.23,2839958
7/2/2018,72.68,74.52,72.19,74.44,2403325
7/3/2018,75,75,73.89,74.23,1251111
7/5/2018,73.62,74.5799,73.45,74.34,1555885
7/6/2018,74.39,75.33,74.03,75.17,1251674
7/9/2018,75.8,76.38,75.27,76.23,1440433
7/10/2018,76.11,76.315,75.251,75.83,1221845
7/11/2018,75.18,76.51,74.59,76.49,1369905
7/12/2018,77.08,77.73,76.52,77.67,909916
7/13/2018,76.96,77.38,76.21,77.32,1036229
7/16/2018,77.53,78.06,77.31,77.68,1048875
7/17/2018,77.22,78.78,77.2,78.63,1117279
7/18/2018,78.83,78.83,78.01,78.12,1145179
7/19/2018,77.96,78.37,77.73,78.24,1009763
7/20/2018,78.57,79.18,78.05,78.91,1308630
7/23/2018,78.44,79.8,78.12,79.75,1240514
7/24/2018,79.9,80,79.03,79.22,1700939
7/25/2018,79.45,80.76,78.522,80.13,2663450
7/26/2018,79.5,80.79,79.3972,80.73,1540529
7/27/2018,80.93,81.24,79.1884,79.64,1333643
7/30/2018,79.51,79.51,75.16,75.29,2958904
7/31/2018,75.27,75.99,74.7135,75.26,2372314
8/1/2018,70.26,72,69.38,71.63,7981067
8/2/2018,70.1,74.48,70.1,74.28,3034500
8/3/2018,74.25,75,73.92,74.61,1558575
8/6/2018,74.54,75.51,74.54,75.32,2210934
8/7/2018,75.41,75.88,74.31,75.67,1482387
8/8/2018,75.24,76.89,75.14,76.62,1753713
8/9/2018,76.62,77.58,76.4601,76.84,1819317
8/10/2018,75.9,76.87,74.58,74.66,1865884
8/13/2018,72.71,73.54,71.93,72,1904540
8/14/2018,72.24,72.79,71.75,72.2,1962344
8/15/2018,71.55,72.555,70.81,71.69,2453973
8/16/2018,72.38,72.515,71.11,71.39,1793549
8/17/2018,71.26,71.615,70.9,71.44,1463022
8/20/2018,71.85,72.74,71.52,72.51,2134678
8/21/2018,72.62,73.3434,72.51,72.78,964106
8/22/2018,72.75,73.465,72.75,73.11,872476
8/23/2018,73.05,73.59,72.36,73.07,1065738
8/24/2018,73.22,73.78,73.02,73.4,1084628
8/27/2018,73.92,74.55,73.67,74.51,904170
8/28/2018,74.76,75.285,74.37,74.45,841409
8/29/2018,74.56,75.36,74.03,75.23,1007057
8/30/2018,75.12,75.23,74.4,74.71,726868
8/31/2018,74.63,75.25,74.42,75.14,1146299
9/4/2018,74.66,74.82,74.19,74.74,816372
9/5/2018,74.51,74.53,73.08,73.69,1095549
9/6/2018,73.63,74.535,73.3934,74.28,890279
9/7/2018,73.62,74.88,73.15,74.51,854212
9/10/2018,75.84,77.13,75.68,76.75,1458870
9/11/2018,76.53,77.35,76.24,76.9,829969
9/12/2018,76.7,76.9401,75.68,76.01,1021981
9/13/2018,76.59,76.836,75.67,76.16,864383
9/14/2018,76.19,76.3,75.02,75.8,1525514
9/17/2018,75.67,75.99,74.15,74.28,1409306
9/18/2018,74.14,75.39,74.14,74.33,977848
9/19/2018,74.14,74.865,73.44,73.74,1201180
9/20/2018,73.65,74.42,73.65,74.17,1110694
9/21/2018,74.5,74.65,73.42,73.5,2397829
9/24/2018,73.28,73.41,72.27,72.87,1328959
9/25/2018,72.81,73.5,72.75,72.83,1388717
9/26/2018,73.15,73.46,72.35,72.51,1685333
9/27/2018,72.72,73.17,72.35,72.41,1011064
