Date,Open,High,Low,Close,Volume
4/19/2018,53.68,54.18,50.8,51.19,24443494
4/20/2018,51.08,52.04,50.68,51.09,16258049
4/23/2018,51.53,51.74,49.93,50.18,12427907
4/24/2018,50.7052,51.05,48.18,48.72,16358910
4/25/2018,48.76,49.47,47.74,49.14,13284571
4/26/2018,50.01,50.66,49.55,50.49,12701536
4/27/2018,51.04,51.39,49.235,49.4,11514288
4/30/2018,49.52,49.95,49.17,49.67,12694967
5/1/2018,49.74,50.95,49.51,50.91,10935468
5/2/2018,50.66,51.28,50.37,50.53,10284964
5/3/2018,50.27,50.91,49.88,50.71,11661534
5/4/2018,50.39,52.69,50.18,52.56,12523268
5/7/2018,52.74,52.9,52.15,52.59,10071105
5/8/2018,52.7,53.49,52.6,53.45,13492941
5/9/2018,53.53,54.17,53.26,54.13,9581362
5/10/2018,54.53,55.62,54.32,55.53,9880362
5/11/2018,55.43,55.89,54.55,54.84,10897315
5/14/2018,55.83,56.94,55.23,55.26,12333798
5/15/2018,54.75,54.87,53.48,54.09,12837315
5/16/2018,54.5,55.46,54.46,55.17,10166674
5/17/2018,54.68,54.98,53.46,53.96,20101007
5/18/2018,50.29,50.46,48.53,49.51,51042247
5/21/2018,50.706,51.365,49.37,50,20898855
5/22/2018,50.61,51.33,50,50.25,15094044
5/23/2018,49.81,50.8,49.73,50.34,15595400
5/24/2018,50.59,50.91,49.8601,50.77,10442013
5/25/2018,50.73,51.33,50.4,50.85,12202909
5/29/2018,51.1,52.25,51.042,52.02,16094872
5/30/2018,52.38,52.49,51.445,51.59,13439597
5/31/2018,51.31,51.6099,50.62,50.78,16462732
6/1/2018,51.3,52.27,51.11,52.24,11341186
6/4/2018,52.35,52.47,51.89,52.29,9911343
6/5/2018,52.71,53.23,52.32,52.91,13547109
6/6/2018,52.93,52.93,52.11,52.53,10027147
6/7/2018,51.61,51.82,50.4,51.25,16868964
6/8/2018,50.41,51.215,50.23,51.15,9954442
6/11/2018,51.2,51.22,49.5648,49.89,18725485
6/12/2018,50.07,50.875,49.83,50.86,17236772
6/13/2018,50.3,51.59,50.25,50.98,17174088
6/14/2018,50.99,51.04,49.62,49.69,16482523
6/15/2018,49.16,49.7,48.76,49.31,23243800
6/18/2018,48.88,49,48.15,48.32,13780941
6/19/2018,47.56,48.81,47.201,48.55,13586351
6/20/2018,48.75,48.975,48.14,48.58,9735853
6/21/2018,49.59,49.79,48.6648,48.99,13209348
6/22/2018,49.4,49.4,47.73,47.96,13200531
6/25/2018,47,47.325,46.0833,46.71,14442793
6/26/2018,47.16,47.3,46.555,46.67,14748320
6/27/2018,46.92,47.19,45.2,45.25,14900221
6/28/2018,44.96,45.49,44.57,45.29,13760424
6/29/2018,45.73,46.815,45.69,46.19,15112231
7/2/2018,45.1,45.71,44.92,45.68,11042942
7/3/2018,45.76,45.88,44.74,44.8,7538522
