Date,Open,High,Low,Close,Volume
4/19/2018,10.18,10.3284,9.99,10.11,57841640
4/20/2018,10.05,10.14,9.95,9.99,39011902
4/23/2018,10.09,10.19,9.97,10.04,42971272
4/24/2018,10.19,10.35,9.95,10.09,44992223
4/25/2018,10.06,10.09,9.56,9.71,90577981
4/26/2018,10.87,11.19,10.61,11.04,145284090
4/27/2018,11.2,11.36,11.02,11.11,74347782
4/30/2018,11.055,11.14,10.87,10.88,50608764
5/1/2018,10.83,11.15,10.77,11.13,43441602
5/2/2018,11.1,11.155,10.97,10.97,29267302
5/3/2018,10.902,11.06,10.83,10.93,33310596
5/4/2018,10.88,11.29,10.8701,11.28,47884940
5/7/2018,11.32,11.68,11.3,11.59,54001692
5/8/2018,11.49,11.66,11.4,11.61,35218414
5/9/2018,11.65,11.98,11.57,11.95,49605743
5/10/2018,11.98,12.18,11.95,12.13,49744484
5/11/2018,11.89,12.03,11.69,11.95,43863746
5/14/2018,12.14,12.36,12.11,12.23,50263792
5/15/2018,12.18,12.46,12.16,12.45,44183179
5/16/2018,12.64,12.98,12.62,12.82,73363996
5/17/2018,12.79,12.9,12.66,12.82,38692510
5/18/2018,13.06,13.26,12.91,13,54063411
5/21/2018,13.25,13.31,12.88,12.99,49714221
5/22/2018,13,13.14,12.71,12.98,43267033
5/23/2018,12.93,13.18,12.9,13.1,44517762
5/24/2018,13.06,13.43,13.03,13.41,47785726
5/25/2018,13.4,13.72,13.36,13.54,43850067
5/29/2018,13.45,13.63,13.26,13.36,39578498
5/30/2018,13.48,13.95,13.48,13.82,58186435
5/31/2018,13.74,13.93,13.69,13.73,46797677
6/1/2018,13.98,14.4,13.92,14.4,71677869
6/4/2018,14.76,14.98,14.52,14.85,74545986
6/5/2018,14.85,14.9185,14.63,14.85,56122654
6/6/2018,15.07,15.74,15.04,15.67,97089040
6/7/2018,15.83,15.97,14.85,14.89,99860297
6/8/2018,14.52,15.33,14.31,15.25,81930486
6/11/2018,15.21,15.89,15.01,15.73,80737640
6/12/2018,15.84,15.95,15.43,15.85,67002592
6/13/2018,15.81,16.52,15.78,16.32,90227322
6/14/2018,16.62,16.79,15.58,16.25,113048551
6/15/2018,16.06,16.52,15.82,16.34,77612174
6/18/2018,16.18,17.34,16.13,17.11,104317396
6/19/2018,16.85,17.29,16.31,16.69,92542859
6/20/2018,16.83,17.13,16.37,16.52,76280646
6/21/2018,16.65,16.87,15.46,15.65,95638369
6/22/2018,15.78,15.91,15.56,15.8,59257099
6/25/2018,15.64,15.74,14.54,15.11,94418420
6/26/2018,15.32,15.6,15.1,15.5,54213466
6/27/2018,15.65,15.76,14.96,14.97,56014335
6/28/2018,14.85,15.36,14.75,15.31,48716794
6/29/2018,15.41,15.49,14.98,14.99,41527791
7/2/2018,14.8,15.18,14.74,15.16,43398768
7/3/2018,15.21,15.34,14.96,15,32094031
7/5/2018,15.13,15.5,15.02,15.5,40703271
7/6/2018,15.52,16.39,15.48,16.36,65101672
7/9/2018,16.73,16.84,16.17,16.61,58525542
7/10/2018,16.59,16.65,16.31,16.55,37092975
7/11/2018,16.15,16.53,16.02,16.27,42544103
7/12/2018,16.41,16.79,16.38,16.56,44188137
7/13/2018,16.68,16.69,16.22,16.27,40698475
7/16/2018,16.42,17,16.41,16.58,65275291
7/17/2018,16.5,16.88,16.48,16.87,42313518
7/18/2018,16.94,16.99,16.55,16.85,40881493
7/19/2018,16.71,16.88,16.55,16.71,41267829
7/20/2018,16.66,16.88,16.44,16.5,42906009
7/23/2018,16.47,16.68,15.895,16.66,44940819
7/24/2018,16.75,16.86,16.11,16.19,58201458
7/25/2018,16.3,16.39,15.72,16.05,83639684
7/26/2018,17.16,18.45,16.83,18.35,192661124
7/27/2018,19.07,19.88,18.31,18.94,161903789
7/30/2018,19.4,20.18,19.31,19.42,160823407
7/31/2018,19.35,19.5,18.27,18.33,118403405
8/1/2018,18.34,18.95,18.32,18.48,75495240
8/2/2018,18.17,18.83,18,18.79,52867121
8/3/2018,18.94,19.0566,18.37,18.49,53232065
8/6/2018,18.89,19.44,18.46,19.43,83579668
8/7/2018,19.53,19.71,19.08,19.56,72822590
8/8/2018,19.46,19.77,19.255,19.58,52081364
8/9/2018,19.58,19.71,19.08,19.1,46653358
8/10/2018,19.09,19.48,18.85,19.06,65821056
8/13/2018,19.16,19.93,19.12,19.73,81411331
8/14/2018,19.97,20.28,19.63,20.02,89195509
8/15/2018,19.86,20.1,19.2,19.7,86355654
8/16/2018,19.86,20.07,19.25,19.33,69733708
8/17/2018,19.12,19.82,18.73,19.77,60616638
8/20/2018,19.79,20.08,19.35,19.98,62983236
8/21/2018,19.98,20.415,19.86,20.4,55628983
8/22/2018,20.28,20.92,20.21,20.9,62002721
8/23/2018,21.19,22.32,21.14,22.29,113444117
8/24/2018,22.91,24,22.67,23.98,164328182
8/27/2018,24.94,27.3,24.6261,25.26,325058420
8/28/2018,25.51,26.18,24.04,25.05,215771220
8/29/2018,24.36,25.41,24.01,25.2,143223187
8/30/2018,25.29,25.67,24.76,24.89,103607291
8/31/2018,24.89,25.24,24.72,25.17,65206352
9/4/2018,25.62,28.11,25.5675,28.06,192541253
9/5/2018,29.41,29.94,26.84,28.51,257349007
9/6/2018,28.12,28.58,27.19,27.84,143942935
9/7/2018,26.96,28.27,26.8,27.38,123348744
9/10/2018,28.15,29.925,27.84,29.89,162253798
9/11/2018,30.02,30.59,29.37,30.1,159902483
9/12/2018,29.91,32.29,29.45,32.21,197889598
9/13/2018,33.16,34.14,29.87,30.48,304147110
9/14/2018,31.43,33.09,30.54,32.72,217762820
9/17/2018,31.75,33.23,31.6,32.43,180410560
9/18/2018,32.99,33.37,31.2,31.93,176673169
9/19/2018,31.52,31.83,30.51,31.21,124287022
9/20/2018,32.1,32.2,30.64,31.18,123116549
9/21/2018,31.19,32.42,30.91,31.02,129792949
9/24/2018,31.13,32.65,30.91,32.61,118332614
9/25/2018,33.18,33.6,32.19,32.57,118570163
9/26/2018,32.4,32.6,31.72,32.19,79347320
9/27/2018,31.86,32.63,31.39,32.59,87934428
9/28/2018,32.24,32.78,29.98,30.89,165453485
10/1/2018,30.69,31.91,30.25,31.42,94742859
10/2/2018,30.73,30.82,28.65,29.02,145276455
10/3/2018,29.035,29.22,26.54,28.43,190137198
10/4/2018,27.99,28.83,27.37,27.78,95831156
10/5/2018,28.07,28.47,26.93,27.35,88008487
10/8/2018,26.73,27.54,25.96,26.46,103789499
10/9/2018,26.15,27.71,26,27.24,105461756
10/10/2018,27.38,27.4,24.91,25,147682923
10/11/2018,24.74,26.2,24.55,25.3,147013774
10/12/2018,26.77,26.9697,25.67,26.34,111059406
10/15/2018,26.38,26.77,25.75,26.26,70523486
10/16/2018,26.63,28.23,26.17,28.18,92528973
10/17/2018,28.41,28.53,26.9199,27.3,89466946
10/18/2018,27.08,27.75,26.4,26.62,79623723
10/19/2018,27.03,27.1,23.6,23.66,130799866
10/22/2018,24.46,25.64,24.0901,25.03,114158919
10/23/2018,24.18,25.26,23.85,25.09,101763018
10/24/2018,25.04,25.1,22.75,22.79,134489106
10/25/2018,17.92,20.15,17.72,19.27,189173672
10/26/2018,18.49,18.78,17.05,17.63,119688961
10/29/2018,18.21,18.23,16.27,16.85,94479590
10/30/2018,16.38,17.24,16.17,17.2,99049408
10/31/2018,17.87,18.34,17.12,18.21,110463663
11/1/2018,18.41,20.33,18.08,20.22,136896463
11/2/2018,20.59,21.06,19.47,20.23,123787953
11/5/2018,20.12,20.18,18.88,19.9,108016703
11/6/2018,19.5,21.65,19.48,20.68,144995728
11/7/2018,21.42,22.2235,21.07,21.84,121115776
11/8/2018,21.77,22.08,20.97,21.2,92387565
11/9/2018,20.77,21.19,20.11,21.03,85900699
11/12/2018,20.68,20.85,18.8,19.03,95948176
11/13/2018,19.28,20.02,18.97,19.61,76125994
11/14/2018,20.18,21.11,19.7599,20.81,106344252
11/15/2018,20.72,21.77,20.42,21.49,97715488
11/16/2018,19.87,20.97,19.72,20.66,112376589
11/19/2018,20.4,20.59,19.09,19.11,93578236
11/20/2018,17.4,19.58,17.18,19.21,109869425
11/21/2018,20.05,20.31,18.5,18.73,81585649
11/23/2018,18.61,19.83,18.56,19.38,54611295
11/26/2018,19.96,20.19,19.1101,20.08,83210988
11/27/2018,19.77,21.45,19.73,21.05,119230147
11/28/2018,21.82,21.88,20.18,21.34,134425292
11/29/2018,21.19,21.61,20.73,21.43,79853746
11/30/2018,21.3,21.36,20.52,21.3,82370737
12/3/2018,22.48,23.75,22.37,23.71,139605406
12/4/2018,23.35,23.42,21.07,21.12,127392924
12/6/2018,20.22,21.41,20.06,21.3,103434674
12/7/2018,21.3,21.3799,19.17,19.46,105764534
12/10/2018,19.35,20.13,19.27,19.99,77984520
12/11/2018,20.71,21.14,19.69,19.98,88027392
12/12/2018,20.32,21.02,19.71,20.48,100340657
12/13/2018,20.63,20.865,19.76,19.86,88108070
12/14/2018,19.58,20.7,19.52,19.9,84713551
12/17/2018,20.01,20.025,18.635,18.83,115437927
12/18/2018,19.15,19.84,18.88,19.5,101512938
12/19/2018,19.44,19.72,18,18.16,120644490
12/20/2018,18.11,18.86,17.34,17.94,119394487
12/21/2018,18.12,18.34,16.76,16.93,132245996
12/24/2018,16.52,17.2199,16.37,16.65,62933126
12/26/2018,16.88,17.91,16.03,17.9,108811809
12/27/2018,17.43,17.74,16.44,17.49,111373008
12/28/2018,17.53,18.31,17.135,17.82,109214352
12/31/2018,18.15,18.5101,17.85,18.46,84732181
1/2/2019,18.01,19,17.98,18.83,87148693
1/3/2019,18.42,18.68,16.94,17.05,117277563
1/4/2019,17.55,19.07,17.43,19,111878582
1/7/2019,19.44,20.68,19,20.57,107157014
1/8/2019,21.19,21.2,19.68,20.75,121270986
1/9/2019,20.89,21.44,20.07,20.19,163944073
1/10/2019,19.76,19.8342,18.9,19.74,115629372
1/11/2019,19.47,20.35,19.19,20.27,85110766
1/14/2019,19.96,20.62,19.75,20.23,71350248
1/15/2019,20.44,20.68,20.26,20.38,62785800
1/16/2019,20.4,20.54,19.71,19.73,70849266
1/17/2019,19.49,20.51,19.02,20.25,85018421
1/18/2019,20.37,21.05,20.02,20.77,88130950
1/22/2019,20.48,20.9199,19.7,19.76,78513667
1/23/2019,20.03,20.48,19.55,19.8,77811255
1/24/2019,20.06,21.01,20.04,20.85,97433423
1/25/2019,20.99,22.03,20.79,21.93,110555157
1/28/2019,20.315,21.01,20.02,20.18,135164064
1/29/2019,20.26,20.39,19.05,19.25,131202535
1/30/2019,21.49,23.13,21.37,23.09,211421150
1/31/2019,23.02,25.14,22.83,24.41,182575629
2/1/2019,24.61,24.84,24.065,24.51,105356175
2/4/2019,24.43,24.66,24.07,24.13,70843958
2/5/2019,23.42,23.86,22.98,23.31,122226034
2/6/2019,23.63,24.14,23.22,23.26,78684325
2/7/2019,22.99,23.22,22.32,22.67,86723886
2/8/2019,22.33,23.28,22.27,23.05,78129280
2/11/2019,23.05,23.2827,22.66,22.96,60578705
2/12/2019,23.43,23.56,22.75,22.82,67595405
2/13/2019,22.98,23.24,22.7138,22.85,57544167
2/14/2019,22.74,23.37,22.59,23.13,64441243
2/15/2019,23.58,24.05,23.2,23.68,78644109
2/19/2019,23.625,24.405,23.605,23.95,57517907
2/20/2019,24.14,24.37,23.9,23.95,57091617
2/21/2019,24.04,24.33,23.85,23.92,49608176
2/22/2019,24.05,24.36,23.88,24.36,52650728
2/25/2019,25.01,25.52,24.68,24.71,63221028
2/26/2019,24.65,24.72,24.15,24.21,48470089
2/27/2019,24.11,24.2299,23.21,23.48,62649329
2/28/2019,23.21,23.67,23.11,23.53,39384901
3/1/2019,23.97,24.19,23.45,23.68,48083975
3/4/2019,23.89,24.13,23.01,23.37,48147714
3/5/2019,23.34,23.68,23.01,23.5,35462587
3/6/2019,23.47,23.53,22.4,22.41,60479430
3/7/2019,22.33,22.4101,21.73,22.08,52186289
3/8/2019,21.35,22.085,21.035,22.01,49967725
3/11/2019,22.15,23.075,21.98,22.96,54420188
3/12/2019,23.1,23.795,22.78,23.49,56410616
3/13/2019,23.66,24.15,23.35,23.38,56705777
3/14/2019,23.37,23.49,22.8,22.82,42818582
3/15/2019,23.1,23.65,23.01,23.29,46519912
3/18/2019,23.3,23.62,23.04,23.25,34731839
3/19/2019,23.6,26.08,23.59,26,156052222
3/20/2019,26.49,26.88,25.31,25.7,151292138
3/21/2019,25.78,28.11,25.71,27.89,129610272
3/22/2019,27.54,27.75,26.33,26.37,115323257
3/25/2019,26.29,26.99,25.54,25.97,78438159
3/26/2019,26.69,26.98,25.46,25.69,75754079
3/27/2019,25.7,25.88,24.55,24.89,88585265
3/28/2019,25.1,25.56,24.65,25.06,64667453
3/29/2019,25.58,25.73,25.25,25.52,53502807
4/1/2019,26.42,26.555,25.83,26.36,63000322
4/2/2019,26.51,26.8,26.09,26.75,53358772
4/3/2019,28.02,29.9498,27.88,29.02,197650478
4/4/2019,28.88,29.385,28.61,29.09,82191092
4/5/2019,29.64,29.69,28.8,28.98,65662738
4/8/2019,28.69,28.95,28.18,28.53,58002493
4/9/2019,28.24,28.38,27.19,27.24,75539793
4/10/2019,27.46,28.12,27.32,27.83,64368144
4/11/2019,27.81,28.05,27.46,27.79,44801179
4/12/2019,28.21,28.38,27.66,27.85,41048838
4/15/2019,27.8,27.84,26.96,27.33,40812497
4/16/2019,27.72,28.18,27.49,27.93,47340055
4/17/2019,28.21,28.27,27.22,27.49,48240768
4/18/2019,27.6,27.88,27.34,27.68,39880890
4/22/2019,27.62,28.23,27.39,28.18,36477286
4/23/2019,28.18,28.49,27.79,27.97,41777470
4/24/2019,28.1,28.85,27.93,28.46,51784738
4/25/2019,28.67,28.86,27.36,27.66,57329711
4/26/2019,27.66,27.9,27.05,27.88,48827903
4/29/2019,27.9,28.14,27.5,27.69,44532725
4/30/2019,27.59,27.8,26.94,27.63,73165869
5/1/2019,28.95,29.15,26.78,26.81,136066941
5/2/2019,26.94,28.64,26.61,28.29,100514792
5/3/2019,28.3,28.4201,27.66,28.22,55503062
5/6/2019,26.72,27.5,26.45,27.42,70344092
5/7/2019,27.2,27.35,26.21,26.66,75868821
5/8/2019,26.41,27.71,26.27,27.09,65967544
5/9/2019,26.7,27.38,26.03,27.21,73150883
5/10/2019,27.03,28.1,26.93,27.96,82930144
5/13/2019,26.98,27.23,26.1,26.24,99017893
5/14/2019,26.53,27.48,26.15,27.32,82980397
5/15/2019,26.87,27.79,26.73,27.58,55689874
