Date,Open,High,Low,Close,Volume
4/19/2018,165.9,166.89,164.5,165.48,923405
4/20/2018,165.39,165.455,162.18,163.78,889286
4/23/2018,163.78,164.9,161.68,162.58,393001
4/24/2018,163.45,166.18,159.7,160.95,333564
4/25/2018,160.65,161.19,157.17,159.86,350245
4/26/2018,160.94,163.76,160.25,162.6,239130
4/27/2018,163.07,164.31,161.855,162.8,252470
4/30/2018,162.97,163.98,161.42,161.66,348361
5/1/2018,161.58,162.94,159.66,161.11,315107
5/2/2018,160.34,162.82,158.63,160.61,493414
5/3/2018,160.08,163.38,156.1,161.02,688881
5/4/2018,160.9,164.5526,156.251,164.15,515333
5/7/2018,164.84,166.7,164.2,165.73,413497
5/8/2018,163.24,167.68,163.24,167.48,523341
5/9/2018,168.33,171.95,167.4375,171.5,485032
5/10/2018,171.97,173.11,171.17,172.31,426931
5/11/2018,172.56,173.2,171,172.13,553271
5/14/2018,172.3,172.635,166.57,166.97,322017
5/15/2018,165.9,165.9,163.78,165.48,529753
5/16/2018,165.27,166.23,164.06,165.28,431341
5/17/2018,165.48,165.99,163.54,164.58,310757
5/18/2018,164.32,165.95,163.25,164.93,345712
5/21/2018,165.81,166.76,163.41,164.52,258981
5/22/2018,164.58,164.93,163.17,163.45,363783
5/23/2018,162.32,164.17,161.1,164.16,406793
5/24/2018,164.01,164.61,161.85,163.22,546888
5/25/2018,163.06,163.74,161.74,162.32,322746
5/29/2018,161.2,162.86,160.49,161.59,370737
5/30/2018,158.865,164.45,158.865,162.89,412049
5/31/2018,162.99,163.98,161.79,162.8,965277
6/1/2018,163.81,166.19,163,165.8,474782
6/4/2018,165.81,168.2,165.56,168.09,296519
6/5/2018,159.77,170.71,159.77,170.02,470934
6/6/2018,170.08,171.64,169.29,171.54,485663
6/7/2018,171.99,171.99,168.66,170.87,840491
6/8/2018,170.64,172.59,169.76,172.23,467061
6/11/2018,172.54,173.35,170.011,172.99,316976
6/12/2018,173.37,176.12,172.835,175.96,396177
6/13/2018,175.78,178.06,175.41,175.79,472061
6/14/2018,176.67,178.15,175.04,176.92,415207
