Date,Open,High,Low,Close,Volume
4/19/2018,43.54,43.555,43.005,43.1,2067834
4/20/2018,42.975,42.98,42.335,42.605,3031958
4/23/2018,42.8,42.8425,42.14,42.2,3056000
4/24/2018,42.48,42.55,41.015,41.385,4785816
4/25/2018,41.825,41.975,40.21,41.44,5602962
4/26/2018,41.575,41.905,41.3023,41.895,3160284
4/27/2018,41.95,42.3025,41.755,42.14,3579116
4/30/2018,42.195,42.425,41.855,41.855,3069434
5/1/2018,41.675,42.0677,41.385,41.97,2580674
5/2/2018,42.1,42.39,41.875,41.98,3484746
5/3/2018,41.705,42.23,41.415,42.14,2586540
5/4/2018,41.89,42.795,41.8225,42.675,2830074
5/7/2018,42.735,43.08,42.735,42.91,2740176
5/8/2018,42.94,42.995,42.585,42.87,2564938
5/9/2018,42.89,43.235,42.63,43.155,2249176
5/10/2018,43.41,43.655,43.07,43.635,1955046
5/11/2018,43.545,44.01,43.4975,43.99,2364594
5/14/2018,44.07,44.155,43.89,44.095,2145612
5/15/2018,44.03,44.085,43.79,43.93,2220280
5/16/2018,44.115,44.345,43.805,44.175,2040032
5/17/2018,44.11,44.345,43.9575,44.06,1998140
5/18/2018,43.96,44.185,43.81,43.99,1814698
5/21/2018,44.245,44.47,44.11,44.465,1983472
5/22/2018,44.6,44.6,44.015,44.05,2183896
5/23/2018,43.805,44.11,43.53,44.1,2236744
5/24/2018,44.055,44.305,43.695,43.9,1615862
5/25/2018,43.84,43.905,43.41,43.635,2200760
5/29/2018,43.27,43.82,43.13,43.49,2879702
5/30/2018,43.745,43.975,43.695,43.785,1913562
5/31/2018,43.21,43.895,43.17,43.465,3586708
6/1/2018,43.785,44.2616,43.675,44.185,2098538
6/4/2018,44.205,44.3499,43.975,44.045,2429104
6/5/2018,44.005,44.99,43.61,44.975,2669316
6/6/2018,45,45.22,44.71,45.22,2096490
6/7/2018,45.25,45.435,45.12,45.405,2973470
6/8/2018,45.23,45.49,45.0365,45.455,2172016
6/11/2018,45.485,45.55,45.29,45.36,2778946
6/12/2018,45.265,45.44,44.755,45.435,2729950
6/13/2018,45.46,45.635,45.33,45.525,2210430
6/14/2018,45.585,45.77,45.36,45.6,2107940
6/15/2018,45.34,45.985,45.095,45.66,3486066
6/18/2018,45.29,45.4,44.94,45.4,1611022
6/19/2018,44.785,44.91,44.325,44.84,1898692
