Date,Open,High,Low,Close,Volume
4/19/2018,243.54,246.28,240.66,242.86,5014099
4/20/2018,241.22,241.6,235.01,237.12,4152992
4/23/2018,237.99,238.32,232.12,233.45,3133710
4/24/2018,235.74,236.12,226.69,228.39,4488879
4/25/2018,229,231.1,225.86,229,3402290
4/26/2018,231,231.88,228.3,230.42,3275088
4/27/2018,233.57,234.2,230.7,232.78,2721139
4/30/2018,232.58,234.12,228.32,229.42,3968159
5/1/2018,230.845,230.845,226.36,230.38,4494715
5/2/2018,233.3,233.44,226.8,228.74,5295034
5/3/2018,226.49,227.88,222.68,225.25,5801139
5/4/2018,223.65,232.09,221.98,230.52,5130280
5/7/2018,231.3,236.9,231,235.97,3695339
5/8/2018,235.74,238.96,234.816,238.85,4014883
5/9/2018,235.8,239.13,234.0477,238.05,3503116
5/10/2018,239.73,243.73,238.61,243.51,2574726
5/11/2018,243.08,244.5,241.6,243.38,2405205
5/14/2018,246.28,248.42,243.8,244.76,2757954
5/15/2018,242.31,244.44,238.5,241.58,2498386
5/16/2018,242.14,242.21,238.99,240.51,2932964
5/17/2018,238.12,241.66,238.0003,239.45,2282519
5/18/2018,239.86,240.62,235.88,235.99,2526200
5/21/2018,239.46,240.5,236.67,239.05,2571950
5/22/2018,240.24,241.3695,237.58,238.49,1921771
5/23/2018,236.23,240.63,236.03,240.56,2345357
5/24/2018,240.86,244.36,240,243.53,2279928
5/25/2018,244.04,250.68,244.04,250.03,3221425
5/29/2018,248.64,251.11,248.4675,249.69,2828101
5/30/2018,251.18,252.03,249.33,249.4,2684369
5/31/2018,249.26,255.29,249,252.07,3469805
6/1/2018,254.37,257.7,252.54,256.34,2636023
6/4/2018,258,259.36,256.23,258.37,2588550
6/5/2018,259.46,261.35,258.04,259.26,4237411
6/6/2018,260.74,263.78,259.71,263.52,3746530
6/7/2018,263,266.48,262.92,264.68,4607658
6/8/2018,256.74,259.93,253.74,257.97,7369382
6/11/2018,257.86,261.8,256.32,260.83,3185941
6/12/2018,260.33,261.73,258.4,261.43,2759400
6/13/2018,261.76,266.07,260.71,263.58,3486822
6/14/2018,265,269.07,264.1,268.46,3704162
6/15/2018,268.66,271.81,266.33,270.23,6096866
6/18/2018,269,269,264.23,264.5,3019056
6/19/2018,256,261.13,254.15,260.95,3622147
6/20/2018,261.5,264.02,260.74,261.22,2495125
6/21/2018,261.58,262.57,258.44,259.65,1818637
6/22/2018,261.18,261.5,258.96,259.71,5241177
6/25/2018,256.42,256.42,250.43,252.42,2970532
6/26/2018,253,254.61,250.55,251.54,2423327
6/27/2018,252.09,255.16,246.85,247.11,2471987
6/28/2018,246.28,247.32,242.265,244.9,3324128
6/29/2018,246.95,246.95,242.57,242.64,4279382
7/2/2018,240.09,242.22,237.42,242.05,3336918
7/3/2018,243.36,243.39,239,239.29,1159050
7/5/2018,241.79,245.61,240.68,245.4,2529880
7/6/2018,244.9,248.6,244.42,247.68,2311214
7/9/2018,249,249.23,245.525,247.43,1795480
