Date,Open,High,Low,Close,Volume
4/19/2018,37.88,37.89,37.22,37.38,2413033
4/20/2018,37.3,37.62,36.77,37.02,2960028
4/23/2018,37.21,37.47,36.645,36.74,3266912
4/24/2018,40.11,41.49,39.62,40.09,9009838
4/25/2018,39.96,39.99,38.58,39.56,3961869
4/26/2018,39.85,40.48,39.31,39.89,2979270
4/27/2018,40.04,40.22,39.8,39.96,2922068
4/30/2018,40.07,40.36,39.96,40.06,3089325
5/1/2018,39.91,40.38,39.57,40.34,2275040
5/2/2018,39.89,40.35,39.75,39.97,2471324
5/3/2018,39.7,40.3199,39.58,40.25,2312452
5/4/2018,40.15,40.88,39.95,40.8,2009866
5/7/2018,40.84,41.27,40.84,41.07,2967288
5/8/2018,40.89,41.2,40.66,40.9,3765315
5/9/2018,41,41.89,40.96,41.76,1586654
5/10/2018,41.86,42.28,41.56,42.23,3097382
5/11/2018,42.27,42.47,42.06,42.25,1911684
5/14/2018,42.37,42.54,42,42.19,3880003
5/15/2018,41.83,41.96,40.92,41.08,3196780
5/16/2018,41.16,41.28,40.88,41.03,2787016
5/17/2018,40.97,41.75,40.9,41.52,2409063
5/18/2018,41.45,41.89,41.17,41.8,2664068
5/21/2018,41.99,42.13,41.77,42.01,2083469
5/22/2018,42.03,42.63,42.01,42.05,3104877
5/23/2018,41.72,42.34,41.54,42.33,2063212
5/24/2018,42.21,42.43,41.835,42.23,2935391
5/25/2018,42.09,42.29,41.96,42.24,1921422
5/29/2018,42.02,42.29,41.82,42.01,1641004
5/30/2018,42.2,42.55,42.02,42.16,2240024
5/31/2018,42.15,42.799,42.05,42.45,4283882
6/1/2018,42.71,43.26,42.67,43.21,1489844
6/4/2018,43.41,43.58,42.88,43.42,1314063
6/5/2018,43.21,43.75,43.19,43.69,1889607
6/6/2018,43.86,44.18,43.75,44.12,1315666
6/7/2018,44.06,44.5,43.79,44.08,3378924
6/8/2018,43.92,44.15,43.66,44.07,1479586
6/11/2018,44.14,44.325,43.91,44.25,1037133
6/12/2018,44.2,44.53,44.13,44.51,1589582
6/13/2018,44.4,44.795,44.37,44.58,2341949
