Date,Open,High,Low,Close,Volume
4/19/2018,71.93,72.875,71.46,72.53,774656
4/20/2018,72.36,72.36,71.01,71.53,409044
4/23/2018,71.92,72.53,71.15,71.61,667625
4/24/2018,72.07,72.36,70.29,70.74,357282
4/25/2018,70.75,71.28,69.97,71.13,407297
4/26/2018,71.46,72.46,70.93,71.16,421811
4/27/2018,71.32,71.91,70.57,71.61,626754
4/30/2018,71.51,71.995,71.03,71.29,565835
5/1/2018,71.5,72.79,71.17,72.37,1236494
5/2/2018,74.23,78.79,74.23,76.06,2271458
5/3/2018,76.11,76.31,74.06,74.5,1070883
5/4/2018,74.76,75.82,74.19,75.52,777191
5/7/2018,75.52,76.58,75.19,76.37,778079
5/8/2018,76.62,76.75,75.64,76.59,688988
5/9/2018,76.91,77.75,76.495,77.69,672891
5/10/2018,77.63,78.33,77.02,78.21,520269
5/11/2018,78.31,79,78,78.64,1057217
5/14/2018,78.82,79.26,78.22,78.35,579604
5/15/2018,78.09,78.88,77.79,78.1,512975
5/16/2018,78.09,78.97,77.95,78.64,479240
5/17/2018,78.44,79.27,78.44,78.91,503159
5/18/2018,79,79.55,78.53,78.75,876773
5/21/2018,79.02,79.93,78.62,79.86,566476
5/22/2018,79.82,79.82,78.5347,78.99,1040984
5/23/2018,78.87,80.2,78.56,80.17,662962
5/24/2018,80,80.73,79.57,80.31,806674
5/25/2018,80.41,81.08,79.411,80.69,426355
5/29/2018,80.05,81.66,80.05,80.89,729270
5/30/2018,81.12,81.97,81.12,81.4,710184
5/31/2018,81.79,81.79,80,80.05,1364098
6/1/2018,80.45,81.54,79.98,81,837000
6/4/2018,80.99,81.8653,80.99,81.36,860234
6/5/2018,81.25,84.25,81.05,84.21,1223625
6/6/2018,84,85.17,83.52,85.05,982559
6/7/2018,85,85.49,83.0776,84.67,624271
6/8/2018,84.5,85.31,83.73,84.71,454325
6/11/2018,84.88,85.02,84.2575,84.61,825609
6/12/2018,84.75,85.02,83.8,84.41,587571
6/13/2018,84.74,84.74,83.37,83.78,1410037
6/14/2018,83.79,84.51,83.54,83.84,1193022
6/15/2018,83.5,85.55,81.75,85.47,1796507
6/18/2018,85.14,85.82,84.36,85.04,1168375
6/19/2018,84.1,84.995,83.84,84.72,1483646
6/20/2018,85.55,85.69,84.02,84.29,819919
6/21/2018,84.65,85,83.87,84.06,896966
6/22/2018,84.53,84.53,83.34,83.77,1223512
6/25/2018,83.72,83.995,81.52,82.37,921789
6/26/2018,82.32,83.116,81.52,82.39,868328
6/27/2018,82.67,83.03,80.74,80.87,473602
6/28/2018,80.89,82.11,80.5,81.72,694607
6/29/2018,81.89,82.07,80.77,80.79,1105497
7/2/2018,80.27,82.48,80.07,82.46,679906
7/3/2018,82.38,82.72,81.36,82.17,484923
7/5/2018,82.4,82.62,81.4,81.75,1460277
7/6/2018,81.96,83.12,80.93,82.91,577966
7/9/2018,83.21,83.96,82.93,83.59,562095
7/10/2018,83.47,84.4,83.47,84.31,664284
7/11/2018,83.92,84.29,83.17,84.01,645649
7/12/2018,84.41,85.17,83.87,85.1,834068
7/13/2018,84.96,85.93,84.96,85.28,522513
7/16/2018,85.39,85.81,84.77,84.94,378865
7/17/2018,84.56,86.555,84.01,86.18,501161
7/18/2018,86.85,88.17,86.48,87.18,957310
7/19/2018,87.33,88.36,87.1,87.38,945259
7/20/2018,87.38,87.6458,86.39,86.41,542293
7/23/2018,86.62,86.97,86.07,86.53,828890
7/24/2018,87.01,87.42,84.885,85.1,958020
7/25/2018,85.08,86.05,84.38,85.88,740037
7/26/2018,85.47,87.45,84.72,86.76,776612
7/27/2018,86.79,86.9,84.38,84.67,517517
7/30/2018,84.78,84.977,83.22,83.58,553729
7/31/2018,84,84.78,82.16,84.09,908229
8/1/2018,84.26,85.65,83.81,83.89,864343
8/2/2018,83.82,87.48,82.8,87.24,1290157
8/3/2018,86.78,87.3,84.67,85.23,790425
8/6/2018,84.85,85.89,84.71,85.64,541167
8/7/2018,85.65,86.59,85.65,85.98,928704
8/8/2018,86.17,86.17,84.95,85.22,710450
8/9/2018,85.44,86.0325,85.1744,85.69,633465
8/10/2018,85.08,85.56,84.36,84.65,558834
8/13/2018,84.84,85.27,84.37,84.76,910257
8/14/2018,85.31,86.08,84.7501,85.86,1027785
8/15/2018,85.37,85.88,84.48,85.23,521286
8/16/2018,85.8,86.52,85.69,85.85,471177
8/17/2018,86.02,86.4,85.55,85.98,1139866
8/20/2018,86.44,86.65,85.8,85.97,657595
8/21/2018,86.01,86.81,85.92,86.35,1778719
8/22/2018,86.28,86.64,84.851,85.94,600422
8/23/2018,85.63,86.7269,85.6137,86.33,729396
8/24/2018,86.77,87.2,86.51,86.79,834699
8/27/2018,86.78,88.2,86.78,87.64,599370
8/28/2018,87.57,88.26,87.062,88.12,479064
8/29/2018,88.35,88.81,88.115,88.35,423696
8/30/2018,88.17,88.46,87.33,87.63,656600
8/31/2018,87.49,87.89,87.39,87.56,556280
9/4/2018,87.94,89.17,86.38,87.71,671265
9/5/2018,87.86,87.98,86.21,87.14,718656
9/6/2018,86.82,87.81,86.54,87.47,982679
9/7/2018,87.32,88.12,87.14,87.66,474104
9/10/2018,87.63,88.56,87.07,88.49,416187
9/11/2018,88.49,89.86,88.055,89.68,785350
9/12/2018,89.6,89.68,88.03,88.98,700353
9/13/2018,89.41,90.5,89.23,89.41,480079
9/14/2018,89.76,90.47,89.71,90.15,686176
9/17/2018,90.01,90.48,88.82,88.89,652657
9/18/2018,88.7,90.17,88,89.27,1068303
9/19/2018,89.5,89.77,88.73,89.05,1135844
9/20/2018,89.32,89.52,88.84,89.11,1291736
9/21/2018,89.04,90.34,88.85,89.08,1404096
9/24/2018,88.87,89.12,87.66,88.98,1178066
