Date,Open,High,Low,Close,Volume
4/19/2018,124.04,124.52,123.18,124.06,3656957
4/20/2018,124.01,124.38,122.05,122.82,2971019
4/23/2018,123.19,124.57,121.24,121.89,3932668
4/24/2018,123.34,123.53,116.91,117.88,5379304
4/25/2018,117.77,118.23,115.04,117.32,5080530
4/26/2018,118.7,122.07,118.16,120.83,4998816
4/27/2018,121.63,121.64,119.55,120.22,3801182
4/30/2018,120.87,121.7,119.78,120.99,2788268
5/1/2018,120.88,123.32,120.42,123.11,3873908
5/2/2018,122.29,123.97,121.74,122.82,3671020
5/3/2018,122.62,125,121.67,124.41,4435617
5/4/2018,124.38,125.84,122.98,125.12,6341164
5/7/2018,125.79,127.69,125.46,126.97,4341967
5/8/2018,126.59,128.96,126.5,128.75,4467772
5/9/2018,128.88,129.74,127.33,129.73,4605347
5/10/2018,129.95,131,129.05,130.62,3772425
5/11/2018,130,130.85,128.89,130.63,3233163
5/14/2018,130.79,131,127.1601,127.69,4169825
5/15/2018,126.93,128.59,126.09,128.13,2933123
5/16/2018,128.71,128.97,127.92,128.77,2439933
5/17/2018,129.19,129.46,125.55,126.05,5556999
5/18/2018,126.06,127.72,125.87,126.96,3612262
5/21/2018,128,128.35,126,126.37,2887179
5/22/2018,126.66,127.05,125.26,125.44,2789756
5/23/2018,124.88,128.09,124.58,128.09,4303892
5/24/2018,128.81,129.38,127.39,128.74,5972385
5/25/2018,128.73,129.25,127.62,127.96,4031805
5/29/2018,126.75,127.54,126.12,126.88,8141934
5/30/2018,132.3,132.55,127.84,129.3,14170948
5/31/2018,129.37,130.99,128.41,129.33,6408344
6/1/2018,129.88,130.8739,128.3525,130.52,6132794
6/4/2018,130.39,132.8,129.6,132.65,4860675
6/5/2018,133.14,134.63,132.97,134.12,5123240
6/6/2018,134.33,135.71,134.12,135.55,4766855
6/7/2018,135.55,135.75,130.73,132.91,6564097
6/8/2018,131.7,133.68,130.82,133.53,3486585
6/11/2018,133.88,134.67,133.26,133.98,3443145
6/12/2018,134.96,137.5,134.65,136.26,5319864
6/13/2018,136.37,137.49,135.595,136.5,5809264
6/14/2018,137,139.75,136.89,138.41,6494863
6/15/2018,138.07,138.95,136.7975,138.41,7711133
6/18/2018,137.01,140.189,136.91,139.8,4202447
6/19/2018,138.08,139.71,137.23,139.52,4833685
6/20/2018,140,142.12,138.82,138.94,5341369
6/21/2018,139.07,140.06,137.12,137.88,3912774
6/22/2018,137.26,137.3,133.95,135.01,7567258
6/25/2018,134.24,134.89,131.67,133.19,6969788
6/26/2018,134.76,137.17,133.82,135.48,7043097
6/27/2018,136.675,137.42,133.1,133.22,6851562
6/28/2018,133.99,135.89,133.19,135.12,6333655
6/29/2018,136.28,137.71,135.9,136.4,5229453
7/2/2018,136.15,140.47,135.3,140.43,6399247
7/3/2018,140.6,140.75,137.71,137.84,3164659
7/5/2018,139.26,139.89,138.22,139.77,5576669
7/6/2018,140.19,141.73,139.01,141.4,5045794
7/9/2018,142.65,142.87,139.88,141.76,5183128
7/10/2018,142.3,143.51,141.51,142.45,3643685
7/11/2018,141.21,145.64,141.0162,145.25,6168002
7/12/2018,145.8,148.7,145.8,148.16,4680977
7/13/2018,147.75,148,145.41,147.61,3944776
7/16/2018,147.84,148.69,146.82,146.96,3592057
7/17/2018,145.41,147.4399,143.08,147.02,5133919
7/18/2018,147.02,148.19,145.7601,147.84,2908141
7/19/2018,147,148,146.61,147.16,3590614
7/20/2018,147.44,147.92,146.69,146.87,2533781
7/23/2018,146.87,147.64,144.8,147.56,2538119
7/24/2018,148.55,148.85,145.18,146,4052312
7/25/2018,146.13,149.35,146,148.87,4267918
7/26/2018,147.98,148.75,145.68,147.57,3414306
7/27/2018,148.25,148.28,142.38,143.91,5925461
7/30/2018,143.54,143.73,135.52,138.03,9521968
7/31/2018,138.68,139.79,135.39,137.15,7442857
8/1/2018,138,140.9,137.51,137.68,5098091
8/2/2018,137.05,141.3,136.75,141.14,3779192
8/3/2018,141.53,141.74,138.42,141.04,3463527
8/6/2018,140.89,142.85,140.65,142.71,3247342
8/7/2018,143.53,144.6138,142.73,144.44,3928255
8/8/2018,144.46,145.635,143.16,145.17,3027248
8/9/2018,145.3,146.85,145.09,145.82,3572588
8/10/2018,144.93,147,144.3535,145.51,2748786
8/13/2018,145.63,147.18,144.22,144.45,2880424
8/14/2018,146.18,146.77,144.57,146.57,3474843
8/15/2018,146.08,147.88,143.6,145.04,4476924
8/16/2018,146.51,146.91,145.22,145.73,3703974
8/17/2018,145.5,146.01,143.95,145.02,2865587
8/20/2018,145.21,146.06,144.32,145.71,2882181
8/21/2018,146.41,148.79,145.36,145.53,4063688
8/22/2018,145.59,147.199,145.05,146.46,4245303
8/23/2018,146.83,148.34,146.07,147.83,6196336
8/24/2018,148.5,152.38,148.5,152.3,4881956
8/27/2018,154.71,154.88,150.2,151.68,5814765
8/28/2018,152.03,153.4,151.56,152.99,5266932
8/29/2018,153.33,154.97,153.05,154.8,9018599
8/30/2018,151.12,153.735,149.5,152.14,14440957
8/31/2018,152.14,153.87,151.9,152.68,6210529
9/4/2018,152.11,153.34,151.51,153.21,5310894
9/5/2018,152.39,152.78,147.08,148.65,7287417
9/6/2018,148.75,149.16,147.08,148.83,4190347
9/7/2018,147.84,151.41,147.5,150.43,3866773
9/10/2018,150,151.579,148,151.32,3872325
9/11/2018,151.08,153.75,150.615,152.84,4151022
9/12/2018,152.84,155.77,151.808,155.37,5180848
9/13/2018,155.87,158.78,155.82,158.18,6213541
9/14/2018,157.95,158.79,156.32,157.49,4615261
9/17/2018,157,158.43,154.62,154.92,3899581
9/18/2018,154.76,158.03,154.75,156,3749879
9/19/2018,156.37,157.33,152.3914,152.9,5546201
9/20/2018,153.29,156.065,151.65,155.5,4655730
9/21/2018,157.07,157.955,154.96,155.52,17991594
9/24/2018,155.38,158.91,153.33,158.78,5082094
9/25/2018,159,159.14,157.17,158.87,5699599
9/26/2018,159.06,159.93,157.35,158.33,4079727
9/27/2018,159.05,161.08,158.93,160.43,3930274
9/28/2018,160,160.86,158.936,159.03,4607671
10/1/2018,160.11,161.19,159.02,159.86,4297554
10/2/2018,159.27,159.58,156.7,157.26,4137003
10/3/2018,158.56,159.76,157.02,159.1,3561623
10/4/2018,158.2,158.84,153.78,154.9,6206372
10/5/2018,154.86,156.6,152.47,155.07,4963564
10/8/2018,154.24,154.62,145.6,148.65,10238725
10/9/2018,148.32,150.87,147.21,148.5,5593337
10/10/2018,147.52,147.585,137.54,137.81,13660587
10/11/2018,137.44,142.16,136.45,139.24,10499303
10/12/2018,145.77,148.75,143.22,146.74,9371711
10/15/2018,146.7,146.7,141.32,141.95,6040808
10/16/2018,145.47,147.91,144.01,147.44,5383148
10/17/2018,148.35,148.35,145.42,147.01,3377854
10/18/2018,146.09,147.5935,141.43,142.84,5338244
10/19/2018,143.61,145.37,140.38,140.49,5141616
10/22/2018,141.7,143.8,139.2,142.95,4234925
10/23/2018,139.32,141.97,137.78,140.66,6461980
10/24/2018,141.23,141.5,133,133.26,7251491
10/25/2018,133.69,141.69,133.67,140.8,7792908
10/26/2018,135.75,139.21,132.6107,135.52,7457049
10/29/2018,138.1,139.55,128.53,130.99,9212497
10/30/2018,130.44,132.99,128.03,132.17,10037948
10/31/2018,134.92,138.71,134.77,137.24,6666385
11/1/2018,138.4,139.8,136.41,139.59,4668793
11/2/2018,140.14,140.55,136.1,136.79,4481562
11/5/2018,137.34,137.34,133.46,135.44,4629865
11/6/2018,135.4,138,132.98,133.95,4667107
11/7/2018,136.85,142.31,136.4319,141.79,5803989
11/8/2018,143.22,143.63,140.6821,141.87,3986674
11/9/2018,141.06,141.06,135.05,136.92,5252479
11/12/2018,135.74,136.66,130.0798,130.5,7571238
11/13/2018,131.48,133.7712,128.95,132.16,6176340
11/14/2018,134.21,134.94,128.58,129.35,5729582
11/15/2018,129.2,132.95,126.3,132.49,6468655
11/16/2018,131.85,133.47,130.08,132.55,5126893
11/19/2018,131.6,132.26,120.42,121.01,14284689
11/20/2018,114.33,124.94,113.6,120.67,13829467
11/21/2018,124.2,125.75,121.61,123.59,7311254
11/23/2018,121.33,123.71,120.71,122.03,3009553
11/26/2018,124.48,126.95,123.66,126.41,9321154
11/27/2018,125.15,127.61,123.72,127.54,10559212
11/28/2018,138.48,140.89,131.97,140.64,25705402
11/29/2018,139.85,142.88,139.27,139.72,7762951
11/30/2018,138.89,143.22,138.28,142.76,9401355
12/3/2018,146.3,147.07,142.56,144.15,7358308
12/4/2018,142.73,145.2,138.8,139.24,6978357
12/6/2018,134.8,142.06,132.75,142.06,9186581
12/7/2018,141.9,142.37,134.735,135.95,6225324
12/10/2018,135.16,139.49,133.18,137.27,5896950
12/11/2018,140.59,140.7,135.59,136.79,4548737
12/12/2018,141.79,144.03,139.55,140.09,6794296
12/13/2018,141.5,143.63,139.579,141.14,5122765
12/14/2018,138.88,140.71,136.38,137.04,5354366
12/17/2018,134.31,135.5,129.97,130.83,8392404
12/18/2018,132.14,133.68,130.13,132.32,6668441
12/19/2018,131.98,136.5,129.5,131.16,7350676
12/20/2018,129.25,132.33,122.64,127.73,12265056
12/21/2018,128.57,129.39,122.46,122.91,12570368
12/24/2018,121.14,124.84,120.16,121.33,4721514
12/26/2018,122.52,130.9,122.12,130.84,8110892
12/27/2018,128.8,135.2,127.84,135.2,7967689
12/28/2018,136,136.8799,132.61,134.68,7276431
12/31/2018,136,137.97,134.49,136.97,5467663
1/2/2019,133.4,136.83,133.05,135.55,4789166
1/3/2019,133.48,134.78,130.1001,130.4,6365650
1/4/2019,133.5,139.32,132.22,137.96,6650568
1/7/2019,141.02,143.39,138.79,142.22,9064840
1/8/2019,144.73,146.46,142.8909,145.72,9057281
1/9/2019,146.89,147.5,144.53,145.99,5445930
1/10/2019,143.77,147.21,143.76,147.04,5116851
1/11/2019,146.56,148.0345,145.61,147.55,5185239
1/14/2019,145.75,146.73,144.7,146.05,5815495
1/15/2019,146.35,149.86,145.8,149.19,5350387
1/16/2019,149.15,149.79,147.8,148.54,3936819
1/17/2019,148.54,150.72,147.685,149.82,3743179
1/18/2019,151.83,153.27,150.24,152.51,6151237
1/22/2019,150.34,151.38,147.4,148.95,5203299
1/23/2019,149.73,150.8,147.65,149.75,3335360
1/24/2019,149.95,150.5,146.52,146.87,6734711
1/25/2019,148.53,149.89,147.55,149.74,4601702
1/28/2019,148.17,148.2,146.1,147.33,4054718
1/29/2019,147.07,148,144.6414,145.18,3915058
1/30/2019,147.19,149.69,146.08,149.16,4653365
1/31/2019,149.02,153.38,148.71,151.97,8615902
2/1/2019,152.4,155.95,151.07,155.87,5959186
2/4/2019,156.02,158.8998,155.41,157.72,5264678
2/5/2019,158.34,159.88,157.815,158.99,4575588
2/6/2019,159,159.1,155.08,158.13,4205093
2/7/2019,155.96,157.06,153.36,154.93,4545469
2/8/2019,152.91,156.7,152.71,156.67,3018703
2/11/2019,158.2,161.5,157.57,159.91,7125450
2/12/2019,161.25,163.39,160.03,162.79,5631693
2/13/2019,163.44,163.57,160.27,160.4,5295969
2/14/2019,159.47,160.44,156.706,159.47,5061105
2/15/2019,160.99,161.22,158.09,159.05,5281967
2/19/2019,159.66,161.48,159.14,160.61,3883224
2/20/2019,160.33,161.49,157.21,158.54,7047244
2/21/2019,157.7,160.48,157.3,159.63,4463028
2/22/2019,160.47,161.71,160.2,161.31,4175005
2/25/2019,162.51,163.06,160.93,161.36,5076691
