Date,Open,High,Low,Close,Volume
4/19/2018,44.42,44.95,44.38,44.56,21472349
4/20/2018,44.5,44.75,43.62,44.09,23539219
4/23/2018,44.26,44.475,43.87,44.25,20716812
4/24/2018,44.43,44.91,43.33,43.74,21421528
4/25/2018,43.8,43.99,42.75,43.71,21706045
4/26/2018,43.98,44.49,43.44,44.21,20549341
4/27/2018,44.69,45.34,44.36,44.71,20077392
4/30/2018,44.92,45.18,44.28,44.29,19958464
5/1/2018,43.91,44.95,43.83,44.83,16865524
5/2/2018,44.91,45.05,43.8,43.86,23601562
5/3/2018,44.0084,44.81,43.44,44.44,23750207
5/4/2018,44.01,45.5,43.9,45.3,19504140
5/7/2018,45.36,46,45.3,45.73,17822387
5/8/2018,45.82,45.87,45.38,45.71,20285300
5/9/2018,45.904,46.1,45.19,46.04,20438258
5/10/2018,46,46.37,45.67,46.3,18469391
5/11/2018,46.09,46.27,45.78,45.93,17551533
5/14/2018,45.75,46.23,45.67,45.7,22037655
5/15/2018,45.21,45.55,44.93,45.48,24753573
5/16/2018,45.36,45.55,45.01,45.16,31253656
5/17/2018,43.13,44.16,43.02,43.46,48210381
5/18/2018,43.46,43.57,43.11,43.21,24455962
5/21/2018,43.49,43.94,43.42,43.75,21785939
5/22/2018,43.79,43.91,43.475,43.65,16381784
5/23/2018,43.4,43.7,42.89,43.68,20638782
5/24/2018,43.6,43.97,43.01,43.57,18377491
5/25/2018,43.46,43.62,43.21,43.26,15362007
5/29/2018,42.7646,43.16,42.52,42.97,25197401
5/30/2018,43.08,43.34,42.83,42.85,22498821
5/31/2018,42.8574,43.13,42.61,42.71,31439566
6/1/2018,42.91,43.69,42.88,43.66,18352715
6/4/2018,43.5,43.83,43.21,43.58,18087741
6/5/2018,43.74,43.75,43.39,43.67,16728755
6/6/2018,43.76,44.31,43.66,44.26,17730231
6/7/2018,44.24,44.39,43.35,43.65,19722037
6/8/2018,43.52,43.73,43.31,43.48,18812398
6/11/2018,43.62,43.92,43.44,43.69,15068969
6/12/2018,43.68,43.945,43.47,43.94,17564885
6/13/2018,44.02,44.53,43.84,44.01,24383241
6/14/2018,44.23,44.81,44.05,44.69,24020482
6/15/2018,44.36,44.53,43.59,44.25,49379790
6/18/2018,43.87,44.42,43.39,44.21,17625361
6/19/2018,43.62,44.02,43.44,43.82,22199204
6/20/2018,43.95,43.99,43.7,43.74,21276541
6/21/2018,43.69,43.78,43.06,43.16,20924445
6/22/2018,43.34,43.45,42.89,43.2,27459976
6/25/2018,42.69,42.82,41.805,42.29,28626684
6/26/2018,42.48,43.14,42.39,42.55,22171180
6/27/2018,42.73,43.15,42.28,42.33,20794794
6/28/2018,42.33,43.19,42.28,42.94,22197703
6/29/2018,43.05,43.5,42.97,43.03,20523320
7/2/2018,42.56,42.83,42.2,42.81,21810850
7/3/2018,42.9355,43.225,42.62,42.67,13474686
7/5/2018,42.56,42.64,41.96,42.56,18118737
7/6/2018,42.39,42.875,42.31,42.71,20258659
7/9/2018,42.75,42.78,42.36,42.67,23210029
7/10/2018,42.87,43.04,42.71,42.86,20224631
7/11/2018,42.56,42.755,42.44,42.57,17721577
7/12/2018,42.76,43.63,42.75,43.58,17999800
7/13/2018,43.52,43.78,40.94,41.78,50842315
7/16/2018,42.05,42.94,42,42.5,24467954
7/17/2018,42.21,42.51,42.14,42.34,21188404
7/18/2018,42.24,42.47,42.15,42.21,20363959
7/19/2018,42.8,43.01,42.22,42.4,24498798
7/20/2018,42.26,42.365,41.86,42.01,20739164
7/23/2018,41.92,42.12,41.44,42.06,15656523
7/24/2018,42.22,42.88,42.07,42.39,17493867
7/25/2018,42.36,43.22,42.29,43.16,20679864
7/26/2018,43.58,43.8252,43.22,43.53,23518743
7/27/2018,43.26,43.62,42.42,42.57,22050922
7/30/2018,42.46,42.61,42.08,42.17,15300362
7/31/2018,42.24,42.62,41.915,42.29,20900324
