Date,Open,High,Low,Close,Volume
4/19/2018,27.71,27.77,27.51,27.62,5615079
4/20/2018,27.52,27.73,27.395,27.55,7209812
4/23/2018,27.57,27.93,27.325,27.5,7643518
4/24/2018,27.17,27.5,26.45,26.73,10746275
4/25/2018,26.73,27.12,26.35,27.06,7388219
4/26/2018,27.04,27.12,26.83,26.9,6022784
4/27/2018,27.03,27.33,26.88,27.23,5324963
4/30/2018,27.27,27.46,27.02,27.02,4730024
5/1/2018,26.89,26.93,26.6,26.82,5810534
5/2/2018,26.89,27.07,26.64,26.7,4645034
5/3/2018,26.61,26.66,26.11,26.57,6051911
5/4/2018,26.5,27.2,26.49,27.08,3495301
5/7/2018,27.13,27.1561,26.94,26.96,3474913
5/8/2018,26.93,26.99,26.73,26.8,6888817
5/9/2018,26.95,27.19,26.835,27.08,3726140
5/10/2018,27.18,27.41,27.135,27.36,5231478
5/11/2018,27.4,28.04,27.37,28,10460411
5/14/2018,28.17,28.2799,27.98,28.07,6977528
5/15/2018,27.95,28.04,27.55,27.72,5464043
5/16/2018,27.71,28.15,27.7,28.12,5606762
5/17/2018,27.98,28.1,27.73,27.83,6077143
5/18/2018,27.75,27.85,27.67,27.69,4398213
5/21/2018,27.92,28.035,27.65,27.76,3935691
5/22/2018,27.83,27.89,27.56,27.64,5792123
5/23/2018,27.43,27.77,27.4,27.77,5142232
5/24/2018,27.66,27.7499,27.295,27.33,4583820
5/25/2018,27.25,27.36,26.93,27.06,4457522
5/29/2018,26.86,26.99,26.52,26.74,4769713
5/30/2018,26.78,26.78,26.23,26.35,5977556
5/31/2018,27.19,27.37,26.94,27.17,12693063
6/1/2018,27.28,27.995,27.23,27.95,7874509
6/4/2018,28,28.19,27.93,28.12,5417799
6/5/2018,28.28,28.61,28.25,28.57,7219150
6/6/2018,28.71,28.91,28.47,28.91,5648194
6/7/2018,28.88,28.995,28.615,28.81,4973680
6/8/2018,28.72,28.81,28.63,28.75,4040469
6/11/2018,28.72,28.905,28.675,28.84,3169593
6/12/2018,28.87,28.87,28.44,28.6,3158439
6/13/2018,28.63,28.675,28.46,28.6,3655767
6/14/2018,28.7,28.95,28.59,28.89,3686687
6/15/2018,28.77,29.1,28.39,29.09,15144489
6/18/2018,28.72,28.905,28.44,28.87,5320042
6/19/2018,28.38,28.495,28.06,28.38,5830200
6/20/2018,28.55,28.565,28.31,28.39,3618163
6/21/2018,28.7,28.75,28.24,28.29,3925650
6/22/2018,28.67,28.67,28.3,28.49,12992660
6/25/2018,28.3,28.36,27.5,27.73,6465797
6/26/2018,27.73,27.84,27.61,27.7,3567521
6/27/2018,27.75,27.97,27.5,27.5,3792180
6/28/2018,27.37,27.435,26.87,26.99,8921876
6/29/2018,27.08,27.77,27.065,27.51,6460975
