Date,Open,High,Low,Close,Volume
4/19/2018,112.48,112.98,111.79,112.34,554320
4/20/2018,112.18,112.91,111.03,111.28,673295
4/23/2018,111.39,112.32,109.81,110.25,453536
4/24/2018,110.92,111.82,108.53,109.65,930728
4/25/2018,109.63,109.7,107.6403,109.53,746558
4/26/2018,110.32,112.56,109.901,112.16,853449
4/27/2018,112.23,112.66,110.74,111.1,925347
4/30/2018,111.63,113.61,111.58,113.05,1357903
5/1/2018,112.76,113.44,111.8835,113.33,863259
5/2/2018,113.33,113.87,111.68,112.57,1680837
5/3/2018,111.1,113.42,109.03,113.35,1776844
5/4/2018,113.1,114.51,112.33,112.85,1042665
5/7/2018,113.04,114.63,113.04,113.65,1457289
5/8/2018,113.31,114.67,113.19,113.96,1048771
5/9/2018,114.27,115.03,113.37,114.6,695228
5/10/2018,115.08,116.17,114.47,116,780604
5/11/2018,116.17,116.7,115.74,116.13,732071
5/14/2018,116.26,116.44,114.79,114.9,788670
5/15/2018,114.13,114.67,113.24,114.5,694300
5/16/2018,115.09,115.78,114.72,115.17,802898
5/17/2018,114.97,116.08,113.7,113.84,919496
5/18/2018,114,114.35,112.97,113.76,1113697
5/21/2018,114.32,114.68,113.08,113.68,1117422
5/22/2018,113.81,114.25,111.67,111.92,1287305
5/23/2018,111.38,112.06,110.45,112.05,1422604
5/24/2018,112.12,113.47,112.12,112.88,1243059
5/25/2018,112.82,112.945,111.21,111.71,1065097
5/29/2018,110.93,111.35,108.56,109.34,1301334
5/30/2018,109.89,111.98,109.89,111.52,1111369
5/31/2018,111.65,112.4,110.668,111.16,936373
6/1/2018,111.76,113.54,111.76,113.4,1182603
6/4/2018,113.76,115.49,113.19,115.37,1079491
6/5/2018,115.41,115.63,114.53,115.07,1252783
6/6/2018,114.94,118,114.94,117.97,1032939
6/7/2018,118.31,118.5,116.2,116.97,1083197
6/8/2018,116.78,117.195,114.22,117.08,988322
6/11/2018,117.34,117.555,116.065,116.83,655305
6/12/2018,116.84,119.3475,116.77,118.46,887926
6/13/2018,119,119.6471,118.19,118.48,765982
6/14/2018,118.83,119.69,117.7,117.75,971494
6/15/2018,117.69,117.87,117.04,117.5,1191726
6/18/2018,116.24,117.52,115.1,117.15,1133594
6/19/2018,116.06,116.47,115.02,116.18,1010972
6/20/2018,117.1,117.5,116.5,116.9,946935
6/21/2018,116.81,117.2,114.4001,114.7,951600
6/22/2018,115.21,115.71,113.52,114.4,1202087
6/25/2018,113.38,113.38,110.42,110.83,938491
6/26/2018,111.14,111.885,110.39,110.52,1120085
6/27/2018,110.45,110.94,108.77,108.78,1241309
6/28/2018,108.54,110.39,108.54,109.99,1430592
6/29/2018,110.1,112.48,110.1,111.49,1213479
7/2/2018,110.65,112.42,110.24,112.41,967052
7/3/2018,112.87,112.87,110.96,111.1,466986
7/5/2018,111.33,112.15,110.14,112.09,882502
7/6/2018,112.3,113.24,111.4,112.75,757655
7/9/2018,112.8,113.37,112.41,112.98,864504
7/10/2018,113.11,114.74,113.11,113.6,768467
7/11/2018,113.21,116.8,112.79,116.41,1692476
7/12/2018,117.24,117.75,115.74,117.68,1079782
7/13/2018,117.8,118.53,117.31,117.95,704675
7/16/2018,117.93,118.21,116.82,117,648819
7/17/2018,116.64,118.24,116.28,117.94,626773
7/18/2018,117.9,118.52,117.2,118.3,647131
7/19/2018,117.98,118.39,116.94,117.08,659101
7/20/2018,116.89,118.3,116.59,117.12,771931
7/23/2018,116.82,118.13,116.73,117.81,467479
7/24/2018,117.8,118.41,113.1,115.41,2082230
7/25/2018,115.08,117.91,115.03,117.83,910691
7/26/2018,117.61,118.36,116.02,117.68,735206
7/27/2018,118.03,118.03,114.5,115.25,594578
7/30/2018,115.25,115.91,111.58,112.26,768902
7/31/2018,112.98,113.37,111.77,112.57,941462
8/1/2018,112.16,113.8,111.72,111.9,1776497
8/2/2018,115.25,121,115.13,119.18,3271533
8/3/2018,119.75,119.75,116.43,118.77,1503221
8/6/2018,118.73,119.23,117.22,118.44,1225146
8/7/2018,118.81,119,117.51,118.06,989983
8/8/2018,117.91,118.23,116,116.17,1343293
8/9/2018,116.49,117.95,116.28,116.61,1159536
8/10/2018,116.01,117.14,115.71,116.14,864360
8/13/2018,116.14,118.06,115.98,116.94,1072494
8/14/2018,117.09,118.75,115.99,118.35,713808
8/15/2018,118.1,118.63,115.66,116.92,974538
8/16/2018,117.78,118.18,116.86,118.02,815450
8/17/2018,118.02,118.91,117.5902,118.67,688690
8/20/2018,119.01,119.68,118.41,119.29,637003
8/21/2018,119.3,119.8,118.89,119.03,621788
8/22/2018,119,120.53,118.96,120.34,520529
8/23/2018,120.43,121.43,120.09,120.38,512783
8/24/2018,120.48,122.2,120.48,122.15,534886
8/27/2018,122.54,123.46,122.48,123.23,962260
