Date,Open,High,Low,Close,Volume
4/19/2018,17.65,17.65,17.38,17.41,7789290
4/20/2018,17.44,17.45,17.16,17.29,7701596
4/23/2018,17.38,17.54,17.305,17.42,8082992
4/24/2018,17.5,17.68,17.25,17.36,10102908
4/25/2018,17.3,17.415,17.02,17.31,9302411
4/26/2018,17.39,17.515,17.245,17.39,10687315
4/27/2018,17.64,17.64,17.24,17.35,8836687
4/30/2018,17.34,17.46,17.05,17.05,12473413
5/1/2018,16.99,17.2,16.95,17.18,9651766
5/2/2018,17.14,17.26,17.07,17.12,6367944
5/3/2018,16.99,17.08,16.75,16.9,8031906
5/4/2018,16.85,17.255,16.78,17.21,6166929
5/7/2018,17.24,17.45,17.19,17.3,10486742
5/8/2018,17.25,17.43,17.205,17.39,12408115
5/9/2018,17.4,17.67,17.34,17.6,13013903
5/10/2018,17.67,17.7,17.5,17.65,12298234
5/11/2018,17.66,17.78,17.61,17.67,11498296
5/14/2018,17.75,17.82,17.59,17.59,8456042
5/15/2018,17.48,17.53,17.285,17.4,8365749
5/16/2018,17.41,17.68,17.37,17.63,15259940
5/17/2018,17.68,17.76,17.435,17.67,10602258
5/18/2018,17.66,17.67,17.48,17.56,6784877
5/21/2018,17.66,17.74,17.48,17.51,6196776
5/22/2018,17.55,17.68,17.41,17.41,14421244
5/23/2018,16.85,16.95,15.45,15.58,56055194
5/24/2018,15.55,15.81,15.16,15.76,29516002
5/25/2018,15.75,15.82,15.44,15.52,14411515
5/29/2018,15.43,15.4861,15.26,15.38,9726980
5/30/2018,15.47,15.665,15.32,15.57,12024890
5/31/2018,15.53,15.59,15.12,15.24,14448055
6/1/2018,15.33,15.53,15.32,15.53,10896712
6/4/2018,15.5,15.74,15.37,15.54,12236810
6/5/2018,15.5,16.13,15.45,16.06,22398030
6/6/2018,16.11,16.11,15.725,16.02,12395026
6/7/2018,15.98,16.06,15.82,15.92,7794028
6/8/2018,15.82,16.02,15.7868,16.01,7921376
6/11/2018,15.96,16.18,15.96,16.02,11639176
6/12/2018,15.92,16,15.78,15.79,9010639
6/13/2018,15.76,15.89,15.7,15.79,8437829
6/14/2018,15.87,16.12,15.75,15.82,11926626
6/15/2018,15.8,15.95,15.62,15.95,25030367
6/18/2018,15.8,16.06,15.685,15.91,12084684
6/19/2018,15.7,15.93,15.67,15.9,8432667
6/20/2018,15.95,15.99,15.13,15.15,14603833
6/21/2018,15.2,15.49,15.14,15.42,14506745
6/22/2018,15.49,15.52,15.225,15.24,9283172
6/25/2018,15.17,15.23,14.94,15.07,15972807
6/26/2018,15.11,15.55,15.06,15.17,7978554
6/27/2018,15.22,15.25,14.72,14.72,14323583
6/28/2018,14.71,14.77,14.475,14.71,14739087
6/29/2018,14.77,14.85,14.61,14.61,11694527
7/2/2018,14.5,14.84,14.46,14.8,7088704
7/3/2018,14.79,14.92,14.75,14.77,4748199
7/5/2018,14.8,14.84,14.57,14.82,9473771
7/6/2018,14.88,15.05,14.73,14.98,5527834
7/9/2018,15.04,15.315,14.99,15.23,6361978
7/10/2018,15.24,15.535,15.2,15.5,12151360
7/11/2018,15.31,15.35,15.08,15.1,8725672
