Date,Open,High,Low,Close,Volume
4/19/2018,21.91,21.93,21.485,21.66,7028945
4/20/2018,21.66,21.77,21.43,21.53,7425073
4/23/2018,21.56,21.645,21.24,21.38,6374502
4/24/2018,21.39,21.64,21.03,21.2,7331641
4/25/2018,21.17,21.36,21.08,21.31,7279447
4/26/2018,21.5,21.53,21.33,21.48,5632122
4/27/2018,21.52,21.66,21.46,21.61,7237489
4/30/2018,21.66,21.86,21.38,21.49,7536560
5/1/2018,21.45,21.89,21.4,21.82,8273719
5/2/2018,21.91,21.91,21.5,21.55,8476372
5/3/2018,21.46,21.5,20.96,21.32,5958310
5/4/2018,21.21,21.775,21.21,21.68,6547696
5/7/2018,21.71,21.86,21.66,21.79,6851066
5/8/2018,21.75,21.985,21.65,21.96,6372847
5/9/2018,22.01,22.62,21.99,22.58,6288543
5/10/2018,22.67,22.78,22.51,22.75,4950390
5/11/2018,22.72,22.84,22.63,22.71,5544361
5/14/2018,22.82,23.065,22.52,22.57,7655228
5/15/2018,22.4,22.41,21.7865,22.04,8544769
5/16/2018,22.06,22.28,21.99,22.23,6158259
5/17/2018,22.16,22.47,22.12,22.3,7286702
5/18/2018,22.3,22.33,22.11,22.14,6295602
5/21/2018,22.34,22.34,22,22.09,6349838
5/22/2018,22.12,22.26,22.01,22.07,8676696
5/23/2018,21.87,21.9,21.55,21.9,9861590
5/24/2018,21.8,21.975,21.44,21.92,8288880
5/25/2018,21.86,21.98,21.8,21.91,7733087
5/29/2018,21.739,21.775,21.2,21.3,13558919
5/30/2018,22.395,22.48,21.04,22.16,18181969
5/31/2018,22.11,22.32,21.96,22.03,15182464
6/1/2018,22.14,22.71,22.11,22.68,9230427
6/4/2018,22.7,22.83,22.6,22.74,8173542
6/5/2018,22.84,23.5,22.78,23.42,14277958
6/6/2018,23.52,23.6,23.18,23.51,10129209
6/7/2018,23.53,23.7,23.37,23.55,9292377
6/8/2018,23.4,23.745,23.4,23.71,6778831
6/11/2018,23.68,24.2,23.65,24.01,9149072
6/12/2018,23.99,23.99,23.55,23.62,6088403
6/13/2018,23.62,23.75,23.54,23.54,8073220
6/14/2018,23.63,23.99,23.63,23.8,8242964
6/15/2018,23.7,23.7,23.44,23.59,13022832
6/18/2018,23.37,23.75,23.3,23.65,5554302
6/19/2018,23.31,23.565,23.155,23.52,8855493
6/20/2018,23.6,23.69,23.3,23.3,6834371
6/21/2018,23.54,23.62,23.3101,23.5,8911812
6/22/2018,23.65,23.8999,23.59,23.8,15110929
6/25/2018,23.63,23.76,22.94,23.09,8785300
6/26/2018,23.13,23.225,22.99,23.05,6863170
6/27/2018,22.98,23.17,22.81,22.81,7520858
6/28/2018,22.83,22.85,22.345,22.67,9800846
6/29/2018,22.8,23.05,22.67,22.69,7585857
7/2/2018,22.54,22.86,22.38,22.86,5855897
7/3/2018,22.92,22.9299,22.55,22.59,3619220
7/5/2018,22.82,22.99,22.45,22.75,7158591
7/6/2018,22.78,23.22,22.6,23.01,5375077
