Date,Open,High,Low,Close,Volume
4/19/2018,149.19,149.2072,146.62,147.7,8086056
4/20/2018,147.9,147.97,144.51,144.9,8265643
4/23/2018,145.03,145.96,144.33,145.86,5315625
4/24/2018,146.51,147.3,144.53,145.56,4916476
4/25/2018,145.79,146.4,144.111,145.94,7326379
4/26/2018,146.6,147.36,146.2,146.72,4265812
4/27/2018,146.84,147.25,145.66,146.48,3205482
4/30/2018,146.86,147.38,144.96,144.96,4415533
5/1/2018,144.65,145.02,143.47,145,4433393
5/2/2018,144.46,144.82,142.07,142.45,5194917
5/3/2018,142.13,142.23,139.9,141.99,5018592
5/4/2018,141.1,144.35,140.28,143.91,4402170
5/7/2018,144,144.32,142.6403,143.22,3657009
5/8/2018,143,143.507,142.06,143,5369119
5/9/2018,141.9,143.02,141.28,142.61,4195953
5/10/2018,143.15,144.33,143.01,144.24,3726608
5/11/2018,144.11,144.85,143.58,144.14,3073167
5/14/2018,144.47,145.12,144.14,144.3,3216062
5/15/2018,143.5,143.99,142.92,143.74,4089397
5/16/2018,143.7,145.0275,143.27,144.63,3168659
5/17/2018,144.5,145.19,143.77,144.5,3147659
5/18/2018,144.47,144.94,143.99,144.08,2682243
5/21/2018,144.95,146.04,144.68,145.49,2894698
5/22/2018,145.52,146.204,145,145.09,2284020
5/23/2018,144.35,144.7,143.48,144.67,3459747
5/24/2018,144.39,144.48,142.95,144.07,3398701
5/25/2018,143.9,144.57,143.46,143.64,4914294
5/29/2018,142.53,142.89,140.21,141.22,4537638
5/30/2018,141.9,143.1,141.82,142.62,5118530
5/31/2018,142.81,142.81,141.05,141.31,6830256
6/1/2018,142.43,142.84,141.62,141.95,3857530
6/4/2018,142.3,143.17,142.18,143.04,3035257
6/5/2018,143.05,144.08,143.04,143.7,2836017
6/6/2018,144.34,144.72,143.54,144.71,3220139
6/7/2018,145,146.7,144.93,145.36,4316484
6/8/2018,145,146.43,144.37,146.14,5210468
6/11/2018,146.62,147.41,146.14,146.58,3259986
6/12/2018,147.1,147.52,146.62,146.87,2640515
6/13/2018,146.79,147.47,146.2,146.35,2968180
6/14/2018,146.65,146.98,145.09,145.2,3326343
6/15/2018,144.9,145.47,143.7,145.39,9116048
6/18/2018,144.18,144.52,143.14,144.48,4286406
6/19/2018,143.12,144.22,142.95,143.9,3487015
6/20/2018,144.22,144.52,142.41,142.63,3329917
6/21/2018,142.59,143.14,140.83,141.25,3887650
6/22/2018,141.64,141.81,140.78,141.28,6013678
6/25/2018,140.4,140.4,138.28,138.79,8937085
6/26/2018,139.36,139.8499,138.33,139.08,4139455
6/27/2018,139.11,139.78,137.45,137.48,4101828
6/28/2018,138.1,140.54,137.945,140.04,4523666
6/29/2018,140.32,141.359,139.61,139.7,3753684
7/2/2018,138.28,140.22,138.2,139.86,3405642
7/3/2018,140.65,140.94,139.3678,139.57,1963232
7/5/2018,140.48,141.43,139.93,141.43,3744730
7/6/2018,141.53,142.94,141.17,142.48,2910426
7/9/2018,142.59,144.72,142.47,144.39,3904652
7/10/2018,144.51,145.59,144.255,144.71,3776991
7/11/2018,144,146.19,144,144.94,3526565
7/12/2018,145.85,146.83,145.74,146.45,3119505
7/13/2018,146.45,146.9799,145.8,145.9,3067638
7/16/2018,145.67,145.79,144.21,145.46,3468817
7/17/2018,144.75,145,143.34,143.49,5096741
7/18/2018,143.51,144.8,142.7351,144.52,6935288
7/19/2018,147.85,150.54,147.25,149.24,14655804
7/20/2018,148.58,148.86,146.26,146.35,6415972
7/23/2018,146.35,146.7,145.015,145.7,3897892
7/24/2018,146.7,147.04,145.92,146.38,3891625
7/25/2018,146.01,146.65,145.5,146.62,3623182
7/26/2018,147.43,149.27,146.63,146.71,4778022
7/27/2018,146.89,147.14,144.66,145.15,3749642
7/30/2018,144.8,146.24,144.69,145.49,3608283
7/31/2018,145.74,145.8,144.159,144.93,5474478
8/1/2018,144.76,145.19,143.34,143.5,3388386
8/2/2018,142.86,143.36,142.33,142.96,3841447
8/3/2018,143.24,147.92,143,147.7,8053567
8/6/2018,146.95,147.2,145.57,146.03,3913743
8/7/2018,146.65,147.64,146.35,147.01,3508758
8/8/2018,147.33,147.43,146.24,146.89,3581746
8/9/2018,145.53,145.94,144.73,144.77,3093504
8/10/2018,144.5,145.07,143.88,144.48,3003158
8/13/2018,144.15,144.3,142.53,142.71,2858842
8/14/2018,143,143.82,142.93,143.36,2860090
8/15/2018,142.55,144,142,143.91,4241496
8/16/2018,144.37,145.68,144.37,145.34,4971878
8/17/2018,144.79,146.39,144.69,146.06,2678820
8/20/2018,146.37,147.16,146.15,146.51,2499654
8/21/2018,147,147.12,145.89,145.97,3106876
8/22/2018,146.01,146.16,145.19,145.24,2388961
8/23/2018,145.04,145.52,144.75,145.37,2220603
8/24/2018,145.46,146.0869,144.87,146.04,2776813
8/27/2018,146.94,147.62,146.52,146.69,3491565
8/28/2018,146.95,146.99,146.19,146.59,2455328
8/29/2018,146.87,147.93,146.6,147.54,3153845
8/30/2018,147.03,147.3,145.25,145.93,3340369
8/31/2018,145.72,146.78,145.5401,146.48,3488476
9/4/2018,145.98,146.19,144.81,145.68,3326153
9/5/2018,145.19,146.75,145.05,146.66,3126540
9/6/2018,146.88,147.66,145.54,146.39,4248831
9/7/2018,145.94,146.5031,145.12,145.45,4693127
9/10/2018,146.6,147.3,145.56,145.65,3618292
9/11/2018,146,146.99,145.25,146.49,3374774
9/12/2018,146.37,147.98,146.03,146.57,4506679
9/13/2018,147.35,149,147.1179,148.95,5346540
9/14/2018,148.85,149.3,147.78,148.33,3452144
9/17/2018,148.44,149.07,147.77,147.94,3551882
9/18/2018,147.76,148.985,147.47,148.56,3629596
9/19/2018,148.63,149.9599,148.23,149.06,4246382
9/20/2018,149.58,151.38,149.44,151.15,5952223
9/21/2018,151.48,152.6,150.74,151.35,19947878
9/24/2018,151.1,151.2,149.46,150.03,4264984
9/25/2018,149.91,150.41,148.36,148.91,4397457
9/26/2018,152.4,153.35,151.34,151.61,7401862
9/27/2018,152.01,152.3888,151.16,151.5,3477643
9/28/2018,151.16,151.625,150.79,151.21,3305798
10/1/2018,151.71,153.42,151.71,153,3757419
10/2/2018,152.99,153.84,152.5,153.75,3030125
10/3/2018,154,154.36,152.8,153.22,3364798
10/4/2018,151.69,152.8,150.36,151.31,4238143
10/5/2018,150.9,151.79,147.87,149.03,4602252
10/8/2018,148.5,149.07,147.18,148.39,3239354
10/9/2018,148.08,148.36,146.93,147.24,3642496
10/10/2018,147.5,147.69,142.5,142.69,5547697
10/11/2018,142.62,144.19,138.78,139.02,8710491
10/12/2018,141.12,141.54,139.08,140.85,6563403
10/15/2018,140.38,142.26,140.14,141.13,4965533
10/16/2018,142.93,145.45,141.58,145.12,8695489
10/17/2018,135.89,137.15,133.4193,134.05,19463962
10/18/2018,132.73,133.4,130.04,130.55,10011678
10/19/2018,130.65,131.89,127.96,129.1,7791636
10/22/2018,129.58,130.4379,128.4,130.02,5719518
