Date,Open,High,Low,Close,Volume
4/19/2018,180.76,181.97,178.94,179.41,1150450
4/20/2018,178.33,179.95,177.07,178.13,1264656
4/23/2018,179.1,181.85,178.65,180.3,943726
4/24/2018,181.19,182.93,176.77,178.57,1220274
4/25/2018,178.17,179.775,174.355,176.37,1504960
4/26/2018,180.78,186.39,180.75,185.18,2036410
4/27/2018,185.45,186.84,184.18,186.59,1110317
4/30/2018,187.2,188.56,184.72,184.79,1444332
5/1/2018,184.82,187.51,184.37,187.24,1001209
5/2/2018,187.18,188.05,185.25,185.93,1190645
5/3/2018,184.9,187.605,183.02,186.38,1245176
5/4/2018,185.98,190.485,185.34,189.45,1191097
5/7/2018,190.53,191.3,188.7,189.56,1103030
5/8/2018,188.28,190.4,188.15,190.17,1108684
5/9/2018,190.65,193.68,189.85,192.67,932834
5/10/2018,194.54,194.74,192.75,194.3,924411
5/11/2018,194.19,196.28,193.46,194.2,1208125
5/14/2018,194.63,195.99,191.96,192.59,1090008
5/15/2018,190.47,190.88,188.61,189.77,2066205
5/16/2018,190.38,191.43,188.8,190.41,1572652
5/17/2018,189.81,191.2,188.466,189.78,991138
5/18/2018,189.28,191.04,188.25,190.54,1305401
5/21/2018,192.21,192.75,190.89,191.69,1297177
5/22/2018,192.58,192.66,189.73,190.54,1934071
5/23/2018,187.26,196.97,187.211,196.23,2200329
5/24/2018,195.5,198.2,194.66,197.79,2051013
5/25/2018,197.18,199.48,196.53,197.09,1399558
5/29/2018,195.67,198.35,194.82,196.7,1850459
5/30/2018,198.05,201.59,197.83,201.1,1532167
5/31/2018,200.9,203.44,200.16,201.6,2822885
6/1/2018,202.28,204.25,201,204.08,1296361
6/4/2018,204.23,207.14,203.95,207,1548281
6/5/2018,207.25,208.495,206.22,208.23,1344736
6/6/2018,208.29,209.54,206.91,209.5,1722206
6/7/2018,209.37,209.37,203.345,206.26,1231036
6/8/2018,206.1,207.19,204.5,206.26,1108142
6/11/2018,206.73,206.98,205.83,206.36,766040
6/12/2018,206.79,207.74,205.9789,207.49,1093299
6/13/2018,207.27,209.43,207.05,207.79,1090789
6/14/2018,208.83,210.13,207.75,209.08,797594
6/15/2018,208.64,210.19,206.71,208.96,2175411
6/18/2018,207.68,209.83,205.8,209.16,1205381
6/19/2018,209.82,210.85,207.12,210.61,1824089
6/20/2018,210.85,213.76,210.16,213.52,1235785
6/21/2018,214.25,216.63,209.43,209.8,1693527
6/22/2018,209.77,210.4725,205.83,205.98,2316108
6/25/2018,204.87,205,200.01,201.74,2058228
6/26/2018,201.94,203.41,201.5,202.11,1638019
6/27/2018,202.43,203.97,198.03,198.22,1276371
6/28/2018,198.45,204.75,198.45,204.02,1467835
6/29/2018,204.36,206.52,203.31,204.305,1268125
7/2/2018,203.01,206.19,201.71,205.44,1974401
7/3/2018,206.95,206.95,204.36,204.76,776677
7/5/2018,206.55,207.9389,203.8,205.06,1341834
7/6/2018,205.68,208.39,204.47,208.15,1384174
7/9/2018,209.22,209.79,206.51,207.73,1109766
7/10/2018,208.13,209.3,207.56,208.46,998586
7/11/2018,207.6,209.53,207.55,209.19,966757
7/12/2018,210.7,213.86,209.95,213.72,1656864
7/13/2018,213.92,214.36,212.24,213.71,870300
7/16/2018,213.55,214.92,213.43,214.46,623362
7/17/2018,213.54,216.99,210.93,216.48,726050
7/18/2018,216,218.61,215.08,218.31,878544
7/19/2018,217.51,218.17,215.14,215.99,1136023
7/20/2018,216.04,216.59,215.11,215.28,776345
7/23/2018,215.29,217.75,215.02,217.39,770167
7/24/2018,218.15,219.46,215.34,215.8,966477
7/25/2018,216,217.5,215.43,217.25,1338651
7/26/2018,217.61,219.34,216.25,216.64,1062867
7/27/2018,217.5,218.19,209.32,212.31,1284134
7/30/2018,208.06,212.16,202.4,202.68,1780004
7/31/2018,204.2,206.42,201.85,204.24,2225461
8/1/2018,203.91,205.62,203.31,204.26,1264685
8/2/2018,202.7,205.81,202.39,205.73,1427878
8/3/2018,206.79,206.99,203.92,205.15,936072
8/6/2018,204.54,207.99,204.35,207.48,936012
8/7/2018,207.74,210.16,207.71,209.48,1221437
8/8/2018,209.7,210.58,208.11,210.04,808870
8/9/2018,212.61,212.84,210.62,211.19,812876
8/10/2018,209.59,212.71,209.11,211.01,918113
8/13/2018,211.39,212.74,209.3025,209.57,995486
8/14/2018,210,211.495,208.61,210.69,1065545
8/15/2018,209.51,211.59,207.1,209.47,952129
8/16/2018,210.69,211.17,208.87,209.69,958266
8/17/2018,209.05,210.4975,206.21,207.89,2001168
8/20/2018,208.82,208.82,207.07,207.4,2210597
8/21/2018,208.41,210.39,208.02,209.01,2091513
8/22/2018,209.01,210.39,208.59,209.69,1797395
8/23/2018,210.31,213.46,210.01,212.45,2073544
