Date,Open,High,Low,Close,Volume
4/19/2018,235.05,236.23,229.88,231.09,319837
4/20/2018,231.71,234.54,230.4,232.13,239181
4/23/2018,231.94,232.659,224.33,225.63,233188
4/24/2018,226.92,227.36,216.44,217.94,334454
4/25/2018,218.17,219.44,213.14,214.09,446516
4/26/2018,215.33,218.51,214.78,215.66,388129
4/27/2018,215.7,216.05,210.45,212,629682
4/30/2018,211.92,215.52,210.8001,213.03,721339
5/1/2018,213.01,233.85,213.01,233.29,1285069
5/2/2018,233.13,235.11,223.51,226.43,596825
5/3/2018,227.07,231.2,225.68,229.86,514070
5/4/2018,229,235.225,226.238,233.36,382782
5/7/2018,234.73,235.555,231.7609,233.98,379586
5/8/2018,232.82,234.79,231.31,233.97,227354
5/9/2018,235.31,244.58,234.755,244.5,429508
5/10/2018,245.54,251.23,244.22,251.1,486256
5/11/2018,251.58,253,248.3878,251.47,253270
5/14/2018,252.64,256.7159,251.2603,252.98,273146
5/15/2018,250.58,252.35,248.31,251.77,308630
5/16/2018,255.6517,255.6517,249.9,252.47,241070
5/17/2018,252.2,253,246.24,246.74,360044
5/18/2018,246.5,246.5,241.81,242.46,342919
5/21/2018,245.08,248.3,243.805,245.66,219169
5/22/2018,247.55,248.42,244.73,245.02,211119
5/23/2018,243.58,246.32,241.9423,246.16,286801
5/24/2018,245.25,248.86,243.45,248.17,267968
5/25/2018,247.54,251.8699,247.265,249.94,241419
5/29/2018,248.38,251.51,247.26,248.62,227492
5/30/2018,250.06,251.94,245.87,245.97,269446
5/31/2018,245.97,247.38,241.08,241.27,404755
6/1/2018,243.67,248.38,241.79,246.98,374147
6/4/2018,248.83,253.57,248.135,252.8,290985
6/5/2018,252.8,256.7,252,256.25,318148
6/6/2018,256.42,261.33,254.97,260.86,355514
6/7/2018,261.13,261.77,246.52,248.48,342632
6/8/2018,247.5,249.57,245.56,248.95,238009
6/11/2018,249.39,249.39,243.9,245.34,245985
6/12/2018,245.67,246.37,243,244.28,181928
6/13/2018,246.24,246.24,240.4501,241.34,240690
6/14/2018,243.33,243.51,239.6573,241.16,275711
6/15/2018,239.99,241.27,237.11,240.98,505929
6/18/2018,238.57,245,234.66,243.84,447803
6/19/2018,240.7,242.01,231.51,239.38,448463
6/20/2018,239.7,241.37,237.771,239.09,235909
6/21/2018,239.26,241.49,233.77,234.65,308456
6/22/2018,236.14,236.315,230.99,234.25,472134
6/25/2018,231,231.24,217.8519,219.91,581501
6/26/2018,220.45,225.31,217.01,222.33,296665
6/27/2018,223.53,224.29,213.39,215.19,390825
6/28/2018,213.91,215.38,208.72,213.8,819117
6/29/2018,216.17,222.9,214.31,220.63,657232
7/2/2018,217.87,222.685,215.51,222.56,329035
7/3/2018,222.79,222.9,217.96,218.5,227543
7/5/2018,219.76,224.19,217.16,222.79,675212
7/6/2018,222.65,225.54,219,225.27,325021
7/9/2018,226.52,229.61,224.02,229.54,223813
7/10/2018,229.92,234.98,229.92,233.76,281867
7/11/2018,231.24,232.01,222.06,222.28,399863
7/12/2018,223.45,231.47,223.45,231.2,306812
7/13/2018,230.29,233.52,229.71,232.88,239056
7/16/2018,233.6,234.73,230.3,234.08,240230
7/17/2018,233.37,240.65,230.5,239.48,344408
7/18/2018,240,243.43,238.49,242.53,282197
7/19/2018,241.48,241.52,237.04,239.86,243966
7/20/2018,240.17,240.68,237.72,238.07,223577
7/23/2018,237.21,238.2935,232.56,238.01,232032
7/24/2018,239.71,241.43,233.09,233.89,206351
7/25/2018,234.61,240.2,232.72,239.89,261439
7/26/2018,237.96,241.4,236,240.16,236097
7/27/2018,239.7,240.76,232.14,235.62,215820
7/30/2018,236.28,236.28,223,224.3,526409
7/31/2018,172.45,178.09,161.5105,164.04,4269205
8/1/2018,162.69,179.79,162.69,165.56,2161287
8/2/2018,165.34,174.15,164.011,170.28,975312
8/3/2018,170.19,174.26,167.81,170.46,702928
8/6/2018,170.46,174.72,170.18,172.79,654333
8/7/2018,173.19,175.24,172.11,172.3,781872
8/8/2018,171.36,173.32,165.03,165.34,1041953
8/9/2018,166.17,168.94,163.99,164.64,610426
8/10/2018,163.09,164.58,161.77,162.47,480956
8/13/2018,162.18,164.21,161.25,162.58,912064
8/14/2018,162.58,165.42,162.13,164.53,591781
8/15/2018,163,164.5,158.75,161.71,691850
8/16/2018,163.99,165.2104,163.37,163.81,707388
8/17/2018,162.65,163.5,160.165,162.06,447586
8/20/2018,162.17,163.66,160.26,162.27,788076
8/21/2018,163.32,165.9,162.91,164.21,685607
8/22/2018,164.21,167.82,162.14,166.77,839859
8/23/2018,167,169.61,165.58,165.91,574877
8/24/2018,166.91,168.36,165.23,166.91,361627
8/27/2018,167.52,171.01,167.52,168.01,348847
8/28/2018,168.3,171.11,167.98,170.66,548204
8/29/2018,170.32,171.5,169.1,171.2,879598
8/30/2018,171.17,174.63,170.77,172.73,888867
8/31/2018,172.93,176.94,172.93,175.48,837246
9/4/2018,175.71,176.08,168.05,168.8,974875
9/5/2018,168.8,169.4399,160.32,161.08,906815
9/6/2018,161.99,162.26,154.68,157,1123846
9/7/2018,156.55,159.93,155.31,157.47,707825
9/10/2018,157.91,159.15,156.56,157.72,501420
9/11/2018,157.04,157.72,154.03,155.73,499218
9/12/2018,154.85,157.96,153.37,157.44,493557
9/13/2018,158.88,160.766,157.55,158.23,457104
9/14/2018,159.17,160.55,158.4,159.41,290219
9/17/2018,159.64,159.64,155.77,157.56,586187
9/18/2018,157.01,160.72,156.911,159.69,503158
9/19/2018,159.82,161.86,159.01,160.56,360723
9/20/2018,161.6,164.35,160.58,162.56,544528
9/21/2018,167.51,172.49,167.07,169.34,1387989
9/24/2018,167.77,167.77,161.74,164.41,725854
9/25/2018,164.42,164.51,161.29,161.46,423712
9/26/2018,160.76,160.76,154.99,155.46,732353
9/27/2018,155.51,160.52,154.82,158.81,788396
9/28/2018,155.07,157.5,154.3,156.07,823954
10/1/2018,157.02,157.285,155.06,155.62,965911
10/2/2018,155.78,156.805,155.11,155.5,647841
10/3/2018,155.97,158.19,154.8,157.42,601854
10/4/2018,156.86,156.86,152.925,154.02,1098884
10/5/2018,140.07,142.4939,132.28,132.76,4046641
10/8/2018,131.66,138.53,130.32,135.43,1505161
10/9/2018,135.7,136.45,133.64,134.77,911560
