Date,Open,High,Low,Close,Volume
4/19/2018,117.9,119.105,117.84,118.88,502125
4/20/2018,118.83,119.24,117.25,117.72,497169
4/23/2018,118.23,118.32,117.05,117.87,520343
4/24/2018,118.45,119.24,117.41,118,821828
4/25/2018,117.68,117.96,116.28,117.38,388543
4/26/2018,117.94,119.6,117.39,119.32,438617
4/27/2018,119.59,121.52,119.34,121.18,1000438
4/30/2018,121.35,122.04,120.68,121.29,996422
5/1/2018,120.75,122.44,120.715,122.01,1084906
5/2/2018,121.73,121.73,119.925,120.66,590226
5/3/2018,120.86,121.32,119.48,121.2,814839
5/4/2018,120.52,123.5,120.47,123.02,635286
5/7/2018,123,124.83,122.56,123.79,1354793
5/8/2018,125.24,132.19,125.24,130.53,1295428
5/9/2018,130.84,135.12,130.22,133.54,879763
5/10/2018,133.99,134.38,131.73,134.37,1057052
5/11/2018,134.63,136.2384,134.2401,135.04,1089014
5/14/2018,135.23,135.4,133.535,134.8,875135
5/15/2018,134.04,135.8,133.55,135.17,1266636
5/16/2018,135.15,136.04,133.99,135.73,517137
5/17/2018,135.31,136.24,132.96,133.23,1051712
5/18/2018,133.25,135.91,132.84,134.23,912894
5/21/2018,134.55,135.14,132.13,132.25,878702
5/22/2018,132.3,133.02,130.44,131.35,935746
5/23/2018,131.13,132.11,130.77,131.76,828999
5/24/2018,131.84,132.03,130.4,131.3,965462
5/25/2018,131.05,132.01,130.23,130.64,938543
5/29/2018,129.9,131.23,128.73,131.05,896475
5/30/2018,131.59,132.97,131.0691,132.5,750823
5/31/2018,132.5,133.2831,131.44,132.74,2219331
6/1/2018,133.5,133.83,132.4,132.65,913220
6/4/2018,133.31,135.8471,132.88,135.42,495560
6/5/2018,135.28,136.435,134.61,135.16,367837
6/6/2018,135.14,137.79,135.14,137.32,408363
6/7/2018,137.59,138.21,136.78,137.37,794651
6/8/2018,137.07,137.83,136.45,137.73,365034
6/11/2018,138.22,138.41,137.1,137.16,406576
6/12/2018,137.49,138.81,136.96,138.47,272537
6/13/2018,138.83,138.88,137.46,137.5,336831
6/14/2018,137.74,138.19,136.85,137.29,411895
6/15/2018,137.5,138.69,136.9501,137.94,754481
6/18/2018,137.68,138.25,136.7,137.76,361395
6/19/2018,136.72,137.79,135.91,137.2,539826
6/20/2018,137.32,137.7,136.04,136.52,522377
6/21/2018,136.66,137.23,135.38,135.82,319048
