Date,Open,High,Low,Close,Volume
4/19/2018,54.33,54.52,53.77,54.11,543402
4/20/2018,54.02,54.44,53.55,53.56,616662
4/23/2018,53.72,54.58,53.72,54.23,910040
4/24/2018,54.34,54.83,53.2,53.61,554508
4/25/2018,53.39,53.79,52.6326,53.53,683140
4/26/2018,53.55,54.205,53.26,53.79,561693
4/27/2018,53.79,54,52.31,52.32,1460878
4/30/2018,52.13,52.49,51.66,51.68,1736454
5/1/2018,51.47,51.76,50.88,51.35,1757393
5/2/2018,51.47,51.7199,51.03,51.21,1733991
5/3/2018,51.08,51.75,50.59,51.63,1155447
5/4/2018,51.6,52.59,51.23,52.43,1048266
5/7/2018,52.51,52.75,52.22,52.24,790361
5/8/2018,52.24,52.96,52.24,52.73,764645
5/9/2018,52.86,53.25,52.59,53.15,754695
5/10/2018,53.31,53.73,53.08,53.09,890766
5/11/2018,53.1,53.79,52.91,53.64,1800550
5/14/2018,53.84,54.24,53.28,53.41,1428548
5/15/2018,52.98,53.81,52.5529,53.45,1730910
5/16/2018,53.51,53.975,53.38,53.53,1066296
5/17/2018,53.51,53.91,53.43,53.76,979549
5/18/2018,53.85,54.455,53.75,53.83,930040
5/21/2018,54.1,54.51,53.77,54,891367
5/22/2018,54.2,54.38,53.78,53.83,710593
5/23/2018,53.53,53.74,53.235,53.59,1114045
5/24/2018,53.61,53.955,53.14,53.44,1201110
5/25/2018,53.46,53.69,53.14,53.3,943086
5/29/2018,53.01,53.75,52.67,53.03,1315654
5/30/2018,53.36,53.72,52.96,52.99,2803383
5/31/2018,59.14,62.41,56.51,58.74,14763845
6/1/2018,59.42,59.82,58.51,59.81,3214233
6/4/2018,59.99,61.11,59.66,61.11,2658609
6/5/2018,61.26,61.79,61.11,61.36,1148562
6/6/2018,61.55,62.19,61.38,61.92,1561673
6/7/2018,61.98,62.04,60.07,60.4,1465993
6/8/2018,60.24,61.11,60.105,60.99,981830
6/11/2018,60.98,61.8,60.84,61.69,646565
6/12/2018,61.69,61.86,61.32,61.6,714411
6/13/2018,61.61,62.21,61.19,61.4,1956509
6/14/2018,61.54,61.74,61.02,61.22,1275345
6/15/2018,61.08,61.31,60.76,61.23,2147602
6/18/2018,60.62,61.51,60.2,61.5,779471
6/19/2018,61.2,61.36,60.18,61.24,1179657
6/20/2018,61.57,61.79,60.84,60.98,800234
6/21/2018,60.79,60.97,60.27,60.53,892578
6/22/2018,60.65,60.65,60.075,60.1,1384042
6/25/2018,59.8,59.8114,58.34,58.74,962517
6/26/2018,58.87,59.89,58.87,59.36,1013779
6/27/2018,59.55,59.73,58.53,58.55,682313
6/28/2018,58.29,59.24,58.17,59.07,762059
6/29/2018,59.2,59.85,59.01,59.03,868953
7/2/2018,58.55,59.78,58.51,59.68,648126
7/3/2018,59.92,59.92,59.205,59.45,461827
7/5/2018,59.64,59.68,58.93,59.5,774099
7/6/2018,59.5,60.02,59.48,59.83,685992
7/9/2018,60,60.36,59.73,60.14,982178
7/10/2018,60.39,60.82,60.19,60.42,606887
7/11/2018,60.19,60.41,59.64,59.74,1123408
7/12/2018,59.95,60.31,59.83,60.08,792030
7/13/2018,60.17,60.51,59.77,59.97,489172
7/16/2018,60,60.1643,59.44,59.62,446480
7/17/2018,59.58,60.47,59.2101,60.3,290741
7/18/2018,60.54,61.25,60.14,60.71,454628
7/19/2018,60.8,61.18,60.65,60.92,679876
7/20/2018,61.02,61.17,60.45,60.59,424958
7/23/2018,60.4,60.4,59.425,59.61,768769
7/24/2018,60.15,60.39,58.78,59.16,525948
7/25/2018,59.21,59.93,59.1695,59.63,966028
7/26/2018,59.63,60.49,59.57,60.41,898530
7/27/2018,60.56,60.8695,58.95,59.16,580828
7/30/2018,59.12,59.47,57.38,57.46,846844
7/31/2018,57.73,58.66,57.01,58,830005
8/1/2018,58,58.87,58,58.74,657846
8/2/2018,58.4,59.9,58.24,59.69,624812
8/3/2018,59.66,59.8297,58.72,59.31,664697
8/6/2018,59.43,60.345,59.43,60.13,685350
8/7/2018,60.17,60.58,60.15,60.39,591742
8/8/2018,60.53,60.57,59.88,60.46,495256
8/9/2018,60.45,61.2,60.15,60.25,884752
8/10/2018,60,60.22,59.6601,59.93,546987
8/13/2018,59.9,60.64,59.705,59.79,999744
8/14/2018,60,61.07,59.45,60.49,1262017
8/15/2018,60.24,60.44,58.89,58.93,1462211
8/16/2018,59.15,60.36,59.12,59.64,1152695
8/17/2018,59.69,59.895,59.05,59.82,830560
8/20/2018,59.95,60.51,59.83,60.19,1299188
8/21/2018,60.3,60.7,60,60.44,1393437
8/22/2018,69.51,70.4,63.86,64.17,4895436
8/23/2018,64.35,65.04,62.89,62.97,1743053
8/24/2018,62.99,63.5,62.59,62.89,1719892
8/27/2018,63.23,64.54,63.23,64.52,1002403
8/28/2018,64.53,64.8,63.66,64.11,906307
8/29/2018,64.33,64.72,64.04,64.45,608945
8/30/2018,64.4,64.96,64.14,64.32,800506
8/31/2018,64.39,65.015,64.34,64.89,761102
9/4/2018,64.9,65.63,64.35,65.48,1160131
9/5/2018,65.52,65.78,64.7501,65.55,1376705
9/6/2018,65.6,66.33,65.345,65.74,961136
9/7/2018,65.54,66.08,65.33,65.65,852330
9/10/2018,66,66.3,65.665,66.09,753333
9/11/2018,65.92,66.57,65.845,66.5,667923
9/12/2018,66.55,66.625,65.11,66.13,1051578
9/13/2018,66.49,67.08,66.18,66.4,1091151
9/14/2018,66.4,66.67,65.37,65.8,1171219
9/17/2018,65.8,65.95,64.09,64.14,893300
9/18/2018,64.22,65.43,64.22,65.2,1405743
9/19/2018,65.39,65.68,64.56,64.93,1388397
9/20/2018,65.4,65.44,64.81,64.86,1479894
9/21/2018,64.96,65.9,64.59,64.63,1815502
9/24/2018,64.39,64.92,63.9001,64.91,1855110
9/25/2018,64.95,65.8,64.875,65.51,1289082
9/26/2018,65.89,66.37,64.8,64.95,696786
9/27/2018,65.05,65.71,65.05,65.65,817017
9/28/2018,65.69,66.83,65.69,66.28,1161896
10/1/2018,66.7,67,65.82,66.11,920661
10/2/2018,65.95,66.29,65.33,65.79,798547
10/3/2018,66.11,66.28,65.7,66.11,549318
10/4/2018,66.01,66.02,64.75,65.49,1332740
10/5/2018,65.49,66.5,64.68,65.2,1233689
10/8/2018,64.87,64.87,62.82,63.97,587307
10/9/2018,63.77,64.64,63.44,64.46,767901
10/10/2018,64.46,64.49,61.31,61.39,1212098
10/11/2018,60.63,61.88,60.2,60.44,1049791
10/12/2018,61.83,62.33,60.59,62.02,1418813
10/15/2018,62,62.04,61.13,61.47,788115
10/16/2018,62,63.12,61.49,63.08,1670845
10/17/2018,63.13,63.42,61.35,63.23,1657282
10/18/2018,64.5,65.04,62.64,63.07,1052062
10/19/2018,63.44,63.68,61.66,61.78,888560
10/22/2018,62.02,62.5648,61.4201,61.94,921245
10/23/2018,61.17,62.06,60.1007,61.61,684178
10/24/2018,61.57,61.74,58.38,58.49,890810
10/25/2018,58.15,59.73,58.15,59.38,1512978
10/26/2018,58.24,59.74,57.37,58.53,1059284
10/29/2018,59.45,59.65,55.63,56.51,833055
10/30/2018,56.41,57.55,55.88,57.13,1104192
10/31/2018,55.32,57.7,54.76,57.08,5419600
11/1/2018,57.64,57.8,56.05,57.56,3626044
11/2/2018,57.84,58.08,56.22,57.18,2954182
11/5/2018,57.19,58.7,56.35,58.34,47677813
11/6/2018,58.2,59.1373,58.2,58.7,2699547
11/7/2018,59.05,60.8,58.55,60.67,3037924
11/8/2018,60.89,61.48,60.52,60.81,1621768
11/9/2018,60.4,60.51,58.28,59.19,1992152
11/12/2018,58.8,58.99,57.94,58.15,1414638
11/13/2018,58.16,59.17,57.72,57.85,1121679
11/14/2018,58.47,58.9,57.08,57.46,1421628
11/15/2018,57.35,58.82,57.14,58.73,1239077
11/16/2018,58.37,58.8,57.765,57.99,1655637
11/19/2018,57.93,58.13,55.54,55.57,2814716
11/20/2018,54.72,55.28,53.21,54.35,3043037
11/21/2018,57.52,59,56.85,57.33,4279325
11/23/2018,56.57,57.34,56.47,56.58,818944
11/26/2018,57.28,58.62,56.85,58.53,2070619
11/27/2018,58.29,59.79,58.04,59.4,2611889
11/28/2018,59.51,61.58,59.15,61.5,1822651
11/29/2018,61.38,61.88,60.98,61.52,1793495
11/30/2018,61.52,61.87,61.03,61.82,1765128
12/3/2018,62.69,63.09,61.95,62.41,1259448
12/4/2018,62.19,62.48,60.57,60.98,1543711
12/6/2018,59.79,60.85,59.49,60.71,1446636
12/7/2018,60.65,60.935,58.25,58.68,1296038
12/10/2018,58.59,60,58.17,59.61,1128331
12/11/2018,60.66,60.77,59.2,59.53,968011
12/12/2018,60.55,61.37,60.23,60.67,1270076
12/13/2018,60.77,61.17,59.71,60.62,1565728
12/14/2018,60.13,61.54,60.04,61.49,2596386
12/17/2018,61.33,61.33,59.57,59.9,1914563
12/18/2018,60.38,61.35,60.27,60.72,2051702
12/19/2018,60.94,61.92,59.41,60.07,2197441
12/20/2018,59.98,60.51,57.73,58.57,1802593
12/21/2018,58.92,59.99,57.04,57.13,3179468
12/24/2018,56.84,57.06,55.9144,56.04,779707
12/26/2018,56.36,58.71,56.11,58.7,1026478
