Date,Open,High,Low,Close,Volume
4/19/2018,198.58,201.14,188.785,190.39,8773377
4/20/2018,190.71,195.06,189.99,191.91,4980703
4/23/2018,193.5,196.4,190.44,191.86,3488922
4/24/2018,193.87,195.44,182.61,185.82,5034654
4/25/2018,185.99,189.575,181.6702,186.67,3124797
4/26/2018,190.89,192.99,188.82,190.4,3611284
4/27/2018,192.28,192.69,185.6,187.26,3044768
4/30/2018,187.35,188.89,183.96,185.06,2990200
5/1/2018,184.14,190.58,183.74,190.39,2833691
5/2/2018,190.29,191.95,188.29,189.52,2194770
5/3/2018,187.75,190.53,185.61,189.43,2181518
5/4/2018,188,196.88,187.63,195.47,3282664
5/7/2018,196.11,196.95,192.7224,193.48,3304704
5/8/2018,192.6,195.75,192.06,194.86,2148112
5/9/2018,195.6,200.023,195.145,199.72,2390888
5/10/2018,201.23,204.39,200.67,204.01,1890326
5/11/2018,202.42,204.76,200.89,201.55,1945467
5/14/2018,205.1,209.92,203.201,204.03,3343739
5/15/2018,203.41,204.2995,199.77,202.19,1921417
5/16/2018,203.41,208.19,202.66,206.91,2254547
5/17/2018,205.66,206.37,201.7311,203.33,2607654
5/18/2018,195.25,197.88,192.18,195.49,5250053
5/21/2018,199.34,200.94,196.5,199.87,2534625
5/22/2018,202.25,205.32,202,202.98,2778833
5/23/2018,199.98,203.97,199.8,203.31,1969899
5/24/2018,203.55,204.95,200.79,204.37,2123976
5/25/2018,202.98,203.89,201.18,202.03,2263656
5/29/2018,200.28,202.91,198.2623,200.28,2049477
5/30/2018,202.13,204.74,200.7,201.83,2812140
5/31/2018,200.66,202.1,197.85,198.18,3078345
6/1/2018,200,203.78,198.69,202.68,3437129
6/4/2018,202.4747,205.95,200.59,204.59,2805866
6/5/2018,204.66,205.47,201.43,201.84,2507890
6/6/2018,202.48,202.52,196.88,199.61,3925376
6/7/2018,192.26,192.78,184.81,188.83,12775159
6/8/2018,186.13,188.29,185.4,188.03,5272645
6/11/2018,187.65,187.83,183.19,183.71,5443367
6/12/2018,184.9,187.02,183.35,186.93,3661519
6/13/2018,184.21,188.495,184.0335,184.59,4489454
6/14/2018,185.17,186.55,180.9711,181.17,4386642
6/15/2018,179.26,180.9,178,178.41,4355259
6/18/2018,176.63,176.7,174,174.2,4518718
6/19/2018,170.9,174.825,170.51,173.35,3736232
6/20/2018,175.48,176.29,173.19,174.54,2775870
6/21/2018,178.17,179.25,175.3947,176.05,3282743
6/22/2018,177.49,177.6,172.94,174.7,2950348
6/25/2018,172.21,173,167.62,171.01,3618014
6/26/2018,175.52,175.75,171.74,173.93,3506053
6/27/2018,175,175.49,169.79,169.8,2685755
6/28/2018,168.01,171.14,166.37,170.87,3354573
