Date,Open,High,Low,Close,Volume
4/19/2018,179.08,179.5746,178.26,179.01,3560370
4/20/2018,178.53,179.49,176.5001,177.08,4232997
4/23/2018,178.16,178.35,174.7,175.43,4354972
4/24/2018,176.68,177.55,171.19,173.24,5369033
4/25/2018,173.37,173.87,170.65,172.47,3396159
4/26/2018,174.52,179.63,174.22,178.16,4784371
4/27/2018,178.54,179,175.18,175.94,3781015
4/30/2018,177.49,180,177.1,178.27,4323904
5/1/2018,178.27,180.36,176.91,180.25,4828329
5/2/2018,186.2,188.25,183.12,185.82,10133050
5/3/2018,184.6,187.89,183.94,186.48,5785667
5/4/2018,185.79,188.79,185.11,188.17,3593638
5/7/2018,188.3,189.52,187.63,189.1,4077299
5/8/2018,188.89,190.66,188.02,190.53,3396449
5/9/2018,190.51,191.68,189,190.63,2933853
5/10/2018,191.04,193.72,190.94,193.05,2821213
5/11/2018,193,194.09,192.04,193.35,3301734
5/14/2018,193.5,194.72,191.585,192.12,2877238
5/15/2018,191.01,192.195,190.15,192,2747497
5/16/2018,192.69,192.91,191.435,192.38,2109329
5/17/2018,192.05,192.44,190.59,191.2,2378266
5/18/2018,191.62,192.09,190.39,190.4,4208500
5/21/2018,191.5,192.83,190.01,191.2,2632599
5/22/2018,191.18,192.64,190.84,191.62,2620180
5/23/2018,190.74,193,190.3,192.99,2529942
5/24/2018,192.91,193.4,190,191.91,2912888
5/25/2018,191.75,191.89,189.72,191.17,2459577
5/29/2018,190.25,190.49,186.6,189.53,4544996
5/30/2018,190.43,191.93,189.895,191.76,2764225
5/31/2018,191.89,192.44,189.82,190.12,4641376
6/1/2018,192.03,195.37,191.9,195.37,4194886
6/4/2018,195.94,198.11,195.23,197.73,3917154
6/5/2018,198.11,199.71,197.83,199.36,2655453
6/6/2018,199.86,203.29,199.77,203.21,3233139
6/7/2018,203.38,204,198.3,199.54,4084120
6/8/2018,199.2,200.53,199,200.04,2296722
6/11/2018,200.61,201,198.26,198.49,2616880
6/12/2018,199.12,200.15,198.19,200.13,2660497
6/13/2018,200.63,201.62,199.21,199.41,2686503
6/14/2018,200.67,201.39,199.05,199.31,2846890
6/15/2018,198.55,199.67,197.57,199.53,4162059
6/18/2018,197.64,201.45,197.41,201.13,2081250
6/19/2018,198.46,199.93,197.27,199.69,2666212
6/20/2018,200.5,203.46,200.2535,201.54,3898620
6/21/2018,202.41,203.68,199.98,200.78,2678180
6/22/2018,201.57,201.87,199.61,201.48,3126427
6/25/2018,200.39,200.44,193.7091,194.98,4780595
6/26/2018,196.18,198.66,195.76,196.46,4271256
6/27/2018,197.46,198.2,193.16,193.18,3233318
6/28/2018,193.46,197.75,193.205,197.1,2621260
6/29/2018,198.2,198.31,196.18,196.52,3007119
7/2/2018,195.74,197.97,194.75,197.67,3018389
7/3/2018,198.33,198.58,196.14,196.29,1567376
7/5/2018,198,198.96,197.15,198.87,3101894
7/6/2018,198.11,200.26,197.48,199.52,2050441
7/9/2018,200.8,201.59,199.25,200.93,2377291
7/10/2018,201.34,202.7516,200.12,201.52,2265050
7/11/2018,200.47,204.15,200.25,203.84,2827923
7/12/2018,205,209.19,204.75,207.78,3970755
7/13/2018,207.1,207.525,203.44,205.91,2590884
7/16/2018,205.62,206,203.76,204.08,2955000
7/17/2018,203,206.695,201.63,206.37,2918958
7/18/2018,206.65,208.38,205.38,208.36,3595403
7/19/2018,208.36,208.71,205.76,206.06,2264582
7/20/2018,206.19,207.35,206.18,206.71,2802493
