Date,Open,High,Low,Close,Volume
4/19/2018,86.3,86.72,84.47,85.14,3195451
4/20/2018,86.5,87.6,84.45,85.68,3591156
4/23/2018,85.83,86.61,84.33,84.4,3314726
4/24/2018,85.34,85.5108,81.28,82.44,4340874
4/25/2018,82.66,84.09,81.56,82.98,2705723
4/26/2018,83.9,85.36,83.32,84.9,2475395
4/27/2018,85.58,86.048,83.53,84.66,1557062
4/30/2018,84.75,85.325,83.415,83.66,1791386
5/1/2018,83.19,85.11,83,85.02,1688241
5/2/2018,85.16,85.635,84.03,84.78,2324037
5/3/2018,83.98,86.31,82.64,86.11,3160611
5/4/2018,85.47,87.76,85.47,87.51,2188836
5/7/2018,88.51,89.71,87.65,88.74,3666361
5/8/2018,89.9,90.96,86.52,90.65,4488820
5/9/2018,91,91.92,89.1,91.86,2736435
5/10/2018,91.635,93.25,91.635,93.16,1769875
5/11/2018,93.5,94.22,92.51,92.95,1440794
5/14/2018,94.1,94.7,93.19,93.46,1658977
5/15/2018,94.69,94.73,92.35,93.36,2991677
5/16/2018,93.09,93.97,93.06,93.51,1470633
5/17/2018,93.21,94,92.64,93.37,1634301
5/18/2018,92.5,93.56,91.93,92.8,1434901
5/21/2018,93.92,94.63,92.98,93.81,1304961
5/22/2018,93.55,95,93.41,94.33,1703548
5/23/2018,93.24,94.14,92.73,94.08,1562866
5/24/2018,93.98,94.97,93.445,94.85,1366299
5/25/2018,94.81,95.94,94.79,95.81,1378026
5/29/2018,94.86,95.9762,94.35,95.23,1896142
5/30/2018,96.64,99.09,95.29,97.51,3156286
5/31/2018,97.23,98.74,97.02,97.38,2592279
6/1/2018,98.36,101.09,97.66,101.05,2949658
6/4/2018,101.05,101.73,100.39,101.41,4291486
6/5/2018,102.75,102.7999,101.4079,102.14,1990692
6/6/2018,102.28,103.37,101.69,103.31,2203725
6/7/2018,103.02,103.42,101.27,102.22,2458376
6/8/2018,101.37,104.2,100.79,102.15,1536115
6/11/2018,102.05,102.93,101.72,102.4,1251418
6/12/2018,102.52,103.02,101.83,102.69,3115418
6/13/2018,102.89,103.0873,101.76,102.08,2663168
6/14/2018,102.64,103.27,102.08,102.57,1586277
6/15/2018,102.53,102.53,100.83,101.98,2555091
6/18/2018,101.24,101.88,100.5,101.64,1644102
6/19/2018,100.15,101.41,99.54,100.4,1812984
6/20/2018,101.23,101.58,100.35,101.23,1353458
6/21/2018,101.69,101.69,98.63,98.7,1466632
6/22/2018,98.98,99.4,96.37,96.92,2845642
6/25/2018,96.01,96.3,92.72,93.24,3194570
6/26/2018,93.76,94.255,92.7,93.14,1768227
6/27/2018,93.32,94.32,90.18,90.3,2809802
6/28/2018,89.93,91.26,89.93,90.44,2581651
6/29/2018,90.73,91.96,90.41,90.95,3176031
7/2/2018,90.22,91.53,89.2009,91.47,1632164
7/3/2018,91.82,91.82,89.93,90.1,1059981
7/5/2018,91.23,92.34,90.83,92.13,1720783
7/6/2018,91.69,93.87,91.39,93.41,1672002
7/9/2018,93.75,94.01,92.36,93.38,1463473
7/10/2018,93.76,94.76,93.24,94.6,1557702
7/11/2018,93.4,94.205,91.59,92.01,2245409
7/12/2018,92.77,94.37,92.24,94.28,2196376
7/13/2018,94.34,94.53,93.64,94.03,1483976
7/16/2018,94,94.83,93.8453,94.11,1080521
7/17/2018,93.26,95.13,93.131,95.05,1493129
7/18/2018,94.72,95.96,94.72,95.76,1110367
7/19/2018,95.64,95.87,94.17,94.8,1136111
7/20/2018,94.82,95.07,93.74,94.37,1381622
7/23/2018,93.89,94.6,92.74,94.2,1109499
7/24/2018,94.87,95.62,93,93.26,1449936
7/25/2018,92.93,93.78,90.84,92.93,2818801
7/26/2018,93.62,94.73,92.95,94.67,2168913
7/27/2018,95.59,96.91,94.87,95.31,2361965
7/30/2018,95.36,95.6,92.81,93.21,2006374
7/31/2018,93.89,94.98,93.31,93.43,1759740
8/1/2018,93.4,94.39,93.08,93.59,1361884
8/2/2018,92.7,94.95,92.58,94.61,1238387
8/3/2018,94.58,95.16,94,95.09,1691229
8/6/2018,94.71,96.13,94.465,95.6,4056420
8/7/2018,96.06,97.48,95.51,97.26,2765082
8/8/2018,97.39,97.91,96.82,97.76,1851283
8/9/2018,96.95,98.26,96.58,98.08,3125688
8/10/2018,88.4,89.8712,84.77,87.41,19239533
8/13/2018,87.68,88.6,86.863,87.03,5411026
8/14/2018,87.02,87.8,83.5,84.08,7235587
8/15/2018,83.9,84.8,81.35,82.34,4884710
8/16/2018,83.11,84.25,81.57,81.79,3834569
8/17/2018,81.5,83.22,79.76,83.01,4563830
8/20/2018,82.87,83.196,81.42,82.5,4489444
8/21/2018,83.12,86.01,83.12,85.02,5062801
8/22/2018,84.23,85.46,83.4,85.42,2730633
8/23/2018,85.51,87.13,85.29,85.67,2941126
8/24/2018,86.42,87.1,85.84,86.98,2490117
8/27/2018,87.51,88.84,87.26,88.37,2762678
8/28/2018,89,89,87.1,87.5,2871250
8/29/2018,86.95,87.47,86.13,86.82,2779037
8/30/2018,86.42,87.48,85.23,85.55,2890798
8/31/2018,85.67,86.2,85.04,86.03,2248440
9/4/2018,85.16,86.16,84.87,86.09,2156960
9/5/2018,85.84,86.09,84.87,85.14,2332740
9/6/2018,84.75,84.9999,82.61,83.9,4225323
9/7/2018,83.6,85.03,82.67,83.05,3504265
9/10/2018,83.67,84.07,82.7,84.02,1833028
9/11/2018,83.55,83.93,82.325,83.23,3681895
9/12/2018,82.06,83.66,81.03,83.47,5397062
9/13/2018,84.25,85.41,83.245,83.77,3593743
9/14/2018,84.29,85.22,83.45,83.6,3113167
9/17/2018,82.45,82.8,80.86,80.88,3746417
9/18/2018,81.03,81.96,80.38,80.39,2802668
9/19/2018,80.78,81.59,80.47,81.37,2316029
9/20/2018,82.3,83.95,81.72,83.38,2726698
9/21/2018,83.62,83.71,82.37,82.75,4101251
9/24/2018,81.87,82.6,81.32,82.3,1745444
9/25/2018,80.72,81.09,78.58,78.77,5069108
9/26/2018,78.64,79.74,78.6308,78.79,3672118
9/27/2018,78.76,79.34,78.354,78.61,2509120
9/28/2018,78.42,79.12,77.87,78.91,4881288
10/1/2018,79.3,79.7,77.14,77.16,5160758
10/2/2018,77.8,78.69,77.36,77.65,4176485
10/3/2018,77.47,77.65,75.025,75.12,5193762
10/4/2018,75.06,75.29,70.63,71.43,9514599
10/5/2018,71.45,71.83,68.6,69.28,6119093
10/8/2018,68.62,69.59,66.82,67.7,4845206
10/9/2018,67.3,67.8658,66.26,67.38,6901806
10/10/2018,66.38,66.65,65.13,66.44,9724915
10/11/2018,67.33,69.37,66.52,67.7,7741516
10/12/2018,69.83,70.22,67.28,68.26,5408485
10/15/2018,67.74,68.71,67.1101,68.22,4233648
10/16/2018,69.02,69.58,68.3101,69.15,3127605
10/17/2018,69.56,69.78,68.4001,69.05,3295142
10/18/2018,68.65,68.7,67.15,67.55,4272296
10/19/2018,67.46,68.7,66.84,67.03,3224840
10/22/2018,67.73,68,66.51,66.83,2942847
10/23/2018,65.43,67.6,64.7,67.22,5205040
10/24/2018,65.88,66.49,61.27,61.3,6850570
10/25/2018,62.21,64.26,62.11,62.51,8503587
10/26/2018,60.87,63.45,60.7,62.37,8242908
10/29/2018,63.68,64.59,61.23,62.29,3741345
10/30/2018,62.43,64.95,62.01,64.85,3277036
10/31/2018,66,66.26,65.08,65.78,4968110
11/1/2018,66.25,70.97,65.67,70.37,5573468
11/2/2018,71,71,68.51,69.74,3506412
11/5/2018,69.48,69.82,67.8,69.33,2992995
11/6/2018,68.87,70.38,68.77,70.03,2144453
11/7/2018,70.61,70.98,69.06,70.3,3336876
11/8/2018,71,76,70.3,74.45,7236602
11/9/2018,73.43,73.86,71.28,72.13,4358351
11/12/2018,71.3,71.58,69.53,69.66,2827971
11/13/2018,70.22,72.8,70.18,70.86,3782324
11/14/2018,71.96,72.49,71.1,72.02,3589363
11/15/2018,71.64,75.37,71.51,75.35,4993516
11/16/2018,74.55,76.2,74.26,75.61,4741008
11/19/2018,75.54,75.84,73.41,73.88,2785346
11/20/2018,72.93,74,71.45,73,2976854
11/21/2018,74.22,74.55,72.92,73,2663746
11/23/2018,72.06,74.94,72.03,74.33,1560305
11/26/2018,75.48,75.81,74.69,75.74,2367021
11/27/2018,74.82,75.36,73.16,73.71,2768922
11/28/2018,74.51,75.93,72.9338,75.89,5249407
11/29/2018,75.1,76.36,74.38,74.42,2739910
11/30/2018,74.8,75.12,73.775,75,2859345
12/3/2018,78.1,80.61,76.9,77.76,5014347
12/4/2018,76.86,77.12,74.39,74.48,3055173
12/6/2018,72.31,73.88,71.59,73.4,3233205
12/7/2018,72.79,73.41,69.95,70.26,2667999
12/10/2018,70.02,71.98,69.545,71.9,3287337
12/11/2018,73.24,74.46,71.87,72.2,2580736
12/12/2018,73.91,74.51,72.5,73.58,2228781
12/13/2018,73.8,74.7,72.05,72.43,2113415
12/14/2018,71.16,72.96,71.15,71.64,2841994
12/17/2018,71.65,73.52,70.76,71.21,2462133
12/18/2018,71.93,74.09,71.69,72.14,3361321
12/19/2018,71.83,72.14,68.19,68.61,3614702
12/20/2018,68.53,70,67.415,68.71,3350942
12/21/2018,68.8,70.2,67.65,67.99,5276510
12/24/2018,67.57,68.31,65.67,65.73,1551102
12/26/2018,66.45,70.45,66,70.38,3033043
12/27/2018,68.96,71.54,68.69,71.49,2309636
12/28/2018,71.53,72.81,70.41,71.64,1903211
12/31/2018,72.24,72.55,70.92,71.92,1574132
1/2/2019,70.27,72.29,70,71.35,2652548
1/3/2019,70.05,70.21,66.16,66.32,4786401
1/4/2019,67.37,69.365,67.08,69.01,3739690
1/7/2019,69.09,71.8,68.71,71.03,2890469
1/8/2019,71.81,73,70.87,72.96,4596849
1/9/2019,74.25,76.62,74.15,75.85,4419162
1/10/2019,75.44,76.87,75.24,76.62,2883785
1/11/2019,76.38,78.72,75.94,77.13,4549439
1/14/2019,76.47,76.64,74.19,74.24,3250563
1/15/2019,74.74,75.71,74.42,75.01,2370252
1/16/2019,75.24,76.16,74.92,75.08,2223850
1/17/2019,74.53,76.55,73.25,76.15,2178739
1/18/2019,76.78,78.03,75.74,77.64,2443331
1/22/2019,76.9,77.1,74.39,75.18,2337033
1/23/2019,76.96,76.96,73.74,74.36,2461649
1/24/2019,75.42,79.58,74.95,78.44,5049025
1/25/2019,79.01,81.4,78.53,80.63,2925798
1/28/2019,78.2,80.6,78.02,80.25,2645477
1/29/2019,81.02,81.73,79.29,79.49,2043230
1/30/2019,80.04,81.64,78.21,80.49,2771924
1/31/2019,80.35,81.34,79.81,80.37,2234232
2/1/2019,80.54,81.91,79.91,81.87,3447505
2/4/2019,81.74,82.93,80.77,82.58,2979769
2/5/2019,82.27,83.76,82.27,83.24,3418895
2/6/2019,88.5,91.75,88.01,89.31,10139383
2/7/2019,87.64,89.17,86.54,88.07,4714458
2/8/2019,86.73,87.75,86.03,87.41,2836612
2/11/2019,87.75,89.415,87,88.96,3009021
2/12/2019,90.19,91.8,90.17,91.51,4152444
2/13/2019,91.33,91.82,90.6,91.19,3280248
2/14/2019,90.65,91.75,89.9001,90.6,4180315
2/15/2019,91.35,91.56,90.08,91.1,2285063
2/19/2019,90.62,91.36,90.06,90.69,1591027
2/20/2019,90.27,91.48,89.5,89.65,3153475
2/21/2019,89.66,90.07,88.47,89,2086033
2/22/2019,89.71,90,88.46,89.04,1603689
2/25/2019,90.26,91.14,89.69,89.81,2363174
2/26/2019,89.26,90.03,88.92,89.06,1722836
2/27/2019,88.44,88.77,86.63,87.07,3954020
2/28/2019,86.34,87.33,86.32,86.87,2855157
3/1/2019,87.89,88.91,87.13,88.64,2061906
3/4/2019,89.34,89.57,87.59,88.57,1639041
3/5/2019,88.41,88.5,87.23,87.27,1822966
3/6/2019,87.39,88.07,86.4,86.48,1813690
3/7/2019,85.94,86.03,84.25,84.45,2133727
3/8/2019,83.45,85.39,83.05,85.05,1802323
3/11/2019,85.59,87.14,85.26,86.8,1348837
3/12/2019,87.11,87.11,86.01,86.3,1115012
3/13/2019,86.77,87.08,84.98,85.06,2493057
3/14/2019,85.03,85.47,83.915,84,1997643
3/15/2019,84.69,86.89,84.34,86.1,3015117
3/18/2019,85.95,86.435,84.76,85.33,2291928
3/19/2019,85.7,86.335,85.45,86.1,1707246
3/20/2019,86.26,86.72,83.67,84.28,1607400
