Date,Open,High,Low,Close,Volume
4/19/2018,122.43,122.67,119.66,120.24,379312
4/20/2018,120,121.29,118.8,119.51,309660
4/23/2018,119.64,121.17,118.14,119,355993
4/24/2018,119.56,120.84,117.23,119.01,342534
4/25/2018,119.08,120.32,115.965,119.38,275331
4/26/2018,120.63,121.72,119.03,121.25,188973
4/27/2018,122.59,122.64,119.24,120.28,316756
4/30/2018,120.55,122.525,116.55,117.1,412753
5/1/2018,119.7,119.7,115.03,119.12,511528
5/2/2018,119.45,119.72,118.15,118.35,259171
5/3/2018,117.4,120.51,116.425,120.27,400233
5/4/2018,119.5,124.265,118.87,123.87,243353
5/7/2018,124.19,125.525,123.54,123.84,219321
5/8/2018,124.18,125.3,123.24,124.11,355869
5/9/2018,124.34,126.54,123.76,126.17,271829
5/10/2018,126.44,128.86,125.96,128.67,311818
5/11/2018,128.44,128.7877,126.51,126.56,157346
5/14/2018,127.05,128.87,126.01,126.17,291969
5/15/2018,125.56,126.39,124.82,126.23,309049
5/16/2018,126.1,128.28,125.99,127.77,296623
5/17/2018,127.37,129.15,126.5373,128.76,189922
5/18/2018,128.96,130.32,128.42,128.94,313533
5/21/2018,130.36,131.9,128.34,129.77,217472
5/22/2018,130.46,131.4,129.42,129.54,205077
5/23/2018,128.49,130.8,125.4963,130.72,184032
5/24/2018,130.7,131.13,129.515,130.59,133274
5/25/2018,130.82,132.83,130.59,131.71,152772
5/29/2018,131.27,132.3125,129.71,131.54,272781
5/30/2018,132.26,134.69,132.025,133.84,445566
5/31/2018,133.59,134.74,131.7,131.81,223250
6/1/2018,133.02,133.88,132.16,133.3,335721
6/4/2018,133.92,134.84,133.07,134.68,231067
6/5/2018,135,136.49,134.08,135.76,197696
6/6/2018,136.08,137.19,135.15,137.19,212104
6/7/2018,137.23,137.8,133.2,133.37,292459
6/8/2018,133.61,136.95,132.59,134.26,491084
6/11/2018,135.13,137.7,134.885,137.34,227745
6/12/2018,137.67,140.2,136.52,139.73,325955
6/13/2018,140.14,141.569,137.5,137.66,380863
6/14/2018,139.06,139.75,137.39,139.71,433538
6/15/2018,138.58,141.82,138.09,141.63,467636
6/18/2018,140.28,141.34,139.341,141.12,266338
6/19/2018,138.92,140.02,136.94,139.07,292604
6/20/2018,139.92,141.44,139.18,141.3,278421
6/21/2018,141.72,141.72,138.48,141.13,495741
6/22/2018,142,142.559,138.49,138.54,4484119
6/25/2018,138.19,138.4,131.65,134.26,585591
6/26/2018,134.82,137.99,134,136.92,484314
6/27/2018,137.61,138.18,133.35,133.38,419353
6/28/2018,133.33,136.1608,131.82,134.57,355595
6/29/2018,135.67,136.68,133.57,133.67,434519
7/2/2018,132.5,135.525,131.94,134.71,345801
7/3/2018,135.9,135.9,132.39,132.7,219681
7/5/2018,133.47,136.83,132.7766,136.34,623462
7/6/2018,136.5,138.54,135.38,138.31,309395
7/9/2018,139.3,139.3,136.5,138.22,293798
7/10/2018,138.61,140.94,138.34,140.68,258790
7/11/2018,138.83,140.02,136.945,137.21,273659
7/12/2018,138.21,140.3,137.21,140.23,212011
7/13/2018,140.02,141.04,139.05,139.91,273349
7/16/2018,140.25,140.999,139.39,139.69,138060
7/17/2018,139.02,142.38,138.21,141.35,266664
7/18/2018,141.86,141.93,140.05,141.45,161842
7/19/2018,141.41,142.15,140.47,141.8,180165
7/20/2018,142.4,142.4,140.06,140.72,236209
7/23/2018,140.55,142,138.92,141.51,337283
7/24/2018,142.03,142.909,136.72,137.47,299285
7/25/2018,137.8,138.84,133.39,135.49,615030
7/26/2018,138.37,140.85,130.34,136.16,700106
7/27/2018,136.89,137.32,130.78,132.52,299422
7/30/2018,132.18,132.65,128.75,131.05,358470
7/31/2018,131.56,133.83,131.47,132.68,331375
8/1/2018,132.44,134.67,131.63,131.96,301835
8/2/2018,118.2,135.9,129.6504,135.63,323974
8/3/2018,135.33,136.3,134.51,135.7,370396
8/6/2018,135.19,137.38,134,137.27,208715
8/7/2018,138.26,142.01,137.6716,141.45,514412
8/8/2018,140.98,142.38,139.5,141.8,240308
8/9/2018,142,142.32,139.57,139.69,289397
8/10/2018,138,139.86,137.01,139.42,498724
8/13/2018,139.31,142.48,139.31,139.79,380538
8/14/2018,140.02,142.42,139.3823,141.26,360925
8/15/2018,140.09,141.13,138,139.92,308201
8/16/2018,140.66,140.88,139.34,140.32,224906
8/17/2018,139.56,141,138.2,140.72,248906
8/20/2018,141,142.45,139.48,141.97,229128
8/21/2018,142.19,145.17,142.19,144.74,316453
8/22/2018,145.1,146.72,143.46,145.56,288573
8/23/2018,145.2,147.08,144.001,145.55,238521
8/24/2018,146.39,147.6,146.08,147.24,190595
8/27/2018,148.42,151.08,148.325,149.28,398977
8/28/2018,150.12,150.24,147.63,149.15,174705
8/29/2018,150,150.8,148.57,149.46,165470
8/30/2018,148.95,150.08,148.16,148.54,141285
8/31/2018,148.8,150.36,147.84,149.87,257064
9/4/2018,149.43,151.74,148.255,151.38,251266
9/5/2018,151.8,151.8,147.73,149.3,306218
9/6/2018,149.23,150.16,147.06,149.32,257578
9/7/2018,148.08,152.21,147.48,147.99,304324
9/10/2018,149.06,149.305,145.02,146.53,318659
9/11/2018,146.06,147.245,144.03,146.01,374038
9/12/2018,145.21,145.5,139.21,141.37,485209
9/13/2018,140.8,141.25,129.23,136.78,1206778
9/14/2018,137.18,139.36,136.91,138.21,686097
9/17/2018,137.97,138.3,132.37,132.55,399172
9/18/2018,132.07,134.95,131.91,133.03,498705
9/19/2018,133.67,134.78,131.8,133.64,359299
9/20/2018,134.74,136.31,133.25,135.26,329084
9/21/2018,135.36,135.72,132.69,132.9,585495
9/24/2018,132.42,133.03,130.59,132.81,382523
9/25/2018,129.7,131.22,128.23,129.14,882987
9/26/2018,129.15,130,126.73,126.94,503109
9/27/2018,127.2,127.59,125.82,126.31,452433
9/28/2018,126.09,126.57,124.5501,125.53,579051
10/1/2018,126.54,126.98,124.12,124.43,455038
10/2/2018,124,125.96,123.97,124.8,378463
