Date,Open,High,Low,Close,Volume
4/19/2018,96.44,97.07,95.34,96.11,23552541
4/20/2018,95.91,96.11,94.05,95,31154377
4/23/2018,95.7436,96.29,94.63,95.35,22331829
4/24/2018,96.242,96.47,92.41,93.12,34524799
4/25/2018,93.3,93.3,90.28,92.31,33729257
4/26/2018,93.55,95.15,93.1,94.26,42529043
4/27/2018,97.6,97.9,93.91,95.82,48272780
4/30/2018,96.33,96.3964,93.15,93.52,41523605
5/1/2018,93.21,95.29,92.79,95,31408927
5/2/2018,94.99,95.17,93.19,93.51,27471002
5/3/2018,92.96,94.925,92.45,94.07,31142497
5/4/2018,93.32,95.37,92.92,95.16,22531325
5/7/2018,95.17,96.71,95.1,96.22,24242019
5/8/2018,95.8456,96.16,95.0631,95.81,23484589
5/9/2018,96.01,96.97,95.05,96.94,27327410
5/10/2018,97.46,97.95,97.05,97.91,22388119
5/11/2018,97.8,97.87,97.04,97.7,16778316
5/14/2018,97.92,98.69,97.31,98.03,19454124
5/15/2018,97.24,97.85,96.34,97.32,24594010
5/16/2018,97.36,97.4,96.615,97.15,17384742
5/17/2018,96.76,97.5401,95.83,96.18,17246716
5/18/2018,96.01,96.93,96.01,96.36,17865840
5/21/2018,97,98.01,96.8,97.6,19422467
5/22/2018,97.68,98.17,97.2,97.5,15441189
5/23/2018,96.71,98.73,96.32,98.66,21251222
5/24/2018,98.725,98.94,96.81,98.31,26649287
5/25/2018,98.3,98.98,97.86,98.36,18363918
5/29/2018,97.84,98.88,97.23,98.01,28670981
5/30/2018,98.31,99.25,97.91,98.95,22158528
5/31/2018,99.29,99.99,98.61,98.84,34140891
6/1/2018,99.2798,100.86,99.17,100.79,28655624
6/4/2018,101.26,101.86,100.851,101.67,27281623
6/5/2018,102,102.33,101.53,102.19,23514402
6/6/2018,102.48,102.6,101.9,102.49,21122917
6/7/2018,102.65,102.69,100.38,100.88,28232197
6/8/2018,101.0924,101.95,100.54,101.63,22165128
6/11/2018,101.37,101.59,100.67,101.05,23490894
6/12/2018,101.1,101.4493,100.75,101.31,18325228
6/13/2018,101.72,102.01,100.56,100.85,29492875
6/14/2018,101.65,102.03,101,101.42,25691811
6/15/2018,101.51,101.53,100.07,100.13,65738585
6/18/2018,100.01,101.11,99.42,100.86,23586037
6/19/2018,99.65,101,99.5,100.86,28653087
6/20/2018,101.37,102.52,101.12,101.87,26180792
6/21/2018,102.075,102.46,100.88,101.14,23198188
6/22/2018,100.41,100.77,99.625,100.41,38923105
6/25/2018,100,100.11,97.3,98.39,35433333
6/26/2018,98.82,100.08,98.75,99.08,26897244
6/27/2018,99.58,100.02,97.4,97.54,31298386
6/28/2018,97.38,99.11,97.26,98.63,26650671
6/29/2018,98.93,99.91,98.33,98.61,28053214
7/2/2018,98.1,100.06,98,100.01,19564521
7/3/2018,100.48,100.63,98.94,99.05,14670275
7/5/2018,99.5,99.92,99.0299,99.76,18977402
7/6/2018,99.885,101.43,99.67,101.16,19234627
7/9/2018,101.6452,102.25,101.251,101.85,18211980
7/10/2018,102,102.51,101.86,102.12,19293140
7/11/2018,101.15,102.34,101.1,101.98,19644648
7/12/2018,102.77,104.41,102.73,104.19,24335929
7/13/2018,104.37,105.6,104.09,105.43,24653500
7/16/2018,105.4,105.82,104.515,104.91,21786912
7/17/2018,104.61,106.5,104.32,105.95,25901726
7/18/2018,105.94,106.05,104.715,105.12,29493927
7/19/2018,104.93,105.31,103.89,104.4,40171646
7/20/2018,108.08,108.2,106.08,106.27,56038827
7/23/2018,106.3,108.14,106.13,107.97,29706955
7/24/2018,108.57,108.82,107.26,107.66,26316619
7/25/2018,107.955,111.15,107.6,110.83,30798058
7/26/2018,110.74,111,109.5,109.62,31372110
7/27/2018,110.18,110.18,106.14,107.68,37005292
7/30/2018,107.19,107.53,104.76,105.37,34668327
7/31/2018,106.49,106.72,105.38,106.08,27655152
8/1/2018,106.03,106.446,105.42,106.28,23628699
8/2/2018,105.4,108.09,104.84,107.57,26104258
8/3/2018,107.8,108.05,106.82,108.04,18659599
8/6/2018,108.12,108.42,107.559,108.13,20265947
8/7/2018,108.56,109.1,108.17,108.88,16080214
8/8/2018,109.33,109.75,108.7599,109.49,15487502
8/9/2018,109.71,110.16,109.6,109.67,13677211
8/10/2018,109.42,109.69,108.38,109,18183724
8/13/2018,109.24,109.58,108.1,108.21,18474884
