Date,Open,High,Low,Close,Volume
4/19/2018,110.86,111.4,110.54,110.71,832328
4/20/2018,111.06,111.46,110.15,110.57,719241
4/23/2018,110.85,111.68,109.65,109.82,762807
4/24/2018,109.97,111.29,108.92,109.64,1096276
4/25/2018,109.25,109.62,108.4309,109.42,819025
4/26/2018,109.59,110.34,109.18,109.83,548134
4/27/2018,109.85,110.25,109.14,110.15,921847
4/30/2018,110.4,110.94,109.46,109.83,899750
5/1/2018,109.83,109.88,106.84,108.48,1209641
5/2/2018,108.7,109.1,107.47,107.63,959650
5/3/2018,107.52,107.96,105.5,107.69,1843195
5/4/2018,107.96,109.15,105.06,108.03,2377996
5/7/2018,108.53,108.56,106.65,107.31,1615181
5/8/2018,107.3,108.48,106.89,107.84,1136975
5/9/2018,107.89,108.21,105.41,105.78,1866747
5/10/2018,106.32,108.92,106.25,108.75,1517801
5/11/2018,108.59,108.67,107.5,108.37,1065483
5/14/2018,108.43,109.34,107.11,107.38,1239310
5/15/2018,107.02,108.06,106.765,107.98,1145615
5/16/2018,107.92,108.35,107.17,107.3,968471
5/17/2018,106.65,107,106.11,106.25,1121982
5/18/2018,106.12,106.97,105.89,106.41,2433443
5/21/2018,107.11,108.48,106.82,108.38,1337648
5/22/2018,109,109.79,108.31,109.31,1964399
5/23/2018,108.63,110.85,108.38,110.84,1282737
5/24/2018,110.43,111.07,110.04,110.86,1344975
5/25/2018,111.1,111.52,110.135,110.57,907480
5/29/2018,110.06,110.43,109.1,109.68,1297994
5/30/2018,109.8,110.65,109.46,109.47,1063260
5/31/2018,109.9,109.9,107.22,107.34,3675824
6/1/2018,108.02,109.15,107.73,109.11,819320
6/4/2018,109.16,110.02,108.78,109.91,646364
6/5/2018,109.99,112.43,109.51,112.34,1342261
6/6/2018,112.29,113.6,111.53,113.58,1660722
6/7/2018,113.66,113.69,111.39,112.22,1378736
6/8/2018,112.23,112.92,111.24,112.3,789790
6/11/2018,112.22,112.9,112.01,112.51,732903
6/12/2018,112.9,113.36,112.14,113.28,695219
6/13/2018,113.62,114.46,113.06,113.63,702907
6/14/2018,113.33,114.45,113.33,113.9,822326
6/15/2018,113.68,114.7,112.82,114.52,1693764
6/18/2018,113.61,115.58,113.59,115.5,889232
6/19/2018,114.55,115.88,114.36,115.8,1051263
6/20/2018,115.94,116.68,115.265,115.97,730155
6/21/2018,116.64,117.62,116.02,117.05,849954
6/22/2018,117.24,118.37,117.11,117.71,1749534
6/25/2018,117.62,117.88,115.41,116.05,1072347
6/26/2018,115.98,116.4,115.44,115.48,1155843
6/27/2018,115.78,116.03,114.93,115.41,1125350
6/28/2018,115,117.36,114.86,117.11,976665
6/29/2018,117.45,117.85,116.28,116.37,1374288
7/2/2018,115.87,116.55,114.95,116.51,871839
7/3/2018,116.97,117.6732,115.75,115.9,648856
7/5/2018,116.5,117.65,115.92,117.48,1019008
7/6/2018,117.33,118.78,117.14,118.41,818717
7/9/2018,118.73,118.78,117.11,118.3,934809
7/10/2018,119.26,119.65,118.19,118.64,1047451
7/11/2018,119.15,121.3,118.4101,120.32,2776801
7/12/2018,120.74,120.94,120.351,120.77,812509
7/13/2018,120.77,121.6892,120.13,120.77,587969
7/16/2018,121.14,121.48,120.42,121.35,801179
7/17/2018,121.12,122.57,120.82,122.45,985509
7/18/2018,122.43,123.31,121.46,123.19,919988
7/19/2018,122.58,123.009,121.99,122.18,738454
7/20/2018,122.1,122.41,121.37,121.68,692778
7/23/2018,121.81,122.06,121.12,122.02,589167
7/24/2018,122,122.38,120.75,121.47,973972
7/25/2018,121.18,124.14,121.18,124.05,1029175
7/26/2018,123.9,125.31,123.8,125.15,801021
7/27/2018,124.84,125.02,123.18,123.45,1386427
7/30/2018,122.94,123.4565,120.145,120.48,898455
7/31/2018,120.86,121.665,120.31,121.3,926015
8/1/2018,121.2,122.16,120.04,120.9,1061968
8/2/2018,120.29,121.95,120.13,121.52,1233340
8/3/2018,116.25,119.89,115.66,117.67,2021717
8/6/2018,117.35,119.47,117.35,119.22,1377200
8/7/2018,120,121.54,119.76,121,1029712
8/8/2018,121.56,121.58,119.38,119.82,1020366
8/9/2018,119.44,121.94,119.235,121.45,1144765
8/10/2018,121.15,122.025,120.79,121.01,555655
8/13/2018,121.38,122.58,120.67,121.35,759871
8/14/2018,121.5,121.72,120.63,121,942042
8/15/2018,120.55,121.1,119.29,120.28,780170
8/16/2018,120.84,121.765,120.84,121.31,788366
8/17/2018,121.32,123.68,121.005,122.99,896810
8/20/2018,124.1,125.68,124.1,124.99,979697
8/21/2018,124.92,125.78,124.32,124.49,455524
8/22/2018,124.51,124.76,123.92,124.41,638731
8/23/2018,124.49,125.255,124.41,125.09,533181
8/24/2018,125.6,126.99,125.02,126.65,959669
8/27/2018,126.85,127.56,126.11,127.25,972650
8/28/2018,127.59,128.48,127.36,127.83,910874
8/29/2018,127.83,128.85,127.615,128.72,555266
8/30/2018,128.94,129.2,127.15,127.54,1086389
8/31/2018,126.98,128.56,126.76,128.36,984024
9/4/2018,127.57,128.185,126.72,128.17,706098
9/5/2018,127.86,128.25,126.72,127.42,772533
9/6/2018,128.11,128.38,126.78,127.61,758737
9/7/2018,127.6,127.98,126.495,126.79,863758
9/10/2018,127.47,127.69,126.69,127.13,678018
9/11/2018,127.13,127.86,126.79,127.44,632251
9/12/2018,126.94,127.33,125.31,125.99,859865
9/13/2018,125.8,126.85,125.8,126.14,672507
9/14/2018,127.57,127.61,126.15,126.76,819806
9/17/2018,127.12,127.12,125.67,126.49,987004
9/18/2018,126.13,128.39,126.13,126.61,887953
9/19/2018,126.5,126.78,123.92,124.53,644451
9/20/2018,124.9,126.13,124.28,126.09,620512
9/21/2018,126.09,128.59,125.99,128.41,2251961
9/24/2018,127.7,129.44,126.68,128.96,1363351
9/25/2018,129,130.26,128.95,129.92,1271393
9/26/2018,130,130.32,128.52,128.74,1167343
9/27/2018,128.66,129.63,128.41,128.53,462868
9/28/2018,128.25,130.34,128.12,130.14,831872
10/1/2018,131,131.48,127.7704,128.19,1169033
10/2/2018,127.86,128.65,126,126.87,1407169
10/3/2018,127.52,128.3249,126.71,126.79,796116
10/4/2018,126.45,126.5,125.03,125.94,678048
10/5/2018,125.81,126.98,124.77,125.59,651472
10/8/2018,125.51,125.54,122.74,123.5,630836
10/9/2018,123.25,124.73,122.91,124.45,727377
10/10/2018,124.14,124.21,120.58,120.68,1001584
10/11/2018,120.32,121.15,117.79,117.94,1024236
10/12/2018,119.59,120.83,118.71,120.24,874716
10/15/2018,119.98,120.94,118.64,120.01,782007
10/16/2018,120.61,124.09,120.22,123.76,745027
10/17/2018,124.09,124.11,122.01,123.56,580220
10/18/2018,123.45,124.85,122.85,123.85,951866
10/19/2018,124.13,124.93,123.2,123.36,942139
10/22/2018,123.67,123.84,121.825,123.02,599809
10/23/2018,121.63,123.25,120.23,122.29,646437
10/24/2018,122.04,124.62,119.46,119.58,946107
10/25/2018,120.11,122.59,119.97,121.62,804718
10/26/2018,120.25,121.32,118.43,119.68,799342
10/29/2018,120.95,121.98,115.6164,117.06,1092380
10/30/2018,117.25,119.48,115.92,119.24,1093104
10/31/2018,120.71,123.83,120.145,122.56,1092441
11/1/2018,122.8,124.09,121.37,123.78,955690
11/2/2018,124.93,129.52,123.93,128.84,2171288
11/5/2018,128.29,128.67,121.17,124.03,1720925
11/6/2018,123.65,125.99,123.19,125.89,934115
11/7/2018,126.53,128.93,125.95,128.67,892075
11/8/2018,128.09,129.75,127.38,129.59,818515
11/9/2018,129.42,129.99,127.985,129.65,942608
11/12/2018,129.45,129.45,126.51,126.99,574628
11/13/2018,127.54,129.355,126.735,126.9,853039
11/14/2018,127.33,130.24,125.23,128.73,1053974
11/15/2018,128.64,130.1,127.35,129.39,948697
11/16/2018,128.81,130.485,128.3,130.02,815619
11/19/2018,129.56,129.95,126.055,126.29,723868
11/20/2018,123.8,126.22,123.25,123.57,1092313
11/21/2018,124.57,125.2,123.17,124.11,766915
11/23/2018,122.97,124.76,122.97,124.35,247640
11/26/2018,125.3,127.37,125.06,127.37,862920
11/27/2018,126.69,130.24,126.69,129.3,1267569
11/28/2018,129.69,132.1,129.01,132.07,986927
11/29/2018,131.75,133.09,131.28,132.58,770809
11/30/2018,132.18,132.95,130.44,131.25,1367085
12/3/2018,133.18,133.83,131.96,133.79,1082036
12/4/2018,133.55,133.97,129.845,130.08,1601877
12/6/2018,128.69,129.92,125.44,129.76,1258918
12/7/2018,129.44,129.7,126.35,127.53,1279795
12/10/2018,127.07,130.2,125.66,129.6,975135
12/11/2018,131.05,131.33,129.27,129.46,955100
12/12/2018,130.42,132.32,130.2,130.25,959526
12/13/2018,130,131.21,127.65,129.05,822207
12/14/2018,127.85,128.5,125.39,126.65,655240
12/17/2018,126.6,127.135,122.73,123.24,1040783
12/18/2018,123.61,124.325,120.41,121.89,1234266
12/19/2018,121.79,122.92,118.6,119.05,1022198
12/20/2018,118.73,119.62,113.77,115.5,1198201
12/21/2018,115.5,118.52,111.72,111.73,2606412
12/24/2018,110.93,112.34,108.97,108.97,788484
12/26/2018,109.51,112.31,108.25,112.17,1229887
