Date,Open,High,Low,Close,Volume
4/19/2018,52.9,54.1,50.98,51.42,52634973
4/20/2018,51.5,52.07,50.15,50.62,38510750
4/23/2018,50.81,50.88,48.81,49.02,43692970
4/24/2018,49.66,50.2571,46.44,47.11,61915374
4/25/2018,47.56,48.341,46.075,47.6,43781171
4/26/2018,49.28,50.18,48.83,50.14,39041386
4/27/2018,51.11,51.39,47.19,47.52,50049798
4/30/2018,47.06,47.69,45.315,45.98,54743790
5/1/2018,45.59,46.865,45.41,46.79,34154908
5/2/2018,45.91,46.7392,45.68,45.89,31640805
5/3/2018,45.7402,46.865,45.3302,46.62,30489613
5/4/2018,46.32,47.7,46.14,47.58,28632166
5/7/2018,48.26,49.11,48.11,48.48,33996912
5/8/2018,48.53,48.859,47.88,48.57,25205522
5/9/2018,49.06,51.03,48.99,51.01,36489113
5/10/2018,51.8,52.68,51.6,52.66,37146281
5/11/2018,52.38,52.8,51.6801,51.82,27646392
5/14/2018,52.99,53.71,52.86,53,33376279
5/15/2018,53.8,54.17,52.6899,54.01,43307320
5/16/2018,55.59,56.91,55.48,56.5,59011916
5/17/2018,56.01,56.44,53.93,54.7,54832177
5/18/2018,53.6,54.65,52.85,53.39,46088834
5/21/2018,56.175,56.47,54.53,55.48,70858134
5/22/2018,59.05,60.5,58.3,59.03,111262746
5/23/2018,59.05,60,58.15,59.97,64066804
5/24/2018,60.18,61.99,59.56,61.49,74724955
5/25/2018,60.85,62.1,60.61,61.35,54715927
5/29/2018,61.36,63.9801,61.35,62.62,75591946
5/30/2018,63.7,64.66,60.92,62.57,84737640
5/31/2018,60.25,60.25,57.165,57.59,101882177
6/1/2018,58.81,59.34,56.88,58.74,74761515
6/4/2018,57.43,59.16,56.62,59.1,64350519
6/5/2018,59.8,60.14,58.83,59.41,41711285
6/6/2018,59.26,59.59,58.3,59.42,36748973
6/7/2018,59.85,60.27,58.56,59.63,42264729
6/8/2018,58.63,61.6,58.22,61.39,57144868
6/11/2018,61.71,62.55,61.07,61.39,42251465
6/12/2018,61.84,61.85,59.94,60.55,43633349
6/13/2018,60.3,61.27,60.02,60.05,33281355
6/14/2018,60.55,60.57,58.67,59.18,43421919
6/15/2018,58.53,59.1,57.3,58.23,45854083
6/18/2018,57.6,58.6,56.87,58.45,36975630
