Date,Open,High,Low,Close,Volume
4/19/2018,57.48,57.785,56.11,56.15,3366789
4/20/2018,55.91,56.135,54.18,54.4,4901160
4/23/2018,54.88,54.9,53.66,53.8,4000489
4/24/2018,54.37,54.63,53.49,53.78,4238782
4/25/2018,53.95,54.61,53.45,54.4,3431391
4/26/2018,54.89,55.57,54.49,55.26,4183372
4/27/2018,54.96,55.26,53.46,54.49,4010227
4/30/2018,54.69,55.13,53.79,54.5,4367039
5/1/2018,54.26,55.35,53.82,55.29,2530443
5/2/2018,55.27,55.28,54.49,54.82,2934516
5/3/2018,54.46,55.53,54.06,55.32,2413486
5/4/2018,54.94,56.1,54.4541,56,2188863
5/7/2018,56.32,56.62,56.09,56.41,1830424
5/8/2018,56.43,56.66,56,56.45,1883417
5/9/2018,56.45,57.4,56.18,57.33,3054195
5/10/2018,57.69,58,57.171,57.97,1610616
5/11/2018,57.95,58.31,57.4317,57.6,2601196
5/14/2018,57.79,58.5,57.64,58.41,1647026
5/15/2018,58.06,58.38,57.53,57.73,2359068
5/16/2018,57.51,58.5793,57.51,58.49,1809253
5/17/2018,58.5,58.79,57.48,58.01,1328479
5/18/2018,57.8,58.38,57.33,57.93,1657211
5/21/2018,58.3,58.95,57.4656,58.27,1239350
5/22/2018,58.46,58.85,58.235,58.48,1377613
5/23/2018,57.98,58.95,57.64,58.93,1412756
5/24/2018,58.95,59.18,58.22,58.83,3494114
5/25/2018,58.85,59.23,58.64,59.18,4181497
5/29/2018,58.9,59.68,58.65,58.87,2775163
5/30/2018,59.11,59.48,58.66,58.7,1430007
5/31/2018,58.66,59.37,58.3,58.65,1892615
6/1/2018,59.21,60.15,59.01,60.09,1380404
6/4/2018,60.1,60.93,59.58,60.83,3010048
6/5/2018,61,61.5,60.43,61.36,2291796
6/6/2018,61.27,61.4,60.72,61.39,2886495
6/7/2018,61.39,62.36,60.73,61.14,2432342
6/8/2018,60.57,60.95,60.12,60.75,1304642
6/11/2018,60.56,60.91,60.5,60.76,1457684
6/12/2018,60.88,60.9856,60.11,60.86,1505287
6/13/2018,61,61.4713,60.28,60.55,2678744
6/14/2018,60.85,61.54,60.34,61.43,1845347
6/15/2018,61.38,61.65,60.22,61.56,3141439
6/18/2018,60.04,61.34,60.01,61.12,1682366
6/19/2018,60.06,60.53,59.63,60.35,2190636
6/20/2018,60.63,60.85,60.17,60.66,1469007
6/21/2018,60.8,60.99,59.5899,59.94,2161232
6/22/2018,60.5,60.5,59.55,60.39,2285494
6/25/2018,59.47,59.47,57.925,58.55,3087762
6/26/2018,58.57,59.53,58.36,59.43,2623595
