Date,Open,High,Low,Close,Volume
4/19/2018,15.9984,16.0444,15.8032,15.9927,5700291
4/20/2018,15.9582,15.9927,15.7544,15.9123,7300263
4/23/2018,15.9467,16.0042,15.8549,15.941,8112290
4/24/2018,16.0501,16.1937,15.7687,15.9008,10662846
4/25/2018,15.9295,16.3602,15.7228,16.3545,12274312
4/26/2018,16.4234,16.7564,16.4119,16.4463,24100555
4/27/2018,16.2511,16.4061,15.8491,15.964,13058282
4/30/2018,16.0386,16.0616,15.8003,15.9582,6340535
5/1/2018,15.9295,15.9525,15.6424,15.8893,6155249
5/2/2018,15.8491,16.2339,15.7802,16.0329,7906073
5/3/2018,15.9525,15.9927,15.6079,15.9238,6421561
5/4/2018,15.8089,16.0444,15.5448,15.9869,7825586
5/7/2018,16.0788,16.4002,16.0214,16.3315,8678376
5/8/2018,16.2626,16.498,16.2626,16.4234,6583207
5/9/2018,16.4636,16.5784,16.2913,16.5095,8220152
5/10/2018,16.5784,16.7679,16.4406,16.7564,13684231
5/11/2018,11.4964,11.5423,10.8245,11.2092,195662296
5/14/2018,12.151,12.5702,12.0649,12.2888,95345317
5/15/2018,12.6334,12.8631,12.174,12.8229,63278467
5/16/2018,12.5817,13.0238,12.5644,12.8343,26934738
5/17/2018,12.8056,13.087,12.7253,12.8171,21050723
5/18/2018,12.8401,12.9147,12.731,12.7425,15521076
5/21/2018,12.7827,12.8171,12.306,12.3979,18991060
5/22/2018,12.4668,12.5357,12.2371,12.2716,19338361
5/23/2018,12.1682,12.352,12.128,12.2429,15132544
5/24/2018,12.2371,12.3405,12.0361,12.0534,14887451
5/25/2018,12.0476,12.1395,11.9443,12.0936,9575887
5/29/2018,11.9672,12.1223,11.8696,12.0706,14129697
5/30/2018,12.0706,12.1969,11.95,12.0878,12402813
5/31/2018,12.0821,12.1711,11.9156,11.9328,13228329
6/1/2018,11.9385,12.1452,11.8782,12.0706,9370765
6/4/2018,12.0304,12.2199,11.9213,12.1452,17241170
6/5/2018,12.174,12.3204,12.1051,12.2544,11765672
6/6/2018,12.2429,12.3864,12.2256,12.3692,11401773
6/7/2018,12.3462,12.3749,12.0964,12.2314,13249414
6/8/2018,12.2142,12.3175,12.174,12.2429,11392392
6/11/2018,12.2142,12.3376,12.1625,12.174,20880955
6/12/2018,12.2199,12.3606,12.2084,12.306,12336911
6/13/2018,12.3405,12.3491,12.2027,12.2199,7447431
6/14/2018,12.2716,12.4094,12.2314,12.2658,8369585
6/15/2018,12.2658,12.2716,12.0763,12.2084,17962895
6/18/2018,12.1165,12.2084,12.0706,12.151,8702843
6/19/2018,12.0763,12.1223,11.9615,12.0534,11290442
6/20/2018,12.0649,12.1452,11.9701,12.0649,17347639
6/21/2018,12.0419,12.0878,11.9107,11.9443,5687710
6/22/2018,11.9557,11.973,11.8524,11.8983,25579199
6/25/2018,11.8064,11.8524,11.6284,11.7548,10875517
6/26/2018,11.6973,11.8179,11.6284,11.6801,17488523
6/27/2018,11.7318,11.749,11.4562,11.5595,15422429
