Date,Open,High,Low,Close,Volume
4/19/2018,68.86,69.405,68.24,69.01,1443546
4/20/2018,69.03,69.19,68.31,68.66,1463973
4/23/2018,68.94,69.3,68.17,68.35,1246816
4/24/2018,68.73,69.61,67.21,67.85,2760780
4/25/2018,67.69,67.97,66.44,67.25,2047376
4/26/2018,67.72,68.42,67.28,67.46,1975835
4/27/2018,67.43,68.14,66.21,67.4,1875644
4/30/2018,67.73,68.399,66.56,66.58,2136005
5/1/2018,66.34,67.91,66.34,67.85,2297951
5/2/2018,68.12,68.3,66.8928,67.4,3147018
5/3/2018,67.01,68.01,66.51,67.19,2719806
5/4/2018,66.88,68.63,66.67,68.01,2462095
5/7/2018,68.38,69.305,67.99,68.84,1462022
5/8/2018,68.83,70.15,68.23,69.63,3067786
5/9/2018,70,71.415,69.43,71.17,2101120
5/10/2018,71.39,72.08,71.12,71.83,1970041
5/11/2018,72.25,72.8097,71.81,72.27,1689731
5/14/2018,72.43,72.85,70.52,70.74,3283190
5/15/2018,70.29,70.99,70.041,70.54,2705392
5/16/2018,70.45,71.32,70.28,70.68,2561825
5/17/2018,70.5,70.89,69.82,69.89,2196844
5/18/2018,69.81,70.34,69.09,69.1,2687209
5/21/2018,69.61,70.05,68.38,68.45,5736589
5/22/2018,68.4,68.65,66.36,67.02,6192224
5/23/2018,66.95,67.77,66.28,66.79,6609025
5/24/2018,64,68.2,63.8113,68.08,8726626
5/25/2018,67.98,68.4025,66.67,67.15,4126983
5/29/2018,66.69,67.85,66.51,66.96,3324567
5/30/2018,67.54,69.29,67.31,68.23,4375654
5/31/2018,68.07,68.79,67.35,68.32,4612917
6/1/2018,68.08,69.89,67.64,69.71,3140460
6/4/2018,69.53,71.44,69.35,71.27,3636515
6/5/2018,71.4,72.93,71.2738,72.85,3059066
6/6/2018,73,75.01,72.7659,74.91,3844041
6/7/2018,75,75.4,73.08,74,3723203
6/8/2018,73.73,74.69,73.64,74.35,2073352
6/11/2018,74.35,75.66,74.34,75.59,1672234
6/12/2018,75.99,76.68,75.32,76.17,2224279
6/13/2018,76.08,76.56,75.681,76.11,3106356
6/14/2018,76.36,77.75,76.36,77.5,2621619
6/15/2018,77.59,77.84,76.75,77.7,4303211
6/18/2018,77.28,78.47,76.81,78.19,1754398
6/19/2018,77.4,77.99,76.23,77.89,1883123
6/20/2018,78.31,78.71,77.855,78.16,2246505
6/21/2018,78.49,79.15,77.69,77.75,2457359
6/22/2018,78.34,78.7,76.84,76.96,4007958
6/25/2018,76.37,77.08,75.34,76.94,3292750
6/26/2018,77.31,78.25,77.08,77.93,2769686
6/27/2018,78.32,79.06,76.11,76.34,2640729
6/28/2018,76.51,77.61,76.21,77.31,3485361
6/29/2018,78.07,79.75,77.74,78.53,3296452
7/2/2018,77.94,79.57,77.56,79.18,2107988
7/3/2018,79.81,79.9,77.265,77.29,1911630
7/5/2018,77.85,77.99,76.61,77.78,2929087
7/6/2018,77.82,79.02,77.325,78.77,1386996
7/9/2018,79.3,79.65,78.34,79.39,2436295
7/10/2018,79.78,80.03,78.45,79.24,2572739
7/11/2018,78.75,80.03,78.75,79.59,2265192
7/12/2018,80.31,82.13,80,81.85,2853801
7/13/2018,81.65,82.87,81.65,82.7,1470688
7/16/2018,82.58,83.11,81.5,81.85,2402916
7/17/2018,81.46,83.14,81.25,82.43,2665732
7/18/2018,82.41,82.73,81.39,82.23,2161182
7/19/2018,82.26,82.88,81.98,82.32,1962972
7/20/2018,82.25,82.49,81.59,82.01,1922581
7/23/2018,82.02,82.23,81.11,81.39,2608247
7/24/2018,81.49,81.92,78.53,78.6,3596026
7/25/2018,78.36,81.47,78.36,81.42,2574954
7/26/2018,81.17,81.8296,80.09,81.29,1752431
7/27/2018,81.48,81.61,78.52,79.45,2426750
7/30/2018,79.73,80.09,77.26,77.29,2818836
7/31/2018,77.56,78.3,76.52,77.52,3010582
8/1/2018,77.43,78.99,77.31,78.55,2497554
8/2/2018,78.16,80.69,78,80.56,2207323
8/3/2018,80.59,81.75,80.24,81.68,2008952
8/6/2018,81.34,82.13,80.9344,81.92,1654406
8/7/2018,82.12,82.87,81.84,81.99,3246805
8/8/2018,81.99,83.6,81.64,82.97,2117034
8/9/2018,82.12,83.31,82.12,82.59,2253272
8/10/2018,82.23,83.33,81.79,81.95,1843999
8/13/2018,82.31,82.73,80.2,80.32,4295159
8/14/2018,80.63,83.03,80.63,82.76,2889108
8/15/2018,82.2,82.98,81.19,82.47,3549454
8/16/2018,79.49,82.5,78.4,79.51,7179639
8/17/2018,79.95,81.47,78.93,81.16,2653131
