Date,Open,High,Low,Close,Volume
4/19/2018,110.075,110.15,106.75,107.17,12747580
4/20/2018,107.89,108.08,103.19,105.15,16428033
4/23/2018,105.6,106.305,102.82,103.17,9049384
4/24/2018,103.16,103.4,100.23,101.71,12601891
4/25/2018,102.3,102.7,100.36,101.19,8249435
4/26/2018,102,104.76,101.97,102.49,9264050
4/27/2018,103.9,105.82,102.97,105.4,10043304
4/30/2018,105.76,106.37,104.75,104.9,4016285
5/1/2018,104.91,105.12,103.36,103.99,5134087
5/2/2018,104.47,104.55,102.04,102.72,5151790
5/3/2018,94.22,95,90.83,92.36,31708974
5/4/2018,93.35,100.29,93.2098,100.28,15638998
5/7/2018,100,100.24,98.1,98.46,3710525
5/8/2018,98.31,98.99,96.8,98.79,3644519
5/9/2018,99,99.13,98.24,98.64,2425442
5/10/2018,98.75,99.29,98.61,99.29,2832219
5/11/2018,99.08,99.33,98.3,99.01,2280521
5/14/2018,109.75,114.66,108.05,110.74,23167958
5/15/2018,112.08,112.88,109.58,110.05,9077171
5/16/2018,108.5,109.8,106.81,108.84,9651206
5/17/2018,109.75,110.37,103.07,106.71,8530907
5/18/2018,106.4,113,106.3,111.02,12282741
5/21/2018,114.2,114.97,113.07,114.65,9542117
5/22/2018,117.69,117.7102,114.76,115.46,13172850
5/23/2018,114,114.19,111.89,112.55,5107716
5/24/2018,113,113.24,109.77,111.51,4273400
5/25/2018,111.48,117.03,111.36,116.79,9197454
5/29/2018,119,119.11,115.18,116.28,10126029
5/30/2018,114.73,116.02,113.36,115.58,9240109
5/31/2018,115.02,115.4,112.51,114,8042720
6/1/2018,113.31,114.75,113.12,114,6789328
6/4/2018,110.35,111.29,109.32,110.7,5488590
6/5/2018,110.77,118,110.24,116.36,5543964
6/6/2018,115.87,116,113.37,114.52,4700282
6/7/2018,121.75,122.24,119.9,120.07,23139093
6/8/2018,119.45,120.43,118.5,120.17,6819799
6/11/2018,119,119.15,117.51,118.29,4626575
