Date,Open,High,Low,Close,Volume
4/19/2018,46.99,47.11,46.7,46.82,8563187
4/20/2018,46.47,46.62,45.98,46.23,15675644
4/23/2018,46.38,46.47,45.72,45.8,14904389
4/24/2018,45.93,46.365,45.28,45.53,13356952
4/25/2018,45.42,45.84,45.05,45.75,12637523
4/26/2018,46.09,46.21,45.9,45.96,12175800
4/27/2018,46.12,46.12,45.465,45.53,14420754
4/30/2018,45.66,46.015,45.56,45.67,13896566
5/1/2018,45.39,45.95,45.39,45.95,8838034
5/2/2018,45.89,46.08,45.47,45.51,10715198
5/3/2018,45.36,45.39,44.49,45.06,15370217
5/4/2018,44.93,45.92,44.8,45.71,10571831
5/7/2018,45.94,46.239,45.78,46.07,9006006
5/8/2018,45.88,45.99,45.55,45.94,9830551
5/9/2018,46.23,46.68,45.98,46.58,11822388
5/10/2018,46.8,47.1,46.61,46.93,10974199
5/11/2018,47.11,47.15,46.64,46.82,9498144
5/14/2018,46.81,47.26,46.69,46.82,9689474
5/15/2018,46.51,46.82,46.25,46.81,11304873
5/16/2018,46.93,46.93,46.45,46.73,9874195
5/17/2018,46.69,47.055,46.42,46.54,10162341
5/18/2018,46.69,46.79,46.24,46.32,13517330
5/21/2018,46.53,47.285,46.49,47.21,13416333
5/22/2018,47.24,47.54,46.31,46.37,18505113
5/23/2018,46.08,46.97,46.02,46.9,9204379
5/24/2018,46.66,46.94,46.14,46.46,12497658
5/25/2018,46.49,47.165,46.48,47,11354337
5/29/2018,46.55,46.8,46.035,46.26,12427752
5/30/2018,46.63,47.23,46.43,47.05,11906539
5/31/2018,46.93,47.17,46.71,46.72,13062416
6/1/2018,47.08,47.36,46.9,47.35,10863237
6/4/2018,47.48,47.57,47.23,47.32,12178443
6/5/2018,47.33,47.42,46.805,47.13,13430887
6/6/2018,47.42,47.805,47.1,47.75,13299094
6/7/2018,47.93,48.03,47.42,47.68,13714092
6/8/2018,47.41,48.38,47.41,48.18,14515405
6/11/2018,48.15,48.39,47.97,48.19,12521110
6/12/2018,48.21,48.59,48.155,48.45,14713577
6/13/2018,48.11,48.67,48.09,48.27,18053335
6/14/2018,47.01,47.02,45.66,45.9,37001333
6/15/2018,45.87,46.49,45.19,46.28,28120363
6/18/2018,45.82,46.6,45.46,46.52,21474089
6/19/2018,45.84,46.41,45.77,46.27,22764939
6/20/2018,43.51,44.79,42.57,42.82,59129004
6/21/2018,43.18,43.84,42.98,43.1,32635062
6/22/2018,43.2,44.3,43.16,44.1,30594322
6/25/2018,43.57,44.465,43.4905,44.28,24640543
6/26/2018,44.46,44.85,44.37,44.41,20717461
6/27/2018,44.57,44.74,43.44,43.45,26360075
6/28/2018,43.51,44.02,43.36,43.84,20918407
6/29/2018,44.04,44.53,43.75,44.06,22144908
7/2/2018,43.96,44.97,43.77,44.95,20655510
7/3/2018,44.99,44.99,44.524,44.72,16783349
7/5/2018,45.15,45.47,44.99,45.41,21916222
7/6/2018,45.46,46.19,45.27,46,20914300
7/9/2018,46.13,46.79,46.06,46.73,25125725
7/10/2018,46.83,47.36,46.68,46.99,27421994
7/11/2018,46.82,47.76,46.71,47.64,22802561
7/12/2018,47.79,48.2,47.75,48.15,24857935
7/13/2018,47.97,48.81,47.83,48.63,25772269
7/16/2018,48.62,48.62,47.95,48.46,22949744
7/17/2018,48.29,48.99,48.15,48.9,18823113
7/18/2018,48.79,49,48.4,48.64,19234709
7/19/2018,48.4,48.72,48.21,48.44,16656534
7/20/2018,48.49,48.705,48.36,48.52,17236248
7/23/2018,48.62,48.67,48.045,48.67,17990236
7/24/2018,48.75,49.1,48.555,48.67,19885451
7/25/2018,48.52,48.965,48.5,48.95,16335397
7/26/2018,48.85,49.17,48.76,48.87,15229974
7/27/2018,48.99,49.12,48.38,48.63,14856123
7/30/2018,48.58,48.58,47.46,47.73,20167307
7/31/2018,47.9,48.08,47.39,47.68,18808220
8/1/2018,47.91,48.22,47.15,47.35,22933594
8/2/2018,47.04,48.07,46.63,47.9,14227415
8/3/2018,47.92,48.48,47.9,48.47,14295805
8/6/2018,48.29,48.76,48.22,48.67,13529328
8/7/2018,48.94,48.95,48.465,48.48,11608045
8/8/2018,48.42,48.62,48.26,48.39,10849532
8/9/2018,48.27,48.71,48.27,48.54,14708037
8/10/2018,48.37,48.72,48.231,48.32,10502185
8/13/2018,48.34,48.59,47.97,48.01,12152082
8/14/2018,48.12,48.35,47.94,48.23,11513673
8/15/2018,48.1,48.26,47.525,47.84,14091015
8/16/2018,48.14,48.45,48.04,48.1,11874326
8/17/2018,48.21,48.5,47.99,48.36,11411979
8/20/2018,48.4,48.6,48.26,48.42,11936737
8/21/2018,48.58,48.64,48.37,48.41,10187882
8/22/2018,48.34,48.91,48.24,48.8,11639421
8/23/2018,48.8,49.335,48.68,48.96,11026688
8/24/2018,49,49.39,48.97,49.26,14011940
8/27/2018,49.41,49.7,49.285,49.33,12253333
8/28/2018,49.39,49.43,48.595,48.64,15475698
8/29/2018,48.64,49.1,48.64,48.89,17307730
8/30/2018,48.89,48.89,48.31,48.38,15154895
8/31/2018,48.38,48.63,48.35,48.58,17844087
9/4/2018,48.36,48.83,48.16,48.58,17289045
9/5/2018,48.41,48.485,47.785,48.04,16437911
9/6/2018,47.95,48.22,47.52,47.71,18456181
9/7/2018,47.46,47.99,47.33,47.81,20513945
9/10/2018,48,49.05,48,48.86,20390617
9/11/2018,48.52,49.05,48.52,48.92,14877344
9/12/2018,48.75,49.465,48.62,49.34,17058745
9/13/2018,49.28,49.745,48.88,48.96,22124422
9/14/2018,48.94,49.45,48.94,49.25,20066084
9/17/2018,49.31,49.94,49.105,49.18,29226048
9/18/2018,47.51,49.54,47.36,49.03,33451106
9/19/2018,48.92,49.54,48.66,49.43,20904826
9/20/2018,49.66,51.075,49.56,50.43,26973480
9/21/2018,50.83,51.12,50.35,51.1,50752079
9/24/2018,50.81,51.6,50.71,51.24,23906147
9/25/2018,51.39,51.93,50.97,51.72,18665820
9/26/2018,51.75,52.11,51.555,51.63,18131040
9/27/2018,51.56,52.02,51.33,51.69,17993558
9/28/2018,51.54,52.01,51.49,51.56,16234246
10/1/2018,51.22,51.99,51.14,51.8,19217922
10/2/2018,51.65,51.8,50.13,50.23,22406822
10/3/2018,49.59,50.1,49.59,49.75,21207699
10/4/2018,49.68,49.78,49.17,49.47,19033961
10/5/2018,49.42,49.765,49.115,49.35,16900168
10/8/2018,49.27,49.64,48.895,49.36,16295812
10/9/2018,49.11,49.4,48.825,48.87,19009806
10/10/2018,48.81,48.98,47.37,47.4,20885381
10/11/2018,47.33,47.886,46.49,46.78,26387578
10/12/2018,47.4,47.75,46.66,47.38,23152878
10/15/2018,46.96,47.62,46.87,47.12,15693598
10/16/2018,47.57,48.42,47.47,48.23,13600168
10/17/2018,47.43,48.2366,47.43,47.86,15071061
10/18/2018,47.57,48.135,47.13,47.38,15084839
10/19/2018,47.5,48.24,47.35,47.59,17768405
10/22/2018,47.85,48.485,47.71,47.94,16480411
10/23/2018,47.16,48.32,47.12,47.99,18921508
10/24/2018,47.88,48.3,46.7,46.76,20028237
10/25/2018,47.42,48.29,47.28,47.96,19349505
10/26/2018,47.24,48.07,46.71,47.32,23089139
10/29/2018,47.81,48.09,46.335,47.02,19248721
10/30/2018,47.08,48.62,46.92,48.57,24438150
10/31/2018,49.05,49.45,48.59,48.84,21082852
11/1/2018,48.96,49.24,48.34,48.59,17764930
11/2/2018,48.93,49.02,48.24,48.83,17289522
11/5/2018,49,49.13,48.5,49.02,13125823
11/6/2018,49.1,49.47,48.83,49.25,12362678
11/7/2018,49.58,50.5,49.47,50.26,14330012
11/8/2018,50.22,50.5,50.07,50.43,11967073
11/9/2018,50.42,50.815,50.31,50.61,15316391
11/12/2018,50.17,50.38,49.11,49.22,14374352
11/13/2018,49.47,50,49.24,49.51,13550762
11/14/2018,49.97,49.97,48.74,48.84,16093969
11/15/2018,50.04,50.69,49.05,50.63,24922802
11/16/2018,50.53,51.445,50.42,51.17,20929570
11/19/2018,51.05,51.1,49.4,49.55,19520494
11/20/2018,48.67,49.07,47.96,48.33,19389607
11/21/2018,48.76,49.175,48.53,48.62,13859507
11/23/2018,48.04,49.115,48.04,48.7,7807298
11/26/2018,49.16,49.16,48.095,48.26,21603804
11/27/2018,47.92,47.98,46.785,47.44,28057487
11/28/2018,47.73,48.25,47.37,48.19,29352889
11/29/2018,48.38,48.38,47.44,47.9,17052085
11/30/2018,48.09,48.84,47.71,48.76,22884489
12/3/2018,49.44,50.12,49.21,49.83,21966591
12/4/2018,49.52,50.22,48.71,48.75,24643471
12/6/2018,47.75,47.77,45.65,46.68,39877047
12/7/2018,46.76,47.04,45.805,46,23978045
12/10/2018,46.01,47.08,45.335,46.67,26375511
12/11/2018,46.98,47.13,46.06,46.46,22680164
12/12/2018,47.11,48.11,47.0075,47.32,21404010
12/13/2018,47.48,47.545,46.75,47.23,23295388
12/14/2018,46.78,47.033,46.41,46.6,21434449
12/17/2018,46.42,47.23,45.53,45.73,30441145
12/18/2018,48.1,48.34,45.44,45.85,42855600
12/19/2018,46.06,47.44,45.75,46.45,34397250
12/20/2018,46.05,46.95,45.48,46.24,35165179
12/21/2018,46.08,46.21,43.86,44,58768410
12/24/2018,43.77,43.82,42.68,42.69,17230381
12/26/2018,43,44.61,42.4,44.59,21428929
12/27/2018,43.95,45.09,43.46,44.97,19048702
12/28/2018,45.14,45.765,44.74,44.82,39141279
12/31/2018,45.19,45.5,44.84,45.15,14932651
1/2/2019,44.48,45.34,44.45,45.22,14329649
1/3/2019,44.75,45.5,44.41,44.78,19868713
1/4/2019,45.37,46.95,45.25,46.71,20983953
1/7/2019,46.93,48.105,46.47,47.45,17967907
1/8/2019,47.93,48.36,47.2,47.88,16255688
1/9/2019,46.64,48.23,46.61,47.78,19100183
1/10/2019,47.38,47.98,46.88,47.82,16652730
1/11/2019,47.67,48.6197,47.37,48.29,16397521
1/14/2019,47.85,48.34,47.62,48.18,14869411
1/15/2019,47.47,48.525,47.41,48.38,12142144
