Date,Open,High,Low,Close,Volume
4/19/2018,80.2,80.39,79.19,79.68,7122738
4/20/2018,79.22,79.87,78.3,78.73,6265267
4/23/2018,78.86,79.45,77.99,78.21,4038517
4/24/2018,78.9,79.4,75.08,75.28,9186611
4/25/2018,75.39,75.575,73.7,74,10940287
4/26/2018,76.32,77.62,75.49,76.03,13625287
4/27/2018,76.21,76.39,73.635,74.13,9794316
4/30/2018,74,75.019,73.69,74.61,9444449
5/1/2018,74.15,74.99,73.6,74.81,5660219
5/2/2018,75,75.71,71.21,71.73,17710747
5/3/2018,71.3,73.77,70.22,73.45,17310691
5/4/2018,73.19,74.44,72.23,73.99,7470794
5/7/2018,74.22,75.12,74.1,74.67,7583734
5/8/2018,74.62,75.94,74.44,75.72,6267169
5/9/2018,76.08,77.05,75.46,77.01,6230501
5/10/2018,77.39,79.255,77.25,79.19,11541352
5/11/2018,79.25,79.39,78.08,79.2,9871283
5/14/2018,79.14,79.65,78.4402,78.81,5821169
5/15/2018,77.85,78.2,76.93,77.79,6173510
5/16/2018,77.5,78.54,77.2801,77.82,5350161
5/17/2018,77.63,81.16,77.59,79.19,8329549
5/18/2018,79.9,81.94,79.8247,80.79,14626894
5/21/2018,81.61,82.32,80.37,81.25,7882072
5/22/2018,81.39,81.61,80.28,80.62,5188282
5/23/2018,79.66,81.12,79.405,81.08,5059808
5/24/2018,80.91,83.06,79.66,81.55,11696832
5/25/2018,82.65,82.72,80.49,80.96,9471281
5/29/2018,80.71,81.34,80.2,80.73,6924208
5/30/2018,81.1613,82.06,80.9,81.6,5516230
5/31/2018,81.81,82.83,81.55,82.07,8250136
6/1/2018,82.5497,83.46,81.85,83.25,7092081
6/4/2018,83.23,84.8,82.77,84.57,7423686
6/5/2018,84.5,85.2,84.01,85.05,9033556
6/6/2018,85.05,85.61,84.5,85.21,7867161
6/7/2018,85.21,85.3,82.31,83.27,7838563
6/8/2018,83.23,84.49,83.15,84.34,7430930
6/11/2018,84.45,84.59,83.79,83.89,4870444
6/12/2018,83.93,86.2,83.875,85.02,9216898
6/13/2018,85.5,86,84.68,85.27,7510276
6/14/2018,85.5,86.295,85.21,85.61,6643352
6/15/2018,85.33,85.69,84.1,85.31,8710787
6/18/2018,84.84,86.2,84.44,85.85,5579359
6/19/2018,84.64,84.96,83.43,84.52,6245114
6/20/2018,84.86,86.97,84.82,85.95,9174942
6/21/2018,86.5,87.55,85.45,85.97,8101290
6/22/2018,86.32,86.56,84.61,85.12,7503397
6/25/2018,84.08,84.47,81.21,82.19,10780118
6/26/2018,82.68,83.21,81.77,82.32,6742177
6/27/2018,82.55,82.97,80.4533,80.67,8974510
6/28/2018,80.39,82.83,80.16,82.48,7374725
6/29/2018,82.75,83.66,82.61,83.27,6816964
7/2/2018,82.75,83.96,82.0621,83.89,4929447
7/3/2018,84.36,84.9,83.15,83.27,3644133
7/5/2018,83.64,84.64,83.3,84.59,5287716
7/6/2018,84.41,86,83.94,85.94,5095457
7/9/2018,86.6,86.9,85.3476,86.23,5683472
7/10/2018,86.72,86.72,85.77,86.17,3723180
7/11/2018,85.47,86.86,85.07,86.25,4153183
7/12/2018,87.2,89.19,86.8,89.13,6912332
7/13/2018,89,89.1,86.83,87.99,6110637
7/16/2018,88.26,88.3413,87.48,87.77,4452265
7/17/2018,87.25,88.72,86.59,88.58,5086126
7/18/2018,88.7,88.93,87.68,88.22,4797062
7/19/2018,88,88.59,87.16,87.38,5612878
7/20/2018,87.32,88,87.14,87.47,7554139
7/23/2018,87.14,89.6,85.82,89.24,11759671
7/24/2018,90.6,92.35,90.4133,91.41,13369404
7/25/2018,91.13,92.35,91.01,91.37,12050439
7/26/2018,88.51,90.68,87.25,89.14,14505569
7/27/2018,89.5,90.28,84.75,85.46,14903397
7/30/2018,85.5,85.5,81.85,82.39,13501510
7/31/2018,82.51,83.32,81.3,82.14,13462210
8/1/2018,82.24,83.98,82.0097,83.46,11160356
8/2/2018,82.95,85.59,82.85,85.53,8327178
8/3/2018,85.99,86.2,84.15,85.19,6216575
8/6/2018,85.19,86.1,84.9,85.77,5702760
8/7/2018,86.3,86.99,85.95,86.3,4951217
8/8/2018,86.23,87.095,85.86,86.74,3889380
8/9/2018,86.91,88.09,86.48,87.17,5507014
8/10/2018,86.55,88.03,86.01,87.01,5796458
8/13/2018,87.42,88.5,86.96,87.01,6040062
8/14/2018,87.37,87.83,86.48,87.73,6107398
8/15/2018,86.78,87.25,84.61,85.19,8742930
8/16/2018,85.85,85.9,84.87,85.32,5967213
8/17/2018,85.1,85.77,84.22,85.45,6245013
8/20/2018,85.74,86,84.9,85.75,4102976
8/21/2018,85.82,87.38,85.82,86.22,5389566
8/22/2018,86,87.16,85.63,86.95,4265905
8/23/2018,86.72,88.175,86.67,87.38,4310036
8/24/2018,87.95,90.13,87.95,90.1,7403855
8/27/2018,90.68,91.32,89.78,89.97,5466661
8/28/2018,90.1,90.85,89.68,90.61,4643751
8/29/2018,90.78,92.94,90.78,92.62,7929101
8/30/2018,92.29,93.01,91.71,92.09,7146558
8/31/2018,91.84,92.74,91.8,92.33,4874378
9/4/2018,91.94,93.44,91.62,93.07,6466717
9/5/2018,92.98,93,88.7,89.05,10202178
9/6/2018,89.18,89.555,88.06,89,6840606
9/7/2018,88.13,89.68,87.39,88.82,5679468
9/10/2018,89.43,89.99,88.56,89.8,5465965
9/11/2018,89.83,91.71,89.035,91.43,7324353
9/12/2018,91.53,92.46,90.21,92.4,7213519
9/13/2018,92.6,93.7,92.06,92.19,8308315
9/14/2018,92.25,92.68,90.68,90.78,9342821
9/17/2018,90.66,91.3,88.51,88.68,9293798
