Date,Open,High,Low,Close,Volume
4/19/2018,54,54.14,52.5,52.57,19179461
4/20/2018,52.81,52.89,51.32,51.44,11838157
4/23/2018,51.5,51.81,50.27,50.53,10961471
4/24/2018,50.88,51.29,49.38,49.94,11670049
4/25/2018,50,50.44,48.87,49.75,9619236
4/26/2018,49.52,50.59,48.56,50.47,13683975
4/27/2018,50.75,51.36,50.49,51.11,9443094
4/30/2018,51.25,51.82,51,51.01,9469642
5/1/2018,50.76,51.05,50.04,50.82,6780517
5/2/2018,51.24,51.25,49.92,50.26,8142996
5/3/2018,49.99,50.544,49.31,50.31,8609168
5/4/2018,50.18,52.6,49.9194,52.49,9880580
5/7/2018,52.58,53.27,52.52,53.01,9571714
5/8/2018,53.04,53.27,52.105,52.86,9929970
5/9/2018,52.86,53.325,52.2,53.17,7016103
5/10/2018,54.45,55.07,53.945,54.97,12267198
5/11/2018,54.76,55.79,54.619,55.23,9639137
5/14/2018,57.33,57.8,56.34,56.74,15400256
5/15/2018,56.5,56.61,55.2204,55.64,12050469
5/16/2018,55.76,56.81,55.67,56.7,8675559
5/17/2018,56.49,57.3801,56.39,56.95,11450651
5/18/2018,56.93,57.99,56.396,57.51,11999712
5/21/2018,57.68,58.27,56.765,57.71,14286354
5/22/2018,57.91,58.36,57.07,57.39,9432465
5/23/2018,56.91,58.86,56.83,58.82,11322475
5/24/2018,58.58,59.25,58.05,59.08,12487193
5/25/2018,58.85,60,58.81,59.96,11501515
5/29/2018,59.5,59.5999,57.7,58.23,14696263
5/30/2018,58.41,58.65,57.66,58.39,9145989
5/31/2018,58,58.57,57.7601,58.12,12813170
6/1/2018,58.34,58.73,58.01,58.61,8869656
6/4/2018,58.62,58.87,57.95,58.71,9696722
6/5/2018,58.86,59.6002,58.76,58.98,6562650
6/6/2018,59.26,59.85,59.11,59.84,6236683
6/7/2018,62,62.65,60.22,60.64,14786130
6/8/2018,60.25,60.62,59.805,60.26,7035297
6/11/2018,60.17,60.415,59.82,59.93,7369462
6/12/2018,60.11,60.38,59.545,59.79,7153498
6/13/2018,59.67,60.23,59.12,59.22,9676268
6/14/2018,59.29,59.7,58.95,59.46,8372926
6/15/2018,59.87,59.95,58.92,59.86,13804932
6/18/2018,59.31,59.37,58.92,59.2,6946581
6/19/2018,58.28,58.735,57.85,58.7,7958317
6/20/2018,59.18,59.2,58.31,58.79,6526391
6/21/2018,59.21,59.21,58.39,58.75,6605359
6/22/2018,58.78,59.1,58.43,58.5,8074080
6/25/2018,58.09,58.14,56.61,57.05,8635917
6/26/2018,57.08,57.1455,56.31,56.45,8934723
6/27/2018,56.55,57.53,55.14,55.17,11832362
6/28/2018,55.12,56.46,55.09,55.9,11723595
6/29/2018,56.13,56.86,56.08,56.12,11274134
7/2/2018,55.4,56.22,55.12,56.18,7300077
7/3/2018,56.41,56.5298,55.25,55.33,3618923
7/5/2018,55.7,57.43,55.65,57.38,11728277
7/6/2018,57.46,58.07,57.03,57.84,8806155
7/9/2018,58.06,58.305,57.23,58.04,4577124
7/10/2018,58.06,58.47,57.95,58.37,6848928
7/11/2018,57.43,58.01,56.735,57.3,8702001
7/12/2018,57.85,58.49,57.31,58.32,8426804
7/13/2018,58.25,58.78,58.18,58.39,5266139
7/16/2018,58.42,58.84,58.06,58.35,5907106
7/17/2018,57.92,58.91,57.62,58.91,7560338
7/18/2018,59,59,58.37,58.76,6795436
7/19/2018,58.71,59.59,58.65,59.31,8150181
7/20/2018,58.98,59.18,58.4002,58.61,10861386
7/23/2018,58.4,59.21,57.815,59.08,8011821
7/24/2018,59.35,59.62,58.45,58.85,6637632
7/25/2018,58.55,59.5,57.76,59.42,13217035
7/26/2018,63.05,63.76,61.26,63.58,31025129
7/27/2018,63.22,63.51,62.22,62.69,13488834
7/30/2018,62.65,62.98,61.925,62.04,9547734
7/31/2018,63.83,64.655,63.5,64.09,22350776
8/1/2018,63.55,64.87,63.55,64.35,10706292
8/2/2018,63.96,65.04,63.64,64.77,10618467
8/3/2018,64.74,65.61,64.67,65.4,7809580
8/6/2018,65.86,66.02,65.33,65.73,10878769
8/7/2018,65.93,65.93,65.25,65.44,7810864
8/8/2018,65.21,65.55,65.12,65.16,7913105
