Date,Open,High,Low,Close,Volume
4/19/2018,71.4,71.77,69.71,70.63,2796749
4/20/2018,70.78,71.03,68.54,69.88,1670409
4/23/2018,70.21,70.67,68.3,68.68,2354668
4/24/2018,68.89,69.46,67.745,68.06,2218242
4/25/2018,68.11,68.65,67.14,67.66,1453350
4/26/2018,68.43,69.145,67.29,68.48,1250168
4/27/2018,68.59,68.59,67.22,67.38,1451121
4/30/2018,67.34,68.44,66.3,67.4,2140126
5/1/2018,68.65,72.46,68.34,71.8,2420988
5/2/2018,72,74.69,71.86,74.24,3812094
5/3/2018,74.03,77.75,70.78,76.73,3987962
5/4/2018,76.19,79.54,75.84,79.49,1761248
5/7/2018,79.83,81.41,79.16,79.64,2452228
5/8/2018,79.2,80.42,78.8798,79.89,1702058
5/9/2018,79.94,80.86,79.5,80.21,1249156
5/10/2018,80.79,82.05,80,81.99,1204525
5/11/2018,81.26,82.09,81.26,81.64,854165
5/14/2018,82.33,83.42,81.045,81.67,1202330
5/15/2018,81.13,81.26,79.46,80.1,1158804
5/16/2018,80.38,81.24,80.2,81.05,1106577
5/17/2018,79.165,81.19,79.165,80.61,686415
5/18/2018,80.02,80.15,78.75,79.59,1734369
5/21/2018,80.47,81.83,79.81,81.15,1344703
5/22/2018,81.57,82.29,80.63,80.78,1061182
5/23/2018,81.18,81.34,80,81.3,1259333
5/24/2018,81.32,81.94,80.5,81.23,1370131
5/25/2018,81.48,82.0847,81.27,81.49,1066520
5/29/2018,80.86,81.05,78.98,79.94,1582577
5/30/2018,79.91,81.04,79.65,80.93,1143500
5/31/2018,80.81,81.54,80.02,80.25,1120581
6/1/2018,80.63,82,80.3,81.81,1218477
6/4/2018,82,82,80.9175,81.69,794580
6/5/2018,81.97,82.25,81.24,81.72,735717
6/6/2018,81.41,81.72,79.16,80.09,2314882
6/7/2018,79.95,82.11,79.52,81.04,1684506
6/8/2018,79.09,80.98,78.42,80.16,1682526
6/11/2018,79.99,80.3,79.64,79.83,599377
6/12/2018,79.84,81.24,79.545,80.73,916428
6/13/2018,81.01,81.5,80.02,80.4,1176605
6/14/2018,80.84,83.96,80.5,83.65,2588336
6/15/2018,83.67,85.24,82.87,85.12,2786950
6/18/2018,85.01,86.5,84.22,85.79,2090330
6/19/2018,84.73,85.215,82.83,83.51,1037230
6/20/2018,84.3,84.49,83.19,83.46,872682
6/21/2018,83.83,83.83,82.09,82.23,703954
6/22/2018,82.83,82.94,81.46,82.05,1599582
6/25/2018,81.7,81.97,79.4114,80.36,984023
6/26/2018,80.43,82.115,79.86,81.72,858131
6/27/2018,81.81,82.32,79.88,79.89,670704
6/28/2018,79.62,80.63,79.31,80.48,597341
6/29/2018,80.83,81.35,80.1,80.17,981475
7/2/2018,79.75,80.29,78.76,80.1,710366
7/3/2018,80.2,80.22,77,77.44,938130
7/5/2018,79.51,82.04,78.6062,81.82,2329261
7/6/2018,81.77,81.9075,80.06,81.53,774366
7/9/2018,82.01,82.74,81.13,82.58,771476
7/10/2018,82.3,83.41,82.05,83.29,639198
7/11/2018,82.56,82.6,80.2,80.26,665136
7/12/2018,80.47,82.06,80.05,81.98,1184737
7/13/2018,81.84,82.58,81.17,81.37,625964
7/16/2018,81.72,82.3441,81.21,81.33,598538
7/17/2018,81.21,82.75,80.76,82.72,742197
7/18/2018,82.8,83.5,82.13,82.4,985308
7/19/2018,82.36,84.21,82.28,83.76,1360001
7/20/2018,84.3,85.24,81.06,81.2,1618964
7/23/2018,80.79,82.68,79.69,82.54,1127742
7/24/2018,83.24,83.73,81,81.22,858466
7/25/2018,81.02,81.6,79.6,81.25,1083272
7/26/2018,81.22,82.455,80.755,82.2,843295
7/27/2018,82.54,82.96,80.875,81.72,713726
7/30/2018,81.4,81.695,79.95,80.83,1140057
7/31/2018,81.42,82.34,80.63,81.76,768447
8/1/2018,82.66,83.3,81.37,82.18,2660418
8/2/2018,79,84.91,79,84.41,2535602
8/3/2018,84.7,84.7,83.51,84.18,846836
8/6/2018,83.46,85.37,82.59,85.2,942573
8/7/2018,85.21,86.496,84.7708,86.06,1310963
8/8/2018,85.67,86.47,85.38,85.55,502316
8/9/2018,85,86.04,84.5,85.51,684305
8/10/2018,84.69,84.69,82.68,83.19,1277534
8/13/2018,83,84.05,82.7,83.11,939918
8/14/2018,83.52,83.96,82.215,82.79,1534700
8/15/2018,82.33,82.4184,81.11,81.95,1933933
8/16/2018,82.6,82.6,81.45,82.16,1065376
8/17/2018,81.57,81.98,80.74,81.5,1278171
8/20/2018,81.71,81.86,78.12,78.18,1706799
8/21/2018,78.72,81.295,78.62,81.1,2007140
8/22/2018,80.75,81.205,79.97,80.62,787534
8/23/2018,80.26,80.79,78.97,79.2,977491
8/24/2018,79.56,79.99,79.16,79.63,702266
8/27/2018,79.8,80.49,79.41,79.59,1141811
8/28/2018,79.91,80.2085,79.01,79.83,832354
8/29/2018,79.93,80.49,79.295,80.29,768668
8/30/2018,80.04,80.56,79.21,79.4,663426
8/31/2018,79.4,80.485,79.4,80.09,954812
9/4/2018,79.88,80.84,79.52,80.28,1247192
9/5/2018,80.42,80.49,79.37,79.68,665710
9/6/2018,79.55,79.93,75.09,75.13,1998549
9/7/2018,74,76.485,73.52,74.95,2422313
9/10/2018,74.88,74.9,73.52,73.98,708500
9/11/2018,73.52,73.97,72.31,73.37,1306008
9/12/2018,72.88,73.53,71.5369,73.46,1273079
9/13/2018,74.55,75.98,73.67,75.3,1632488
9/14/2018,75.75,76.4,75.29,75.74,766474
9/17/2018,75.38,75.99,73.79,73.97,1090806
9/18/2018,74.27,75.53,74.1,75.04,997506
9/19/2018,75.11,77.14,75.11,76.81,1060264
9/20/2018,77.55,79.07,77.27,78.67,1422750
9/21/2018,78.98,79.29,78.12,78.62,2267916
9/24/2018,78.02,78.86,76.82,78.45,798639
9/25/2018,78.25,78.25,75.32,76.25,1153152
9/26/2018,75.75,76.2,74.63,75.06,914099
9/27/2018,75.12,75.47,74.6,74.72,876625
9/28/2018,74.57,76.9554,74.07,76.89,1030537
10/1/2018,77.19,78.31,76.66,77.1,1188212
10/2/2018,77.28,78.69,77.2431,77.29,915041
10/3/2018,77.37,77.875,75.06,76.25,1212558
10/4/2018,76.1,76.45,75.33,76.17,926760
10/5/2018,75.95,76.28,72.05,72.69,1466440
10/8/2018,72.49,73.32,71.29,72.98,865113
10/9/2018,73,74.66,72.67,74.34,1108619
10/10/2018,73.45,73.45,70.14,70.29,1899253
10/11/2018,70.16,73.34,70.06,71.39,1628790
10/12/2018,72.7,73.58,71.55,72.68,1118551
10/15/2018,72.01,73.1,71.81,72.63,695403
10/16/2018,73.31,75.55,73.05,75.45,1070150
10/17/2018,75.67,76.14,74.77,75.42,590506
10/18/2018,75.02,75.07,73.15,73.4,697348
10/19/2018,73.59,74.34,72.14,72.35,938261
10/22/2018,72.67,73.32,71.81,72.88,626499
10/23/2018,71.05,72.76,69.64,72.3,779840
10/24/2018,71.48,71.55,68,68.18,1413991
10/25/2018,69.08,71.73,69.08,70.98,1283171
10/26/2018,69.25,71.18,69.16,69.74,1380239
10/29/2018,70.88,71.09,68.3,69.32,1511672
10/30/2018,69.41,71.17,68.93,70.95,1699386
10/31/2018,71.51,74.69,70.645,73.51,2470265
11/1/2018,75.04,78.885,74.33,78.49,2720266
11/2/2018,77.4,77.4353,73.7,74,2260068
11/5/2018,72.2,73.0003,66.79,69.32,2555228
11/6/2018,69.6,70.96,69.3,70.01,1182693
11/7/2018,70.52,70.68,68.72,70.28,1266169
11/8/2018,69.9,71.19,69.36,70.73,1246665
11/9/2018,68.87,69,66.2,68.15,2442295
11/12/2018,64.85,65.21,62.39,63.8,2912608
11/13/2018,63.89,65.63,61,63.65,3719825
11/14/2018,64.3,64.48,61.73,62.88,3144713
11/15/2018,62.91,65.4,62.74,65.16,1578910
11/16/2018,64.41,66.83,64.2271,66.32,1582892
11/19/2018,65.5,66.24,63.06,63.15,1901658
11/20/2018,61.34,62.95,61.3,62.02,2354487
11/21/2018,63.27,64.45,62.65,63.58,1792412
11/23/2018,63.26,64.9,63.26,64.33,464445
11/26/2018,65.26,66.05,64.6125,65.47,1092945
11/27/2018,64.8,65.75,64.76,64.83,768446
11/28/2018,65.32,67.13,64.62,67.02,1146495
11/29/2018,66.56,67.29,65.2,65.29,906018
11/30/2018,65.46,66.3,64.84,65.81,1711226
12/3/2018,67.68,68.53,67.21,67.75,1440121
12/4/2018,67.48,67.59,64.04,64.16,1589571
12/6/2018,61.85,62.74,60.79,62.72,2309770
12/7/2018,62.59,63.38,60.91,61.13,1104937
12/10/2018,60.1,60.79,58.91,59.52,1600046
12/11/2018,60.73,61.69,59.2,59.58,1245242
12/12/2018,60.8,62.15,59.83,60.64,1219655
12/13/2018,61.25,61.76,60.37,60.77,1065004
12/14/2018,60,61.54,59.83,60.52,1650705
12/17/2018,60.53,62.31,59.68,60.34,1154412
12/18/2018,61.15,62.96,60.97,61.7,1028077
12/19/2018,61.32,62.3,59.33,59.64,1165234
12/20/2018,59.81,60.82,58.53,59.8,1863722
12/21/2018,59.65,61.03,57.11,57.68,2590467
12/24/2018,57.11,59.24,56.46,56.47,643338
12/26/2018,57.2,60.07,56.33,60.02,865840
12/27/2018,59.33,60.42,58.24,60.39,991622
12/28/2018,60.98,62.22,59.96,60.79,1108098
12/31/2018,61.34,61.75,59.84,60.73,809082
1/2/2019,59.62,62,59.62,61.18,725773
1/3/2019,57.95,58.45,54.735,55.64,2864286
1/4/2019,56.48,59.45,56.31,59.37,1976781
1/7/2019,59.38,60.87,58.84,59.78,1093649
1/8/2019,60.03,60.03,58.9,59.37,1505160
1/9/2019,59.87,61.74,59.49,60.45,1986299
1/10/2019,61.01,62.38,60.12,61.86,3203042
1/11/2019,61.7,64.52,61.48,63.69,1506371
1/14/2019,62.8,62.8,61.05,61.18,1259698
1/15/2019,61.38,62.26,61.16,61.56,641968
1/16/2019,61.61,62.47,61.36,61.41,735716
1/17/2019,60.89,62.58,60,62.25,998809
1/18/2019,62.55,63.57,62.16,63.28,888198
1/22/2019,62.49,62.72,61.27,61.94,737876
1/23/2019,62.1,62.33,60.93,61.91,796490
1/24/2019,62.27,64.15,62.27,63.38,955766
1/25/2019,64.34,66.3,63.54,65.76,1463507
1/28/2019,64.12,65.74,63.63,65.09,921739
1/29/2019,65.1,65.185,63.37,63.66,1217625
1/30/2019,64.56,65.84,64.08,65.53,636246
1/31/2019,65.47,65.77,64.58,65.36,992170
2/1/2019,65.47,66.38,65.355,65.92,589386
2/4/2019,65.78,66.42,65.29,65.96,891488
2/5/2019,66.02,66.36,65.51,66.04,840627
