Date,Open,High,Low,Close,Volume
4/19/2018,85.42,85.745,83.82,84.14,900967
4/20/2018,84,84.1684,82.64,83.01,1421183
4/23/2018,83.32,83.88,82.555,82.6,987875
4/24/2018,83.48,85.12,83.02,84.04,1789096
4/25/2018,83.94,85.27,82.38,83.74,1373301
4/26/2018,84.08,85.62,83.67,85.41,1117037
4/27/2018,85.47,85.78,84.69,85.19,858130
4/30/2018,85.5,85.9,85.2443,85.51,1127225
5/1/2018,85.4,86.15,85.17,86.07,643224
5/2/2018,85.84,86.49,85.4,86.01,988849
5/3/2018,85.87,86.53,85.14,86.49,1160253
5/4/2018,86.13,88.03,85.55,87.72,503403
5/7/2018,88.1,89.31,88.02,89,982533
5/8/2018,88.89,89.62,88.3911,89.05,1307609
5/9/2018,89.26,90.975,88.96,90.83,843234
5/10/2018,91.03,91.39,90.71,91.19,1020026
5/11/2018,91.05,91.64,90.66,91.02,1050797
5/14/2018,91.15,91.4,89.78,89.89,805472
5/15/2018,89.18,89.435,88.45,88.66,977440
5/16/2018,88.71,89.17,88.17,88.95,851100
5/17/2018,88.76,89.35,88.3144,88.9,813680
5/18/2018,88.89,89.5,88.67,89.25,2569892
5/21/2018,89.58,89.96,89.04,89.43,697062
5/22/2018,89.62,90.1599,89.14,89.27,713252
5/23/2018,88.75,90.34,88.21,90.33,1259587
5/24/2018,88.1,90.33,86.51,88.56,2177257
5/25/2018,88.81,88.81,87.69,88.32,901608
5/29/2018,87.98,88.24,87.26,87.78,844380
5/30/2018,88.11,88.49,87.49,87.5,656979
5/31/2018,88.07,88.86,87.61,88.07,1375006
6/1/2018,88.49,89.54,88,89.46,805796
6/4/2018,89.38,89.95,88.77,89.68,556610
6/5/2018,90,90.43,89.67,90.3,802504
6/6/2018,90.97,91.53,90.65,91.43,973201
6/7/2018,91.31,91.67,89.47,90.12,923832
6/8/2018,89.93,90.54,89.5,90.51,765472
6/11/2018,90.5,90.66,90.12,90.59,516691
6/12/2018,90.65,91.05,90.29,90.79,439105
6/13/2018,90.79,91.39,90.32,90.47,709046
6/14/2018,90.86,91.36,90.34,90.87,545374
6/15/2018,90.9,90.92,89.83,90.57,1362503
6/18/2018,89.56,90.57,89.1874,90.48,923427
6/19/2018,89.6,89.93,88.945,89.2,1170967
6/20/2018,89.7,90.99,89.38,90.31,930148
6/21/2018,90.29,90.72,89.15,89.23,622322
6/22/2018,89.52,89.7,88.05,88.12,1020218
6/25/2018,87.69,88.09,85.97,86.52,1001897
6/26/2018,86.67,87.25,86.31,86.41,912577
6/27/2018,86.6,87.44,84.45,84.57,1126718
6/28/2018,84.48,85.26,84.01,84.99,781509
6/29/2018,85.27,86.13,85.157,85.57,1312535
7/2/2018,85.13,86.46,84.75,86.4,766112
7/3/2018,86.89,87.085,85.87,86.27,539403
7/5/2018,86.86,87.41,86.4,87.17,746440
7/6/2018,87.14,88.27,87.13,88.18,826542
7/9/2018,88.52,88.75,87.75,88.49,947022
7/10/2018,88.82,89.05,88.26,88.99,1081197
7/11/2018,88.23,89.29,88.23,89.19,998771
7/12/2018,89.68,91.56,89.17,91.48,892387
7/13/2018,91.22,91.67,91.09,91.41,643301
7/16/2018,91.58,91.79,91.21,91.49,864334
7/17/2018,91,92.449,90.785,92.11,1059623
7/18/2018,92.11,92.62,91.6,91.94,1267792
7/19/2018,91.75,92.34,91.55,91.77,783291
7/20/2018,91.73,92.5,91.6,91.69,1062684
7/23/2018,91.69,92,91.22,91.84,609727
7/24/2018,92.25,92.68,91.675,91.97,1011547
7/25/2018,91.84,93.17,91.84,93.16,1135172
7/26/2018,93.1,93.58,92.83,93.15,749949
7/27/2018,93.37,93.66,91.91,92.58,1832706
7/30/2018,92.39,92.75,89.27,89.33,1961619
7/31/2018,89.61,90.04,88.48,89.43,1258787
8/1/2018,89.23,90.44,89.23,89.75,733181
8/2/2018,89.02,90.7,89.02,90.66,1120021
8/3/2018,90.9,91.23,90.3,91.14,703121
8/6/2018,91.04,92.38,90.7,92.33,965424
8/7/2018,92.42,92.89,91.98,92.65,1339144
8/8/2018,92.67,92.99,92.17,92.88,796567
8/9/2018,93.1,93.74,92.96,93.42,1016870
8/10/2018,92.77,93.87,92.77,93.53,1159186
8/13/2018,93.65,94.105,92.39,92.87,914386
8/14/2018,92.9,93.47,92.65,93.2,588272
8/15/2018,92.59,93.1,91.63,92.64,770487
