Date,Open,High,Low,Close,Volume
4/19/2018,61.5,62.13,59.81,59.9,4247868
4/20/2018,60.04,60.58,59.34,59.64,2410275
4/23/2018,59.8,59.92,57.86,58.22,2863209
4/24/2018,58.76,59.31,57.72,58.27,3592170
4/25/2018,58.42,58.96,57.19,58.3,2128434
4/26/2018,58.76,59.54,58.43,59.34,2276942
4/27/2018,59.74,60.35,58.45,59.52,3418034
4/30/2018,59.62,59.95,57.87,57.89,4985736
5/1/2018,51.91,54.39,49.08,54.21,15641511
5/2/2018,52.21,55,52.09,54.7,7818823
5/3/2018,54.48,55.11,54.19,54.97,4095255
5/4/2018,54.76,55.9599,54.68,55.68,2533596
5/7/2018,55.73,56.33,55.4,55.95,4220022
5/8/2018,55.63,56.63,55.5,56.49,3097156
5/9/2018,56.85,57.39,56.35,57.23,2359131
5/10/2018,57.81,58.51,57.1,57.27,3469177
5/11/2018,57.4,57.78,56.63,56.71,2461954
5/14/2018,57.19,58.11,56.95,57.07,2147923
5/15/2018,56.77,57.92,56.54,57.77,2679323
5/16/2018,57.85,59.49,57.83,59.37,2741240
5/17/2018,59.11,60.01,58.79,59.02,2138041
5/18/2018,59.03,59.54,56.0188,56.31,4302238
5/21/2018,57.3,57.8,56.79,57.25,2600558
5/22/2018,57.48,58.45,57.46,58.01,2599574
5/23/2018,57.69,58.29,57.325,58.28,1976837
5/24/2018,58.25,58.65,57.44,58.28,2146169
5/25/2018,58.4,59.2,57.33,57.47,2021652
5/29/2018,57.02,58.04,56.97,57.25,2617660
5/30/2018,57.74,59.06,57.41,58.03,2620619
5/31/2018,58.06,58.57,56.15,56.35,4473118
6/1/2018,56.6,57.96,56.37,57.9,2874350
6/4/2018,58,58.02,56.48,57.47,2637752
6/5/2018,58.02,59.25,57.92,59.18,3480774
6/6/2018,59.7,59.835,58.58,58.67,3192372
6/7/2018,58.6,58.74,54.22,55.23,8569775
6/8/2018,55,56.36,54.9025,55.98,3560605
6/11/2018,56.39,58.32,56.19,57.94,3551504
6/12/2018,58,58,55.97,57.1,3053213
6/13/2018,57.16,57.69,56.84,56.95,2606381
6/14/2018,57.27,59.235,56.97,59.08,3876558
6/15/2018,58.67,58.67,57.4,58.43,4056550
6/18/2018,58.01,59.15,57.31,58.98,2774564
6/19/2018,57.4,58.06,56.62,57.95,2483649
6/20/2018,58.14,58.47,57.8,58.08,2033602
6/21/2018,58.17,59.93,57.83,58.44,2705353
6/22/2018,58.85,59.16,58.15,58.22,1959203
6/25/2018,57.75,57.9,55.46,55.83,2459994
6/26/2018,56.33,56.8,55.9,56.51,2896632
6/27/2018,56.88,57.2,55.65,55.69,1690612
6/28/2018,55.57,56.72,55.03,56.36,1696543
6/29/2018,56.87,57.41,56.455,56.47,2091383
7/2/2018,55.42,57.68,55.34,57.61,2368717
7/3/2018,57.79,58.12,56.62,56.9,1644523
7/5/2018,57.43,58.61,56.93,58.61,2123316
7/6/2018,58.63,58.82,57.92,58.59,1877179
7/9/2018,58.99,59.25,58.12,58.75,2200375
7/10/2018,58.81,59.43,58.64,58.89,1565269
7/11/2018,58.18,58.1892,56.82,57.24,1642066
7/12/2018,57.8,59.14,57.8,59.02,1653863
7/13/2018,58.71,59.66,58.5,59.02,1579944
7/16/2018,58.91,58.91,58.14,58.45,1240772
7/17/2018,58.19,58.345,57.66,58.1,2053980
7/18/2018,58.23,58.91,57.92,58.1,1565405
7/19/2018,58.09,58.43,56.92,57.18,1568818
7/20/2018,57.07,57.32,56.47,56.48,2061761
7/23/2018,56.34,56.5,55.23,56.35,2023370
7/24/2018,56.77,56.88,55.63,55.72,1854433
7/25/2018,55.96,56.47,55.53,56.44,2216472
7/26/2018,56.54,57.68,56.29,57.54,2277037
7/27/2018,57.16,57.61,54.51,54.69,4346940
7/30/2018,54.37,56.14,51.95,54,7894730
7/31/2018,54.36,54.47,51.93,52.62,6606277
8/1/2018,52.63,53.55,52.63,53.07,3914991
8/2/2018,52.59,53.61,52.5,53.42,2721267
8/3/2018,53.44,54.43,53.44,53.88,2663091
8/6/2018,53.8,54.265,53.44,54.23,2177242
8/7/2018,54.25,55.09,54.18,54.87,2221675
8/8/2018,54.75,55.43,54.36,55.04,1650340
8/9/2018,52.5853,52.99,50.48,51.02,8401853
8/10/2018,50.56,51.4,50.04,50.88,5029129
