Date,Open,High,Low,Close,Volume
4/19/2018,101.47,101.59,100.36,101.05,1836142
4/20/2018,101.35,101.39,99.95,100.26,1653537
4/23/2018,100.51,101.21,99.64,100.01,1301135
4/24/2018,100.64,101.03,96.65,97.74,2225199
4/25/2018,95.47,96.51,93.22,94.38,3005898
4/26/2018,94.66,95.12,93.59,93.69,2336621
4/27/2018,93.71,94.39,92.72,93.23,2383368
4/30/2018,93.47,93.8,91.75,91.75,1860570
5/1/2018,91.36,91.83,90.735,91.8,2259233
5/2/2018,91.91,93.015,91.63,91.8,2503953
5/3/2018,91.68,91.99,90.44,91.65,1700112
5/4/2018,91.08,92.83,91.05,92.43,1492991
5/7/2018,92.65,93.61,92.36,92.94,1584376
5/8/2018,92.51,93.22,92.51,92.92,1829478
5/9/2018,93.51,93.84,92.73,93.46,2380016
5/10/2018,94,94.45,93.5,94.28,1528863
5/11/2018,94.41,95.41,94.14,94.58,1376887
5/14/2018,94.98,95.43,94.66,95.05,1434457
5/15/2018,94.26,94.9615,94.26,94.88,1396339
5/16/2018,94.87,95.82,94.6,95.31,1023860
5/17/2018,95.1,96.06,94.81,95.43,1411300
5/18/2018,95.53,95.53,94.7447,95.16,2619729
5/21/2018,96.19,96.65,95.75,95.93,1216329
5/22/2018,96.07,96.39,94.85,94.91,1556427
5/23/2018,94.39,95,93.84,94.95,1133061
5/24/2018,94.42,95.095,93.78,94.32,1400395
5/25/2018,94.08,94.42,93.64,94.12,758479
5/29/2018,93.3,93.75,92.04,92.99,1595679
5/30/2018,93.75,94.6,93.43,93.95,1173238
5/31/2018,93.76,94.17,92.9829,93.08,3450892
6/1/2018,93.97,94.86,93.47,94.59,1280386
6/4/2018,95,95.33,94.55,94.68,1372320
6/5/2018,94.79,95.46,94.34,95.41,1671013
6/6/2018,95.46,97.46,95.1901,97.46,1970453
6/7/2018,97.9,97.9,96.82,97.51,1703870
6/8/2018,97.1,97.5,96.785,97.25,1293824
6/11/2018,97.39,97.88,96.87,97.2,1703785
6/12/2018,97.35,97.51,96.84,97.49,1300934
6/13/2018,97.49,97.73,96.87,97.14,1370551
6/14/2018,97.83,99.52,97.44,99.31,1692029
6/15/2018,98.99,99.07,97.79,99,1684286
6/18/2018,98.19,98.42,97.2,98.28,1170959
6/19/2018,97.33,97.43,95.65,96.73,1646462
6/20/2018,97.07,97.1745,96.42,96.64,1082329
6/21/2018,96.57,96.92,95.27,95.5,1878550
6/22/2018,96.16,96.16,95,95.13,1798616
6/25/2018,94.75,94.82,93.06,93.84,1874641
6/26/2018,94.07,94.56,93.61,93.95,1286142
6/27/2018,93.96,94.67,91.75,91.82,1617265
6/28/2018,91.44,91.44,88.71,89.45,3179699
6/29/2018,89.48,90.63,89.08,90.06,3620204
7/2/2018,89.07,90.56,88.411,90.49,1671149
7/3/2018,90.9,91.44,89.59,89.69,815359
7/5/2018,90.31,91.26,89.41,91.26,1521868
7/6/2018,91.15,91.61,90.42,91.22,986003
7/9/2018,92.22,92.895,91.29,92.77,1140674
7/10/2018,92.91,93.67,92.49,93.54,1044378
7/11/2018,92.6,92.6,91.13,91.24,988358
7/12/2018,91.86,92.62,91.82,92.18,1630153
7/13/2018,91.99,92.45,91.7,91.85,1004692
7/16/2018,92.09,92.09,91.02,91.26,572821
7/17/2018,91.01,92.5,90.35,92.34,1898119
7/18/2018,92.75,92.96,92.13,92.45,1410493
7/19/2018,92.1,92.87,91.93,92.32,757538
7/20/2018,91.97,92.24,91.54,91.69,846384
7/23/2018,91.56,91.84,90.955,91.7,1369472
7/24/2018,92.35,94.43,92.35,94,2819955
7/25/2018,90.82,94.3,90.04,93.99,4421718
7/26/2018,94.39,95.79,93.88,94.26,2991950
7/27/2018,94.26,95.125,93.53,94,1909212
7/30/2018,94.17,94.7,93.17,93.24,1999045
7/31/2018,93.81,94.43,93.31,93.57,3044505
8/1/2018,93.55,94.17,91.97,92.66,1959498
8/2/2018,91.94,93.21,91.53,92.51,1548725
8/3/2018,92.51,93.16,92.36,93.09,1243267
8/6/2018,93,94.07,93,94.03,1023673
8/7/2018,94.62,95.37,94.39,94.92,1567957
8/8/2018,94.71,95.03,94.12,94.71,974377
8/9/2018,94.74,95.22,93.46,93.65,1391395
8/10/2018,92.68,92.68,91.73,92.15,1648570
8/13/2018,92.44,93.5,92.02,92.37,1425253
8/14/2018,92.45,93.48,92.15,93.24,1159806
8/15/2018,92.48,92.71,91.69,92.5,1277142
8/16/2018,93.16,93.74,92.66,92.79,1064289
8/17/2018,92.71,93.05,92.34,92.95,2747763
8/20/2018,93.14,94.07,93.14,93.77,2366162
8/21/2018,93.97,94.58,93.4,93.62,1226393
8/22/2018,92.85,92.87,91.4,92.17,2700368
8/23/2018,91.55,91.87,90.65,90.98,1682255
8/24/2018,91.32,91.67,90.68,91.54,1328697
8/27/2018,91.85,92.94,91.85,92.59,1219105
8/28/2018,93.17,93.17,92.3,92.49,1742206
8/29/2018,92.5,92.595,91.93,92,1779409
8/30/2018,91.71,91.93,90.97,91.37,3169618
8/31/2018,91.15,91.81,90.98,91.68,2220978
9/4/2018,91.69,91.69,90.19,90.35,1771935
9/5/2018,90.26,91.08,89.83,90.61,2271761
9/6/2018,90.19,90.56,89.41,89.6,1927920
9/7/2018,89.48,90.36,89.1,90.32,2063569
9/10/2018,90.97,91.39,90.68,91.15,1276307
9/11/2018,90.7,91.07,90.08,90.89,1314621
9/12/2018,90.78,91.09,90.08,90.73,1153053
9/13/2018,91,92.16,90.89,91.73,1608169
9/14/2018,91.74,92.14,91.27,91.77,1460303
9/17/2018,92.48,92.71,91.7,91.88,2282655
9/18/2018,91.7,91.87,88.84,89.76,2313796
9/19/2018,90.06,92.4,89.54,92.06,2172107
9/20/2018,92.75,93,92.13,92.63,1710317
9/21/2018,93.33,93.87,92.43,92.61,3198251
9/24/2018,91.78,92.135,89.59,90.58,1818168
9/25/2018,90.26,90.26,88.86,89.38,2148355
9/26/2018,89.19,89.59,88.7201,88.99,1508133
9/27/2018,89.07,89.26,88.01,88.09,1993074
9/28/2018,87.74,88.62,87.37,87.93,2119264
10/1/2018,86.91,87.61,85.84,86.83,2775241
10/2/2018,86.63,87.53,86.57,86.91,2545562
10/3/2018,86.89,87.78,85.5,86.8,1702414
10/4/2018,86.83,86.87,85.33,86.16,1565464
10/5/2018,85.77,86.379,83.84,84.19,1915646
10/8/2018,84.08,84.4,83.06,83.99,2040742
10/9/2018,83.97,84.05,82.02,82.38,3562221
10/10/2018,82.37,82.4,80.37,80.88,5172923
10/11/2018,80.99,81.39,78.59,78.66,2582225
10/12/2018,79.58,80.08,77.7,78.91,1879337
10/15/2018,78.71,79.32,78.53,78.62,1986085
10/16/2018,79.08,80.15,78.95,80.06,1505362
10/17/2018,80.22,80.22,78.86,79.55,1476106
10/18/2018,79.13,79.65,78.25,78.61,2069781
10/19/2018,78.8,78.95,77.53,77.55,1988535
10/22/2018,77.86,78,77.11,77.48,1100517
10/23/2018,75.99,77.06,74.71,76.72,3045649
10/24/2018,76.96,77.285,74.03,74.15,2325158
10/25/2018,74.67,76.03,74.67,75.82,1961732
10/26/2018,74.2,76.3,73.7,74.86,2750684
10/29/2018,76.28,77.58,74.635,75.68,2496429
10/30/2018,75.82,78.26,75.22,78.17,4322160
10/31/2018,75.99,80.36,75.34,75.42,5473143
11/1/2018,76.18,77.69,75.87,77.25,5263643
11/2/2018,77.68,78.32,76.99,77.44,2714785
11/5/2018,77.48,78.89,76.77,78.67,2232199
11/6/2018,78.4,79.005,78.08,78.4,2093825
11/7/2018,78.93,80.31,78.53,80.23,2693312
11/8/2018,79.9,80.74,79.77,80.29,1343631
11/9/2018,79.67,80.34,78.8,79.13,2170189
11/12/2018,78.39,78.86,76.5,76.66,2500454
11/13/2018,77.11,78.4225,76.59,76.82,2665251
11/14/2018,77.28,77.67,75.87,76.08,3191812
11/15/2018,75.59,77.33,75.5522,76.83,3921287
11/16/2018,76.39,78.44,76.0564,77.65,3995088
11/19/2018,77.33,77.52,74.27,74.62,2313998
11/20/2018,73.55,74.51,73.26,74.41,2093074
11/21/2018,74.41,76.25,74.27,75.14,1941344
11/23/2018,74.35,75.45,74.15,74.96,724741
11/26/2018,75.89,76.09,75,75.43,1460488
