Date,Open,High,Low,Close,Volume
4/19/2018,37.24,37.56,36.68,36.76,857526
4/20/2018,36.77,36.86,36.17,36.57,1163506
4/23/2018,36.77,36.99,35.95,36.13,576760
4/24/2018,36.98,37.44,35.355,35.58,1377536
4/25/2018,35.44,35.58,34.725,34.83,1195802
4/26/2018,34.89,35.2,34.64,35.08,717788
4/27/2018,35.04,35.28,34.63,35,938872
4/30/2018,35.2,35.59,34.6,34.6,854196
5/1/2018,34.39,34.76,33.99,34.6,1450867
5/2/2018,34.68,35.04,34.27,34.34,991275
5/3/2018,34.19,34.49,33.68,34.34,886113
5/4/2018,34.26,35.12,34.15,34.89,912471
5/7/2018,35.11,35.68,35,35.65,1734781
5/8/2018,32.63,35.44,32.01,35.035,3673311
5/9/2018,34.94,34.94,33.89,33.94,1818885
5/10/2018,34.16,34.74,34.05,34.35,1223500
5/11/2018,34.4,34.93,34.25,34.53,963025
5/14/2018,34.62,35.185,34.32,34.93,1011069
5/15/2018,34.64,34.86,34.42,34.55,1338597
5/16/2018,34.67,35.1,34.36,34.78,1281970
5/17/2018,34.75,35.1,34.55,34.83,1315192
5/18/2018,34.81,34.98,34.401,34.7,1376059
5/21/2018,34.97,35.1134,34.76,34.92,1103875
5/22/2018,35.06,35.23,34.57,34.6,1458258
5/23/2018,34.57,34.85,34.47,34.71,1856499
5/24/2018,34.72,34.79,34.44,34.49,933569
5/25/2018,34.4,34.85,34.4,34.68,1211545
5/29/2018,34.56,35.08,34.25,34.42,1396626
5/30/2018,34.62,34.66,34.135,34.18,1690807
5/31/2018,34.19,34.19,32.96,33.06,2530697
6/1/2018,33.35,34.6,33.34,34.41,1718541
6/4/2018,34.54,34.58,34.01,34.13,1415425
6/5/2018,34.2,34.99,33.6675,34.78,1147754
6/6/2018,34.23,34.85,34.14,34.81,1176060
6/7/2018,34.76,35.23,34.58,35.04,1328028
6/8/2018,34.8,34.89,34.07,34.52,892392
6/11/2018,34.6,34.7,34.2,34.47,708698
6/12/2018,34.44,34.69,34.25,34.58,668882
6/13/2018,34.71,35.035,34.5969,34.69,1361234
6/14/2018,34.95,35.43,34.545,35.4,2163459
6/15/2018,35.25,35.46,34.75,35.44,2828295
6/18/2018,35.08,35.12,34.26,34.32,1535438
6/19/2018,34,34.191,33.39,33.56,1628384
6/20/2018,33.8,34.67,33.66,34.64,2173670
6/21/2018,34.73,34.73,34.07,34.25,1348760
6/22/2018,34.48,34.48,33.34,33.34,5207546
6/25/2018,33.1,33.3145,32.15,32.66,1850798
6/26/2018,32.73,32.95,32.61,32.78,1832237
6/27/2018,32.96,33.32,32.5101,32.53,3020187
6/28/2018,32.49,32.925,32.09,32.74,1775073
6/29/2018,32.83,33.2975,32.65,32.84,3872936
7/2/2018,32.6,32.68,32.16,32.5,1109207
7/3/2018,32.63,32.94,32.36,32.41,1232577
7/5/2018,32.55,33.09,32.48,32.97,2304214
7/6/2018,33.02,33.54,32.775,33.49,820091
7/9/2018,33.6,34.16,33.385,33.96,828428
7/10/2018,34.06,34.13,33.75,34.06,1824707
7/11/2018,33.75,33.885,33.03,33.24,970222
7/12/2018,33.5,34.06,33.32,33.92,1128948
7/13/2018,33.96,34.41,33.69,34.36,1148544
7/16/2018,34.33,34.37,33.97,34.12,1189074
7/17/2018,33.92,34.47,33.92,34.43,895639
7/18/2018,34.4,34.65,34.28,34.6,779396
7/19/2018,34.55,34.91,34.47,34.82,958373
7/20/2018,34.76,35.135,34.72,34.85,936822
7/23/2018,34.75,34.94,34.35,34.63,1055875
7/24/2018,34.79,35.11,34.55,34.86,1567300
7/25/2018,34.85,35.6,34.73,35.57,1710147
7/26/2018,35.47,36.25,35.43,35.79,1299768
7/27/2018,35.83,36.01,35.08,35.25,725562
7/30/2018,35.38,35.77,34.92,34.98,827320
7/31/2018,35.1,35.62,34.905,35.3,1439401
8/1/2018,35.23,35.77,35.07,35.24,2565691
8/2/2018,36.79,40.97,36.28,40.65,3359832
8/3/2018,40.38,41.29,39.93,40.53,1691421
8/6/2018,40.44,40.68,38.46,39.06,2394424
8/7/2018,39.12,40.13,38.51,40.06,1950250
8/8/2018,40.05,40.25,39.77,40.11,1294613
8/9/2018,40.09,40.2,39.37,39.48,1696146
8/10/2018,39.23,39.48,38.9442,39.19,1061678
8/13/2018,39.29,39.57,38.83,38.98,1618895
8/14/2018,39.11,39.59,38.96,39.48,790962
8/15/2018,39.12,39.336,38.56,39.12,714745
8/16/2018,39.48,39.97,39.24,39.61,776025
8/17/2018,39.46,39.76,39.1,39.53,617330
8/20/2018,39.69,39.7,39.27,39.43,976251
8/21/2018,39.46,40.39,39.46,40.25,1495573
8/22/2018,40.28,40.705,40.21,40.44,946285
8/23/2018,40.43,40.88,40.14,40.59,1538316
8/24/2018,40.79,41.055,40.48,41,1255749
8/27/2018,41.2,41.57,41,41.49,1099449
8/28/2018,41.81,42.24,41.54,41.87,1344382
8/29/2018,41.91,42.39,41.79,42.32,968894
8/30/2018,42.15,42.36,41.92,42.1,803075
8/31/2018,42,42.17,41.85,42.1,954352
9/4/2018,41.81,42.2,41.6,42.19,1027544
9/5/2018,41.91,42.22,41.48,42.14,1201369
9/6/2018,42.1,42.22,41.575,41.97,1096995
9/7/2018,41.74,42.71,41.52,42.42,1655182
9/10/2018,42.51,42.71,42.3,42.56,1155676
9/11/2018,42.54,42.91,42.12,42.86,1089783
9/12/2018,42.43,43.31,42.43,43.28,1131677
9/13/2018,43.56,44.19,43.31,44.03,1226637
9/14/2018,44.05,44.32,43.6,44.11,1270641
9/17/2018,43.93,44.24,43.39,43.56,1284068
9/18/2018,43.78,44.14,43.43,44.1,997962
9/19/2018,44.14,44.2,43.57,43.61,549450
9/20/2018,43.95,43.98,43.46,43.71,980804
9/21/2018,43.72,44.55,43.58,43.64,1670597
9/24/2018,43.41,43.41,42.28,42.6,1496993
9/25/2018,42.66,42.91,42.37,42.66,1096180
9/26/2018,42.81,43.17,42.41,42.79,1094017
9/27/2018,42.92,43.3,42.84,43.25,782869
9/28/2018,43.14,43.715,43,43.46,1280246
10/1/2018,43.48,43.72,43.075,43.24,1466432
10/2/2018,43.16,43.4,42.93,43.12,1529355
10/3/2018,43.45,43.45,42.8,43.05,1082715
10/4/2018,42.95,43.13,41.67,42.06,920453
10/5/2018,42.05,42.23,41.24,41.58,795708
10/8/2018,41.5,41.5,40.91,41.16,1103799
10/9/2018,41.15,41.35,40.55,41.24,965017
10/10/2018,41,41.22,38.99,39.04,1719673
10/11/2018,38.88,39.22,37.94,37.97,1371548
10/12/2018,38.98,39.44,38.2,38.79,837577
10/15/2018,38.73,38.855,38.24,38.44,717398
10/16/2018,38.87,40.15,38.7,40.06,775740
10/17/2018,40.05,40.15,39.45,40.11,597233
10/18/2018,39.7,39.8729,38.64,38.79,1092072
10/19/2018,39.02,39.19,37.97,38.08,716865
10/22/2018,38.18,38.51,37.6,38.31,580070
10/23/2018,37.43,38.32,36.66,38,1647369
10/24/2018,37.98,38.16,36.43,36.43,1153762
